Date,Open,High,Low,Close,Volume,Adj Close
0,11.83,11.83,11.83,11.83,2400,11.83
1,11.81,11.85,11.8,11.83,1331487,11.83
2,11.7399,11.83,11.73,11.81,751627,11.81
3,11.725,11.74,11.65,11.73,690200,11.73
4,11.72,11.735,11.67,11.7201,766270,11.7201
5,11.755,11.795,11.71,11.71,684913,11.71
6,11.78,11.79,11.74,11.75,380338,11.75
7,11.78,11.79,11.76,11.785,497929,11.785
8,11.83,11.85,11.77,11.7799,569402,11.7799
9,11.78,11.85,11.78,11.84,522550,11.84
10,11.83,11.84,11.78,11.785,382481,11.785
11,11.81,11.84,11.81,11.8275,226137,11.8275
12,11.763,11.82,11.76,11.81,402513,11.81
13,11.735,11.77,11.73,11.763,491718,11.763
14,11.755,11.76,11.72,11.7365,472442,11.7365
15,11.78,11.8,11.755,11.755,404090,11.755
16,11.72,11.8,11.71,11.785,1906129,11.785
17,11.69,11.74,11.69,11.72,743719,11.72
18,11.7262,11.7262,11.68,11.69,691815,11.69
19,11.7365,11.75,11.72,11.73,346221,11.73
20,11.715,11.74,11.68,11.74,711563,11.74
21,11.71,11.735,11.7,11.715,381123,11.715
22,11.72,11.73,11.71,11.7141,206207,11.7141
23,11.735,11.74,11.71,11.7201,474332,11.7201
24,11.7,11.74,11.69,11.735,827147,11.735
25,11.7165,11.73,11.7,11.7,435020,11.7
26,11.705,11.725,11.7,11.7141,294423,11.7141
27,11.705,11.72,11.69,11.705,348819,11.705
28,11.7,11.72,11.69,11.705,359361,11.705
29,11.7069,11.73,11.69,11.7,562530,11.7
30,11.7,11.7074,11.69,11.705,303220,11.705
31,11.69,11.695,11.66,11.6942,694272,11.6942
32,11.7,11.71,11.68,11.69,342300,11.69
33,11.695,11.7,11.68,11.695,384024,11.695
34,11.721,11.73,11.69,11.695,403973,11.695
35,11.75,11.775,11.72,11.72,446985,11.72
36,11.77,11.77,11.75,11.75,239887,11.75
37,11.775,11.79,11.76,11.765,499709,11.765
38,11.75,11.79,11.75,11.775,273913,11.775
39,11.775,11.79,11.75,11.7556,323136,11.7556
40,11.765,11.79,11.76,11.78,233876,11.78
41,11.77,11.77,11.76,11.765,203073,11.765
42,11.78,11.78,11.76,11.7665,266516,11.7665
43,11.745,11.78,11.74,11.775,298002,11.775
44,11.75,11.75,11.73,11.7401,307120,11.7401
45,11.7599,11.76,11.74,11.75,329028,11.75
46,11.74,11.76,11.73,11.7566,421613,11.7566
47,11.74,11.75,11.73,11.7499,257061,11.7499
48,11.735,11.74,11.73,11.735,154214,11.735
49,11.735,11.74,11.73,11.74,124236,11.74
50,11.735,11.74,11.73,11.735,156535,11.735
51,11.7456,11.75,11.73,11.73,283672,11.73
52,11.745,11.75,11.74,11.745,97814,11.745
53,11.715,11.75,11.71,11.74,307634,11.74
54,11.7,11.74,11.7,11.71,551331,11.71
55,11.71,11.71,11.7,11.7,297924,11.7
56,11.7,11.71,11.7,11.71,226359,11.71
57,11.705,11.71,11.7,11.705,177616,11.705
58,11.75,11.75,11.7,11.7,389871,11.7
59,11.7465,11.78,11.74,11.747,514286,11.747
60,11.7601,11.77,11.74,11.745,350022,11.745
61,11.75,11.77,11.75,11.7685,297209,11.7685
