Date,Open,High,Low,Close,Volume,Adj Close
0,2.66,2.66,2.65,2.65,3300,2.65
1,2.66,2.66,2.66,2.66,200,2.66
2,2.66,2.66,2.65,2.65,6500,2.65
3,2.65,2.65,2.65,2.65,2000,2.65
4,2.65,2.65,2.65,2.65,1500,2.65
5,2.65,2.65,2.65,2.65,100,2.65
6,2.65,2.65,2.65,2.65,300,2.65
7,2.65,2.65,2.65,2.65,1200,2.65
8,2.66,2.66,2.66,2.66,2000,2.66
9,2.66,2.66,2.66,2.66,3000,2.66
10,2.67,2.67,2.67,2.67,500,2.67
11,2.68,2.68,2.68,2.68,600,2.68
12,2.69,2.69,2.69,2.69,500,2.69
13,2.7,2.7,2.7,2.7,100,2.7
14,2.7,2.7,2.7,2.7,200,2.7
15,2.69,2.7,2.69,2.7,7000,2.7
16,2.68,2.68,2.68,2.68,11600,2.68
17,2.67,2.67,2.67,2.67,2800,2.67
18,2.65,2.65,2.65,2.65,1700,2.65
19,2.66,2.66,2.66,2.66,200,2.66
20,2.66,2.66,2.66,2.66,100,2.66
21,2.65,2.65,2.65,2.65,3100,2.65
22,2.64,2.64,2.64,2.64,18100,2.64
23,2.64,2.64,2.64,2.64,1000,2.64
24,2.64,2.64,2.63,2.63,1700,2.63
25,2.63,2.63,2.63,2.63,13900,2.63
26,2.63,2.63,2.63,2.63,200,2.63
27,2.63,2.63,2.62,2.63,600,2.63
28,2.63,2.63,2.62,2.62,12300,2.62
29,2.63,2.63,2.63,2.63,400,2.63
30,2.63,2.63,2.63,2.63,100,2.63
31,2.62,2.62,2.62,2.62,3700,2.62
32,2.63,2.63,2.63,2.63,2000,2.63
33,2.63,2.63,2.63,2.63,700,2.63
34,2.63,2.63,2.63,2.63,100,2.63
35,2.63,2.63,2.63,2.63,400,2.63
36,2.63,2.63,2.63,2.63,200,2.63
37,2.62,2.63,2.62,2.63,19800,2.63
38,2.62,2.62,2.62,2.62,1500,2.62
39,2.64,2.65,2.64,2.65,11000,2.65
