Date,Open,High,Low,Close,Volume,Adj Close
0,28.55,28.56,28.52,28.52,2443,28.52
1,28.54,28.56,27.98,28.065,9631681,28.065
2,28.065,28.355,27.99,28.2662,8156156,28.2662
3,28.26,28.275,27.95,27.99,5329283,27.99
4,28.0,28.02,27.8,27.87,5422411,27.87
5,27.8728,27.99,27.85,27.9,3278703,27.9
6,27.9,27.9,27.71,27.7901,3746333,27.7901
7,27.795,27.87,27.72,27.7538,2117274,27.7538
8,27.755,27.885,27.75,27.875,2441140,27.875
9,27.8701,27.88,27.7701,27.84,2397887,27.84
10,27.845,27.8899,27.77,27.86,1417756,27.86
11,27.86,27.93,27.83,27.89,1372393,27.89
12,27.895,27.9651,27.86,27.9638,2062185,27.9638
13,27.97,28.01,27.95,27.9925,1475721,27.9925
14,27.99,28.115,27.98,28.11,2856036,28.11
15,28.105,28.1167,28.01,28.1,1439543,28.1
16,28.095,28.2,28.09,28.12,1449821,28.12
17,28.11,28.15,28.07,28.105,1364293,28.105
18,28.105,28.155,28.09,28.15,1130536,28.15
19,28.15,28.24,28.13,28.21,1872859,28.21
20,28.21,28.25,28.15,28.175,3475344,28.175
21,28.18,28.25,28.13,28.18,2243454,28.18
22,28.18,28.31,28.1703,28.245,1605524,28.245
23,28.24,28.255,28.12,28.18,1672291,28.18
24,28.1875,28.21,28.15,28.18,1803178,28.18
25,28.18,28.21,28.11,28.206,2347440,28.206
26,28.2,28.27,28.11,28.24,6328716,28.24
27,28.32,28.4,28.23,28.4,15585,28.4
28,28.37,28.49,28.15,28.1501,5040045,28.1501
29,28.16,28.34,28.11,28.23,2395332,28.23
30,28.23,28.295,28.13,28.23,2852006,28.23
31,28.23,28.375,28.205,28.34,1582151,28.34
32,28.34,28.345,28.23,28.2475,1552575,28.2475
33,28.24,28.2671,28.12,28.12,1457232,28.12
34,28.1275,28.155,28.07,28.085,1492248,28.085
35,28.08,28.17,28.0,28.157,2039446,28.157
36,28.165,28.27,28.11,28.21,964570,28.21
37,28.215,28.3,28.21,28.26,651689,28.26
38,28.26,28.29,28.21,28.21,695101,28.21
39,28.21,28.27,28.2,28.25,763055,28.25
40,28.25,28.35,28.23,28.315,734858,28.315
41,28.31,28.34,28.28,28.315,820789,28.315
42,28.3149,28.41,28.3,28.37,1189057,28.37
43,28.365,28.38,28.3,28.31,716962,28.31
44,28.31,28.33,28.27,28.29,651732,28.29
45,28.295,28.3299,28.24,28.26,627787,28.26
46,28.265,28.35,28.22,28.325,891327,28.325
47,28.3253,28.355,28.265,28.275,1161249,28.275
48,28.27,28.28,28.195,28.2,1350672,28.2
49,28.2,28.25,28.14,28.25,1592915,28.25
50,28.255,28.27,28.19,28.23,1583350,28.23
51,28.23,28.25,28.19,28.2,1192576,28.2
52,28.1937,28.22,28.045,28.055,2575969,28.055
53,28.055,28.13,28.03,28.07,4477166,28.07
54,28.07,28.08,28.05,28.06,2065,28.06
55,28.05,28.31,28.05,28.26,3277528,28.26
56,28.262,28.295,28.19,28.27,1698882,28.27
57,28.27,28.46,28.261,28.42,2287782,28.42
58,28.42,28.47,28.37,28.39,2426177,28.39
59,28.3938,28.46,28.38,28.46,2485511,28.46
60,28.46,28.52,28.434,28.455,1298833,28.455
