Date,Open,High,Low,Close,Volume,Adj Close
0,55.7,55.9099,55.56,55.87,303679,55.87
1,55.86,55.96,55.675,55.73,688449,55.73
2,55.73,55.92,55.56,55.73,566767,55.73
3,55.7238,55.82,55.64,55.7151,437852,55.7151
4,55.72,55.76,55.34,55.36,377313,55.36
5,55.37,55.38,55.13,55.15,566425,55.15
6,55.15,55.29,54.915,55.11,1478651,55.11
7,55.17,55.6,55.06,55.57,258046,55.57
8,55.56,55.8199,55.25,55.575,674147,55.575
9,55.58,55.68,55.36,55.59,432092,55.59
10,55.6,55.7552,55.54,55.71,307739,55.71
11,55.7158,55.82,55.65,55.77,387756,55.77
12,55.77,55.94,55.72,55.75,508622,55.75
13,55.74,55.78,55.19,55.27,854939,55.27
14,55.39,55.68,55.38,55.62,218873,55.62
15,55.62,55.73,55.39,55.43,455538,55.43
16,55.43,55.69,55.37,55.65,801726,55.65
17,55.65,55.68,55.4,55.52,282480,55.52
18,55.5149,55.62,55.32,55.42,444648,55.42
19,55.425,55.715,55.38,55.6,537726,55.6
20,55.6,56.04,55.47,55.9,1435807,55.9
21,56.21,56.35,56.01,56.18,279063,56.18
22,56.18,56.2095,55.975,56.14,311735,56.14
23,56.13,56.14,55.95,56.05,444382,56.05
24,56.045,56.13,55.84,55.85,303619,55.85
25,55.85,56.0704,55.85,55.97,195709,55.97
26,55.97,56.17,55.82,56.1558,373738,56.1558
27,56.15,56.45,56.01,56.36,718404,56.36
28,56.49,56.49,56.22,56.37,200108,56.37
29,56.35,56.49,56.25,56.39,286354,56.39
30,56.38,56.54,56.285,56.32,441914,56.32
31,56.32,56.45,56.185,56.2,219282,56.2
32,56.2,56.2,55.75,55.75,655087,55.75
33,55.77,55.83,55.29,55.44,482778,55.44
34,55.4447,55.65,55.1817,55.29,1140804,55.29
35,55.34,55.56,55.2,55.35,207337,55.35
36,55.345,55.53,55.1,55.39,457753,55.39
37,55.39,55.53,55.24,55.4,485750,55.4
38,55.41,55.52,55.32,55.33,673289,55.33
39,55.33,55.52,55.315,55.49,497152,55.49
40,55.5,55.6,55.4401,55.595,494418,55.595
41,55.59,55.635,55.27,55.33,1006014,55.33
42,54.27,54.64,54.26,54.415,557488,54.415
43,54.4,54.69,54.26,54.545,660754,54.545
44,54.54,54.82,54.42,54.71,1117541,54.71
45,54.71,54.75,54.165,54.45,554767,54.45
46,54.45,54.58,54.355,54.47,370776,54.47
47,54.47,54.88,54.37,54.85,526426,54.85
48,54.85,54.91,54.55,54.72,964226,54.72
49,55.3,55.5299,55.14,55.43,504421,55.43
50,55.39,55.5499,55.33,55.48,592901,55.48
51,55.48,55.63,55.34,55.49,719139,55.49
52,55.49,55.56,55.37,55.53,316847,55.53
53,55.54,55.56,55.345,55.44,303733,55.44
54,55.44,55.49,55.11,55.26,310728,55.26
55,55.25,55.54,55.215,55.42,755931,55.42
56,54.77,55.14,54.56,54.83,231180,54.83
57,54.84,54.965,54.35,54.37,588676,54.37
58,54.38,54.6,54.245,54.28,314205,54.28
59,54.28,54.34,53.7,54.0052,311397,54.0052
60,54.01,54.42,53.89,54.26,370428,54.26
61,54.24,54.38,54.07,54.295,379223,54.295
62,54.31,54.785,54.23,54.54,1393190,54.54
63,54.59,54.78,54.18,54.25,194063,54.25
64,54.25,54.5,54.16,54.17,476018,54.17
65,54.18,54.36,53.96,54.2,541223,54.2
66,54.19,54.47,54.19,54.35,433096,54.35
67,54.35,54.36,53.78,53.975,594720,53.975
68,53.98,54.06,53.53,54.03,835576,54.03
69,54.02,54.285,53.83,54.11,1085821,54.11
70,54.76,54.83,54.3,54.78,245119,54.78
71,54.8,55.137,54.77,54.97,474430,54.97
72,54.97,55.065,54.86,54.94,378139,54.94
73,54.94,55.13,54.94,55.12,242474,55.12
74,55.12,55.37,55.09,55.33,324399,55.33
75,55.32,55.54,55.26,55.395,425799,55.395
76,55.395,55.45,55.31,55.33,784534,55.33
77,55.28,55.29,55.0,55.21,223213,55.21
