Date,Open,High,Low,Close,Volume,Adj Close
0,30.16,30.23,29.7975,30.0156,767532,30.0156
1,30.02,30.27,29.91,30.21,530223,30.21
2,30.21,30.29,30.02,30.22,449815,30.22
3,30.22,30.22,29.88,29.96,629919,29.96
4,29.9699,30.035,29.85,29.855,544732,29.855
5,29.8599,29.88,29.67,29.68,675257,29.68
6,29.68,29.76,29.57,29.61,476131,29.61
7,29.605,29.67,29.44,29.49,883224,29.49
8,29.49,29.54,29.42,29.469,331576,29.469
9,29.46,29.475,29.32,29.37,299163,29.37
10,29.38,29.405,29.25,29.3,500958,29.3
11,29.3,29.3,29.18,29.2315,504480,29.2315
12,29.23,29.32,29.15,29.15,894968,29.15
13,29.15,29.23,29.15,29.2,328677,29.2
14,29.2,29.21,29.03,29.08,528735,29.08
15,29.08,29.19,29.06,29.085,436785,29.085
16,29.1,29.17,29.09,29.15,253885,29.15
17,29.1599,29.23,29.13,29.22,312767,29.22
18,29.22,29.23,29.12,29.22,461329,29.22
19,29.22,29.24,29.12,29.13,398193,29.13
20,29.13,29.19,29.07,29.0899,427838,29.0899
21,29.085,29.18,29.06,29.17,424729,29.17
22,29.18,29.21,29.08,29.2,539722,29.2
23,29.2,29.24,29.16,29.2,472294,29.2
24,29.205,29.25,29.09,29.23,890250,29.23
25,29.23,29.3,29.19,29.27,1724022,29.27
26,29.33,29.35,29.28,29.35,177046,29.35
27,29.3,29.36,29.14,29.18,619519,29.18
28,29.17,29.325,29.055,29.32,526341,29.32
29,29.31,29.455,29.215,29.31,452132,29.31
30,29.31,29.54,29.31,29.34,482752,29.34
31,29.34,29.38,29.05,29.079,655927,29.079
32,29.08,29.14,29.05,29.06,516593,29.06
33,29.06,29.135,29.015,29.11,264409,29.11
34,29.11,29.29,29.1,29.27,222412,29.27
35,29.26,29.27,29.17,29.17,168022,29.17
36,29.16,29.3,29.16,29.22,241457,29.22
37,29.21,29.345,29.2,29.33,242089,29.33
38,29.33,29.41,29.31,29.35,233405,29.35
39,29.35,29.45,29.35,29.43,174628,29.43
40,29.43,29.5,29.41,29.48,362254,29.48
41,29.48,29.59,29.47,29.58,412657,29.58
42,29.58,29.59,29.52,29.54,212333,29.54
43,29.55,29.59,29.51,29.56,169108,29.56
44,29.5501,29.56,29.4,29.41,220028,29.41
45,29.41,29.5298,29.38,29.5,251718,29.5
46,29.4999,29.55,29.485,29.53,248259,29.53
47,29.53,29.57,29.49,29.51,294312,29.51
48,29.51,29.54,29.43,29.44,352564,29.44
49,29.435,29.49,29.36,29.385,428665,29.385
50,29.385,29.445,29.345,29.35,549184,29.35
51,29.34,29.37,29.2,29.21,779566,29.21
52,29.21,29.3,29.2,29.23,1299713,29.23
53,29.41,29.41,29.3,29.41,106358,29.41
54,29.41,29.52,29.14,29.36,633291,29.36
55,29.39,29.447,29.04,29.07,657758,29.07
56,29.07,29.35,29.07,29.32,565039,29.32
57,29.33,29.46,29.325,29.44,277477,29.44
58,29.44,29.55,29.4,29.52,446876,29.52
59,29.51,29.5401,29.45,29.49,337272,29.49
60,29.49,29.605,29.435,29.48,265237,29.48
61,29.4815,29.485,29.36,29.44,222717,29.44
62,29.44,29.47,29.37,29.44,399947,29.44
63,29.4358,29.465,29.405,29.43,181367,29.43
64,29.43,29.595,29.43,29.59,334200,29.59
65,29.59,29.75,29.585,29.71,855617,29.71
66,29.7175,29.73,29.61,29.69,187185,29.69
67,29.69,29.7,29.62,29.62,130161,29.62
68,29.62,29.65,29.58,29.59,292456,29.59
69,29.595,29.63,29.58,29.58,274830,29.58
70,29.59,29.59,29.55,29.55,286162,29.55
71,29.55,29.61,29.55,29.5558,202082,29.5558
72,29.56,29.57,29.45,29.48,465042,29.48
73,29.48,29.65,29.48,29.57,533060,29.57
74,29.565,29.67,29.545,29.6598,343871,29.6598
