Date,Open,High,Low,Close,Volume,Adj Close
0,33.33,33.41,32.35,32.36,2927103,32.36
1,32.36,32.43,32.18,32.35,3331887,32.35
2,32.345,32.54,32.21,32.43,1880469,32.43
3,32.44,32.44,32.25,32.38,1626802,32.38
4,32.38,32.43,32.25,32.35,1421433,32.35
5,32.3505,32.52,32.29,32.39,1609868,32.39
6,32.385,32.53,32.3,32.44,3285625,32.44
7,31.95,31.98,31.34,31.445,3472597,31.445
8,31.44,31.53,31.22,31.405,3788508,31.405
9,31.405,31.59,31.31,31.465,2221250,31.465
10,31.465,31.47,31.31,31.405,1449531,31.405
11,31.4051,31.47,31.25,31.26,1929371,31.26
12,31.26,31.32,31.075,31.08,2061785,31.08
13,31.08,31.27,31.01,31.26,4566678,31.26
14,30.26,30.71,30.06,30.66,3379446,30.66
15,30.66,30.8,30.495,30.735,2327034,30.735
16,30.735,30.82,30.26,30.27,1783575,30.27
17,30.26,30.37,30.155,30.16,1238151,30.16
18,30.16,30.17,29.875,29.9425,2172514,29.9425
19,29.95,30.24,29.83,30.165,3044906,30.165
20,30.16,30.2,29.825,29.9899,4187556,29.9899
21,30.46,30.7,30.2526,30.411,1648299,30.411
22,30.41,30.475,30.01,30.055,1877565,30.055
23,30.04,30.08,29.845,30.035,1902044,30.035
24,30.04,30.12,29.96,29.98,697034,29.98
25,29.9801,30.06,29.78,29.81,1102173,29.81
26,29.81,29.86,29.52,29.675,1845984,29.675
27,29.66,29.7,29.42,29.53,4673331,29.53
28,30.37,30.48,29.83,29.92,2807522,29.92
29,29.916,30.22,29.86,29.98,2903943,29.98
30,29.97,30.1,29.915,30.08,1795794,30.08
31,30.07,30.19,29.86,29.93,1373997,29.93
32,29.94,29.97,29.69,29.735,1060990,29.735
33,29.739,30.1,29.68,30.03,1361569,30.03
34,30.025,30.4,29.9,30.24,4049142,30.24
35,30.63,30.745,30.35,30.42,1448199,30.42
36,30.42,30.52,30.2,30.3,1873317,30.3
37,30.3,30.36,29.8,29.97,1807925,29.97
38,29.97,30.04,29.83,29.9099,986145,29.9099
39,29.91,30.015,29.84,29.91,1001876,29.91
40,29.91,30.15,29.82,30.125,1145097,30.125
41,30.13,30.37,30.0101,30.32,3530582,30.32
42,31.83,31.9,31.09,31.18,5726664,31.18
43,31.17,31.3,30.88,31.03,4689590,31.03
44,31.03,31.16,30.56,30.57,3150872,30.57
45,30.57,30.68,30.5,30.63,2059191,30.63
46,30.62,30.67,30.09,30.1065,2551591,30.1065
47,30.105,30.52,30.09,30.455,2869162,30.455
48,30.46,30.61,30.3,30.474,5782772,30.474
49,30.81,30.89,29.55,29.585,3298394,29.585
50,29.59,30.53,29.45,30.07,6347994,30.07
51,30.07,30.14,29.71,29.9,3287084,29.9
52,29.9,30.25,29.78,30.14,2444101,30.14
53,30.14,30.496,30.085,30.325,2450566,30.325
54,30.33,30.63,30.2,30.625,2169397,30.625
55,30.62,30.62,30.22,30.29,4273979,30.29
56,29.46,29.68,29.15,29.46,3501119,29.46
57,29.455,29.6,29.28,29.325,2505424,29.325
58,29.3243,29.38,29.18,29.29,2351825,29.29
59,29.28,29.29,28.8,28.975,2747250,28.975
60,28.975,29.42,28.94,29.33,2449340,29.33
61,29.32,29.55,29.1423,29.54,1798016,29.54
62,29.54,29.65,29.39,29.58,3630206,29.58
63,29.93,30.0,29.28,29.5,2259137,29.5
64,29.51,29.725,29.37,29.41,1884575,29.41
65,29.41,29.62,29.25,29.4953,1464903,29.4953
66,29.4922,29.5199,29.225,29.405,1307753,29.405
67,29.41,29.49,29.21,29.27,815603,29.27
68,29.27,29.32,28.91,29.1,2390926,29.1
69,29.1,29.54,29.065,29.4,3810132,29.4
70,28.86,29.0,28.54,28.67,1318580,28.67
71,28.6638,28.7,28.32,28.34,2986158,28.34
72,28.34,28.79,28.325,28.6,1847252,28.6
73,28.61,28.7038,28.35,28.69,1975677,28.69
74,28.7,29.17,28.53,29.15,2453500,29.15
75,29.15,29.36,28.95,29.29,2283807,29.29
76,29.3,29.9,29.23,29.42,6382408,29.42
77,29.46,29.51,29.07,29.33,1122065,29.33
78,29.33,30.135,29.32,29.81,2715704,29.81
79,29.83,29.93,29.58,29.9,1739448,29.9
80,29.91,30.07,29.78,29.8207,1261247,29.8207
81,29.83,29.88,29.33,29.49,1397878,29.49
82,29.49,29.59,29.29,29.58,1793126,29.58
83,29.575,29.7,29.35,29.55,2994246,29.55
84,30.16,30.27,29.7975,30.21,1297755,30.21
85,30.21,30.29,29.67,29.68,2299723,29.68
86,29.68,29.76,29.32,29.37,1990094,29.37
87,29.38,29.405,29.15,29.2,2229083,29.2
88,29.2,29.23,29.03,29.22,1532172,29.22
89,29.22,29.24,29.06,29.17,1712089,29.17
90,29.18,29.3,29.08,29.27,3626288,29.27
91,29.33,29.36,29.055,29.32,1322906,29.32
92,29.31,29.54,29.05,29.06,2107404,29.06
93,29.06,29.3,29.015,29.22,896300,29.22
94,29.21,29.5,29.2,29.48,1012376,29.48
95,29.48,29.59,29.4,29.41,1014126,29.41
96,29.41,29.57,29.38,29.44,1146853,29.44
97,29.435,29.49,29.2,29.23,3057128,29.23
98,29.41,29.52,29.04,29.07,1397407,29.07
99,29.07,29.55,29.07,29.49,1626664,29.49
100,29.49,29.605,29.36,29.43,1069268,29.43
101,29.43,29.75,29.43,29.62,1507163,29.62
102,29.62,29.65,29.55,29.5558,1055530,29.5558
103,29.56,29.68,29.45,29.605,1683827,29.605
104,29.6,29.65,29.47,29.64,1200102,29.64
105,29.72,29.85,29.52,29.58,785526,29.58
106,29.58,29.6,29.3199,29.45,1055987,29.45
107,29.46,29.9,29.415,29.79,1203808,29.79
108,29.79,29.8451,29.5949,29.66,850273,29.66
109,29.66,29.73,29.59,29.7,873990,29.7
110,29.68,29.79,29.25,29.26,1811659,29.26
111,29.26,29.26,29.0,29.21,3509920,29.21
112,29.47,29.48,28.875,28.99,1629638,28.99
113,28.99,29.0,28.43,28.85,2788917,28.85
114,28.85,28.92,28.41,28.41,1957066,28.41
115,28.41,28.86,28.4,28.85,2084243,28.85
116,28.8466,29.04,28.81,28.87,1804762,28.87
117,28.87,29.14,28.865,29.07,1573353,29.07
118,29.06,29.15,28.96,29.01,3052947,29.01
119,29.17,29.27,29.02,29.27,1050693,29.27
120,29.27,29.4,29.1,29.14,1196503,29.14
121,29.14,29.3201,29.14,29.22,1163480,29.22
122,29.23,29.455,29.185,29.38,1033611,29.38
123,29.38,29.3877,29.23,29.23,960904,29.23
124,29.2301,29.43,29.19,29.415,936375,29.415
125,29.41,29.58,29.37,29.55,3827567,29.55
126,29.46,29.57,29.1,29.26,939124,29.26
127,29.25,29.95,29.15,29.93,1989844,29.93
128,29.94,29.94,29.7,29.76,1486178,29.76
129,29.78,29.83,29.67,29.73,381336,29.73
130,29.725,29.855,29.69,29.77,1021383,29.77
131,29.77,29.97,29.67,29.94,1388702,29.94
132,29.95,30.24,29.94,30.11,4286304,30.11
133,29.99,30.19,29.73,29.89,1828313,29.89
134,29.89,29.925,29.16,29.2,2858537,29.2
135,29.19,29.36,29.0,29.02,3117283,29.02
136,29.025,29.25,28.87,29.16,1864482,29.16
137,29.16,29.4,29.08,29.245,2005243,29.245
138,29.25,29.46,29.235,29.455,2779654,29.455
139,29.455,29.67,29.36,29.65,5974396,29.65
140,30.1,30.25,28.76,29.1,3793286,29.1
141,29.09,29.16,28.18,28.79,5690924,28.79
142,28.78,28.79,28.28,28.53,2907368,28.53
143,28.525,28.815,28.4099,28.79,2520010,28.79
144,28.79,28.83,28.31,28.32,2100154,28.32
145,28.32,28.94,28.3,28.8,3228839,28.8
146,28.795,29.04,28.735,28.94,4886810,28.94
147,28.94,28.94,28.1,28.3,2617475,28.3
148,28.3063,29.21,28.245,29.09,4094115,29.09
149,29.08,29.09,28.45,28.46,2567305,28.46
150,28.46,28.75,28.42,28.66,1794525,28.66
151,28.65,28.8,28.4,28.485,1378219,28.485
152,28.48,28.62,28.34,28.51,1665751,28.51
153,28.51,28.65,28.42,28.63,3211982,28.63
154,28.67,29.05,28.54,29.04,1559044,29.04
155,29.0444,29.12,28.63,28.76,1723568,28.76
156,28.77,28.93,28.51,28.84,1681546,28.84
157,28.83,29.2,28.83,28.93,2011076,28.93
158,28.92,29.03,28.57,28.72,1228036,28.72
159,28.711,28.76,28.52,28.54,1340216,28.54
160,28.54,28.61,28.415,28.5269,2697659,28.5269
161,28.28,28.48,28.1,28.21,1243647,28.21
162,28.21,28.71,28.2,28.35,3130803,28.35
163,28.37,28.39,28.05,28.175,2018814,28.175
164,28.1777,28.61,28.17,28.575,1938738,28.575
165,28.5749,28.63,28.18,28.2199,1300258,28.2199
166,28.21,28.45,28.2,28.43,1231314,28.43
167,28.43,28.839,28.4,28.68,5553331,28.68
168,28.13,28.87,28.05,28.33,2667621,28.33
169,28.33,28.6801,28.17,28.23,4765183,28.23
170,28.23,28.49,28.22,28.27,1763243,28.27
171,28.27,28.3,27.93,27.942,2209592,27.942
172,27.94,27.9972,27.77,27.93,1633890,27.93
173,27.92,28.13,27.9,28.04,2019779,28.04
174,28.04,28.25,27.82,27.88,3989438,27.88
175,28.12,28.3301,27.93,28.27,1865232,28.27
176,28.27,28.64,28.09,28.11,2489510,28.11
177,28.12,28.23,27.78,27.89,1831035,27.89
178,27.9,28.005,27.87,27.96,1526308,27.96
179,27.97,27.99,27.87,27.9,822847,27.9
180,27.895,28.04,27.71,27.74,1998365,27.74
181,27.74,27.96,27.69,27.71,3390240,27.71
182,27.48,27.95,27.14,27.88,2051110,27.88
183,27.88,28.09,27.2215,27.2501,2707290,27.2501
184,27.26,27.4358,27.03,27.09,2344573,27.09
185,27.09,27.17,26.92,27.01,2633455,27.01
186,27.0,27.0801,26.925,26.96,2128459,26.96
187,26.96,27.139,26.69,27.03,3578024,27.03
188,27.03,27.05,26.78,26.89,5644728,26.89
189,27.23,27.395,27.07,27.215,1742129,27.215
190,27.215,27.385,27.05,27.16,1816732,27.16
191,27.16,27.54,27.155,27.36,1222833,27.36
192,27.36,27.51,27.35,27.41,923352,27.41
193,27.4,27.45,27.2508,27.345,882260,27.345
194,27.34,27.57,27.3301,27.54,946517,27.54
195,27.53,27.74,27.52,27.7,2276943,27.7
196,28.0,28.11,27.76,27.93,1395117,27.93
197,27.93,28.03,27.77,27.965,1296097,27.965
198,27.9699,28.29,27.96,28.275,1468141,28.275
199,28.275,28.4,28.07,28.19,975379,28.19
200,28.19,28.27,28.135,28.27,607813,28.27
201,28.2699,28.37,28.25,28.315,1324367,28.315
202,28.32,28.59,28.31,28.58,4304020,28.58
203,28.86,28.93,28.7,28.905,1321345,28.905
204,28.905,29.33,28.88,29.28,2464655,29.28
