Date,Open,High,Low,Close,Volume,Adj Close
0,748.76,748.96,748.3,748.96,38597,748.96
1,748.175,749.01,744.2,749.01,67955,749.01
2,754.5499,754.57,747.9852,748.32,63007,748.32
3,755.135,755.98,754.12,754.51,69603,754.51
4,757.33,757.33,753.31,755.41,45701,755.41
5,757.73,758.4,756.86,757.3,41904,757.3
6,758.43,759.47,757.01,757.55,85331,757.55
7,755.045,758.52,755.045,758.37,35378,758.37
8,754.66,756.82,754.66,755.4,40614,755.4
9,753.3,756.19,753.09,755.17,24251,755.17
10,754.55,754.65,752.21,753.12,23069,753.12
11,754.7775,756.73,754.53,754.99,19002,754.99
12,754.825,755.68,754.35,755.0,14616,755.0
13,754.08,754.78,753.0,754.595,30705,754.595
14,754.23,754.44,752.63,753.94,17717,753.94
15,754.845,754.845,753.4,754.33,20795,754.33
16,756.11,756.11,754.156,754.815,12023,754.815
17,755.215,757.0,754.42,756.44,12132,756.44
18,757.56,757.75,755.59,755.66,37239,755.66
19,759.53,759.73,757.74,757.75,27591,757.75
20,758.84,760.0,758.5,759.52,13020,759.52
21,758.123,759.0314,757.7,758.88,8503,758.88
22,755.96,758.76,755.95,758.4,12306,758.4
23,757.56,757.77,755.95,756.15,27226,756.15
24,757.505,758.0,755.4511,757.42,13253,757.42
25,759.88,760.125,757.51,757.51,34268,757.51
26,758.49,760.4,758.49,759.89,20957,759.89
27,759.54,759.84,758.24,758.9799,14870,758.9799
28,759.61,760.39,758.76,760.0,11548,760.0
29,763.08,763.86,759.84,760.11,36428,760.11
30,762.6175,764.145,762.2,763.16,32949,763.16
31,762.95,763.5599,762.3501,762.749,26927,762.749
32,762.88,763.5759,762.71,763.4299,12831,763.4299
33,764.04,764.15,763.1,763.13,18894,763.13
34,765.0,765.105,764.22,764.32,31976,764.32
35,764.105,765.01,763.72,764.74,27765,764.74
36,763.9,764.68,763.01,764.09,38576,764.09
37,762.675,764.4,762.5501,763.82,18507,763.82
38,762.57,763.73,762.475,762.68,23173,762.68
39,761.35,762.88,761.27,762.44,18217,762.44
40,763.3,763.45,761.15,761.34,11999,761.34
41,763.335,764.0,763.2,763.45,9869,763.45
42,762.3001,763.8616,762.16,763.335,19680,763.335
43,760.99,762.59,760.33,762.1418,8559,762.1418
44,761.42,762.0,760.685,761.08,33272,761.08
45,760.415,761.82,760.05,761.37,15894,761.37
46,760.065,760.862,759.93,760.55,9262,760.55
47,759.36,760.56,759.0,760.56,29759,760.56
48,759.96,759.96,759.08,759.51,20290,759.51
49,759.92,760.285,759.39,759.97,21473,759.97
50,760.8818,760.8818,759.86,760.01,15567,760.01
51,763.2925,763.2925,760.97,760.97,15958,760.97
52,762.285,763.83,762.08,763.355,33601,763.355
53,761.575,762.41,761.1844,762.41,27257,762.41
54,760.85,761.625,760.82,761.34,40970,761.34
55,760.0,761.01,759.45,760.9,25039,760.9
56,760.0,760.08,759.35,760.0,9008,760.0
57,759.99,760.115,759.09,759.77,10439,759.77
58,760.445,760.55,759.58,759.96,33942,759.96
59,759.95,761.6099,759.835,760.63,31213,760.63
60,760.41,761.11,760.06,760.36,28310,760.36
61,760.3054,761.34,760.05,761.03,10158,761.03
62,759.62,760.65,759.47,760.2,37429,760.2
63,759.25,759.9,759.11,759.61,14745,759.61
64,759.25,760.2,759.24,759.5125,15586,759.5125
65,758.292,759.83,758.15,759.42,16143,759.42
66,757.33,758.42,756.42,758.33,22770,758.33
67,758.44,758.7284,757.2901,757.4122,15533,757.4122
68,759.32,759.41,758.16,758.48,16122,758.48
69,761.05,761.05,759.05,759.33,23618,759.33
70,760.93,761.79,759.9408,761.18,19959,761.18
71,760.75,761.07,760.016,760.72,25702,760.72
72,761.27,761.89,760.678,760.678,22190,760.678
73,761.01,761.75,760.98,761.425,20224,761.425
74,761.06,761.77,760.88,761.11,32053,761.11
75,761.205,761.708,760.87,760.95,42153,760.95
76,761.07,761.42,760.39,761.15,59388,761.15
77,761.04,761.77,760.65,761.0,90478,761.0
