Date,Open,High,Low,Close,Volume,Adj Close
0,731.0,731.53,731.0,731.53,29881,731.53
1,731.555,731.88,726.8,730.99,48932,730.99
2,737.5,738.46,731.7,731.74,62618,731.74
3,739.36,740.0,737.5,737.9999,78823,737.9999
4,742.13,742.4,737.51,739.49,57363,739.49
5,742.29,743.22,741.39,742.25,58048,742.25
6,741.93,744.13,741.0,742.04,53519,742.04
7,738.0,741.7,737.69,741.6,57094,741.6
8,737.5,739.9,737.5,737.99,46704,737.99
9,735.1,738.77,735.1,737.48,29278,737.48
10,736.05,736.44,733.63,735.04,43413,735.04
11,736.89,738.49,736.01,736.0843,19831,736.0843
12,737.334,737.99,736.7,737.0,10991,737.0
13,736.14,736.96,735.51,736.9221,21595,736.9221
14,735.57,736.52,734.3,736.21,30582,736.21
15,735.87,736.22,734.74,735.74,20474,735.74
16,737.1699,737.21,735.09,736.36,31358,736.36
17,736.174,738.0,735.53,737.18,27117,737.18
18,738.15,738.2,735.82,736.11,19423,736.11
19,739.3213,739.7,738.0901,738.53,24020,738.53
20,738.62,739.94,738.27,739.375,15319,739.375
21,738.535,738.6773,737.41,738.5,16078,738.5
22,735.14,738.46,735.14,738.31,16167,738.31
23,736.71,737.0499,735.1201,735.1201,9686,735.1201
24,736.94,737.44,734.87,736.6,14026,736.6
25,739.7899,739.7899,737.26,737.27,11696,737.27
26,738.1631,739.87,737.85,739.4,15015,739.4
27,738.8,739.22,737.52,737.86,15445,737.86
28,739.1,739.8,738.11,739.2,12280,739.2
29,742.95,743.69,739.18,739.4,41353,739.4
30,742.65,743.8,742.27,742.62,23267,742.62
31,743.3,743.5,742.33,742.46,11970,742.46
32,743.14,743.7999,742.559,743.52,13529,743.52
33,744.0,744.09,743.07,743.15,16402,743.15
34,744.6,744.9899,744.1,744.16,28864,744.16
35,743.39,744.74,742.68,744.56,23151,744.56
36,743.26,744.4,742.69,743.68,9588,743.68
37,742.75,743.8978,742.48,743.27,8941,743.27
38,743.345,743.93,742.73,742.73,12246,742.73
39,742.2775,743.43,742.03,743.43,10128,743.43
40,743.13,743.35,741.94,742.0,12747,742.0
41,743.1999,743.84,742.65,743.13,7085,743.13
42,742.705,743.72,742.61,743.2,8214,743.2
43,741.55,743.02,740.8409,742.91,12034,742.91
44,741.66,742.46,741.46,741.78,10660,741.78
45,740.875,742.46,740.55,741.51,14580,741.51
46,740.825,741.35,740.39,740.85,6788,740.85
47,740.28,741.21,740.11,741.21,7282,741.21
48,740.46,740.73,739.6401,740.4547,7451,740.4547
49,740.063,740.85,739.87,740.64,14052,740.64
50,740.34,740.64,739.81,740.185,19522,740.185
51,743.51,743.51,740.38,740.45,10767,740.45
52,742.0,743.455,741.8,743.445,20717,743.445
53,740.83,742.0,740.705,742.0,19340,742.0
54,740.68,741.17,740.39,740.87,11104,740.87
55,739.38,740.59,738.81,740.41,16892,740.41
56,739.6,739.86,738.69,739.3925,5512,739.3925
57,739.21,740.0,738.34,739.71,12588,739.71
58,740.68,740.81,739.34,739.34,17244,739.34
59,740.47,741.56,740.246,740.74,9950,740.74
60,740.72,741.12,740.16,740.45,25674,740.45
61,740.17,741.33,739.8,740.6,26589,740.6
62,739.14,740.23,738.81,740.105,40043,740.105
63,738.56,739.29,738.42,738.96,34678,738.96
64,738.906,739.75,738.42,738.84,27215,738.84
65,737.05,739.1928,736.84,738.94,24350,738.94
66,736.2,737.215,735.0,737.21,27790,737.21
67,737.2,737.82,736.33,736.33,25816,736.33
68,738.34,738.42,737.2,737.215,12429,737.215
69,739.8,739.8,738.09,738.29,17299,738.29
70,739.85,741.105,738.8901,739.75,22120,739.75
71,740.69,740.69,739.67,739.68,10497,739.68
72,741.14,742.0499,740.51,740.51,19795,740.51
73,740.87,741.41,740.26,741.1232,19139,741.1232
74,741.0,741.75,740.87,740.92,25067,740.92
75,740.315,741.47,740.158,741.11,48475,741.11
76,741.03,741.76,740.0001,740.33,40261,740.33
77,741.98,743.2,741.04,741.37,61860,741.37
78,742.95,742.95,740.54,741.99,616668,741.99
79,750.72,750.72,750.0,750.46,31322,750.46
80,746.75,751.6,746.2,750.42,86619,750.42
81,747.0,749.6,745.0,746.2,50676,746.2
