Date,Open,High,Low,Close,Volume,Adj Close
0,40.06,40.25,40.02,40.25,593969,40.25
1,39.96,40.11,39.9,40.0672,659199,40.0672
2,40.03,40.085,39.8499,39.95,693006,39.95
3,40.19,40.24,39.99,40.02,360962,40.02
4,40.32,40.36,40.18,40.209,310965,40.209
5,40.1801,40.36,40.17,40.325,447091,40.325
6,40.46,40.465,40.1358,40.18,560943,40.18
7,40.4101,40.43,40.24,40.26,466677,40.26
8,40.545,40.57,40.35,40.42,524067,40.42
9,40.64,40.72,40.54,40.54,489640,40.54
10,40.55,40.635,40.43,40.6315,231557,40.6315
11,40.66,40.72,40.5,40.56,284345,40.56
12,40.7,40.755,40.62,40.6699,394512,40.6699
13,40.69,40.72,40.59,40.7,504497,40.7
14,40.26,40.28,40.03,40.2,420561,40.2
15,40.22,40.31,40.13,40.25,326793,40.25
16,40.3601,40.47,40.18,40.23,348868,40.23
17,40.34,40.4572,40.29,40.37,263528,40.37
18,40.19,40.3499,40.19,40.34,196601,40.34
19,40.05,40.34,40.0415,40.19,362954,40.19
20,40.255,40.26,40.031,40.05,456694,40.05
21,39.428,39.49,39.15,39.25,903535,39.25
22,39.4101,39.56,39.256,39.42,537601,39.42
23,39.25,39.445,39.15,39.41,495945,39.41
24,39.15,39.28,39.13,39.23,337524,39.23
25,39.04,39.17,38.96,39.15,459147,39.15
26,39.12,39.225,39.01,39.035,448596,39.035
27,39.01,39.13,38.93,39.115,707543,39.115
28,40.17,40.19,40.02,40.11,739831,40.11
29,40.09,40.22,40.06,40.17,1305437,40.17
30,39.89,40.19,39.74,40.09,766343,40.09
31,39.9,40.05,39.88,39.8972,295850,39.8972
32,39.78,39.96,39.755,39.9,295348,39.9
33,39.63,39.81,39.6038,39.78,494651,39.78
34,39.435,39.71,39.38,39.62,936466,39.62
35,39.5,39.83,39.46,39.73,656595,39.73
36,39.22,39.57,39.19,39.49,805200,39.49
37,39.26,39.37,39.14,39.22,657079,39.22
38,39.14,39.28,39.04,39.27,432956,39.27
39,38.9749,39.17,38.865,39.145,376192,39.145
40,39.09,39.14,38.93,38.98,367758,38.98
41,39.29,39.42,38.96,39.09,834180,39.09
42,39.38,39.56,39.3799,39.45,420365,39.45
43,39.24,39.44,39.15,39.38,546337,39.38
44,39.25,39.32,39.09,39.23,476743,39.23
45,39.09,39.34,39.08,39.2501,329667,39.2501
46,39.135,39.26,39.08,39.08,247479,39.08
47,39.3435,39.37,38.9399,39.1372,398800,39.1372
48,39.46,39.49,39.23,39.35,866312,39.35
49,40.04,40.22,39.96,40.07,419077,40.07
50,39.91,40.09,39.75,40.04,697555,40.04
51,39.805,40.019,39.77,39.91,534925,39.91
52,39.7371,39.93,39.71,39.8,189061,39.8
53,39.5331,39.82,39.51,39.73,317666,39.73
54,39.32,39.6,39.15,39.5372,585208,39.5372
55,39.16,39.36,39.12,39.32,545676,39.32
56,39.45,39.67,39.41,39.6,571392,39.6
57,39.83,39.95,39.395,39.46,632223,39.46
58,39.91,39.9728,39.71,39.83,569512,39.83
59,40.05,40.112,39.83,39.93,554181,39.93
60,40.28,40.3172,40.04,40.04,308052,40.04
61,40.3699,40.38,40.16,40.28,337357,40.28
62,40.27,40.42,40.19,40.37,627361,40.37
63,39.04,39.2472,38.81,38.88,583022,38.88
64,39.125,39.33,38.97,39.03,755257,39.03
65,38.97,39.15,38.85,39.12,966463,39.12
66,38.87,38.97,38.6,38.95,697898,38.95
67,38.93,38.96,38.76,38.87,468562,38.87
68,39.11,39.11,38.8127,38.92,440403,38.92
69,38.89,39.1,38.84,39.1,718949,39.1
70,39.54,39.88,39.51,39.86,787739,39.86
71,39.43,39.61,39.424,39.53,892992,39.53
72,39.39,39.5168,39.35,39.43,649014,39.43
73,39.28,39.3962,39.19,39.39,297310,39.39
74,39.2592,39.36,39.24,39.28,273363,39.28
75,38.98,39.27,38.92,39.26,365035,39.26
76,39.27,39.4,38.95,38.97,520173,38.97
77,38.71,38.9699,38.65,38.92,503562,38.92
78,38.395,38.8399,38.3885,38.745,845716,38.745
79,38.34,38.58,38.3,38.38,718000,38.38
80,38.36,38.37,37.97,38.34,730074,38.34
81,38.66,38.73,38.241,38.36,375250,38.36
82,38.79,38.88,38.56,38.66,477049,38.66
83,38.96,39.21,38.7475,38.79,867994,38.79
84,38.51,38.89,38.4,38.79,686705,38.79
85,38.73,38.97,38.5,38.5,571808,38.5
86,39.12,39.14,38.68,38.74,627882,38.74
87,39.21,39.295,39.13,39.13,355648,39.13
88,39.13,39.32,39.04,39.219,286767,39.219
89,39.08,39.1599,38.86,39.145,426805,39.145
90,39.05,39.22,38.93,39.09,658455,39.09
91,39.94,39.96,39.73,39.78,490393,39.78
92,39.7899,40.06,39.78,39.94,701735,39.94
93,39.83,39.955,39.75,39.78,480110,39.78
94,39.98,39.99,39.83,39.83,176730,39.83
95,40.07,40.0801,39.92,39.9772,234206,39.9772
96,40.03,40.1,39.955,40.07,284719,40.07
97,40.035,40.05,39.91,40.035,474745,40.035
98,40.08,40.21,39.99,40.14,330004,40.14
99,40.09,40.21,39.99,40.07,335738,40.07
100,40.05,40.12,39.865,40.08,419326,40.08
101,40.14,40.15,39.98,40.05,254158,40.05
102,40.03,40.24,40.03,40.1361,235327,40.1361
103,39.96,40.0599,39.8701,40.02,381248,40.02
104,39.68,39.99,39.635,39.96,527431,39.96
105,40.132,40.5,40.09,40.48,926080,40.48
106,40.5,40.63,40.135,40.14,916674,40.14
107,40.52,40.67,40.5,40.5,591064,40.5
108,40.74,40.79,40.53,40.53,318848,40.53
109,40.72,40.82,40.695,40.75,234170,40.75
110,40.7,40.77,40.61,40.71,300683,40.71
111,40.85,40.85,40.655,40.7,414966,40.7
112,40.9,41.1,40.87,41.05,558950,41.05
113,40.845,40.9199,40.635,40.91,529064,40.91
114,41.01,41.08,40.68,40.845,526580,40.845
115,41.05,41.13,40.99,41.0,218373,41.0
116,41.05,41.14,40.97,41.04,217336,41.04
117,40.615,41.14,40.591,41.05,409094,41.05
118,40.605,40.61,40.35,40.61,616425,40.61
119,40.41,40.57,40.34,40.53,433221,40.53
120,40.32,40.4026,39.94,40.4026,913905,40.4026
121,40.51,40.89,40.32,40.33,1514391,40.33
122,40.73,40.84,40.475,40.48,496417,40.48
123,40.56,40.79,40.56,40.7222,439426,40.7222
124,40.61,40.7901,40.56,40.56,452352,40.56
125,40.64,40.71,40.56,40.61,786457,40.61
126,40.78,40.94,40.53,40.53,405880,40.53
127,40.44,40.8,40.41,40.78,630092,40.78
128,40.96,41.0,40.44,40.45,690589,40.45
129,41.08,41.1,40.91,40.965,316227,40.965
130,41.17,41.19,41.02,41.0722,409840,41.0722
131,41.04,41.1889,41.02,41.1651,559581,41.1651
