Date,Open,High,Low,Close,Volume,Adj Close
0,182.85,183.5,182.38,183.28,127819,183.28
1,183.1,183.4,182.67,182.93,173083,182.93
2,183.25,183.53,183.1,183.13,118672,183.13
3,183.17,183.37,183.06,183.23,108355,183.23
4,183.09,183.419,182.81,183.17,108311,183.17
5,183.12,183.25,182.99,183.08,89325,183.08
6,182.02,183.18,181.84,183.1246,365487,183.1246
7,181.5639,181.62,180.26,181.16,145209,181.16
8,180.89,181.7099,180.43,181.5355,214735,181.5355
9,182.0,182.094,180.77,180.9,196772,180.9
10,182.58,182.885,181.81,182.01,126959,182.01
11,182.48,182.58,181.95,182.51,84983,182.51
12,181.42,182.52,181.15,182.51,116882,182.51
13,180.07,181.4806,180.03,181.44,316407,181.44
14,175.255,176.345,173.76,175.79,534583,175.79
15,174.61,175.83,174.54,175.33,505446,175.33
16,175.65,175.85,174.1,174.58,346104,174.58
17,176.13,176.23,175.3,175.6,266214,175.6
18,176.58,176.87,175.9102,176.12,312747,176.12
19,175.6,176.73,175.44,176.57,308435,176.57
20,177.09,177.19,175.01,175.6,608154,175.6
21,175.44,177.5,175.44,176.71,295749,176.71
22,174.91,175.6,174.08,175.5,540488,175.5
23,173.345,175.02,173.26,174.89,432080,174.89
24,173.28,173.43,172.92,173.38,493910,173.38
25,174.1,174.28,173.19,173.28,469527,173.28
26,173.84,174.35,173.7349,174.1,372063,174.1
27,174.1,174.19,172.98,173.83,1074968,173.83
28,171.83,172.02,169.5,171.31,623209,171.31
29,171.275,171.97,170.6805,171.82,576566,171.82
30,170.7937,171.77,170.6988,171.28,495672,171.28
31,170.57,171.1,170.43,170.76,316013,170.76
32,170.52,170.9,170.27,170.6,330999,170.6
33,169.195,171.0658,169.1401,170.5866,523718,170.5866
34,169.98,170.84,169.1,169.2,1223211,169.2
35,167.43,168.67,166.085,166.67,833749,166.67
36,168.79,169.5,166.85,167.46,712187,167.46
37,167.6068,169.16,167.417,168.83,338733,168.83
38,167.11,167.76,167.0,167.61,299813,167.61
