Date,Open,High,Low,Close,Volume,Adj Close
0,68.21,68.21,67.8,68.0,76029,68.0
1,68.89,69.44,67.75,67.83,226004,67.83
2,68.69,69.04,68.61,69.02,45605,69.02
3,68.9,69.0,68.57,68.67,34514,68.67
4,68.99,69.16,68.73,68.91,57420,68.91
5,69.51,69.67,68.95,68.99,43178,68.99
6,69.24,69.47,69.04,69.47,75018,69.47
7,69.28,69.43,69.05,69.17,55193,69.17
8,69.3,69.38,68.95,69.25,63297,69.25
9,69.36,69.39,69.26,69.3,97986,69.3
10,69.92,69.93,69.34,69.365,130527,69.365
11,69.82,69.98,69.82,69.92,133476,69.92
12,69.85,69.95,69.69,69.84,151240,69.84
13,69.81,69.97,69.77,69.86,46749,69.86
14,70.355,70.36,69.8,69.805,56986,69.805
15,70.0901,70.4,70.06,70.355,57338,70.355
16,70.31,70.41,70.08,70.09,118672,70.09
17,69.85,70.29,69.82,70.29,37676,70.29
18,69.91,69.99,69.82,69.9,28560,69.9
19,70.34,70.34,69.93,69.93,18573,69.93
20,70.05,70.4,70.05,70.34,136951,70.34
21,70.3,70.42,70.07,70.1,147392,70.1
22,69.99,70.31,69.98,70.3,141587,70.3
23,70.03,70.11,69.99,70.0,49862,70.0
24,69.8,70.035,69.78,70.035,54139,70.035
25,69.84,69.84,69.62,69.8,50332,69.8
26,69.77,69.94,69.65,69.83,26272,69.83
27,69.9,69.905,69.78,69.79,16267,69.79
28,70.0,70.12,69.88,69.92,72351,69.92
29,69.96,70.11,69.95,69.98,76636,69.98
30,69.93,70.01,69.93,69.96,22695,69.96
31,69.88,69.935,69.76,69.935,21703,69.935
32,69.88,70.04,69.86,69.91,18155,69.91
33,70.04,70.04,69.86,69.87,13093,69.87
34,70.3,70.33,69.98,70.06,42826,70.06
35,70.33,70.45,70.302,70.33,32358,70.33
36,70.08,70.35,70.08,70.346,31061,70.346
37,70.18,70.19,70.06,70.0967,13530,70.0967
38,70.42,70.46,70.186,70.186,10724,70.186
39,70.42,70.52,70.41,70.46,11380,70.46
40,70.38,70.43,70.32,70.43,16417,70.43
41,70.57,70.57,70.4,70.4,16589,70.4
42,70.62,70.66,70.5449,70.57,21861,70.57
43,70.586,70.7,70.52,70.6198,35791,70.6198
44,70.46,70.6,70.42,70.56,27583,70.56
45,70.64,70.66,70.44,70.44,39628,70.44
46,70.86,70.89,70.64,70.66,48281,70.66
47,71.03,71.07,70.86,70.86,35835,70.86
48,71.215,71.27,70.98,71.05,50182,71.05
49,71.13,71.24,71.105,71.23,99675,71.23
50,70.9901,71.19,70.96,71.14,96284,71.14
51,71.02,71.09,70.94,71.0,40490,71.0
52,71.01,71.03,70.865,71.01,98013,71.01
53,70.71,71.02,70.7,71.02,29484,71.02
54,70.73,70.79,70.67,70.71,47298,70.71
55,70.63,70.75,70.59,70.73,19949,70.73
56,70.41,70.67,70.41,70.64,16977,70.64
57,70.48,70.57,70.4,70.42,42892,70.42
58,70.45,70.52,70.395,70.48,66207,70.48
59,70.43,70.535,70.4225,70.455,52855,70.455
60,70.32,70.46,70.275,70.43,60142,70.43
61,70.09,70.32,70.03,70.32,43346,70.32
62,69.99,70.135,69.96,70.0874,62995,70.0874
63,69.93,70.035,69.93,69.99,75151,69.99
64,70.0,70.06,69.93,69.94,85448,69.94
65,69.82,70.02,69.81,70.01,66408,70.01
66,69.705,69.82,69.66,69.82,58696,69.82
67,69.71,69.76,69.67,69.705,116857,69.705
68,69.7,69.72,69.64,69.72,87970,69.72
69,69.86,69.92,69.68,69.69,51758,69.69
70,69.76,69.85,69.71,69.85,51999,69.85
71,69.795,69.8,69.71,69.76,56664,69.76
72,69.93,69.97,69.76,69.79,74977,69.79
73,69.9,69.965,69.78,69.91,56286,69.91
74,69.81,69.96,69.8,69.91,69057,69.91
75,69.8,69.85,69.69,69.81,179014,69.81
76,69.79,69.84,69.735,69.78,189723,69.78
77,69.71,69.815,69.69,69.78,244188,69.78
78,69.589,69.74,69.55,69.71,434880,69.71
79,69.7999,69.9899,69.29,69.45,38932,69.45
80,70.28,70.44,69.6801,69.6801,44029,69.6801
81,69.78,70.44,69.62,70.32,31664,70.32
82,69.5414,69.85,69.46,69.78,179624,69.78
83,69.82,69.895,69.18,69.555,101442,69.555
84,69.9,70.045,69.71,69.78,36025,69.78
85,69.58,70.045,69.55,70.0,41733,70.0
86,70.37,70.37,69.55,69.58,68488,69.58
87,70.04,70.46,70.04,70.425,56248,70.425
88,70.12,70.19,69.82,70.01,53766,70.01
89,69.95,70.408,69.95,70.1,77756,70.1
90,69.795,70.04,69.71,69.94,75763,69.94
91,70.08,70.24,69.73,69.77,54381,69.77
92,70.08,70.29,70.06,70.07,43349,70.07
93,70.33,70.36,69.99,70.09,143115,70.09
94,70.76,70.78,70.27,70.32,139818,70.32
95,70.52,70.81,70.5,70.78,26338,70.78
96,70.8,70.87,70.54,70.54,37890,70.54
97,70.51,70.79,70.44,70.79,29925,70.79
98,70.49,70.635,70.49,70.51,26991,70.51
99,70.58,70.59,70.4,70.49,37407,70.49
100,70.53,70.62,70.51,70.59,24223,70.59
101,70.43,70.59,70.39,70.53,30797,70.53
102,70.75,70.75,70.46,70.46,26319,70.46
103,70.69,70.77,70.54,70.76,31918,70.76
104,70.96,70.96,70.68,70.69,98508,70.69
105,70.86,70.97,70.86,70.97,41793,70.97
106,70.81,70.99,70.81,70.8534,55703,70.8534
107,70.99,71.03,70.66,70.82,75819,70.82
108,71.0,71.04,70.83,71.0,52338,71.0
109,70.96,71.12,70.94,71.03,15215,71.03
110,70.7,70.99,70.53,70.9556,30759,70.9556
111,70.85,70.89,70.71,70.71,11462,70.71
112,70.83,70.87,70.64,70.86,21340,70.86
113,70.7,70.84,70.68,70.81,12525,70.81
114,70.77,70.78,70.75,70.75,1506,70.75
115,70.76,70.85,70.75,70.78,17843,70.78
116,70.87,70.87,70.75,70.77,20675,70.77
117,70.99,71.0,70.83,70.86,8610,70.86
118,70.92,70.99,70.83,70.99,13548,70.99
119,70.68,70.9,70.66,70.9,10914,70.9
120,70.59,70.73,70.54,70.69,10710,70.69
121,70.74,70.86,70.48,70.6,11162,70.6
122,70.57,70.79,70.53,70.79,9000,70.79
123,70.56,70.75,70.51,70.6,11279,70.6
124,70.74,70.74,70.51,70.61,12792,70.61
125,70.81,70.92,70.78,70.78,9724,70.78
126,71.06,71.08,70.835,70.86,10172,70.86
127,70.76,71.07,70.73,71.07,243650,71.07
128,70.84,70.93,70.7,70.78,15463,70.78
129,70.85,71.0,70.83,70.8625,8129,70.8625
130,71.18,71.18,70.83,70.84,18215,70.84
131,70.95,71.1999,70.92,71.18,13291,71.18
132,71.14,71.17,70.93,70.96,14984,70.96
133,71.1525,71.2,71.1,71.145,16687,71.145
134,70.85,71.1797,70.85,71.13,18491,71.13
135,70.81,70.9236,70.74,70.85,21920,70.85
136,70.88,70.96,70.715,70.81,11329,70.81
137,70.87,70.96,70.78,70.88,20365,70.88
138,71.06,71.07,70.85,70.89,77157,70.89
139,71.05,71.1,70.99,71.08,20225,71.08
140,71.12,71.14,70.98,71.05,28096,71.05
141,71.1,71.23,71.09,71.13,22072,71.13
142,71.01,71.11,70.97,71.11,18451,71.11
143,71.0264,71.05,70.94,71.02,22279,71.02
144,71.17,71.3,71.01,71.02,28666,71.02
145,71.28,71.41,71.17,71.18,67025,71.18
146,71.18,71.29,71.15,71.29,52644,71.29
147,71.11,71.23,70.99,71.17,28229,71.17
148,71.44,71.46,71.08,71.1,43512,71.1
149,71.46,71.51,71.4,71.45,40006,71.45
150,71.48,71.48,71.385,71.45,60759,71.45
151,71.33,71.5,71.29,71.48,148420,71.48
152,71.14,71.43,71.13,71.33,81338,71.33
153,71.29,71.38,71.11,71.122,112627,71.122
154,71.04,71.29,70.99,71.29,264559,71.29
155,71.0,71.07,70.93,71.03,231004,71.03
156,71.02,71.14,70.99,71.0,182103,71.0
157,70.485,70.59,70.32,70.55,68354,70.55
158,70.55,70.77,70.45,70.53,18160,70.53
159,70.21,70.53,69.875,70.53,15257,70.53
160,70.1768,70.25,70.05,70.23,14844,70.23
161,70.24,70.31,69.99,70.13,12302,70.13
162,70.4,70.54,70.1,70.23,13807,70.23
163,70.617,70.67,70.19,70.4,12849,70.4
164,70.98,71.01,70.57,70.61,50485,70.61
165,70.52,71.0,70.455,70.96,57110,70.96
166,70.63,70.77,70.44,70.51,20560,70.51
167,70.58,70.65,70.47,70.62,45322,70.62
168,70.8,70.82,70.45,70.55,16951,70.55
169,70.68,70.9,70.67,70.79,122829,70.79
170,70.68,70.7526,70.46,70.68,25907,70.68
171,70.94,70.98,70.62,70.67,14141,70.67
172,71.31,71.31,70.86,70.94,61090,70.94
173,71.44,71.44,71.26,71.31,36356,71.31
174,71.35,71.5,71.32,71.44,37534,71.44
175,71.51,71.54,71.29,71.35,30425,71.35
176,71.73,71.78,71.48,71.49,44369,71.49
177,71.825,71.86,71.67,71.72,44735,71.72
178,71.91,71.99,71.79,71.82,131845,71.82
179,71.84,71.925,71.72,71.91,79497,71.91
180,71.83,71.96,71.76,71.86,130904,71.86
181,72.13,72.21,71.82,71.83,84687,71.83
182,72.21,72.25,72.0,72.14,57333,72.14
183,72.11,72.22,72.0,72.2,39182,72.2
184,72.1,72.15,71.995,72.105,80441,72.105
185,72.14,72.16,71.96,72.09,41457,72.09
186,72.03,72.165,71.99,72.135,40770,72.135
187,71.98,72.05,71.96,72.03,90814,72.03
188,71.82,72.035,71.78,71.97,155673,71.97
189,71.745,71.83,71.58,71.83,66577,71.83
190,71.81,71.9,71.73,71.745,89106,71.745
191,72.0,72.04,71.79,71.8,36699,71.8
192,71.99,72.02,71.795,72.0,21602,72.0
193,71.93,72.11,71.92,71.99,21356,71.99
194,72.31,72.32,71.9488,71.9488,18339,71.9488
195,72.35,72.39,72.22,72.3,21765,72.3
196,72.25,72.45,72.25,72.36,19510,72.36
197,72.33,72.37,72.22,72.22,23336,72.22
198,72.37,72.38,72.25,72.35,41536,72.35
199,72.04,72.37,71.985,72.37,46934,72.37
200,72.07,72.22,72.02,72.03,35237,72.03
201,72.08,72.24,72.068,72.068,25869,72.068
202,72.07,72.12,71.99,72.08,17100,72.08
203,72.075,72.08,71.92,72.06,19517,72.06
204,72.34,72.373,72.06,72.06,22691,72.06
205,72.22,72.33,72.16,72.33,18873,72.33
206,72.02,72.23,72.02,72.2,48717,72.2
207,72.05,72.11,71.98,72.02,20721,72.02
208,72.0,72.06,71.98,72.04,23231,72.04
209,72.03,72.07,71.96,71.99,32676,71.99
210,71.99,72.07,71.94,72.03,47224,72.03
211,72.03,72.09,71.96,72.0,33869,72.0
212,72.0,72.07,71.975,72.01,35661,72.01
213,72.06,72.09,71.95,72.0,47876,72.0
214,72.0237,72.17,72.02,72.05,15143,72.05
215,71.91,72.02,71.89,72.0,20198,72.0
216,71.81,71.99,71.75,71.9,27049,71.9
217,71.89,71.9006,71.76,71.82,18532,71.82
218,71.99,72.02,71.81,71.87,24703,71.87
219,71.96,72.01,71.89,72.01,12092,72.01
220,71.93,71.94,71.8631,71.93,13356,71.93
221,71.995,72.03,71.89,71.93,41145,71.93
222,71.985,72.02,71.97,72.0,28421,72.0
223,71.995,72.03,71.95,71.99,62418,71.99
224,71.995,72.03,71.97,72.0,52195,72.0
225,71.86,71.995,71.82,71.995,31366,71.995
226,72.01,72.02,71.8315,71.8315,29882,71.8315
227,72.02,72.05,71.98,72.0,100657,72.0
228,71.96,72.04,71.92,72.01,104593,72.01
229,72.03,72.12,71.91,71.97,74202,71.97
230,72.015,72.1,71.99,72.02,122522,72.02
231,71.98,72.06,71.94,72.01,101137,72.01
232,72.01,72.02,71.88,71.97,97143,71.97
233,71.975,72.01,71.86,71.99,98253,71.99
234,71.99,72.03,71.89,71.98,212892,71.98
235,72.49,72.68,72.15,72.58,25113,72.58
236,72.25,72.71,72.09,72.31,35101,72.31
237,72.04,72.38,71.8,72.3,59457,72.3
238,71.3121,72.1,71.25,72.065,44368,72.065
239,71.25,71.44,70.89,71.295,36654,71.295
240,71.15,71.6,70.96,71.33,24106,71.33
241,70.95,71.36,70.95,71.1,49884,71.1
242,70.86,71.075,70.8,70.91,32896,70.91
243,70.09,71.03,69.97,70.81,104007,70.81
244,69.59,70.16,69.55,70.1,63923,70.1
245,69.665,69.74,69.57,69.61,106150,69.61
246,69.66,69.68,69.42,69.68,107415,69.68
247,69.25,69.68,69.14,69.655,114976,69.655
248,69.05,69.26,68.76,69.23,66769,69.23
249,69.105,69.11,68.595,69.04,88057,69.04
250,69.4,69.46,69.08,69.08,49487,69.08
251,69.17,69.585,69.12,69.37,50951,69.37
252,69.19,69.3,69.01,69.15,39854,69.15
253,69.35,69.72,69.18,69.18,25780,69.18
254,69.39,69.52,69.21,69.32,127333,69.32
255,69.06,69.415,68.89,69.365,38645,69.365
256,69.45,69.45,68.92,69.04,30174,69.04
257,69.72,69.75,69.43,69.45,74869,69.45
258,69.45,69.92,69.43,69.71,81040,69.71
259,69.8,69.875,69.4,69.42,28015,69.42
260,69.53,69.81,69.46,69.77,106424,69.77
261,69.89,69.94,69.42,69.53,46746,69.53
262,69.96,70.06,69.86,69.87,55475,69.87
263,69.92,70.06,69.89,69.98,31459,69.98
264,69.82,70.01,69.76,69.94,27503,69.94
265,70.06,70.06,69.83,69.83,17089,69.83
