Date,Open,High,Low,Close,Volume,Adj Close
0,65.63,66.11,65.2,65.69,396915,65.69
1,65.27,66.03,65.18,65.61,551711,65.61
2,65.72,65.72,65.07,65.28,367687,65.28
3,65.51,65.88,65.5,65.71,220695,65.71
4,65.92,66.14,65.52,65.52,283476,65.52
5,66.01,66.3197,65.9,65.91,303364,65.91
6,66.3,66.36,65.76,66.01,1098738,66.01
7,66.685,66.93,66.14,66.56,218441,66.56
8,66.18,67.0,65.79,66.69,478746,66.69
9,66.31,66.48,66.16,66.18,410739,66.18
10,66.33,66.37,66.13,66.3,314081,66.3
11,66.36,66.62,66.0,66.33,434445,66.33
12,66.51,66.62,66.32,66.37,371591,66.37
13,66.46,66.64,66.28,66.51,922986,66.51
14,65.78,66.1125,65.41,65.49,377492,65.49
15,65.765,65.87,65.49,65.77,517575,65.77
16,66.15,66.53,65.765,65.78,488884,65.78
17,65.99,66.25,65.97,66.16,310270,66.16
18,65.37,66.06,65.33,65.99,194714,65.99
19,65.16,65.78,65.14,65.35,448773,65.35
20,65.99,66.04,65.15,65.15,901514,65.15
21,65.285,65.45,64.49,65.14,234210,65.14
22,65.19,65.51,64.95,65.285,432927,65.285
23,64.705,65.235,64.59,65.16,346231,65.16
24,64.49,64.77,64.07,64.69,450764,64.69
25,63.94,64.52,63.85,64.5001,340707,64.5001
26,64.545,64.64,63.6,63.93,677353,63.93
27,64.31,64.67,64.2,64.545,914911,64.545
28,65.435,65.55,64.45,64.48,288140,64.48
29,64.24,65.41,64.18,65.41,250159,65.41
30,64.14,64.44,63.63,64.29,307531,64.29
31,64.96,64.96,64.17,64.17,269766,64.17
32,64.44,65.04,64.26,64.95,413054,64.95
33,64.6,65.01,64.42,64.44,405105,64.44
34,64.27,64.805,63.98,64.6,1175643,64.6
35,67.94,69.11,67.64,68.7,1752451,68.7
36,68.1,68.505,67.48,67.94,1158040,67.94
37,69.36,69.46,67.73,68.04,1325978,68.04
38,68.31,69.44,67.86,69.35,658356,69.35
39,67.57,68.35,67.48,68.3,628428,68.3
40,67.74,68.12,67.35,67.61,499223,67.61
41,67.81,68.18,67.4,67.73,1405798,67.73
42,68.76,69.01,67.92,68.51,353409,68.51
43,67.735,68.83,67.2,68.77,855504,68.77
44,67.48,67.9,66.76,67.72,617142,67.72
45,66.02,67.71,65.96,67.47,597441,67.47
46,65.79,66.45,65.69,66.04,207883,66.04
47,66.32,66.45,65.51,65.81,419975,65.81
48,66.65,66.9,65.84,66.32,1032466,66.32
49,67.7,67.91,66.0,66.6,425183,66.6
50,67.3,68.02,67.04,67.64,1087207,67.64
51,67.24,67.84,67.1,67.29,619110,67.29
52,65.98,67.3,65.94,67.24,256366,67.24
53,64.2,66.02,64.17,65.97,687926,65.97
54,64.19,64.44,63.6,64.205,650182,64.205
55,64.95,65.07,63.89,64.21,2126461,64.21
56,64.63,65.6299,64.54,65.06,391472,65.06
57,65.98,66.47,64.59,64.63,1083228,64.63
58,65.58,66.07,64.94,65.99,335747,65.99
59,65.79,66.06,65.19,65.58,220983,65.58
60,65.75,66.35,65.7,65.8,521150,65.8
61,65.61,65.76,65.04,65.75,417975,65.75
62,65.11,65.745,64.995,65.6,1235105,65.6
63,64.16,65.37,63.67,63.7,362097,63.7
64,64.26,65.08,63.8,64.14,583428,64.14
65,63.7,64.39,63.58,64.26,1018594,64.26
66,63.75,63.87,63.09,63.7,787663,63.7
67,63.99,64.09,63.44,63.75,501711,63.75
68,63.92,64.0,63.18,63.9511,736785,63.9511
69,64.23,64.37,63.68,63.92,965251,63.92
70,64.57,65.4,63.79,64.94,254442,64.94
71,64.78,65.5289,64.61,64.62,373872,64.62
72,64.21,64.85,64.17,64.78,272990,64.78
73,63.97,64.24,63.73,64.23,214632,64.23
74,63.63,64.19,63.61,64.0,189608,64.0
75,62.8725,63.65,62.47,63.62,603460,63.62
76,63.46,63.79,62.6,62.8725,1954236,62.8725
77,61.68,63.11,61.14,62.44,570173,62.44
78,60.69,61.83,60.63,61.625,571657,61.625
79,60.88,61.37,60.64,60.73,585120,60.73
80,60.99,61.04,60.07,60.88,621420,60.88
81,62.15,62.6399,60.91,61.0,635701,61.0
82,62.32,62.59,61.81,62.15,338183,62.15
83,62.82,63.54,62.17,62.32,749089,62.32
84,63.73,63.95,62.37,62.99,332821,62.99
85,63.88,65.39,63.665,63.75,789790,63.75
86,64.88,65.03,63.88,63.93,458516,63.93
87,64.35,65.31,64.23,64.91,272622,64.91
88,63.965,64.71,63.735,64.39,223370,64.39
89,64.24,64.35,63.45,63.95,276038,63.95
90,64.02,64.37,63.73,64.23,518397,64.23
91,66.81,66.85,64.73,64.82,834970,64.82
92,65.4244,66.96,65.27,66.82,864934,66.82
93,65.7,65.94,64.68,65.4,604260,65.4
94,66.24,66.32,65.5,65.71,196619,65.71
95,65.66,66.23,65.55,66.23,232760,66.23
96,65.71,66.0,65.5,65.645,273157,65.645
97,65.84,65.98,65.53,65.69,679871,65.69
98,65.78,66.47,65.38,65.75,123081,65.75
99,65.71,66.1,65.35,65.77,250661,65.77
100,65.775,65.97,65.41,65.68,194403,65.68
101,65.92,66.08,65.57,65.79,190039,65.79
102,65.54,66.15,65.49,65.92,199491,65.92
103,65.98,66.0,65.4701,65.55,230717,65.55
104,65.6,66.02,65.49,65.9854,495052,65.9854
105,65.44,66.6,65.39,65.72,213774,65.72
106,65.83,66.78,65.47,65.47,373753,65.47
107,66.84,66.96,65.83,65.83,395086,65.83
108,67.04,67.21,66.82,66.85,200483,66.85
109,67.04,67.26,67.0,67.05,115603,67.05
110,67.1,67.16,66.74,67.04,238206,67.04
111,66.96,67.29,66.84,67.1,278058,67.1
112,67.68,68.21,66.93,66.94,286499,66.94
113,67.98,68.18,67.23,67.67,656586,67.67
114,68.15,68.22,67.85,67.96,356642,67.96
115,67.64,68.66,67.64,68.155,301061,68.155
116,67.97,68.25,67.56,67.63,240839,67.63
117,67.42,68.14,67.28,67.97,824750,67.97
118,67.47,67.63,67.01,67.42,755210,67.42
119,69.55,70.39,68.56,68.79,599730,68.79
120,68.44,69.7,67.32,69.52,1128575,69.52
121,67.77,69.22,67.77,68.43,456868,68.43
122,67.355,68.24,67.17,67.76,345451,67.76
123,66.554,67.52,66.52,67.35,531839,67.35
124,66.89,67.38,66.31,66.51,550776,66.51
125,67.5,67.58,66.83,66.88,1094135,66.88
126,69.24,69.67,67.75,68.0,557768,68.0
127,69.91,70.41,68.95,69.17,977700,69.17
128,69.93,70.42,69.62,69.93,813057,69.93
129,70.62,70.66,69.76,69.935,249697,69.935
130,70.73,71.27,70.42,70.6198,648544,70.6198
131,69.705,70.75,69.66,70.73,651066,70.73
