Date,Open,High,Low,Close,Volume,Adj Close
0,162.16,162.16,162.16,162.16,14051,162.16
1,164.812,166.89,162.16,163.98,61975,163.98
2,165.565,165.7,164.11,164.8331,60877,164.8331
3,166.605,167.3,165.435,165.67,172942,165.67
4,166.72,167.12,166.275,166.5,32164,166.5
5,166.822,167.36,166.37,166.68,30058,166.68
6,166.4,166.97,166.07,166.8,25156,166.8
7,166.08,166.4,165.74,166.16,25150,166.16
8,166.56,166.56,165.7003,165.955,34955,165.955
9,165.735,166.72,165.735,166.66,46103,166.66
10,166.015,166.16,165.74,165.74,27522,165.74
11,166.0,166.035,165.69,166.035,9431,166.035
12,165.735,165.97,165.43,165.97,22146,165.97
13,165.68,166.14,165.68,165.98,16402,165.98
14,165.08,165.78,165.04,165.78,30291,165.78
15,164.63,165.2431,164.27,165.13,53000,165.13
16,164.84,165.115,164.68,164.705,32152,164.705
17,164.79,165.2,164.705,164.91,24183,164.91
18,164.73,165.05,164.7,164.79,17572,164.79
19,164.13,164.93,164.01,164.79,9452,164.79
20,163.76,164.1,163.6977,164.07,13862,164.07
21,163.375,163.9899,163.26,163.73,18883,163.73
22,164.03,164.038,163.19,163.42,46556,163.42
23,164.1325,164.38,163.825,163.97,21303,163.97
24,163.81,164.1,163.46,164.1,139152,164.1
25,164.8,164.8,163.78,163.82,80606,163.82
26,163.99,165.52,163.97,164.79,153497,164.79
27,162.84,162.84,162.84,162.84,8222,162.84
28,162.45,164.72,162.24,164.72,28276,164.72
29,161.62,163.37,161.17,162.28,106723,162.28
30,161.96,162.16,161.52,161.89,38563,161.89
31,160.46,161.95,160.0,161.94,44336,161.94
32,159.36,160.595,159.33,160.37,75783,160.37
33,157.83,159.43,157.77,159.43,56708,159.43
34,159.24,159.33,157.87,158.15,17462,158.15
35,158.72,159.25,158.35,159.19,114985,159.19
36,159.08,159.27,158.77,158.83,24028,158.83
37,158.94,159.25,158.63,159.25,20975,159.25
38,158.45,159.195,158.03,159.14,16343,159.14
39,157.855,158.51,157.45,158.38,33913,158.38
40,158.42,158.6,157.73,157.98,27630,157.98
41,158.69,159.06,157.75,158.11,25399,158.11
42,159.09,159.32,158.475,158.52,45361,158.52
43,159.98,160.006,158.84,159.205,62944,159.205
44,161.03,161.03,159.82,159.94,81959,159.94
45,162.3,162.3,160.8101,160.8101,13937,160.8101
46,163.24,163.24,161.9,162.27,13663,162.27
47,163.74,164.05,162.9,162.98,27225,162.98
48,163.025,163.91,162.37,163.91,55728,163.91
49,162.8599,163.16,162.24,162.97,40861,162.97
50,163.38,163.44,162.64,162.85,12095,162.85
51,166.0,166.1,163.2552,163.2552,97653,163.2552
52,165.4,166.2,165.4,166.04,46758,166.04
53,164.78,165.47,164.16,165.28,58601,165.28
54,165.64,165.64,165.64,165.64,6965,165.64
55,163.9894,166.58,163.5,166.58,55569,166.58
56,163.86,164.64,163.3,163.7,25482,163.7
57,166.0,166.4,163.53,163.87,20090,163.87
58,165.15,166.23,165.15,165.89,14891,165.89
59,165.6722,166.01,165.46,165.46,15009,165.46
60,165.29,165.75,165.24,165.45,14014,165.45
61,165.35,165.98,164.75,164.79,9299,164.79
62,164.945,165.8,164.89,165.4,13330,165.4
63,164.98,165.67,164.82,165.04,18699,165.04
64,165.42,165.42,164.6401,164.93,22128,164.93
65,166.155,166.28,165.195,165.28,11945,165.28
66,166.0591,166.41,165.814,166.18,7738,166.18
67,165.47,165.95,165.47,165.92,11184,165.92
68,165.835,165.985,165.41,165.41,5600,165.41
69,166.28,166.435,165.78,165.83,13068,165.83
70,166.31,166.48,165.96,166.24,15807,166.24
71,166.975,167.08,166.0,166.06,19565,166.06
72,166.35,167.24,166.18,167.09,11806,167.09
73,166.03,166.6,165.74,166.45,31341,166.45
74,166.165,166.17,165.315,165.99,24597,165.99
75,166.47,166.67,166.13,166.24,9659,166.24
76,166.21,166.44,165.865,166.42,6992,166.42
77,166.42,166.42,165.55,166.355,12901,166.355
78,166.35,166.59,166.08,166.5299,18737,166.5299
79,166.65,166.99,166.35,166.35,12346,166.35
80,166.1,166.78,166.06,166.52,38065,166.52
81,167.44,167.44,167.44,167.44,5990,167.44
82,166.5,168.23,165.925,166.9499,42514,166.9499
83,167.035,167.58,166.19,166.75,39896,166.75
84,166.88,167.3199,166.48,167.03,12500,167.03
85,166.56,167.3,166.43,167.066,10410,167.066
