Date,Open,High,Low,Close,Volume,Adj Close
0,285.82,286.3521,285.71,285.99,12099,285.99
1,286.0,286.44,281.735,284.19,167540,284.19
2,284.19,287.96,282.74,287.89,194098,287.89
3,287.695,288.33,286.05,288.32,154631,288.32
4,288.365,289.17,286.0,286.61,181784,286.61
5,286.48,287.71,285.27,286.56,50759,286.56
6,286.74,286.91,284.665,284.69,39719,284.69
7,284.95,285.66,284.3,285.37,30387,285.37
8,285.46,287.1099,285.0,286.95,113112,286.95
9,286.974,287.12,285.2601,285.59,42900,285.59
10,285.4,286.25,284.45,285.06,20809,285.06
11,285.25,286.5,285.25,286.16,17511,286.16
12,286.24,287.25,285.63,286.66,21680,286.66
13,286.36,286.74,285.52,286.316,18264,286.316
14,286.319,287.52,286.0,287.212,17590,287.212
15,287.08,287.08,285.77,286.48,31588,286.48
16,286.67,287.13,286.15,286.39,33828,286.39
17,286.44,286.87,286.05,286.6,43176,286.6
18,286.571,287.77,286.5398,287.67,28659,287.67
19,287.49,288.79,287.11,288.79,83315,288.79
20,288.7799,288.79,287.5,287.56,74697,287.56
21,287.46,288.154,286.54,287.205,53392,287.205
22,287.16,287.65,286.69,287.18,30823,287.18
23,287.29,287.4299,286.185,286.51,66369,286.51
24,286.25,286.88,285.86,286.88,113259,286.88
25,286.8899,287.805,286.0,287.57,165135,287.57
26,287.57,288.3,286.97,288.02,202034,288.02
27,287.03,287.03,286.99,287.0,11249,287.0
28,286.41,288.32,284.65,288.2,122695,288.2
29,288.06,289.78,286.28,286.46,144198,286.46
30,286.3,289.51,286.15,288.18,69312,288.18
31,288.108,290.28,287.43,289.3,91371,289.3
32,289.055,289.87,287.79,288.14,48925,288.14
33,288.15,289.91,287.74,288.0,29426,288.0
34,288.08,289.1999,287.54,288.125,23615,288.125
35,288.1,289.085,287.88,288.6,30214,288.6
36,288.775,289.47,287.65,288.0025,22399,288.0025
37,287.98,290.53,287.96,289.77,35006,289.77
38,289.21,289.68,288.5,288.51,14219,288.51
39,288.4401,289.446,288.377,288.377,24292,288.377
40,288.57,289.32,288.21,289.0087,13981,289.0087
41,288.7285,288.99,288.1822,288.28,20412,288.28
42,288.6,289.83,288.5,289.83,34039,289.83
43,289.51,290.23,288.89,288.89,29014,288.89
44,288.784,289.66,288.08,288.08,9585,288.08
45,288.01,288.3118,286.8,286.945,51308,286.945
46,286.77,287.6299,286.2,286.686,52276,286.686
47,286.72,287.06,285.3,286.39,83019,286.39
48,286.26,286.84,285.51,285.8732,39292,285.8732
49,286.06,287.69,285.88,287.4364,71341,287.4364
50,287.54,288.69,285.58,285.66,50034,285.66
51,285.7496,285.8,283.33,284.48,153253,284.48
52,284.56,284.78,283.22,283.41,72426,283.41
53,283.56,284.1799,282.92,283.2,141072,283.2
54,283.86,284.1075,283.8,284.1075,6708,284.1075
55,284.3,284.6099,280.0,281.54,290990,281.54
56,281.47,281.47,275.8,276.4099,285567,276.4099
57,276.2316,281.72,276.2316,280.4,225962,280.4
58,280.36,281.655,279.6201,280.35,77437,280.35
59,280.12,282.07,279.55,281.485,67422,281.485
60,281.5588,281.5588,279.0,279.415,49104,279.415
61,279.14,281.645,279.05,280.3,89215,280.3
62,280.3,281.09,279.09,281.015,92765,281.015
63,280.6,280.91,279.935,280.54,70308,280.54
64,280.53,281.26,280.18,280.625,37180,280.625
65,280.8,282.33,280.8,281.6675,119654,281.6675
66,281.54,282.886,281.0901,282.3,50163,282.3
67,282.3,283.39,282.256,283.13,24254,283.13
68,283.29,283.795,282.25,283.42,27283,283.42
69,283.297,284.34,283.29,283.7,34113,283.7
70,283.8,284.8,283.41,284.47,56467,284.47
71,284.36,284.85,283.67,283.77,30381,283.77
72,283.62,283.895,283.03,283.23,22380,283.23
73,283.0156,283.21,282.06,283.065,41758,283.065
74,283.08,283.775,282.54,282.54,24375,282.54
75,282.51,282.6645,280.93,282.11,36089,282.11
76,282.135,282.49,280.99,281.67,29224,281.67
