Date,Open,High,Low,Close,Volume,Adj Close
0,135.35,135.91,135.1,135.6,557658,135.6
1,134.78,135.41,134.73,135.35,718639,135.35
2,134.6001,134.925,134.5,134.78,624362,134.78
3,135.06,135.16,134.24,134.6,401269,134.6
4,135.39,135.63,134.99,135.07,375254,135.07
5,135.01,135.41,134.76,135.38,339189,135.38
6,135.94,135.97,134.55,135.02,964824,135.02
7,136.1,136.89,135.8,136.76,365730,136.76
8,135.83,136.25,135.35,136.08,443365,136.08
9,135.38,135.9432,135.01,135.84,404254,135.84
10,135.41,135.42,134.8501,135.39,331310,135.39
11,135.69,135.87,135.2,135.4,253035,135.4
12,135.65,136.16,135.44,135.6901,384218,135.6901
13,135.84,135.982,135.35,135.66,588041,135.66
14,134.97,135.03,133.62,134.38,453406,134.38
15,134.99,135.3,134.55,134.96,478145,134.96
16,135.007,135.515,134.93,134.992,350859,134.992
17,135.29,135.58,134.79,135.01,223625,135.01
18,134.88,135.38,134.88,135.28,302822,135.28
19,134.47,135.37,134.38,134.89,489974,134.89
20,135.21,135.26,134.24,134.45,979880,134.45
21,134.595,134.68,133.46,133.7,689068,133.7
22,134.855,135.02,134.14,134.58,976160,134.58
23,134.17,135.0156,134.06,134.88,425172,134.88
24,133.68,134.24,133.665,134.15,499403,134.15
25,132.77,133.72,132.43,133.695,792752,133.695
26,132.74,133.24,132.47,132.76,608770,132.76
27,132.74,133.24,132.52,132.75,1311774,132.75
28,132.95,133.75,132.431,133.18,504846,133.18
29,132.99,133.34,132.18,132.92,540966,132.92
30,133.22,133.25,132.24,132.9501,378621,132.9501
31,133.01,133.816,132.97,133.2281,316665,133.2281
32,132.39,133.15,132.25,132.99,434717,132.99
33,132.22,132.71,131.93,132.38,420749,132.38
34,131.56,132.52,131.32,132.22,997392,132.22
35,132.14,132.49,131.76,131.81,383927,131.81
36,132.78,133.475,132.08,132.11,633359,132.11
37,133.35,133.67,132.64,132.75,461895,132.75
38,133.3,133.4,132.68,133.37,411255,133.37
39,132.72,133.59,132.37,133.33,429964,133.33
40,132.8,133.18,132.54,132.74,504014,132.74
41,133.27,133.82,132.42,132.83,1023273,132.83
42,132.16,133.78,132.15,133.65,756429,133.65
