Date,Close,High,Low,Open,Volume,Adj Close
2015-12-18 10:30:00,136.65,136.76,135.98,136.24,2692193,136.65
2015-12-18 11:30:00,136.61,136.92,136.255,136.643,692583,136.61
2015-12-18 12:30:00,136.14,136.69,136.01,136.61,433084,136.14
2015-12-18 13:30:00,134.68,136.045,134.29,136.045,696481,134.68
2015-12-18 14:30:00,135.77,135.79,134.64,134.7,384858,135.77
2015-12-18 15:30:00,135.07,135.76,134.856,135.76,455492,135.07
2015-12-18 16:00:00,135.07,135.52,135.07,135.16,280529,135.07
2015-12-21 10:30:00,135.13,135.625,134.87,135.49,851901,135.13
2015-12-21 11:30:00,134.357,135.32,134.141,135.22,552719,134.357
2015-12-21 12:30:00,134.15,134.44,134.03,134.31,426753,134.15
2015-12-21 13:30:00,134.65,134.7,134.18,134.24,267025,134.65
2015-12-21 14:30:00,134.674,134.83,134.51,134.71,354823,134.674
2015-12-21 15:30:00,134.977,134.977,134.51,134.63,362978,134.977
2015-12-21 16:00:00,135.48,135.48,134.93,134.99,902203,135.48
2015-12-22 10:30:00,136.87,136.87,135.876,135.98,662553,136.87
2015-12-22 11:30:00,136.98,137.058,136.65,136.88,348687,136.98
2015-12-22 12:30:00,137.376,137.42,137.015,137.04,427870,137.376
2015-12-22 13:30:00,137.94,137.98,137.37,137.41,347719,137.94
2015-12-22 14:30:00,137.89,138.12,137.87,137.87,426897,137.89
2015-12-22 15:30:00,138.11,138.18,137.93,137.93,551346,138.11
2015-12-22 16:00:00,137.941,138.12,137.8,138.08,473685,137.941
2015-12-23 10:30:00,138.64,139.22,138.4,138.4,665110,138.64
2015-12-23 11:30:00,139.23,139.25,138.54,138.68,963849,139.23
2015-12-23 12:30:00,138.84,139.28,138.84,139.24,460033,138.84
2015-12-23 13:30:00,138.33,138.83,138.25,138.777,353324,138.33
2015-12-23 14:30:00,138.61,138.75,138.214,138.28,338557,138.61
2015-12-23 15:30:00,138.399,138.68,138.37,138.61,440287,138.399
2015-12-23 16:00:00,138.47,138.51,138.21,138.35,644029,138.47
2015-12-24 10:30:00,138.53,138.85,138.392,138.5,370338,138.53
2015-12-24 11:30:00,138.203,138.57,138.133,138.57,294320,138.203
2015-12-24 12:30:00,138.48,138.48,138.145,138.21,288503,138.48
2015-12-24 13:30:00,138.25,138.61,138.22,138.48,355083,138.25
2015-12-28 10:30:00,137.45,137.968,137.238,137.7,419753,137.45
2015-12-28 11:30:00,137.17,137.56,137.09,137.437,384036,137.17
2015-12-28 12:30:00,136.98,137.29,136.98,137.13,235252,136.98
2015-12-28 13:30:00,137.014,137.125,136.58,137.01,364796,137.014
2015-12-28 14:30:00,137.18,137.28,136.87,137.06,288674,137.18
2015-12-28 15:30:00,137.58,137.582,137.17,137.19,281512,137.58
2015-12-28 16:00:00,137.55,137.63,137.43,137.544,314427,137.55
2015-12-29 10:30:00,139.512,139.6,138.58,138.58,633157,139.512
2015-12-29 11:30:00,139.69,139.72,139.327,139.53,478608,139.69
2015-12-29 12:30:00,139.84,139.88,139.39,139.7,301057,139.84
2015-12-29 13:30:00,139.71,139.77,139.39,139.735,311708,139.71
2015-12-29 14:30:00,139.892,139.96,139.68,139.72,273581,139.892
2015-12-29 15:30:00,139.82,140.06,139.74,139.74,502139,139.82
2015-12-29 16:00:00,139.7,139.86,139.7,139.82,512172,139.7
2015-12-30 10:30:00,140.11,140.231,139.27,139.27,460671,140.11
2015-12-30 11:30:00,139.93,140.418,139.842,140.07,418962,139.93
2015-12-30 12:30:00,139.98,140.153,139.791,139.791,215986,139.98
2015-12-30 13:30:00,140.284,140.425,139.96,139.98,221419,140.284
2015-12-30 14:30:00,140.27,140.37,140.21,140.267,292845,140.27
2015-12-30 15:30:00,140.082,140.31,140.07,140.31,348291,140.082
2015-12-30 16:00:00,139.34,139.97,139.32,139.97,474845,139.34
2015-12-31 10:30:00,138.347,138.91,138.3,138.63,508775,138.347
2015-12-31 11:30:00,138.08,138.465,138.08,138.2,363808,138.08
2015-12-31 12:30:00,138.89,138.89,137.96,138.08,453600,138.89
2015-12-31 13:30:00,138.39,138.84,138.19,138.84,217312,138.39
2015-12-31 14:30:00,138.083,138.64,138.024,138.31,230899,138.083
2015-12-31 15:30:00,137.96,138.14,137.89,138.061,320547,137.96
2015-12-31 16:00:00,137.57,138.1,137.57,137.97,378208,137.57
2016-01-04 10:30:00,135.17,135.83,134.979,135.32,960667,135.17
2016-01-04 11:30:00,134.77,135.33,134.535,135.14,668741,134.77
2016-01-04 12:30:00,134.6,134.75,134.285,134.73,501667,134.6
2016-01-04 13:30:00,135.47,135.573,134.47,134.58,393099,135.47
2016-01-04 14:30:00,135.24,135.6,135.0,135.49,294357,135.24
2016-01-04 15:30:00,134.69,135.26,134.57,135.26,452012,134.69
2016-01-04 16:00:00,135.9,135.9,134.747,134.755,527309,135.9
2016-01-05 10:30:00,135.5,136.72,135.5,136.49,608412,135.5
2016-01-05 11:30:00,135.07,136.0,135.06,135.4,433010,135.07
2016-01-05 12:30:00,135.13,135.43,134.87,135.06,332191,135.13
2016-01-05 13:30:00,135.33,135.42,134.999,135.11,305983,135.33
2016-01-05 14:30:00,136.03,136.14,135.28,135.31,274905,136.03
2016-01-05 15:30:00,135.71,135.97,135.36,135.97,394840,135.71
2016-01-05 16:00:00,135.85,135.93,135.59,135.68,380001,135.85
2016-01-06 10:30:00,135.17,135.21,133.69,134.24,713174,135.17
2016-01-06 11:30:00,135.2,135.48,134.65,135.04,440267,135.2
2016-01-06 12:30:00,135.19,135.29,134.8,135.12,259756,135.19
