Date,Open,High,Low,Close,Volume,Adj Close
0,191.625,196.47,191.5,194.9,83405,194.9
1,191.445,192.25,190.73,191.5,122644,191.5
2,191.78,191.95,190.96,191.41,85338,191.41
3,190.84,191.98,190.5,191.73,106559,191.73
4,191.62,191.8,190.39,190.86,38599,190.86
5,191.89,192.35,191.5,191.63,53458,191.63
6,191.07,192.45,190.39,191.8,160571,191.8
7,193.14,193.57,189.485,190.02,87273,190.02
8,193.62,193.74,191.84,193.0175,96817,193.0175
9,193.2,193.85,192.96,193.62,68717,193.62
10,193.72,194.155,192.995,193.2,57855,193.2
11,193.19,194.225,192.41,193.77,58971,193.77
12,193.29,193.55,192.36,193.2563,40506,193.2563
13,191.945,193.67,191.72,193.22,334235,193.22
14,187.38,188.25,186.64,187.65,104581,187.65
15,183.85,187.73,183.63,187.25,297101,187.25
16,183.57,184.6899,182.59,183.83,262516,183.83
17,183.04,183.56,182.85,183.4,127157,183.4
18,182.75,183.54,182.59,183.04,233800,183.04
19,180.23,182.73,179.88,182.73,334486,182.73
20,181.28,182.11,180.034,180.22,787674,180.22
21,179.31,182.98,179.0,181.78,187808,181.78
22,179.5378,180.2,177.07,179.27,289638,179.27
23,177.21,179.96,177.02,179.625,160337,179.625
24,178.41,178.89,176.83,177.37,128280,177.37
25,178.77,178.98,177.795,178.37,193993,178.37
26,177.33,178.87,177.26,178.62,156644,178.62
27,178.0,178.37,177.242,177.34,489359,177.34
28,175.37,177.8299,175.08,176.17,82108,176.17
29,179.49,179.94,175.0,175.37,158099,175.37
30,179.78,180.02,178.6115,179.49,142486,179.49
31,179.54,180.07,179.2,179.55,84083,179.55
32,177.32,179.77,177.23,179.718,61242,179.718
33,175.5,178.85,175.5,177.24,139088,177.24
34,177.56,178.74,175.3,175.5,251472,175.5
35,171.9,174.415,168.79,170.9,460548,170.9
36,172.2501,172.948,170.06,171.975,294386,171.975
37,169.56,172.68,168.88,172.3999,202831,172.3999
38,168.99,170.1,168.5542,169.55,182035,169.55
39,168.98,169.64,167.03,168.89,139182,168.89
40,168.07,169.85,167.2,168.73,218028,168.73
41,167.72,169.23,167.392,168.03,462851,168.03
42,170.51,172.36,168.74,168.74,145168,168.74
