Date,Open,High,Low,Close,Volume,Adj Close
0,55.52,55.75,55.34,55.45,63027,55.45
1,55.4,55.58,55.27,55.515,111340,55.515
2,55.74,55.74,55.38,55.4,88661,55.4
3,55.64,55.8234,55.64,55.74,69581,55.74
4,55.69,55.71,55.48,55.64,71511,55.64
5,55.58,55.69,55.495,55.69,165202,55.69
6,55.3,55.6,55.29,55.58,289518,55.58
7,54.58,54.65,53.98,54.4,249752,54.4
8,54.47,54.97,54.22,54.59,293075,54.59
9,54.6,54.65,54.25,54.46,186153,54.46
10,54.6096,54.65,54.3,54.59,252746,54.59
11,54.85,54.95,54.56,54.6,203855,54.6
12,54.93,55.13,54.82,54.85,316421,54.85
13,55.14,55.22,54.75,54.94,693495,54.94
14,55.21,55.7,55.19,55.31,150439,55.31
15,55.195,55.25,54.9,55.23,273588,55.23
16,54.88,55.22,54.82,55.2,213742,55.2
17,54.58,54.88,54.42,54.88,192135,54.88
18,54.59,54.72,54.42,54.58,329596,54.58
19,54.71,54.81,54.47,54.59,241213,54.59
20,54.56,54.7595,54.43,54.71,639361,54.71
21,53.82,54.07,53.56,53.76,248101,53.76
22,53.62,54.21,53.62,53.84,350587,53.84
23,53.47,53.9,53.41,53.64,261026,53.64
24,53.45,53.58,53.385,53.47,168749,53.47
25,53.3,53.53,53.29,53.44,277149,53.44
26,53.05,53.5,53.03,53.29,249726,53.29
27,53.38,53.46,53.03,53.05,507404,53.05
28,52.1,52.56,51.575,52.31,270911,52.31
29,52.42,52.51,52.05,52.08,298697,52.08
30,52.23,52.485,52.21,52.44,169988,52.44
31,52.0348,52.3,52.01,52.22,144529,52.22
32,51.99,52.0701,51.76,52.04,263949,52.04
33,51.9,52.07,51.86,51.99,361570,51.99
34,51.8,52.02,51.6,51.9,460745,51.9
35,52.12,52.24,51.86,52.08,120517,52.08
36,51.9,52.12,51.79,52.12,208890,52.12
37,51.97,52.02,51.6,51.9,152605,51.9
38,52.0,52.205,51.93,51.96,145476,51.96
39,51.78,52.06,51.76,52.01,178670,52.01
40,51.74,51.94,51.67,51.79,196779,51.79
41,51.29,51.82,51.19,51.74,491784,51.74
42,51.42,51.93,51.28,51.6,176968,51.6
43,51.47,51.9061,51.38,51.42,418402,51.42
44,51.24,51.46,51.04,51.46,258486,51.46
45,51.21,51.27,51.08,51.25,166915,51.25
46,51.02,51.25,50.94,51.22,200501,51.22
47,51.245,51.34,50.95,51.02,252085,51.02
48,51.49,51.69,51.09,51.25,474418,51.25
49,52.39,52.61,51.98,52.04,250926,52.04
50,51.8,52.39,51.59,52.39,156917,52.39
51,51.755,51.87,51.41,51.79,195721,51.79
52,51.57,51.95,51.47,51.75,194534,51.75
