Date,Open,High,Low,Close,Volume,Adj Close
0,102.93,102.93,102.89,102.89,300,102.89
1,102.84,103.0,102.63,102.83,309578,102.83
2,103.04,103.1,102.78,102.79,159115,102.79
3,103.4,103.45,103.04,103.05,99756,103.05
4,103.63,103.63,103.27,103.39,249243,103.39
5,103.975,104.0,103.6,103.62,232200,103.62
6,103.9425,103.99,103.86,103.98,209407,103.98
7,104.32,104.34,103.94,103.94,382123,103.94
8,104.24,104.35,104.13,104.33,320245,104.33
9,104.25,104.46,104.23,104.25,165446,104.25
10,104.4498,104.4498,104.25,104.27,123027,104.27
11,104.46,104.55,104.36,104.44,149748,104.44
12,104.31,104.51,104.3,104.46,115020,104.46
13,103.97,104.36,103.95,104.31,155753,104.31
14,103.91,104.0,103.8565,103.97,100723,103.97
15,103.74,103.96,103.7085,103.92,91893,103.92
16,103.9042,103.95,103.68,103.74,135198,103.74
17,103.76,103.96,103.73,103.92,141776,103.92
18,103.87,103.92,103.76,103.76,129844,103.76
19,103.86,103.95,103.735,103.86,72826,103.86
20,103.874,103.92,103.83,103.8564,63045,103.8564
21,103.76,103.89,103.72,103.87,49655,103.87
22,103.745,103.78,103.69,103.76,68951,103.76
23,103.7,103.78,103.6,103.742,126167,103.742
24,103.7,103.73,103.63,103.7,122521,103.7
25,103.97,103.99,103.68,103.695,190705,103.695
26,103.98,104.02,103.96,103.96,114253,103.96
27,103.921,104.02,103.825,103.97,62199,103.97
28,104.26,104.29,103.911,103.92,117897,103.92
29,104.67,104.75,104.22,104.26,182020,104.26
30,104.655,104.71,104.44,104.68,128306,104.68
31,104.4844,104.68,104.46,104.67,73930,104.67
32,104.55,104.62,104.472,104.48,90453,104.48
33,104.51,104.57,104.4,104.55,113974,104.55
34,104.56,104.5895,104.45,104.51,96790,104.51
35,104.49,104.6,104.49,104.565,62637,104.565
36,104.51,104.54,104.48,104.5,67036,104.5
37,104.46,104.52,104.395,104.5138,103895,104.5138
38,104.595,104.595,104.45,104.4601,74015,104.4601
39,104.6,104.62,104.57,104.6,92590,104.6
40,104.51,104.62,104.45,104.5932,63779,104.5932
41,104.5399,104.61,104.51,104.52,56417,104.52
42,104.51,104.56,104.47,104.531,60542,104.531
43,104.48,104.56,104.43,104.51,63867,104.51
44,104.35,104.4691,104.33,104.4691,83085,104.4691
45,104.31,104.39,104.31,104.36,42974,104.36
46,104.37,104.41,104.28,104.32,89019,104.32
47,104.3038,104.39,104.285,104.38,47179,104.38
48,104.32,104.34,104.28,104.305,63723,104.305
49,104.31,104.388,104.3,104.325,62886,104.325
50,104.28,104.33,104.2616,104.32,42886,104.32
51,104.43,104.44,104.252,104.29,79385,104.29
52,104.43,104.46,104.392,104.43,37597,104.43
53,104.34,104.44,104.32,104.44,73493,104.44
54,104.29,104.36,104.28,104.34,67623,104.34
55,104.11,104.29,104.02,104.29,95892,104.29
56,103.94,104.1279,103.94,104.1,66007,104.1
57,103.91,103.99,103.84,103.947,79077,103.947
58,103.92,103.9372,103.8,103.91,76340,103.91
59,103.82,103.99,103.82,103.91,75777,103.91
60,103.98,103.99,103.79,103.82,116169,103.82
61,104.19,104.22,103.96,103.97,149612,103.97
62,104.04,104.2,104.03,104.19,109635,104.19
63,104.1,104.115,104.04,104.04,67375,104.04
64,104.125,104.13,104.01,104.1,79743,104.1
65,103.95,104.16,103.92,104.13,84624,104.13
66,103.9,104.0,103.8495,103.94,99668,103.94
67,103.99,104.0,103.87,103.89,103154,103.89
68,104.04,104.045,103.95,103.99,95906,103.99
69,104.09,104.09,104.01,104.04,100478,104.04
70,104.07,104.115,103.9,104.095,146771,104.095
71,103.97,104.09,103.88,104.07,143257,104.07
72,104.14,104.15,103.96,103.97,99527,103.97
73,104.0618,104.15,104.025,104.14,136234,104.14
74,104.175,104.2799,104.07,104.07,203387,104.07
75,104.23,104.317,104.17,104.17,279776,104.17
76,104.12,104.34,104.11,104.22,274658,104.22
77,104.08,104.16,103.98,104.1201,487605,104.1201
78,104.32,104.38,104.02,104.08,1046890,104.08
79,103.7,103.99,103.39,103.61,434949,103.61
80,103.8,103.84,103.56,103.68,240618,103.68
81,103.89,103.91,103.66,103.8,135901,103.8
82,103.89,103.98,103.84,103.8999,219353,103.8999
83,103.75,103.925,103.72,103.89,150484,103.89
84,103.49,103.77,103.41,103.74,120780,103.74
85,103.45,103.6,103.4,103.49,286499,103.49
86,103.25,103.49,103.22,103.44,189442,103.44
87,103.5,103.62,103.25,103.27,145078,103.27
88,103.515,103.585,103.33,103.49,117263,103.49
89,103.42,103.57,103.38,103.53,114312,103.53
90,103.41,103.5,103.29,103.43,147604,103.43
91,103.4,103.51,103.38,103.4078,99938,103.4078
92,103.4085,103.5,103.33,103.4,99168,103.4
93,103.59,103.59,103.385,103.43,78200,103.43
94,103.57,103.6,103.38,103.59,78298,103.59
95,103.51,103.595,103.47,103.56,99970,103.56
96,103.66,103.66,103.465,103.51,111087,103.51
97,103.66,103.735,103.62,103.65,81905,103.65
98,103.65,103.67,103.55,103.65,58327,103.65
99,103.85,103.85,103.65,103.66,69026,103.66
100,103.87,103.895,103.7,103.84,104532,103.84
101,104.0036,104.02,103.86,103.86,112614,103.86
102,104.2,104.2,103.98,104.005,70347,104.005
103,104.25,104.28,104.18,104.2,56877,104.2
104,104.315,104.34,104.25,104.26,58652,104.26
105,104.25,104.35,104.23,104.315,57459,104.315
106,104.29,104.335,104.21,104.26,76792,104.26
107,104.25,104.3099,104.24,104.28,64686,104.28
108,104.05,104.25,104.01,104.25,50471,104.25
109,103.9058,104.08,103.9,104.06,48047,104.06
110,103.76,103.9,103.69,103.9,60523,103.9
111,103.69,103.79,103.64,103.76,66338,103.76
112,103.75,103.78,103.65,103.68,62559,103.68
113,103.6884,103.75,103.67,103.75,46282,103.75
114,103.45,103.46,103.42,103.447,6153,103.447
115,103.455,103.5115,103.44,103.45,49711,103.45
116,103.48,103.48,103.39,103.44,55237,103.44
117,103.45,103.5,103.4,103.48,47436,103.48
118,103.4928,103.52,103.4,103.445,51068,103.445
119,103.47,103.51,103.43,103.49,40827,103.49
120,103.45,103.5,103.42,103.47,44377,103.47
121,103.58,103.615,103.43,103.45,64213,103.45
