Date,Open,High,Low,Close,Volume,Adj Close
0,30.57,30.57,30.57,30.57,19848,30.57
1,30.716,31.46,30.53,30.94,60858,30.94
2,30.93,31.61,30.77,31.2,76492,31.2
3,31.2,31.27,30.4,30.96,57930,30.96
4,30.89,31.18,30.56,31.01,49229,31.01
5,30.98,31.04,30.365,30.7,44640,30.7
6,30.62,30.639,30.0101,30.1999,52577,30.1999
7,30.22,30.89,30.1386,30.69,44525,30.69
8,30.7,30.7,30.38,30.6,24766,30.6
9,30.6422,30.91,30.59,30.82,32676,30.82
10,30.715,30.96,30.395,30.5,37480,30.5
11,30.49,30.93,30.41,30.59,18851,30.59
12,30.49,30.77,30.06,30.1899,33640,30.1899
13,30.18,30.39,30.0,30.3,43203,30.3
14,30.2368,30.9,30.2368,30.9,18454,30.9
15,30.87,30.97,30.7,30.84,37778,30.84
16,30.89,31.17,30.52,31.17,24766,31.17
17,31.03,31.77,31.03,31.59,76022,31.59
18,31.665,32.4499,31.61,32.29,91262,32.29
19,32.295,32.88,32.085,32.78,48112,32.78
20,32.78,32.9828,32.41,32.57,57846,32.57
21,32.43,32.82,32.25,32.38,20940,32.38
22,32.415,33.18,32.37,32.955,32538,32.955
23,32.907,33.32,32.6937,33.25,57553,33.25
24,33.33,33.88,33.33,33.8597,85864,33.8597
25,33.82,33.95,33.18,33.35,78345,33.35
26,33.34,33.57,32.81,33.33,156349,33.33
27,32.86,32.86,32.86,32.86,7219,32.86
28,32.78,32.9536,31.79,32.0236,46289,32.0236
29,32.085,33.06,31.91,32.77,29017,32.77
30,32.75,34.37,32.75,34.145,45597,34.145
31,34.09,34.42,33.3,33.685,56475,33.685
32,33.61,33.92,33.01,33.57,46488,33.57
33,33.57,33.97,33.01,33.06,60189,33.06
34,33.13,33.68,32.92,33.35,32204,33.35
35,33.36,33.5583,32.61,32.64,16422,32.64
36,32.63,33.09,32.6,32.91,18038,32.91
37,32.89,33.4,32.87,33.255,22400,33.255
38,33.31,34.37,33.22,34.1,71583,34.1
39,34.04,34.144,33.77,33.94,47960,33.94
40,33.94,34.129,33.67,33.67,38095,33.67
41,33.6464,33.735,33.26,33.46,26150,33.46
42,33.46,33.73,33.345,33.345,35746,33.345
43,33.4,33.7199,33.3933,33.41,20028,33.41
44,33.387,33.41,32.98,33.0296,32467,33.0296
45,33.03,33.03,32.4,32.6166,29594,32.6166
46,32.729,32.87,32.4164,32.458,15318,32.458
47,32.42,32.43,32.2243,32.43,8419,32.43
48,32.45,32.89,32.44,32.7662,27853,32.7662
49,32.78,32.9,32.35,32.66,21248,32.66
50,32.62,32.623,32.21,32.5,12827,32.5
51,32.5,32.5,32.26,32.31,10257,32.31
52,32.34,32.66,32.33,32.53,20252,32.53
53,32.6,32.61,32.08,32.16,99480,32.16
54,33.0,33.0,33.0,33.0,6480,33.0
55,33.2,33.7,32.2934,32.54,42152,32.54
56,32.7495,33.59,32.433,33.5,31472,33.5
57,33.52,33.83,32.835,33.7403,56201,33.7403
58,33.8,33.9,33.0101,33.11,39223,33.11
59,33.09,33.28,32.661,32.84,25625,32.84
60,32.7,33.95,32.61,32.86,85823,32.86
61,32.94,33.18,32.75,32.81,18319,32.81
62,32.7801,33.219,32.78,33.2168,15527,33.2168
63,33.1166,33.16,32.85,32.94,16981,32.94
64,32.9299,32.9775,32.58,32.76,14059,32.76
65,32.7877,33.0602,32.72,33.0602,20041,33.0602
66,32.99,33.16,32.88,33.03,14427,33.03
67,33.05,33.11,32.91,32.9778,8357,32.9778
68,33.01,33.273,33.01,33.17,8930,33.17
69,33.2,33.2,32.65,32.8,29671,32.8
70,32.85,32.85,32.57,32.57,11768,32.57
71,32.64,32.64,32.35,32.35,29504,32.35
72,32.39,32.63,32.36,32.63,25136,32.63
73,32.57,32.66,32.42,32.62,16142,32.62
74,32.6804,32.6804,32.45,32.57,12832,32.57
75,32.57,32.59,32.12,32.16,34633,32.16
76,32.17,32.283,31.97,32.01,46614,32.01
77,32.06,32.12,31.9,31.96,36014,31.96
78,31.91,32.03,31.81,32.02,23229,32.02
79,32.0199,32.24,31.96,32.23,51265,32.23
80,32.235,32.28,32.12,32.24,106289,32.24
81,32.25,32.25,32.25,32.25,14879,32.25
82,32.25,32.5,31.82,32.37,41842,32.37
83,32.46,32.91,32.305,32.66,46754,32.66
84,32.66,33.53,32.59,33.2,53713,33.2
85,33.32,33.72,33.02,33.44,81694,33.44
86,33.5,33.68,33.21,33.31,23479,33.31
