Date,Close,High,Low,Open,Volume,Adj Close
2015-12-17 10:30:00,46.6724,47.285,46.5,46.5,202502,46.6724
2015-12-17 11:30:00,45.0783,47.1,44.88,46.615,155787,45.0783
2015-12-17 12:30:00,45.0,45.32,44.695,45.0,139460,45.0
2015-12-17 13:30:00,44.8,45.1,44.66,44.91,75512,44.8
2015-12-17 14:30:00,45.34,45.455,44.8301,44.84,100057,45.34
2015-12-17 15:30:00,45.34,45.4391,45.115,45.285,87834,45.34
2015-12-17 16:00:00,44.93,45.42,44.87,45.21,79710,44.93
2015-12-18 10:30:00,45.29,45.66,44.4462,44.82,151549,45.29
2015-12-18 11:30:00,45.86,45.96,45.25,45.35,138490,45.86
2015-12-18 12:30:00,46.1,46.2699,45.85,45.86,115063,46.1
2015-12-18 13:30:00,45.475,46.09,45.3101,46.09,64407,45.475
2015-12-18 14:30:00,44.695,45.52,44.5601,45.52,73279,44.695
2015-12-18 15:30:00,44.36,44.7096,44.25,44.7096,115932,44.36
2015-12-18 16:00:00,44.565,44.76,44.4573,44.4573,47666,44.565
2015-12-21 10:30:00,44.27,45.27,43.64,45.0,241128,44.27
2015-12-21 11:30:00,44.34,44.481,43.54,44.39,126162,44.34
2015-12-21 12:30:00,44.17,44.332,44.03,44.31,54794,44.17
2015-12-21 13:30:00,44.31,44.5,44.18,44.25,44072,44.31
2015-12-21 14:30:00,44.24,44.52,44.08,44.41,95161,44.24
2015-12-21 15:30:00,44.51,44.52,44.17,44.32,48678,44.51
2015-12-21 16:00:00,44.67,44.7,44.46,44.52,63147,44.67
2015-12-22 10:30:00,44.7634,45.07,44.31,45.07,142733,44.7634
2015-12-22 11:30:00,44.045,44.78,43.9,44.67,109587,44.045
2015-12-22 12:30:00,44.14,44.32,43.7699,44.13,115750,44.14
2015-12-22 13:30:00,44.38,44.85,44.13,44.13,61922,44.38
2015-12-22 14:30:00,44.97,44.97,44.22,44.35,51325,44.97
2015-12-22 15:30:00,44.86,45.06,44.78,44.99,46163,44.86
2015-12-22 16:00:00,44.51,44.89,44.3899,44.8499,81200,44.51
2015-12-23 10:30:00,45.32,45.6,44.53,44.53,60995,45.32
2015-12-23 11:30:00,45.31,45.752,45.19,45.25,93106,45.31
2015-12-23 12:30:00,45.67,45.76,45.084,45.27,57590,45.67
2015-12-23 13:30:00,45.33,45.64,45.33,45.64,57106,45.33
2015-12-23 14:30:00,45.39,45.57,45.32,45.38,25561,45.39
2015-12-23 15:30:00,45.56,45.6,45.28,45.36,84635,45.56
2015-12-23 16:00:00,45.63,45.64,45.51,45.58,33586,45.63
2015-12-24 10:30:00,45.449,45.7,45.14,45.55,112878,45.449
2015-12-24 11:30:00,45.12,45.45,45.12,45.45,34018,45.12
2015-12-24 12:30:00,44.86,45.02,44.65,45.02,65842,44.86
2015-12-24 13:30:00,44.88,45.13,44.88,45.01,51528,44.88
2015-12-28 10:30:00,44.26,44.95,43.8,44.95,68411,44.26
2015-12-28 11:30:00,43.88,44.106,43.82,44.1,55078,43.88
2015-12-28 12:30:00,44.11,44.17,43.8542,43.8542,42458,44.11
2015-12-28 13:30:00,43.91,44.25,43.91,44.14,32135,43.91
2015-12-28 14:30:00,43.75,43.93,43.67,43.88,95058,43.75
2015-12-28 15:30:00,43.715,43.72,43.35,43.71,78128,43.715
2015-12-28 16:00:00,43.61,43.74,43.5584,43.67,62802,43.61
2015-12-29 10:30:00,44.74,44.88,43.74,43.75,132157,44.74
2015-12-29 11:30:00,44.378,44.69,44.01,44.69,46410,44.378
2015-12-29 12:30:00,44.44,44.64,44.38,44.44,69695,44.44
2015-12-29 13:30:00,44.85,44.85,44.395,44.395,50813,44.85
2015-12-29 14:30:00,45.227,45.25,44.71,44.825,127144,45.227
2015-12-29 15:30:00,45.09,45.41,45.05,45.22,72924,45.09
2015-12-29 16:00:00,45.15,45.15,44.84,45.11,72489,45.15
2015-12-30 10:30:00,45.06,45.88,44.65,44.65,116078,45.06
2015-12-30 11:30:00,45.0411,45.256,44.79,45.0201,124264,45.0411
2015-12-30 12:30:00,45.0,45.32,44.86,45.0,20354,45.0
2015-12-30 13:30:00,44.46,45.1,44.46,45.0224,35351,44.46
2015-12-30 14:30:00,44.8975,44.96,44.57,44.57,36533,44.8975
2015-12-30 15:30:00,44.683,44.86,44.61,44.8416,53652,44.683
2015-12-30 16:00:00,44.3,44.64,44.3,44.64,61489,44.3
2015-12-31 10:30:00,44.5,44.83,44.09,44.19,122329,44.5
2015-12-31 11:30:00,44.57,44.81,44.4462,44.48,62785,44.57
2015-12-31 12:30:00,44.35,44.61,44.18,44.49,54602,44.35
2015-12-31 13:30:00,44.33,44.46,44.2901,44.3885,50320,44.33
2015-12-31 14:30:00,44.1499,44.36,44.1053,44.3,36025,44.1499
2015-12-31 15:30:00,44.28,44.42,44.1,44.1,58958,44.28
2015-12-31 16:00:00,43.98,44.281,43.94,44.26,75464,43.98
2016-01-04 10:30:00,43.9,43.99,42.51,43.045,181611,43.9
2016-01-04 11:30:00,43.715,44.3,43.59,43.88,127148,43.715
2016-01-04 12:30:00,43.88,44.0,43.57,43.7,67630,43.88
2016-01-04 13:30:00,44.37,44.47,43.81,43.81,55031,44.37
2016-01-04 14:30:00,44.06,44.65,44.0,44.4,80567,44.06
2016-01-04 15:30:00,43.5,44.05,43.5,44.02,64426,43.5
2016-01-04 16:00:00,43.68,43.82,43.36,43.46,57129,43.68
2016-01-05 10:30:00,43.47,43.93,43.0,43.63,231025,43.47
2016-01-05 11:30:00,43.45,43.75,43.36,43.41,98452,43.45
2016-01-05 12:30:00,42.18,43.32,41.83,43.32,166412,42.18
2016-01-05 13:30:00,42.12,42.24,41.91,42.1101,55654,42.12
2016-01-05 14:30:00,42.3201,42.54,42.05,42.14,117717,42.3201
2016-01-05 15:30:00,42.1715,42.5792,42.12,42.336,79167,42.1715
2016-01-05 16:00:00,42.415,42.494,42.15,42.19,60346,42.415
2016-01-06 10:30:00,40.89,41.4,39.5,41.08,506254,40.89
2016-01-06 11:30:00,40.9592,41.16,40.4801,40.71,199838,40.9592
2016-01-06 12:30:00,40.28,40.94,40.275,40.84,60196,40.28
