Date,Open,High,Low,Close,Volume,Adj Close
0,13.23,13.24,13.145,13.17,1181012,13.17
1,13.2239,13.25,13.13,13.23,1051110,13.23
2,13.33,13.33,13.205,13.23,1293569,13.23
3,13.31,13.365,13.3,13.33,1163422,13.33
4,13.35,13.37,13.28,13.31,895184,13.31
5,13.27,13.35,13.25,13.35,702803,13.35
6,13.19,13.31,13.19,13.27,2346433,13.27
7,12.985,13.03,12.86,12.99,2849094,12.99
8,12.91,13.0,12.884,12.99,3176772,12.99
9,12.96,13.01,12.85,12.91,2897218,12.91
10,12.95,13.0,12.9,12.96,1750022,12.96
11,12.9,12.99,12.9,12.95,1323519,12.95
12,12.905,12.93,12.87,12.9,1287532,12.9
13,12.97,12.98,12.86,12.91,3203204,12.91
14,12.92,13.08,12.91,13.01,1530174,13.01
15,12.85,12.94,12.84,12.9159,3811751,12.9159
16,12.85,12.89,12.75,12.85,3117529,12.85
17,12.845,12.85,12.76,12.85,1573364,12.85
18,12.89,12.92,12.82,12.85,1465272,12.85
19,12.88,12.925,12.87,12.89,2310898,12.89
20,12.86,12.895,12.83,12.885,2662686,12.885
21,12.71,12.8,12.6,12.69,2294771,12.69
22,12.725,12.75,12.67,12.715,1859231,12.715
23,12.705,12.81,12.7,12.725,1838384,12.725
24,12.73,12.79,12.68,12.71,2782024,12.71
25,12.71,12.74,12.69,12.73,1768435,12.73
26,12.595,12.74,12.59,12.71,2541472,12.71
27,12.63,12.66,12.59,12.59,5783366,12.59
28,12.48,12.5799,12.37,12.43,2362025,12.43
29,12.41,12.49,12.36,12.48,2175073,12.48
30,12.315,12.43,12.31,12.41,2280764,12.41
31,12.325,12.36,12.285,12.31,2584719,12.31
32,12.24,12.33,12.17,12.32,2002337,12.32
33,12.19,12.26,12.165,12.24,2165440,12.24
34,12.18,12.27,12.15,12.18,5034273,12.18
35,12.2,12.335,12.17,12.29,1397133,12.29
36,12.11,12.195,12.06,12.195,2506775,12.195
37,12.1,12.125,11.99,12.1,1730751,12.1
38,12.12,12.16,12.075,12.1,1188549,12.1
39,12.11,12.14,12.07,12.115,1591031,12.115
40,12.09,12.145,12.06,12.11,1668007,12.11
41,11.91,12.105,11.89,12.08,3320199,12.08
42,11.85,12.065,11.85,11.99,1571757,11.99
43,11.83,11.98,11.79,11.8539,3450207,11.8539
44,11.855,11.86,11.75,11.83,2293558,11.83
45,11.95,11.96,11.85,11.86,3807313,11.86
46,11.8901,11.975,11.87,11.95,2703127,11.95
47,11.9,11.96,11.86,11.89,1944388,11.89
48,11.94,12.005,11.85,11.9,5748663,11.9
49,12.07,12.12,12.0,12.1,1230696,12.1
50,11.955,12.08,11.88,12.065,2109531,12.065
51,11.87,11.96,11.78,11.955,1154412,11.955
52,11.8,11.91,11.78,11.87,984237,11.87
53,11.795,11.86,11.78,11.81,1062079,11.81
54,11.825,11.835,11.745,11.795,1271908,11.795
55,12.06,12.07,11.7901,11.83,5613736,11.83
56,12.03,12.18,12.0,12.13,1300915,12.13
57,11.96,12.085,11.895,12.025,2843294,12.025
58,11.81,11.97,11.8,11.96,1837918,11.96
59,11.815,11.915,11.77,11.81,2705830,11.81
60,11.74,11.87,11.71,11.81,2160497,11.81
61,11.69,11.76,11.575,11.735,2960756,11.735
62,11.68,11.745,11.65,11.7,6649974,11.7
63,11.6,11.83,11.55,11.78,1640023,11.78
64,11.77,11.87,11.55,11.6,3226317,11.6
65,11.775,11.795,11.68,11.77,1886598,11.77
66,11.76,11.82,11.73,11.78,2005378,11.78
67,11.845,11.89,11.76,11.765,1236294,11.765
68,11.91,11.92,11.8,11.85,1421009,11.85
69,11.83,11.92,11.82,11.91,4050309,11.91
70,11.48,11.58,11.34,11.36,2261585,11.36
71,11.49,11.58,11.42,11.48,2657538,11.48
72,11.41,11.52,11.39,11.485,2133379,11.485
73,11.435,11.44,11.28,11.4,2791756,11.4
74,11.43,11.47,11.375,11.43,1782148,11.43
75,11.5,11.51,11.38,11.425,2080069,11.425
76,11.51,11.54,11.415,11.5,2806802,11.5
77,11.55,11.69,11.49,11.65,1336858,11.65
78,11.48,11.635,11.475,11.55,2086865,11.55
79,11.47,11.53,11.43,11.48,2317374,11.48
80,11.395,11.49,11.37,11.47,994138,11.47
81,11.38,11.45,11.37,11.395,1184771,11.395
82,11.28,11.38,11.25,11.37,1911325,11.37
83,11.33,11.42,11.27,11.275,3450189,11.275
84,11.01,11.15,10.9801,11.1,2325688,11.1
85,10.875,11.06,10.87,11.01,4040133,11.01
86,10.85,11.01,10.83,10.8701,2951506,10.8701
87,10.945,10.95,10.78,10.86,2554772,10.86
88,11.025,11.07,10.88,10.95,3164765,10.95
89,11.105,11.13,10.98,11.03,3301051,11.03
90,11.21,11.32,11.09,11.105,7476556,11.105
91,11.21,11.414,10.84,10.88,3504590,10.88
92,11.33,11.47,11.155,11.21,4420701,11.21
93,11.41,11.435,11.3,11.34,2376248,11.34
94,11.37,11.47,11.33,11.42,1638924,11.42
95,11.25,11.4,11.2,11.37,2294624,11.37
96,11.225,11.27,11.12,11.26,2677964,11.26
97,11.16,11.24,11.15,11.2225,4428890,11.2225
98,11.535,11.54,11.35,11.36,2649158,11.36
99,11.4161,11.57,11.385,11.535,2877335,11.535
100,11.3061,11.44,11.28,11.42,1889622,11.42
101,11.345,11.36,11.305,11.305,1461311,11.305
102,11.335,11.35,11.26,11.35,1356492,11.35
103,11.33,11.35,11.26,11.34,2190150,11.34
104,11.32,11.35,11.285,11.33,5897137,11.33
105,11.23,11.31,11.21,11.28,1693217,11.28
106,11.08,11.26,11.075,11.225,2496617,11.225
107,10.955,11.075,10.95,11.07,2711946,11.07
108,11.005,11.02,10.93,10.95,2146329,10.95
109,11.01,11.07,11.005,11.01,1612117,11.01
110,10.93,11.07,10.93,11.02,2780320,11.02
111,10.86,10.97,10.81,10.935,4465147,10.935
112,10.94,11.07,10.89,10.91,1707065,10.91
113,10.93,11.05,10.91,10.94,2484032,10.94
114,10.9,10.94,10.85,10.92,2697779,10.92
115,10.935,11.02,10.89,10.9,2991864,10.9
116,10.92,10.95,10.89,10.935,1454447,10.935
