Date,Open,High,Low,Close,Volume,Adj Close
0,45.3,45.3,45.3,45.3,7919,45.3
1,44.77,45.66,44.47,45.44,20763,45.44
2,46.13,46.57,44.675,44.74,66455,44.74
3,46.468,46.5,45.4905,45.6,41217,45.6
4,47.4958,47.973,46.49,46.49,35971,46.49
5,46.76,47.5,46.4201,47.5,11537,47.5
6,47.0,47.0,46.51,46.5524,12792,46.5524
7,47.3588,47.555,47.09,47.41,7301,47.41
8,46.735,47.255,46.48,47.17,10628,47.17
9,47.1199,47.35,46.82,46.91,5322,46.91
10,47.23,47.5,47.09,47.09,14189,47.09
11,47.22,47.32,46.71,47.1367,7693,47.1367
12,47.12,47.49,46.91,47.1488,18434,47.1488
13,47.0,47.48,46.83,47.21,13218,47.21
14,46.75,47.29,46.68,47.03,5400,47.03
15,46.23,47.07,46.23,46.74,7690,46.74
16,46.11,46.33,46.02,46.29,10052,46.29
17,45.75,46.17,45.65,46.17,20821,46.17
18,45.71,46.12,45.66,45.795,37959,45.795
19,45.57,46.08,45.504,45.7,59731,45.7
20,45.68,46.15,45.51,45.59,19705,45.59
21,45.73,45.9,45.56,45.66,28518,45.66
22,45.53,45.77,45.28,45.77,39186,45.77
23,45.46,45.7,45.22,45.42,20350,45.42
24,45.65,45.83,45.38,45.54,12813,45.54
25,45.9,46.03,45.65,45.65,16782,45.65
26,46.07,46.11,45.91,45.91,6141,45.91
27,46.44,46.46,46.08,46.1,6466,46.1
28,45.94,46.57,45.94,46.44,7253,46.44
29,46.27,46.43,45.86,45.86,4250,45.86
30,46.41,46.44,46.2,46.27,7634,46.27
31,46.6,46.74,46.3,46.42,6625,46.42
32,46.81,47.07,46.586,46.65,11725,46.65
33,46.65,46.888,46.55,46.888,4900,46.888
34,47.2834,47.325,46.61,46.61,8159,46.61
35,47.269,47.33,47.07,47.27,14165,47.27
36,47.274,47.35,47.18,47.31,13420,47.31
37,46.885,47.28,46.7401,47.26,11531,47.26
38,47.32,47.42,46.91,46.93,5965,46.93
39,47.02,47.36,47.014,47.36,4988,47.36
40,47.01,47.22,46.815,47.0866,9000,47.0866
41,47.22,47.37,46.99,46.99,7900,46.99
42,47.3225,47.37,47.23,47.25,5300,47.25
43,46.53,47.29,46.53,47.29,10575,47.29
44,46.25,46.62,46.25,46.62,3501,46.62
45,46.35,46.61,46.3,46.3,19255,46.3
46,46.4,46.468,46.28,46.468,5002,46.468
47,46.53,46.65,46.44,46.44,5300,46.44
48,46.82,46.89,46.39,46.53,9200,46.53
49,46.35,46.91,46.35,46.82,3600,46.82
50,46.32,46.69,46.15,46.37,8683,46.37
51,46.78,46.86,46.35,46.36,11147,46.36
52,46.73,46.83,46.65,46.785,3600,46.785
53,46.75,46.75,46.54,46.73,6145,46.73
54,46.81,46.82,46.7,46.76,5500,46.76
55,46.45,46.81,46.34,46.81,6525,46.81
56,46.5275,46.79,46.49,46.58,8725,46.58
57,46.69,46.7899,46.47,46.57,6170,46.57
58,46.94,46.99,46.63,46.66,4551,46.66
59,46.96,47.37,46.92,46.96,13836,46.96
60,47.22,47.31,46.96,46.96,21370,46.96
61,46.85,47.3,46.83,47.24,7150,47.24
62,46.84,47.13,46.61,46.84,14000,46.84
63,46.89,47.04,46.845,46.845,5900,46.845
64,46.91,47.09,46.765,46.87,10705,46.87
65,46.68,47.14,46.56,46.91,10004,46.91
66,46.87,46.9,46.67,46.67,5133,46.67
67,46.58,46.96,46.57,46.88,10800,46.88
68,46.55,46.81,46.54,46.64,16242,46.64
69,46.59,46.73,46.53,46.54,13223,46.54
70,46.37,46.6,46.35,46.585,22831,46.585
71,46.64,46.785,46.43,46.4537,14099,46.4537
72,47.51,47.62,46.72,46.72,21775,46.72
73,47.444,47.61,47.19,47.51,19630,47.51
74,47.34,47.68,47.34,47.45,26329,47.45
75,47.59,47.65,47.345,47.37,19443,47.37
76,47.26,47.58,47.21,47.55,49555,47.55
77,47.27,47.38,47.09,47.26,32596,47.26
78,47.49,47.56,47.18,47.27,292759,47.27
79,46.97,46.97,46.97,46.97,8260,46.97
80,47.13,48.01,46.0,47.165,33031,47.165
81,47.54,47.8369,46.76,47.0,23295,47.0
82,47.95,48.2,47.01,47.77,26378,47.77
83,47.41,48.158,47.288,48.158,6995,48.158
84,47.8,47.83,47.37,47.37,2145,47.37
85,47.01,48.61,47.01,47.92,12210,47.92
86,46.35,47.254,46.35,47.1,6917,47.1
87,47.01,47.01,46.26,46.26,20887,46.26
88,47.12,47.65,46.86,47.045,11005,47.045
89,47.03,47.21,46.51,47.11,4455,47.11
90,46.8,47.62,46.8,47.24,39009,47.24
91,46.65,46.97,46.62,46.76,7600,46.76
92,46.78,46.78,46.4,46.63,9919,46.63
93,46.7,47.01,46.5179,46.77,9905,46.77
94,47.1,47.25,46.4802,46.68,9853,46.68
95,47.2506,47.28,46.87,47.07,4550,47.07
96,47.4,47.53,47.05,47.265,8907,47.265
97,47.3166,47.64,47.3166,47.38,6000,47.38
98,47.38,47.46,47.15,47.28,11351,47.28
99,47.5,47.66,47.3,47.3,42121,47.3
100,47.234,47.68,47.234,47.48,23896,47.48
101,46.84,47.21,46.74,47.21,14788,47.21
102,46.83,46.86,46.57,46.76,46109,46.76
103,46.95,47.05,46.7,46.8,16582,46.8
104,46.82,47.09,46.56,46.9,2812,46.9
105,46.89,47.126,46.71,46.88,2775,46.88
106,46.8,46.965,46.625,46.8894,2450,46.8894
107,46.09,46.86,46.09,46.86,9020,46.86
108,46.4899,46.4899,45.77,46.14,41065,46.14
109,46.4,46.48,46.17,46.48,9457,46.48
110,46.4,46.77,46.4,46.4716,10086,46.4716
111,46.2599,46.26,45.84,46.23,28350,46.23
112,46.09,46.4,45.92,46.25,2100,46.25
113,46.29,46.29,45.98,46.1,6500,46.1
114,46.04,46.4,46.0,46.4,2682,46.4
115,46.88,46.93,46.03,46.11,25728,46.11
116,46.895,46.95,46.72,46.84,27941,46.84
117,47.1,47.1,46.82,46.86,8425,46.86
118,47.25,47.41,46.7,47.16,10601,47.16
119,47.18,47.43,47.1534,47.27,5002,47.27
120,47.12,47.34,47.12,47.2,3433,47.2
121,47.38,47.38,47.04,47.04,2178,47.04
122,47.51,47.56,47.2,47.305,12643,47.305
123,47.0201,47.49,47.019,47.49,3340,47.49
124,47.3,47.55,47.17,47.2,4760,47.2
125,47.62,47.62,47.32,47.33,1700,47.33
126,47.29,47.66,47.24,47.52,10296,47.52
127,47.7815,47.83,47.37,47.37,10571,47.37
128,47.6,47.85,47.38,47.68,15963,47.68
129,47.72,47.89,47.39,47.5691,59646,47.5691
130,47.44,47.85,47.44,47.7213,34609,47.7213
131,47.495,47.74,47.2,47.35,39980,47.35
132,47.33,47.5,47.33,47.5,1959,47.5
133,47.81,47.9,47.31,47.31,3484,47.31
134,47.6801,47.95,47.6801,47.73,11574,47.73
135,47.82,47.95,47.67,47.79,2596,47.79
136,47.4325,47.76,47.4325,47.73,7512,47.73
137,47.7,47.77,47.45,47.47,6173,47.47
138,47.4,47.73,47.33,47.73,8940,47.73
139,47.6,47.72,47.39,47.39,19173,47.39
140,47.475,47.71,47.41,47.6,33199,47.6
141,47.71,47.71,47.4,47.4699,13780,47.4699
142,47.82,48.0,47.53,47.68,19434,47.68
143,47.91,48.02,47.78,47.81,10400,47.81
144,48.0,48.04,47.7801,47.7801,8445,47.7801
145,48.49,48.49,48.09,48.09,5475,48.09
146,48.52,48.67,48.39,48.46,9689,48.46
147,48.71,48.71,48.24,48.49,5762,48.49
148,48.19,48.75,48.03,48.66,10878,48.66
149,48.64,48.64,48.1,48.1,13482,48.1
150,48.51,48.71,48.38,48.71,11057,48.71
151,48.71,48.9,48.6,48.6,13218,48.6
152,48.65,48.79,48.4,48.74,15481,48.74
153,48.8,48.85,48.61,48.67,19515,48.67
154,49.29,49.29,48.8,48.8,22159,48.8
155,49.36,49.36,48.87,49.3,36049,49.3
156,49.06,49.4,48.95,49.36,34818,49.36
157,49.11,49.14,48.94,49.06,105237,49.06
158,48.91,49.11,48.91,49.09,12494,49.09
159,49.8999,49.9399,48.5,49.1,79547,49.1
160,48.85,51.0,48.4501,49.79,151404,49.79
161,48.7325,50.09,48.0,48.82,130394,48.82
162,49.575,49.575,48.2501,48.7399,47274,48.7399
163,49.1244,49.575,48.68,49.5113,34973,49.5113
164,48.05,49.02,48.04,49.02,23046,49.02
165,48.4899,48.97,47.78,48.0,34620,48.0
166,48.9871,49.08,48.4899,48.4899,11938,48.4899
167,47.435,48.73,47.34,48.73,18833,48.73
168,47.33,48.184,47.33,47.57,7126,47.57
169,47.27,47.9399,47.27,47.4999,6360,47.4999
170,47.12,47.5399,47.03,47.2502,4669,47.2502
171,47.62,47.69,47.1,47.1,31989,47.1
172,47.75,47.87,47.4088,47.62,7900,47.62
173,47.341,47.75,47.25,47.75,6381,47.75
174,47.4975,47.6699,47.34,47.34,4475,47.34
175,47.26,47.64,47.26,47.5,17477,47.5
176,47.2301,47.52,47.2,47.41,14850,47.41
177,46.85,47.24,46.6,47.21,40317,47.21
178,47.15,47.2999,46.63,46.83,41081,46.83
179,47.3,47.33,47.0,47.07,12996,47.07
180,47.24,47.65,47.05,47.27,29398,47.27
181,47.13,47.34,47.13,47.25,13000,47.25
182,47.15,47.3,47.0,47.16,19026,47.16
183,46.9,47.16,46.86,47.11,2160,47.11
184,47.01,47.04,46.5981,46.65,7690,46.65
185,46.2173,46.9,46.17,46.9,20667,46.9
186,46.19,46.6,46.131,46.316,9300,46.316
187,45.83,46.3199,45.83,46.22,22151,46.22
188,45.77,46.05,45.75,45.89,19394,45.89
189,45.71,46.0178,45.58,45.79,16973,45.79
190,45.3399,45.65,45.26,45.65,23499,45.65
191,45.43,45.51,45.291,45.4799,4548,45.4799
192,45.66,45.72,45.29,45.37,20846,45.37
193,45.97,46.19,45.69,45.69,28476,45.69
194,45.56,45.92,45.5,45.92,24413,45.92
195,45.5,45.63,45.32,45.5,22334,45.5
196,45.35,45.6581,45.35,45.45,6645,45.45
197,45.79,45.89,45.41,45.48,7200,45.48
198,46.15,46.22,45.9304,45.9304,24025,45.9304
199,46.48,46.48,46.1101,46.15,24945,46.15
200,46.326,46.48,46.2105,46.48,10500,46.48
201,46.0899,46.15,45.78,46.12,22542,46.12
202,45.72,46.026,45.72,46.026,17130,46.026
203,45.92,45.95,45.6775,45.73,2500,45.73
204,45.86,45.8992,45.66,45.8992,13744,45.8992
205,45.8,45.99,45.69,45.99,3100,45.99
206,46.38,46.53,45.79,45.79,9294,45.79
207,46.35,46.36,46.2,46.208,5986,46.208
208,45.73,46.28,45.73,46.28,2663,46.28
209,45.82,45.82,45.39,45.76,5873,45.76
210,45.56,45.77,45.3,45.77,6642,45.77
211,45.67,45.67,45.5,45.585,8890,45.585
212,45.84,45.885,45.5,45.7,27479,45.7
213,45.62,45.933,45.62,45.813,2800,45.813
214,45.66,45.89,45.59,45.59,4600,45.59
215,45.81,45.81,45.52,45.65,2400,45.65
216,45.8,46.29,45.71,45.71,21640,45.71
217,45.55,45.81,45.35,45.74,18654,45.74
218,45.43,45.438,45.26,45.4201,4343,45.4201
219,45.58,45.67,45.31,45.42,8120,45.42
220,45.39,45.61,45.33,45.61,17130,45.61
221,45.37,45.41,45.27,45.33,11351,45.33
222,45.13,45.34,45.0713,45.29,20701,45.29
223,44.89,45.175,44.89,45.1591,23777,45.1591
224,44.955,45.111,44.8801,44.8801,9800,44.8801
225,44.67,44.98,44.67,44.94,11980,44.94
226,44.6,44.8,44.6,44.76,4667,44.76
227,44.76,44.76,44.54,44.6,15712,44.6
228,45.12,45.13,44.69,44.72,22863,44.72
229,45.02,45.1,44.92,45.04,12330,45.04
230,45.165,45.24,44.89,44.945,22698,44.945
231,45.0299,45.36,45.0,45.17,15182,45.17
232,45.0,45.34,44.94,44.97,31337,44.97
233,44.78,45.02,44.68,45.0,20462,45.0
234,44.72,44.83,44.7,44.78,9690,44.78
235,44.98,44.98,44.71,44.72,19988,44.72
236,44.98,45.09,44.87,45.0,89121,45.0
237,45.31,45.31,45.31,45.31,4773,45.31
238,45.33,46.25,45.09,45.09,16692,45.09
239,44.83,45.6515,44.5,45.4,38290,45.4
240,44.275,44.94,44.01,44.83,29407,44.83
241,44.47,44.73,43.78,44.2599,16903,44.2599
242,44.48,44.66,44.15,44.4999,13985,44.4999
243,45.0,45.4799,44.06,44.27,103704,44.27
244,43.3759,44.99,43.2501,44.8196,134294,44.8196
245,43.6,44.11,43.34,43.4509,38462,43.4509
246,43.71,43.9,43.36,43.62,34919,43.62
247,43.54,43.77,43.01,43.71,24212,43.71
248,44.05,44.22,43.52,43.52,11993,43.52
249,43.79,44.25,43.72,44.0899,23413,44.0899
250,43.35,43.65,42.81,43.65,23225,43.65
251,43.716,43.7358,43.14,43.28,6900,43.28
252,43.81,43.84,43.56,43.74,6700,43.74
253,44.67,44.94,43.7555,43.7555,23518,43.7555
254,44.23,44.75,43.58,44.725,12485,44.725
255,45.49,45.562,44.24,44.29,28305,44.29
256,45.3,46.01,45.08,45.6299,27886,45.6299
257,44.58,45.29,44.52,45.28,12191,45.28
258,44.59,44.82,44.47,44.57,5825,44.57
259,45.23,45.23,44.43,44.61,28439,44.61
260,44.76,45.241,44.76,45.23,9780,45.23
261,44.93,45.18,44.54,44.59,40959,44.59
262,44.65,44.8608,44.65,44.77,6130,44.77
263,45.07,45.09,44.4,44.59,3300,44.59
264,45.0,45.69,44.88,45.09,19237,45.09
265,45.1,45.14,44.9,44.9,4487,44.9
266,44.87,44.99,44.7,44.97,12607,44.97
267,44.63,44.76,44.54,44.72,3335,44.72
268,45.2091,45.2899,44.69,44.69,2511,44.69
269,45.68,45.82,45.05,45.13,11788,45.13
270,45.19,45.71,45.19,45.69,4912,45.69
271,45.23,45.43,45.21,45.31,3700,45.31
272,45.17,45.31,44.89,45.115,8010,45.115
273,45.2199,45.365,44.89,45.19,3977,45.19
274,44.51,45.214,44.274,45.214,7186,45.214
275,44.3115,44.85,44.3115,44.53,25373,44.53
276,44.13,44.3,44.02,44.2,3276,44.2
277,44.26,44.4525,44.245,44.27,3100,44.27
278,44.59,44.62,44.34,44.34,1600,44.34
279,44.56,44.83,44.35,44.65,6010,44.65
280,44.73,45.09,44.485,44.485,8249,44.485
281,44.49,44.84,44.49,44.83,3012,44.83
282,44.37,44.6,44.27,44.54,5948,44.54
283,44.62,44.88,44.4,44.59,6736,44.59
284,44.55,44.67,44.42,44.67,3959,44.67
285,44.5325,44.5325,44.44,44.44,800,44.44
286,44.05,44.64,44.05,44.495,3743,44.495
287,43.88,44.125,43.86,44.125,5579,44.125
288,44.0,44.13,43.85,43.976,4033,43.976
289,43.55,43.95,43.55,43.95,2245,43.95
290,43.445,43.635,43.38,43.38,9842,43.38
291,43.23,43.54,43.12,43.41,7250,43.41
292,43.45,43.45,43.15,43.25,5146,43.25
293,43.492,43.88,43.31,43.46,9498,43.46
294,43.65,43.7979,43.44,43.51,6391,43.51
295,43.52,43.7,43.38,43.7,3395,43.7
296,43.74,43.83,43.47,43.72,15702,43.72
297,44.29,44.5,43.58,43.75,23755,43.75
298,44.365,44.47,44.19,44.31,6696,44.31
299,44.32,44.65,43.97,44.42,26712,44.42
300,44.95,44.95,44.31,44.31,7676,44.31
301,45.115,45.25,44.89,45.1,9353,45.1
302,44.715,45.15,44.7,45.05,7100,45.05
303,45.2,45.25,44.865,44.88,19375,44.88
304,45.17,45.34,45.05,45.34,8692,45.34
305,45.6,45.6,45.03,45.13,10325,45.13
