Date,Open,High,Low,Close,Volume,Adj Close
0,62.35,63.15,61.97,63.0,118875,63.0
1,63.03,63.8899,62.45,63.38,179109,63.38
2,63.47,63.96,62.86,62.96,161532,62.96
3,63.0,63.63,62.6101,63.08,112636,63.08
4,63.01,63.8,62.88,63.61,49695,63.61
5,63.5821,63.62,62.75,62.83,63828,62.83
6,62.817,63.44,62.2,62.31,185062,62.31
7,61.06,61.43,58.334,59.2096,224645,59.2096
8,59.18,59.48,57.85,58.89,124067,58.89
9,59.02,59.93,58.41,59.625,55394,59.625
10,59.66,59.9073,58.23,58.54,34656,58.54
11,58.44,58.644,57.48,57.517,140219,57.517
12,57.5,57.57,56.25,56.46,106922,56.46
13,56.4,57.83,56.03,57.13,270333,57.13
14,56.37,56.41,55.56,55.73,78956,55.73
15,55.74,58.89,54.3684,57.46,239031,57.46
16,57.48,57.65,56.38,56.54,42492,56.54
17,56.5,56.58,55.01,55.07,62697,55.07
18,55.205,55.25,54.51,54.7775,33387,54.7775
19,54.895,56.04,54.85,55.65,88690,55.65
20,55.5601,55.67,54.495,54.63,158312,54.63
21,55.09,57.18,55.09,56.24,97162,56.24
22,56.274,56.274,54.5,54.6566,98773,54.6566
23,54.63,54.75,52.67,53.46,91423,53.46
24,53.68,55.85,53.575,55.48,74052,55.48
25,55.43,55.51,54.86,55.06,54428,55.06
26,55.0,55.47,54.35,55.0,59975,55.0
27,55.08,55.619,53.67,54.15,167716,54.15
28,54.65,55.54,52.4968,52.6192,63944,52.6192
29,52.52,53.39,51.36,51.4695,144129,51.4695
30,51.45,52.94,51.43,52.68,99864,52.68
31,52.63,52.63,51.14,51.25,59440,51.25
32,51.31,51.69,50.01,50.875,83986,50.875
33,50.9,52.19,50.5,51.02,75916,51.02
34,51.05,52.53,50.29,52.21,239458,52.21
35,52.63,57.19,52.63,55.72,125695,55.72
36,55.91,55.91,53.2,53.2,83773,53.2
37,53.16,53.89,52.74,53.41,61046,53.41
38,53.33,53.83,52.03,52.27,51281,52.27
39,52.29,54.05,52.29,53.3,100081,53.3
40,53.16,54.18,52.55,53.68,150515,53.68
41,53.68,55.3,53.37,54.71,276882,54.71
42,55.27,56.6899,54.15,54.85,85932,54.85
43,54.905,55.38,53.11,54.0575,127914,54.0575
44,54.0,56.07,53.11,53.8,93416,53.8
45,53.89,54.3872,52.88,53.1,61424,53.1
46,53.07,53.6,51.62,52.51,74924,52.51
47,52.445,52.815,50.23,50.89,143837,50.89
48,51.03,51.3,50.1,50.36,321856,50.36
49,50.69,51.245,48.24,49.15,159211,49.15
50,49.19,52.06,48.5,51.5,377660,51.5
51,51.42,53.49,50.85,53.2058,273465,53.2058
52,53.39,55.51,53.2,54.54,278809,54.54
53,54.5,56.06,54.36,55.625,236357,55.625
54,55.655,55.93,54.46,55.87,179693,55.87
55,55.77,55.98,54.44,54.92,381568,54.92
56,52.33,55.94,51.655,54.37,384951,54.37
57,54.42,58.03,54.0,56.09,371938,56.09
58,56.09,56.71,54.59,54.8,219947,54.8
59,54.8014,55.87,53.24,55.87,250711,55.87
60,55.83,55.83,54.65,55.36,144680,55.36
61,55.34,55.75,54.98,55.31,174868,55.31
62,55.26,55.88,54.66,55.64,346721,55.64
63,58.65,60.43,55.75,58.14,851972,58.14
64,58.32,60.72,57.97,58.25,601125,58.25
65,58.25,58.76,57.13,58.43,227896,58.43
66,58.34,58.44,56.14,56.2,108162,56.2
67,56.172,56.36,54.32,54.32,160808,54.32
68,54.376,54.55,52.89,54.17,210693,54.17
69,54.14,56.1,54.08,54.87,264931,54.87
70,53.87,53.87,51.0,51.53,183442,51.53
71,51.33,51.76,48.86,49.29,426084,49.29
72,49.26,51.5,49.0,51.335,282331,51.335
73,51.374,52.39,50.25,52.33,69600,52.33
74,52.41,55.62,52.18,55.38,220405,55.38
75,55.25,56.48,54.845,55.991,122387,55.991
76,56.105,57.83,55.78,56.29,238337,56.29
