Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,37.92,38.17,37.88,38.14,472130,37.92
2015-09-14 11:30:00,37.9501,37.99,37.9051,37.95,273256,37.9501
2015-09-14 12:30:00,37.895,37.96,37.88,37.95,294215,37.895
2015-09-14 13:30:00,37.96,37.96,37.88,37.895,298624,37.96
2015-09-14 14:30:00,38.05,38.06,37.9572,37.9572,326063,38.05
2015-09-14 15:30:00,38.02,38.07,38.0,38.045,642630,38.02
2015-09-14 16:00:00,38.1,38.1,38.0,38.0419,548693,38.1
2015-09-15 10:30:00,38.07,38.17,37.93,38.1301,600373,38.07
2015-09-15 11:30:00,38.29,38.32,38.07,38.09,577639,38.29
2015-09-15 12:30:00,38.335,38.335,38.2,38.3,383888,38.335
2015-09-15 13:30:00,38.545,38.545,38.295,38.335,749433,38.545
2015-09-15 14:30:00,38.4901,38.575,38.455,38.559,739649,38.4901
2015-09-15 15:30:00,38.6066,38.62,38.485,38.5,816190,38.6066
2015-09-15 16:00:00,38.49,38.61,38.49,38.59,947982,38.49
2015-09-16 10:30:00,38.74,38.76,38.47,38.6,954209,38.74
2015-09-16 11:30:00,38.795,38.83,38.63,38.73,1297207,38.795
2015-09-16 12:30:00,38.78,38.83,38.75,38.815,654658,38.78
2015-09-16 13:30:00,38.8844,38.9,38.79,38.8,530163,38.8844
2015-09-16 14:30:00,39.03,39.03,38.87,38.885,1741102,39.03
2015-09-16 15:30:00,39.14,39.15,39.01,39.025,2443476,39.14
2015-09-16 16:00:00,39.155,39.19,39.115,39.145,1816020,39.155
2015-09-17 10:30:00,39.2508,39.33,39.16,39.21,614402,39.2508
2015-09-17 11:30:00,39.25,39.29,39.235,39.25,542015,39.25
2015-09-17 12:30:00,39.27,39.2755,39.235,39.25,283016,39.27
2015-09-17 13:30:00,39.34,39.355,39.24,39.26,687761,39.34
2015-09-17 14:30:00,39.275,39.42,39.11,39.35,1683955,39.275
2015-09-17 15:30:00,39.37,39.575,39.24,39.33,1781938,39.37
2015-09-17 16:00:00,39.3899,39.43,39.255,39.34,2110478,39.3899
2015-09-18 10:30:00,39.24,39.295,38.94,39.12,1589213,39.24
