Date,Open,High,Low,Close,Volume,Adj Close
0,2.41,2.41,2.41,2.41,200,2.41
1,2.2966,2.38,2.29,2.38,1600,2.38
2,2.37,2.37,2.3,2.3,4900,2.3
3,2.37,2.37,2.37,2.37,100,2.37
4,2.38,2.38,2.37,2.37,400,2.37
5,2.34,2.39,2.34,2.39,2670,2.39
6,2.33,2.36,2.33,2.34,3100,2.34
7,2.33,2.33,2.33,2.33,100,2.33
8,2.3,2.32,2.3,2.32,600,2.32
9,2.3,2.32,2.3,2.32,1100,2.32
10,2.29,2.29,2.27,2.27,1800,2.27
11,2.2832,2.2832,2.2831,2.2831,650,2.2831
12,2.32,2.32,2.28,2.28,300,2.28
13,2.29,2.31,2.29,2.31,200,2.31
14,2.33,2.33,2.32,2.32,2700,2.32
15,2.33,2.33,2.32,2.32,300,2.32
16,2.345,2.345,2.345,2.345,100,2.345
17,2.35,2.35,2.35,2.35,100,2.35
18,2.33,2.33,2.33,2.33,300,2.33
19,2.37,2.37,2.33,2.33,1700,2.33
20,2.32,2.34,2.32,2.33,1343,2.33
21,2.32,2.36,2.32,2.32,2900,2.32
22,2.23,2.315,2.23,2.31,29868,2.31
23,2.24,2.24,2.24,2.24,669,2.24
24,2.28,2.34,2.24,2.24,8200,2.24
25,2.2645,2.28,2.2645,2.28,1064,2.28
26,2.28,2.285,2.27,2.28,5200,2.28
27,2.29,2.29,2.29,2.29,1600,2.29
28,2.298,2.3,2.298,2.2999,507,2.2999
29,2.29,2.295,2.29,2.29,1800,2.29
30,2.28,2.28,2.28,2.28,100,2.28
31,2.31,2.31,2.28,2.2811,6300,2.2811
32,2.3,2.31,2.295,2.295,3900,2.295
33,2.315,2.33,2.315,2.33,600,2.33
34,2.2903,2.3,2.2903,2.3,2200,2.3
35,2.29,2.29,2.29,2.29,200,2.29
36,2.295,2.295,2.29,2.29,900,2.29
37,2.26,2.295,2.26,2.295,21000,2.295
38,2.2603,2.2603,2.2603,2.2603,200,2.2603
39,2.27,2.27,2.27,2.27,200,2.27
40,2.26,2.275,2.25,2.27,12200,2.27
41,2.2503,2.2503,2.25,2.2503,2400,2.2503
42,2.24,2.2503,2.24,2.25,10300,2.25
43,2.2101,2.2303,2.2101,2.2303,1900,2.2303
44,2.22,2.23,2.21,2.23,3400,2.23
45,2.22,2.23,2.21,2.23,6200,2.23
46,2.23,2.23,2.21,2.22,800,2.22
47,2.22,2.22,2.22,2.22,200,2.22
48,2.225,2.23,2.21,2.21,800,2.21
49,2.2203,2.23,2.21,2.23,5706,2.23
50,2.22,2.22,2.22,2.22,300,2.22
51,2.15,2.22,2.15,2.22,13400,2.22
52,2.15,2.17,2.1401,2.1401,5008,2.1401
53,2.14,2.16,2.12,2.15,7240,2.15
54,2.14,2.14,2.12,2.13,3900,2.13
55,2.135,2.14,2.13,2.13,1360,2.13
56,2.11,2.15,2.1,2.131,6800,2.131
57,2.11,2.13,2.105,2.11,1300,2.11
58,2.13,2.13,2.13,2.13,100,2.13
59,2.11,2.13,2.11,2.118,4600,2.118
60,2.1,2.11,2.095,2.105,4755,2.105
61,2.09,2.09,2.09,2.09,100,2.09
62,2.11,2.11,2.07,2.09,4000,2.09
63,2.1,2.11,2.1,2.11,300,2.11
64,2.0801,2.0801,2.0801,2.0801,800,2.0801
65,2.1,2.1,2.1,2.1,400,2.1
66,2.1,2.12,2.1,2.11,700,2.11
67,2.135,2.135,2.09,2.12,4536,2.12
68,2.135,2.15,2.1201,2.1201,1600,2.1201
69,2.12,2.12,2.12,2.12,400,2.12
70,2.135,2.15,2.12,2.12,2500,2.12
71,2.14,2.15,2.13,2.14,3400,2.14
72,2.14,2.16,2.13,2.15,2160,2.15
73,2.13,2.16,2.13,2.1401,31435,2.1401
74,2.125,2.16,2.1,2.13,27104,2.13
75,2.17,2.17,2.13,2.13,1200,2.13
