Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,2.9496,2.99,2.91,2.99,5917,2.9496
2015-09-14 11:30:00,2.96,3.01,2.93,2.94,2000,2.96
2015-09-14 12:30:00,2.95,2.99,2.95,2.99,200,2.95
2015-09-14 13:30:00,2.98,3.04,2.96,2.96,4025,2.98
2015-09-14 14:30:00,2.97,2.98,2.97,2.98,474,2.97
2015-09-14 15:30:00,2.98,2.99,2.97,2.98,2700,2.98
2015-09-14 16:00:00,3.02,3.05,2.97,2.985,2646,3.02
2015-09-15 10:30:00,3.1,3.1,3.05,3.08,6213,3.1
2015-09-15 11:30:00,3.08,3.1,3.06,3.1,4200,3.08
2015-09-15 12:30:00,3.05,3.08,3.05,3.07,3900,3.05
2015-09-15 13:30:00,3.0,3.04,3.0,3.04,2450,3.0
2015-09-15 14:30:00,3.01,3.02,3.0,3.0,5699,3.01
2015-09-15 15:30:00,3.08,3.09,3.0,3.0,9628,3.08
2015-09-15 16:00:00,3.24,3.25,3.05,3.09,51409,3.24
2015-09-16 10:30:00,3.1,3.29,2.86,3.29,56378,3.1
2015-09-16 11:30:00,3.0,3.0999,2.96,3.0994,25258,3.0
2015-09-16 12:30:00,3.05,3.075,2.968,3.075,16497,3.05
2015-09-16 13:30:00,3.015,3.025,3.001,3.01,7092,3.015
2015-09-16 14:30:00,3.01,3.02,3.005,3.0188,4151,3.01
2015-09-16 15:30:00,2.995,3.01,2.97,3.01,5063,2.995
2015-09-16 16:00:00,3.02,3.02,2.9732,2.991,10818,3.02
2015-09-17 10:30:00,2.92,2.97,2.808,2.97,4245,2.92
2015-09-17 11:30:00,2.94,2.9599,2.925,2.925,7066,2.94
2015-09-17 12:30:00,2.92,2.9501,2.92,2.94,5800,2.92
2015-09-17 13:30:00,2.89,2.9001,2.86,2.9001,5127,2.89
2015-09-17 14:30:00,2.9001,2.9099,2.86,2.87,7574,2.9001
2015-09-17 15:30:00,2.93,2.93,2.91,2.91,3283,2.93
2015-09-17 16:00:00,2.92,2.93,2.91,2.93,2358,2.92
2015-09-18 10:30:00,2.93,3.0199,2.93,3.0199,701,2.93
2015-09-18 11:30:00,3.02,3.02,2.9755,2.9755,5243,3.02
2015-09-18 12:30:00,2.95,3.02,2.94,3.02,11442,2.95
2015-09-18 13:30:00,2.97,2.97,2.93,2.93,4900,2.97
2015-09-18 14:30:00,2.93,2.95,2.93,2.95,900,2.93
2015-09-18 15:30:00,2.9302,3.0,2.92,2.92,3511,2.9302
2015-09-18 16:00:00,2.92,2.94,2.92,2.93,1212,2.92
2015-09-21 10:30:00,2.9199,3.0,2.75,3.0,30508,2.9199
2015-09-21 11:30:00,2.94,2.94,2.9,2.91,1900,2.94
2015-09-21 12:30:00,2.92,2.93,2.9118,2.9118,1300,2.92
2015-09-21 13:30:00,2.94,2.94,2.92,2.92,1833,2.94
2015-09-21 14:30:00,2.925,2.95,2.925,2.95,2466,2.925
2015-09-21 15:30:00,2.93,2.98,2.91,2.94,4500,2.93
2015-09-21 16:00:00,2.96,2.97,2.93,2.97,3700,2.96
2015-09-22 10:30:00,2.8601,2.9699,2.86,2.9699,4350,2.8601
2015-09-22 11:30:00,2.8082,2.88,2.73,2.8501,11650,2.8082
2015-09-22 12:30:00,2.78,2.79,2.77,2.79,8800,2.78
2015-09-22 13:30:00,2.78,2.78,2.76,2.77,12700,2.78
2015-09-22 14:30:00,2.86,2.86,2.8,2.8,600,2.86
2015-09-22 15:30:00,2.9301,2.9301,2.87,2.87,3200,2.9301
2015-09-22 16:00:00,3.01,3.01,2.96,2.96,16398,3.01
2015-09-23 10:30:00,2.968,3.01,2.92,3.01,34850,2.968
2015-09-23 11:30:00,2.86,2.98,2.86,2.98,4900,2.86
2015-09-23 12:30:00,2.86,2.86,2.86,2.86,300,2.86
2015-09-23 13:30:00,2.85,2.89,2.8,2.89,3000,2.85
2015-09-23 14:30:00,2.827,2.85,2.81,2.8294,8900,2.827
2015-09-23 15:30:00,2.81,2.88,2.79,2.82,15700,2.81
2015-09-23 16:00:00,2.82,2.84,2.782,2.81,7658,2.82
2015-09-24 10:30:00,2.79,2.8,2.78,2.8,159950,2.79
2015-09-24 11:30:00,2.78,2.8,2.78,2.78,4741,2.78
2015-09-24 12:30:00,2.77,2.8,2.77,2.8,3400,2.77
2015-09-24 13:30:00,2.78,2.7899,2.77,2.77,1300,2.78
2015-09-24 14:30:00,2.78,2.787,2.77,2.78,700,2.78
2015-09-24 15:30:00,2.78,2.79,2.78,2.79,400,2.78
2015-09-24 16:00:00,2.77,2.77,2.77,2.77,3200,2.77
2015-09-25 10:30:00,2.82,2.85,2.82,2.85,200,2.82
2015-09-25 11:30:00,2.8001,2.8001,2.79,2.796,4575,2.8001
2015-09-25 12:30:00,2.83,2.83,2.77,2.801,9660,2.83
2015-09-25 13:30:00,2.79,2.7901,2.78,2.7801,6350,2.79
2015-09-25 14:30:00,2.8,2.84,2.79,2.79,3000,2.8
2015-09-25 15:30:00,2.8,2.81,2.79,2.8,10327,2.8
2015-09-25 16:00:00,2.788,2.788,2.75,2.77,4258,2.788
2015-09-28 10:30:00,2.75,2.78,2.731,2.74,4200,2.75
2015-09-28 11:30:00,2.75,2.76,2.7369,2.7369,3500,2.75
2015-09-28 12:30:00,2.71,2.74,2.71,2.74,400,2.71
2015-09-28 13:30:00,2.7,2.705,2.69,2.705,500,2.7
2015-09-28 14:30:00,2.63,2.74,2.63,2.74,900,2.63
2015-09-28 15:30:00,2.65,2.67,2.65,2.67,300,2.65
2015-09-28 16:00:00,2.67,2.68,2.64,2.64,800,2.67
2015-09-29 10:30:00,2.59,2.646,2.59,2.646,3260,2.59
2015-09-29 11:30:00,2.6,2.65,2.6,2.64,1000,2.6
2015-09-29 12:30:00,2.6495,2.6495,2.6495,2.6495,100,2.6495
2015-09-29 13:30:00,2.63,2.64,2.63,2.64,300,2.63
2015-09-29 14:30:00,2.68,2.68,2.6001,2.6001,1100,2.68
2015-09-29 15:30:00,2.58,2.63,2.58,2.63,1700,2.58
2015-09-29 16:00:00,2.59,2.59,2.58,2.58,300,2.59
2015-09-30 10:30:00,2.65,2.68,2.55,2.61,4177,2.65
2015-09-30 11:30:00,2.6608,2.69,2.65,2.679,10400,2.6608
2015-09-30 12:30:00,2.64,2.67,2.64,2.6601,1600,2.64
2015-09-30 13:30:00,2.61,2.64,2.61,2.64,500,2.61
2015-09-30 14:30:00,2.6,2.62,2.6,2.62,500,2.6
2015-09-30 15:30:00,2.66,2.66,2.6,2.61,2900,2.66
2015-09-30 16:00:00,2.82,2.82,2.63,2.65,5000,2.82
2015-10-01 10:30:00,2.7,2.7284,2.68,2.7284,3195,2.7
2015-10-01 11:30:00,2.634,2.655,2.634,2.65,1000,2.634
2015-10-01 12:30:00,2.64,2.64,2.64,2.64,675,2.64
2015-10-01 13:30:00,2.67,2.67,2.657,2.6699,800,2.67
2015-10-01 14:30:00,2.655,2.655,2.64,2.65,1944,2.655
2015-10-01 15:30:00,2.64,2.65,2.64,2.65,600,2.64
2015-10-01 16:00:00,2.64,2.65,2.63,2.6332,3000,2.64
2015-10-02 10:30:00,2.6305,2.6305,2.6305,2.6305,2856,2.6305
2015-10-02 11:30:00,2.69,2.69,2.657,2.657,1300,2.69
