Date,Open,High,Low,Close,Volume,Adj Close
0,81.0,81.2495,80.11,80.69,834169,80.69
1,80.64,81.33,80.615,81.0,181245,81.0
2,80.8,81.09,80.49,80.64,168512,80.64
3,81.29,81.41,80.77,80.78,98017,80.78
4,81.05,81.58,81.02,81.27,131615,81.27
5,81.06,81.15,80.77,81.04,139296,81.04
6,80.955,81.13,80.8,81.05,272706,81.05
7,81.08,81.13,80.83,80.95,135589,80.95
8,81.26,81.31,81.0,81.07,116153,81.07
9,81.265,81.44,81.09,81.27,125230,81.27
10,80.77,81.3,80.75,81.25,157619,81.25
11,80.34,80.77,80.34,80.77,181310,80.77
12,80.46,80.54,80.08,80.33,130231,80.33
13,80.66,80.76,80.44,80.4637,74857,80.4637
14,80.5,80.755,80.29,80.64,236756,80.64
15,80.44,80.62,80.33,80.51,171568,80.51
16,80.44,80.49,80.135,80.44,102717,80.44
17,80.45,80.58,80.28,80.46,131719,80.46
18,80.44,80.54,80.23,80.43,129262,80.43
19,80.31,80.51,80.29,80.44,193329,80.44
20,80.65,80.73,80.21,80.31,122629,80.31
21,81.07,81.1,80.625,80.65,90596,80.65
22,81.01,81.28,80.801,81.06,186507,81.06
23,81.05,81.09,80.51,81.03,160460,81.03
24,81.28,81.29,80.9,81.05,248868,81.05
25,81.25,81.41,81.11,81.35,427094,81.35
26,82.29,82.4,81.96,82.31,67593,82.31
27,82.47,83.0,82.21,82.3,231754,82.3
28,82.8,82.83,82.09,82.48,196735,82.48
29,83.57,83.5999,82.66,82.8,330009,82.8
30,84.31,84.3694,83.55,83.56,395163,83.56
31,84.305,84.54,83.965,84.315,347341,84.315
32,84.65,84.7,84.05,84.3,360691,84.3
33,84.18,84.8,84.08,84.65,290701,84.65
34,84.08,84.215,83.84,84.19,276366,84.19
35,84.06,84.2,83.84,84.06,236616,84.06
36,84.0474,84.17,83.94,84.08,192245,84.08
37,84.08,84.1,83.94,84.05,190122,84.05
38,83.93,84.07,83.87,84.07,283943,84.07
39,83.94,84.23,83.89,83.92,291079,83.92
40,83.97,84.01,83.8699,83.93,259182,83.93
41,83.86,84.09,83.78,83.96,169989,83.96
42,83.71,84.08,83.71,83.86,162162,83.86
43,83.85,84.06,83.7,83.7152,184158,83.7152
44,83.84,84.16,83.83,83.86,194914,83.86
45,83.01,83.885,82.98,83.84,248037,83.84
46,82.54,83.09,82.4796,82.99,270376,82.99
47,82.4642,82.82,82.44,82.55,272894,82.55
48,82.15,82.5,82.0863,82.47,237449,82.47
49,82.52,82.6,81.99,82.16,257201,82.16
50,83.05,83.07,82.33,82.5,269842,82.5
51,83.3601,83.56,83.07,83.07,413630,83.07
52,83.2,83.56,83.12,83.34,901152,83.34
53,81.79,81.85,81.79,81.85,97012,81.85
54,82.42,82.87,81.73,81.79,281516,81.79
55,82.35,82.75,82.225,82.46,256378,82.46
56,83.04,83.12,82.2002,82.34,270724,82.34
57,83.05,83.31,82.97,83.035,451105,83.035
58,82.59,83.21,82.45,83.035,317644,83.035
59,81.74,82.65,81.73,82.59,258185,82.59
60,81.96,82.11,81.57,81.77,267614,81.77
61,81.56,81.99,81.5,81.95,177072,81.95
