Date,Open,High,Low,Close,Volume,Adj Close
0,206.61,207.83,206.61,207.83,17864,207.83
1,207.4,207.86,206.12,207.86,95151,207.86
2,208.54,208.8416,207.02,207.225,17124,207.225
3,208.785,208.9,208.26,208.6,21755,208.6
4,208.61,208.95,208.15,208.9,27022,208.9
5,209.29,209.41,208.56,208.66,23106,208.66
6,208.94,209.65,208.54,209.38,176198,209.38
7,208.82,209.0463,208.71,209.02,9517,209.02
8,208.25,208.8899,208.09,208.8899,17871,208.8899
9,207.8601,208.615,207.8601,208.33,40064,208.33
10,207.78,208.055,207.68,207.97,30794,207.97
11,207.655,208.01,207.6,207.8,12919,207.8
12,208.0,208.08,207.665,207.69,36364,207.69
13,207.8682,208.075,207.64,207.97,17648,207.97
14,207.9,208.03,207.8,207.91,21449,207.91
15,207.97,208.05,207.8,207.93,12603,207.93
16,207.91,208.12,207.78,208.02,9577,208.02
17,207.7,207.96,207.65,207.92,6487,207.92
18,207.76,208.05,207.73,207.79,17416,207.79
19,208.27,208.445,207.78,207.79,16640,207.79
20,208.3535,208.3535,208.03,208.21,13432,208.21
21,208.015,208.3,207.83,208.29,13221,208.29
22,207.96,208.02,207.62,207.97,9251,207.97
23,208.09,208.1,207.84,207.98,16582,207.98
24,207.84,208.11,207.79,208.1,20663,208.1
25,208.09,208.17,207.9,207.91,11674,207.91
26,208.07,208.12,207.965,208.11,12403,208.11
27,208.31,208.33,207.96,208.09,19945,208.09
28,208.14,208.34,208.14,208.315,45948,208.315
29,208.73,208.7399,208.05,208.12,39426,208.12
30,209.58,209.58,208.7,208.7,19553,208.7
31,209.87,209.9222,209.56,209.61,21984,209.61
32,209.5101,209.89,209.5101,209.79,14863,209.79
33,209.51,209.63,209.35,209.55,7680,209.55
34,209.8515,209.91,209.5304,209.5304,10544,209.5304
35,209.79,209.9,209.68,209.9,9354,209.9
36,209.88,209.94,209.79,209.8,5628,209.8
37,209.9,210.0,209.77,209.8534,15255,209.8534
38,209.93,209.98,209.81,209.88,13094,209.88
39,209.94,209.9899,209.85,209.92,4580,209.92
40,209.9,209.99,209.86,209.94,11458,209.94
41,209.81,210.0,209.81,209.88,35033,209.88
42,209.91,210.0,209.75,209.81,14820,209.81
43,209.71,209.93,209.7,209.891,15336,209.891
44,209.78,209.91,209.68,209.75,12857,209.75
45,209.8461,209.92,209.78,209.79,5933,209.79
46,209.88,209.9,209.76,209.82,8528,209.82
47,209.9,210.07,209.86,209.89,19792,209.89
48,209.75,209.93,209.75,209.8825,2056,209.8825
49,209.87,209.94,209.76,209.81,8254,209.81
50,209.85,210.0,209.77,209.88,11297,209.88
51,210.02,210.03,209.83,209.8616,16796,209.8616
52,210.17,210.23,209.95,209.98,15660,209.98
53,210.14,210.22,209.99,210.22,13636,210.22
54,209.985,210.26,209.97,210.16,24751,210.16
55,209.89,209.975,209.69,209.975,11028,209.975
56,209.9,209.94,209.75,209.9308,7713,209.9308
57,209.76,209.9299,209.65,209.9299,9284,209.9299
58,209.84,209.92,209.76,209.8,6023,209.8
59,209.778,209.95,209.675,209.92,4771,209.92
60,210.11,210.14,209.82,209.84,11492,209.84
61,210.0,210.12,209.84,210.12,9218,210.12
62,209.95,210.05,209.91,210.0,24034,210.0
63,209.98,210.05,209.91,209.97,25815,209.97
64,210.03,210.1416,209.97,209.99,16160,209.99
65,210.04,210.11,209.94,210.07,14084,210.07
66,210.08,210.08,209.9,210.02,20947,210.02
67,210.0,210.09,209.84,210.07,14665,210.07
68,210.0,210.04,209.88,210.01,18064,210.01
69,210.02,210.07,209.87,209.95,18437,209.95
70,209.98,209.99,209.86,209.95,17956,209.95
71,210.06,210.09,209.93,209.94,31752,209.94
72,210.14,210.2,210.05,210.05,23581,210.05
73,210.08,210.23,210.037,210.21,33866,210.21
74,210.45,210.645,210.09,210.1,46824,210.1
75,210.73,210.75,210.41,210.5,43430,210.5
76,210.91,211.05,210.63,210.7025,60204,210.7025
77,210.98,210.98,210.75,210.91,87029,210.91
78,210.9,211.03,210.3311,210.92,144550,210.92
79,209.15,209.64,209.0,209.26,54028,209.26
80,210.88,211.0,209.1,209.21,30125,209.21
81,210.72,211.34,209.41,210.62,41268,210.62
82,210.225,210.83,209.57,210.72,15202,210.72
83,210.28,210.36,209.79,210.17,7991,210.17
84,210.195,210.49,210.15,210.21,9219,210.21
85,209.76,210.21,209.76,210.199,21048,210.199
