Date,Open,High,Low,Close,Volume,Adj Close
0,198.64,198.64,195.65,195.95,92578,195.95
1,194.895,200.1,194.57,198.34,77481,198.34
2,195.44,196.99,194.7,194.97,47464,194.97
3,195.59,196.408,194.69,195.3,61598,195.3
4,195.82,196.53,195.34,195.34,34831,195.34
5,194.55,196.41,194.36,195.8,44075,195.8
6,194.19,195.3699,193.45,194.471,67197,194.471
7,194.79,195.09,193.77,194.34,39555,194.34
8,194.94,195.77,194.47,194.79,58745,194.79
9,193.71,195.3,193.52,194.94,57799,194.94
10,193.67,194.47,193.13,193.87,24772,193.87
11,192.03,193.688,191.35,193.57,66904,193.57
12,191.33,191.875,190.07,191.85,73769,191.85
13,192.333,192.79,191.09,191.6,61172,191.6
14,193.565,194.17,191.96,192.2,41532,192.2
15,193.545,193.99,192.89,193.52,34158,193.52
16,194.4,194.4,192.98,193.66,39130,193.66
17,195.61,195.94,194.25,194.33,79918,194.33
18,194.92,195.96,194.4,195.72,82302,195.72
19,194.6,195.39,194.6,195.14,90766,195.14
20,195.432,195.94,194.42,194.62,85932,194.62
21,197.07,197.07,195.3,195.3,93681,195.3
22,196.71,197.71,196.18,196.975,101958,196.975
23,196.055,197.07,195.22,196.8,107094,196.8
24,195.6,196.0,194.84,195.96,117804,195.96
25,196.17,197.01,195.58,195.75,233084,195.75
26,196.285,199.51,195.31,198.0,62063,198.0
27,193.25,196.94,191.14,196.17,143929,196.17
28,195.045,195.36,192.37,192.78,100808,192.78
29,195.86,196.63,194.74,195.0,81309,195.0
30,196.53,196.87,195.855,195.855,60384,195.855
31,196.43,197.4799,196.0301,196.515,54984,196.515
32,195.51,196.57,194.7901,196.43,53756,196.43
33,197.5,197.6,194.44,195.53,175387,195.53
34,197.6,198.0525,196.5,197.59,32941,197.59
35,196.0,198.105,196.0,197.7399,40556,197.7399
36,196.01,196.44,195.3001,196.1,33599,196.1
37,195.26,196.01,194.4,196.01,52273,196.01
38,195.9,196.8394,195.3,195.3,32463,195.3
39,195.58,195.88,195.1001,195.725,31057,195.725
40,196.27,197.24,195.56,195.562,40485,195.562
41,194.67,197.05,194.64,196.28,23699,196.28
42,194.34,195.31,194.2,194.56,22962,194.56
43,193.7,195.16,193.45,194.285,22785,194.285
44,192.5339,193.82,192.46,193.61,25835,193.61
45,192.77,192.9,191.66,192.5,63283,192.5
46,191.82,193.06,191.82,193.06,70960,193.06
47,191.89,192.66,191.79,191.84,68523,191.84
48,190.59,192.25,190.59,191.89,95536,191.89
49,191.87,192.43,190.4,190.88,82738,190.88
50,193.5,194.1899,191.6035,191.88,149236,191.88
51,193.44,194.38,192.99,193.5,260230,193.5
52,189.285,190.84,188.0,189.81,82775,189.81
53,186.01,189.86,185.78,189.32,91124,189.32
54,186.23,187.1499,185.668,186.0,58056,186.0
55,186.165,187.03,185.86,186.49,49874,186.49
56,184.275,186.02,183.74,185.8038,84039,185.8038
57,184.1,184.6999,183.9,184.43,85590,184.43
58,184.526,184.97,183.63,184.25,85146,184.25
59,184.92,185.4194,183.83,184.3,62594,184.3
60,185.8,186.5,184.95,184.95,52418,184.95
61,186.14,186.57,185.532,185.84,31583,185.84
62,186.425,186.66,184.69,186.008,30332,186.008
63,184.2299,186.97,183.9201,186.37,27798,186.37
64,183.75,184.86,183.5,184.0598,27268,184.0598
65,186.608,186.8,183.5986,183.5986,22377,183.5986
66,184.88,186.72,184.57,186.685,95469,186.685
67,184.065,185.065,183.15,185.065,70917,185.065
68,186.6999,186.6999,183.93,184.005,158461,184.005
69,187.69,188.93,186.42,186.61,95948,186.61
70,188.32,189.3122,186.57,187.71,50892,187.71
71,188.32,189.22,187.76,188.445,44301,188.445
72,188.415,188.81,186.87,188.41,37979,188.41
73,189.17,189.612,187.63,188.425,31693,188.425
74,189.38,189.46,187.64,188.97,94622,188.97
75,191.71,192.25,189.31,189.5,165058,189.5
76,189.47,191.98,188.26,191.49,157926,191.49
77,189.31,189.95,187.51,189.48,205783,189.48
78,191.75,191.75,191.53,191.53,541,191.53
79,186.43,191.44,186.4,191.44,90994,191.44
80,187.995,188.87,185.385,186.46,62317,186.46
81,192.475,192.72,187.99,187.99,79949,187.99
82,191.7422,192.9099,191.07,192.57,58968,192.57
83,192.75,193.39,191.44,191.93,35807,191.93
84,192.37,193.18,192.09,192.8599,50683,192.8599
85,192.94,193.43,191.5,192.36,39762,192.36
86,191.09,193.07,190.8,192.645,30508,192.645
87,191.92,192.4,190.612,191.09,20657,191.09
88,193.79,194.0,191.855,191.99,39972,191.99
89,194.9,195.44,194.0,194.0,53289,194.0
90,194.89,195.3599,194.08,194.98,39457,194.98
91,193.95,195.125,193.95,194.92,21853,194.92
92,193.17,193.86,192.9501,193.75,7778,193.75
93,193.335,194.33,193.32,193.39,21912,193.39
94,192.28,193.84,191.97,193.24,22593,193.24
95,191.99,192.8699,191.72,192.66,22630,192.66
96,191.56,192.86,191.25,191.945,21448,191.945
97,189.87,191.67,189.78,191.56,48936,191.56
98,190.8,191.22,189.7,189.81,26666,189.81
99,191.11,191.7,190.8,190.8,20095,190.8
100,190.45,191.24,190.06,191.24,55232,191.24
101,190.13,190.86,189.39,190.46,48948,190.46
102,189.68,190.83,189.55,189.91,18728,189.91
103,190.64,191.22,189.58,189.58,29113,189.58
104,189.66,190.82,189.59,190.62,97325,190.62
105,199.68,199.68,199.68,199.68,100,199.68
106,198.4775,200.74,197.07,199.775,261692,199.775
107,197.98,198.67,197.21,198.08,54897,198.08
108,197.205,198.43,197.0,198.02,64373,198.02
109,197.66,198.2199,196.98,197.17,71188,197.17
110,198.02,198.69,197.44,197.63,91465,197.63
111,197.94,198.39,197.75,197.984,52743,197.984
112,197.93,198.44,197.7,197.905,79328,197.905
113,198.02,198.43,197.55,197.81,56037,197.81
114,197.71,198.577,197.66,198.12,47387,198.12
115,197.7071,198.21,197.58,197.815,28890,197.815
116,197.97,198.06,197.385,197.72,47893,197.72
117,198.17,198.25,197.66,198.19,22720,198.19
118,198.36,198.5,197.6981,198.17,36917,198.17
119,198.99,199.07,198.27,198.36,55974,198.36
120,199.11,199.11,198.51,199.0,38904,199.0
121,199.11,199.81,198.99,198.99,42544,198.99
122,198.6,199.8,198.36,199.23,44316,199.23
123,199.32,199.48,198.24,198.35,29206,198.35
124,199.98,200.0,199.24,199.4,17878,199.4
125,198.77,200.15,198.77,199.99,19968,199.99
126,197.87,198.77,197.73,198.77,43943,198.77
127,197.97,198.2775,197.79,197.95,39959,197.95
128,198.01,198.45,197.26,198.06,58002,198.06
129,198.5,198.5,197.75,198.02,27605,198.02
130,199.64,199.84,198.16,198.418,84225,198.418
131,199.47,199.77,199.07,199.61,122325,199.61
132,196.01,199.44,196.01,198.63,134157,198.63
133,195.88,196.28,195.08,196.02,31294,196.02
134,196.12,197.5,195.59,195.88,29879,195.88
135,196.63,197.57,195.44,196.16,71619,196.16
136,195.7585,196.91,195.705,196.597,21712,196.597
137,195.78,196.5848,195.7225,196.034,28449,196.034
138,195.1,196.0699,195.09,196.0699,34472,196.0699
139,195.01,195.8225,194.75,195.06,33304,195.06
140,194.07,195.01,193.78,195.01,32054,195.01
141,194.81,195.17,193.46,193.925,19188,193.925
142,193.97,195.14,193.86,194.83,21029,194.83
143,194.77,195.49,193.97,193.97,20048,193.97
144,195.79,196.11,194.285,194.596,32821,194.596
145,195.6,195.91,195.21,195.675,32097,195.675
146,196.3325,196.39,195.62,195.7,31255,195.7
147,196.26,196.79,196.0205,196.25,30901,196.25
