Date,Open,High,Low,Close,Volume,Adj Close
0,221.21,222.7,219.61,222.06,144992,222.06
1,221.03,221.5,218.83,221.12,165136,221.12
2,222.585,224.43,219.57,220.875,136885,220.875
3,224.555,224.72,221.76,222.56,118369,222.56
4,224.705,226.4,224.24,224.54,92355,224.54
5,225.35,225.5,224.06,224.705,95356,224.705
6,225.55,225.906,223.76,225.385,253305,225.385
7,225.355,228.19,225.08,228.02,60968,228.02
8,227.15,227.23,224.44,225.4614,88472,225.4614
9,226.67,227.49,226.3,227.04,56015,227.04
10,224.6201,226.86,224.12,226.8,114297,226.8
11,228.0597,228.35,224.7,224.886,106425,224.886
12,229.0,229.95,227.81,227.982,148801,227.982
13,229.0,229.73,228.48,228.8425,315451,228.8425
14,228.48,229.29,224.86,224.97,97625,224.97
15,231.4,231.68,226.51,228.4574,139631,228.4574
16,229.86,231.525,229.48,231.44,90424,231.44
17,230.65,231.06,229.111,229.98,74096,229.98
18,227.73,230.65,227.73,230.5,83064,230.5
19,225.48,228.2,225.0,227.72,188859,227.72
20,225.97,226.15,225.12,225.51,242593,225.51
21,221.42,226.095,221.23,222.19,168884,222.19
22,223.33,224.16,220.01,221.42,230958,221.42
23,221.92,223.7723,221.81,223.63,48829,223.63
24,220.26,222.42,220.26,221.92,55928,221.92
25,217.14,220.51,216.92,220.51,132478,220.51
26,217.58,219.46,216.25,217.28,103586,217.28
27,216.75,218.79,216.63,217.32,306480,217.32
28,221.93,221.99,219.77,219.98,117427,219.98
29,218.58,222.04,218.39,222.04,212076,222.04
30,218.51,219.5,215.76,218.43,130141,218.43
31,217.9,219.0,217.57,218.65,121920,218.65
32,218.03,218.23,216.49,217.85,98245,217.85
33,217.905,218.503,217.6401,218.09,123303,218.09
34,215.79,218.26,215.01,217.905,465751,217.905
35,213.61,216.865,212.84,216.28,110607,216.28
36,212.06,215.29,211.77,213.818,147448,213.818
37,213.51,214.28,211.9,211.91,186446,211.91
38,210.2,213.5,209.5501,213.49,170450,213.49
39,206.36,210.93,206.35,210.2,182192,210.2
40,207.94,209.93,205.94,206.48,215556,206.48
41,210.81,212.2999,206.65,208.035,420041,208.035
42,214.32,216.2,212.83,213.26,144848,213.26
43,209.75,214.46,209.7,214.36,138731,214.36
44,210.4,211.295,208.42,209.855,104342,209.855
45,208.6015,210.74,207.49,210.27,149616,210.27
46,208.63,209.93,208.0,208.75,148114,208.75
47,209.74,210.08,207.19,208.49,89704,208.49
48,210.45,211.38,208.5,209.82,247259,209.82
49,212.17,212.92,210.45,211.66,102929,211.66
50,207.66,212.76,206.67,212.0,205701,212.0
51,206.05,209.59,206.05,207.67,160192,207.67
52,204.395,207.3246,204.0,206.41,97595,206.41
53,201.7001,205.09,200.17,204.395,289716,204.395
54,203.5,203.72,199.0001,201.74,203083,201.74
55,203.13,205.3,202.48,203.63,290779,203.63
56,195.68,203.85,194.7001,203.56,206382,203.56
57,202.21,206.25,195.26,195.53,403680,195.53
58,199.91,202.155,198.7201,201.57,152134,201.57
59,202.16,202.465,199.07,200.0,235196,200.0
60,202.6,204.26,202.0,202.25,157276,202.25
61,205.05,205.22,201.32,202.515,164900,202.515
62,203.25,205.34,202.52,205.0,243495,205.0
63,194.895,200.1,194.57,195.95,170059,195.95
64,194.55,196.99,194.36,194.97,187968,194.97
65,193.71,195.77,193.45,194.471,223296,194.471
66,192.333,194.47,190.07,193.87,226617,193.87
67,195.61,195.94,191.96,192.2,194738,192.2
68,197.07,197.07,194.4,195.72,352681,195.72
69,196.17,197.71,195.22,196.975,442136,196.975
70,193.25,199.51,191.14,198.0,205992,198.0
71,196.43,197.4799,192.37,192.78,297485,192.78
72,196.0,198.105,194.44,196.43,302640,196.43
73,195.58,196.8394,194.4,196.1,149392,196.1
74,193.7,197.24,193.45,195.562,109931,195.562
75,191.89,193.82,191.66,193.61,228601,193.61
76,193.44,194.38,190.4,191.89,587740,191.89
77,186.01,190.84,185.78,189.81,173899,189.81
78,184.1,187.1499,183.74,186.0,277559,186.0
79,186.14,186.57,183.63,184.25,231741,184.25
80,186.608,186.97,183.5,186.008,107775,186.008
81,187.69,188.93,183.15,186.685,420795,186.685
82,189.17,189.612,186.57,187.71,164865,187.71
83,189.31,192.25,187.51,188.97,623389,188.97
84,187.995,191.75,185.385,191.53,153852,191.53
85,192.37,193.39,187.99,187.99,225407,187.99
86,193.79,194.0,190.612,192.36,130899,192.36
87,193.17,195.44,192.9501,194.0,122377,194.0
88,191.56,194.33,191.25,193.39,88583,193.39
89,190.45,191.7,189.7,191.56,150929,191.56
90,189.66,191.22,189.39,190.46,194114,190.46
91,197.98,200.74,197.07,199.68,316689,199.68
92,197.94,198.69,196.98,198.02,279769,198.02
93,197.7071,198.577,197.55,197.905,211642,197.905
94,198.99,199.07,197.385,197.72,163504,197.72
95,199.32,199.81,198.24,199.0,154970,199.0
96,197.97,200.15,197.73,199.4,121748,199.4
97,199.47,199.84,197.26,198.06,292157,198.06
98,195.88,199.44,195.08,198.63,165451,198.63
99,195.78,197.57,195.44,195.88,151659,195.88
100,194.81,196.0699,193.46,196.0699,119018,196.0699
101,195.6,196.11,193.86,194.83,105995,194.83
102,194.5186,196.79,194.46,195.7,119071,195.7
103,194.4,194.88,193.97,194.4852,91783,194.4852
104,193.47,195.23,192.53,194.37,331118,194.37
105,190.43,194.0,190.2,193.78,83963,193.78
106,192.7,193.78,190.4,190.47,110939,190.47
107,194.33,194.49,192.4,192.82,87048,192.82
108,194.6,195.36,194.03,194.27,61486,194.27
109,195.73,196.66,194.635,194.635,65503,194.635
110,195.03,195.87,194.5501,195.66,107007,195.66
111,196.03,196.185,194.48,195.13,123494,195.13
112,192.868,195.7808,192.672,194.28,53049,194.28
113,191.51,193.329,191.39,192.785,108106,192.785
114,191.575,192.68,190.2,191.56,138045,191.56
115,192.39,194.51,191.66,191.66,176680,191.66
116,190.3701,192.41,189.86,192.3,117084,192.3
117,189.53,191.64,189.01,190.845,169014,190.845
118,188.12,189.64,186.8,189.64,329379,189.64
119,192.74,196.81,191.27,195.1,196626,195.1
120,191.7528,192.82,189.0,192.75,286803,192.75
121,189.89,192.95,189.12,191.96,115336,191.96
122,191.17,192.4499,189.904,189.92,118291,189.92
123,189.9,192.5,189.9,191.02,111546,191.02
124,191.02,192.0,189.81,189.82,89723,189.82
125,191.07,191.7,190.1,191.2,285482,191.2
126,191.36,194.23,190.18,193.76,208067,193.76
127,193.7941,194.24,190.22,191.36,292236,191.36
128,194.09,195.2,193.26,193.66,207752,193.66
129,195.48,195.73,193.36,194.09,191762,194.09
130,195.16,196.19,194.13,195.58,105432,195.58
131,195.65,196.63,194.68,195.27,104577,195.27
132,197.87,198.06,195.6,195.8099,392509,195.8099
133,199.8304,200.76,197.49,197.82,263379,197.82
134,202.87,203.15,198.6101,199.7,295615,199.7
135,202.7,205.0,202.0,202.87,242587,202.87
136,200.58,201.579,200.07,200.93,99892,200.93
137,202.13,202.59,200.03,200.5,151703,200.5
138,204.69,204.87,201.7,202.29,245009,202.29
139,205.7,206.26,203.78,204.61,589833,204.61
140,205.94,208.8897,203.8,207.61,350833,207.61
141,206.455,207.71,205.3003,205.96,330639,205.96
142,204.54,206.9,204.1701,206.5841,192190,206.5841
143,202.7,204.78,202.59,204.52,231987,204.52
144,199.94,202.69,199.53,202.69,238290,202.69
145,200.48,201.69,199.78,200.12,256415,200.12
146,203.48,203.58,200.25,200.25,455432,200.25
147,195.28,204.8828,195.01,204.26,230120,204.26
148,191.2,195.47,187.77,195.04,688584,195.04
149,188.98,191.48,187.57,191.1611,422524,191.1611
150,189.76,190.33,187.0,188.98,185486,188.98
151,185.18,190.32,185.05,189.59,309230,189.59
152,191.12,194.14,185.08,185.25,481839,185.25
153,191.21,192.8,190.35,191.255,452432,191.255
154,189.28,193.7,186.1801,191.58,232973,191.58
155,194.0125,196.82,187.725,189.15,468569,189.15
156,192.12,194.29,190.66,194.15,233331,194.15
157,192.65,193.52,191.25,191.94,200142,191.94
158,190.42,194.6,190.05,192.465,384126,192.465
159,188.45,190.47,187.35,190.47,448520,190.47
160,191.2,193.03,187.615,188.52,1266805,188.52
161,115.36,128.985,110.01,125.34,9280837,125.34
162,115.97,120.0,113.45,115.6393,7300160,115.6393
163,112.865,116.45,111.08,115.955,4423736,115.955
164,112.44,115.24,111.0,112.9199,3003010,112.9199
165,110.79,114.0,109.5,112.45,3403318,112.45
166,106.14,111.29,102.81,110.849,5775415,110.849
167,108.39,110.1,103.5,106.15,5348043,106.15
168,114.02,114.331,106.87,107.2,3169614,107.2
169,110.91,115.35,109.58,113.97,2961721,113.97
170,111.08,111.2,108.501,110.94,1365169,110.94
171,109.47,111.646,109.14,111.04,827929,111.04
172,108.08,109.88,107.361,109.5,1137023,109.5
173,107.51,108.7,107.0,108.03,905504,108.03
174,109.995,110.44,106.72,107.51,1768971,107.51
175,110.2975,112.26,107.55,108.7,839795,108.7
176,108.55,112.05,108.176,110.15,779338,110.15
177,106.41,109.85,106.39,108.542,681355,108.542
178,103.29,107.25,103.1,106.41,1246481,106.41
179,104.0,104.32,101.51,103.16,1090163,103.16
180,103.3901,104.499,102.77,104.01,926935,104.01
181,100.99,105.1,100.12,103.45,2451832,103.45
182,100.12,102.4,98.25,101.8,1796961,101.8
183,102.64,103.2799,100.12,100.12,1841293,100.12
184,103.05,104.148,102.21,102.65,1145972,102.65
185,103.91,104.33,102.93,103.06,574897,103.06
