Date,Open,High,Low,Close,Volume,Adj Close
0,75.66,75.66,75.66,75.66,200,75.66
1,75.06,75.77,74.93,75.57,17344,75.57
2,74.45,75.11,74.29,75.08,17211,75.08
3,74.26,74.74,74.25,74.45,21192,74.45
4,74.785,74.785,74.25,74.26,10702,74.26
5,74.48,74.87,74.37,74.82,8522,74.82
6,74.1,74.67,74.0,74.42,10043,74.42
7,74.13,74.39,73.995,74.02,9842,74.02
8,74.35,74.37,73.86,74.04,7726,74.04
9,74.55,74.72,74.33,74.405,7837,74.405
10,74.46,74.84,74.45,74.65,7460,74.65
11,74.29,74.56,74.21,74.3911,3778,74.3911
12,74.16,74.31,73.835,74.31,6837,74.31
13,73.98,74.231,73.92,74.16,8075,74.16
14,73.79,73.98,73.68,73.94,6573,73.94
15,73.83,73.98,73.7689,73.85,7668,73.85
16,73.93,74.27,73.83,73.83,9059,73.83
17,73.63,74.09,73.63,74.03,5940,74.03
18,73.57,73.86,73.4,73.72,9532,73.72
19,73.11,73.63,73.11,73.58,8038,73.58
20,73.2,73.25,72.99,73.07,6776,73.07
21,72.99,73.31,72.94,73.25,5837,73.25
22,73.11,73.12,72.75,72.88,9627,72.88
23,73.27,73.42,73.01,73.01,12840,73.01
24,73.83,73.83,73.19,73.32,10607,73.32
25,73.98,74.03,73.65,73.87,29377,73.87
26,73.73,74.16,73.64,74.01,67927,74.01
27,72.4,72.59,71.84,72.44,13497,72.44
28,71.99,72.65,71.9101,72.42,11332,72.42
29,71.81,72.06,71.7,71.99,9993,71.99
30,71.8,71.98,71.41,71.8208,6975,71.8208
31,71.61,71.965,71.42,71.845,20429,71.845
32,71.15,71.59,71.1,71.59,9490,71.59
33,71.46,71.575,71.165,71.21,32281,71.21
34,71.19,71.55,71.19,71.36,12707,71.36
35,71.0,71.37,71.0,71.22,7100,71.22
36,70.73,70.96,70.51,70.96,9932,70.96
37,70.505,70.83,70.32,70.76,10845,70.76
38,70.09,70.48,69.96,70.48,8905,70.48
39,70.29,70.39,70.01,70.1,17787,70.1
40,71.06,71.06,70.28,70.28,25909,70.28
41,71.07,71.23,70.945,71.06,10370,71.06
42,71.16,71.26,70.88,71.02,8054,71.02
43,71.54,71.635,71.14,71.15,21027,71.15
44,71.71,71.83,71.46,71.55,14479,71.55
45,71.72,72.0,71.33,71.635,27003,71.635
46,71.86,71.95,71.6475,71.71,16587,71.71
47,71.73,71.92,71.58,71.88,18911,71.88
