Date,Open,High,Low,Close,Volume,Adj Close
0,60.0,60.0,59.51,59.89,21219,59.89
1,59.5901,59.973,59.37,59.62,17400,59.62
2,59.95,60.07,59.71,59.71,18307,59.71
3,59.79,59.98,59.71,59.89,24269,59.89
4,59.96,60.12,59.8,59.85,56622,59.85
5,60.27,60.27,60.0301,60.04,35878,60.04
6,60.43,60.43,60.07,60.28,29331,60.28
7,60.35,60.47,59.98,60.43,52209,60.43
8,60.37,60.46,60.28,60.38,21776,60.38
9,60.09,60.45,60.08,60.3787,35606,60.3787
10,60.505,60.59,60.08,60.08,117037,60.08
11,60.14,60.52,60.14,60.49,42179,60.49
12,59.92,60.13,59.92,60.1,20721,60.1
13,59.87,60.01,59.86,59.91,33404,59.91
14,59.92,59.98,59.81,59.86,25065,59.86
15,59.98,60.09,59.91,59.91,32515,59.91
16,59.94,60.03,59.83,59.98,39085,59.98
17,59.69,60.0,59.69,59.95,19806,59.95
18,59.78,59.78,59.64,59.68,25366,59.68
19,59.89,59.91,59.78,59.81,32300,59.81
20,60.03,60.1,59.89,59.91,28413,59.91
21,60.0,60.08,59.94,60.015,23706,60.015
22,59.86,59.99,59.83,59.98,15877,59.98
23,60.0199,60.0199,59.85,59.86,12665,59.86
24,59.94,60.02,59.84,60.0,17741,60.0
25,60.05,60.1,59.94,59.94,15688,59.94
26,59.89,60.06,59.88,60.06,21065,60.06
27,59.92,59.96,59.8,59.9,31804,59.9
28,59.92,60.0,59.91,59.92,15976,59.92
29,60.19,60.22,59.95,59.96,17924,59.96
30,60.22,60.32,60.18,60.18,11309,60.18
31,60.18,60.22,60.1,60.2,20911,60.2
32,60.245,60.32,60.19,60.19,15925,60.19
33,60.37,60.37,60.26,60.26,11757,60.26
34,60.38,60.385,60.31,60.367,19630,60.367
35,60.35,60.4,60.35,60.39,16110,60.39
36,60.41,60.43,60.36,60.37,91884,60.37
37,60.32,60.45,60.32,60.4399,26622,60.4399
38,60.37,60.39,60.34,60.34,18143,60.34
39,60.4,60.44,60.36,60.38,77925,60.38
40,60.35,60.46,60.35,60.39,22769,60.39
41,60.39,60.4,60.32,60.35,18994,60.35
42,60.4,60.4,60.3325,60.39,24207,60.39
43,60.38,60.45,60.34,60.4,22398,60.4
44,60.39,60.4,60.35,60.4,10144,60.4
45,60.38,60.45,60.35,60.39,26680,60.39
46,60.42,60.42,60.38,60.39,23205,60.39
47,60.55,60.55,60.41,60.42,32635,60.42
48,60.51,60.55,60.44,60.55,19133,60.55
49,60.69,60.69,60.53,60.53,19990,60.53
50,60.68,60.7,60.63,60.68,11373,60.68
51,60.81,60.84,60.68,60.68,15569,60.68
52,60.87,60.89,60.78,60.83,8166,60.83
53,60.754,60.88,60.71,60.88,8990,60.88
54,60.82,60.91,60.74,60.74,11464,60.74
55,60.82,60.82,60.685,60.79,20982,60.79
56,60.76,60.83,60.76,60.81,13022,60.81
57,60.82,60.82,60.75,60.76,17603,60.76
58,61.04,61.04,60.81,60.83,23714,60.83
59,61.03,61.08,61.02,61.05,16200,61.05
60,61.15,61.15,61.01,61.02,16835,61.02
61,61.13,61.15,61.08,61.12,29019,61.12
62,61.09,61.22,61.05,61.14,18730,61.14
63,61.1865,61.23,61.09,61.09,29035,61.09
64,61.125,61.307,61.12,61.18,25266,61.18
65,60.94,61.16,60.93,61.14,30365,61.14
66,60.95,60.96,60.88,60.93,21095,60.93
67,60.99,61.0,60.89,60.96,33954,60.96
68,60.97,61.03,60.93,60.99,43718,60.99
69,61.0801,61.13,60.95,60.97,15207,60.97
70,61.0565,61.09,61.015,61.09,23513,61.09
71,61.05,61.06,61.01,61.05,35347,61.05
72,61.16,61.19,61.04,61.04,30175,61.04
73,61.1,61.17,61.1,61.17,23283,61.17
74,61.0085,61.18,61.0,61.1,71198,61.1
75,61.08,61.09,61.0,61.01,40289,61.01
76,61.21,61.24,61.08,61.1,53623,61.1
77,61.25,61.3,61.21,61.22,78888,61.22
78,61.28,61.3,61.15,61.24,496455,61.24
79,60.99,60.99,60.32,60.32,15786,60.32
80,60.18,61.1,60.01,61.1,115755,61.1
81,60.5,60.56,60.15,60.17,36815,60.17
82,60.7,60.8,60.49,60.54,41825,60.54
83,60.55,60.84,60.53,60.7,30310,60.7
84,60.77,60.77,60.47,60.55,15642,60.55
85,60.66,60.73,60.55,60.73,10858,60.73
86,60.2445,60.69,60.15,60.69,39468,60.69
87,60.61,60.63,60.22,60.25,40367,60.25
88,60.86,61.07,60.575,60.62,48891,60.62
89,60.7,60.96,60.649,60.88,45167,60.88
90,60.56,60.73,60.5353,60.71,32899,60.71
91,60.46,60.68,60.42,60.56,37661,60.56
92,60.47,60.61,60.39,60.46,50559,60.46
93,60.43,60.57,60.37,60.47,616420,60.47
94,60.72,60.72,60.4,60.44,80382,60.44
95,60.68,60.8,60.6,60.74,28997,60.74
96,60.53,60.75,60.52,60.7,45133,60.7
97,60.73,60.775,60.431,60.51,38730,60.51
98,60.74,60.74,60.56,60.71,20552,60.71
99,60.83,60.91,60.73,60.73,14340,60.73
100,60.72,60.83,60.66,60.82,28188,60.82
101,60.64,60.75,60.6,60.74,21842,60.74
102,60.61,60.67,60.51,60.6301,71821,60.6301
103,60.74,60.7713,60.59,60.61,27087,60.61
104,60.74,60.78,60.7,60.76,33952,60.76
105,60.87,60.88,60.75,60.75,77680,60.75
106,60.81,60.89,60.79,60.88,52922,60.88
107,60.95,61.0,60.81,60.81,17757,60.81
108,61.02,61.02,60.89,60.94,73634,60.94
109,61.0,61.06,60.94,61.02,31017,61.02
110,60.99,61.05,60.93,61.0,41336,61.0
111,61.01,61.02,60.88,61.01,23922,61.01
112,61.19,61.21,60.99,61.01,19853,61.01
113,61.1,61.18,60.9303,61.17,18824,61.17
114,61.036,61.14,61.01,61.09,9506,61.09
115,60.99,61.05,60.97,61.03,7981,61.03
116,60.97,61.06,60.97,60.99,14449,60.99
117,60.88,60.95,60.82,60.92,13936,60.92
118,61.04,61.05,60.86,60.88,10144,60.88
119,60.96,61.02,60.92,61.01,15905,61.01
120,60.75,60.96,60.72,60.95,18138,60.95
121,60.76,60.8,60.66,60.75,21513,60.75
122,60.87,60.88,60.71,60.765,27616,60.765
123,60.76,60.87,60.7,60.87,22167,60.87
124,60.825,60.85,60.72,60.76,15477,60.76
125,60.79,60.855,60.75,60.84,12592,60.84
126,60.91,60.93,60.7675,60.8,22467,60.8
127,61.0101,61.04,60.9,60.92,19321,60.92
128,60.92,61.025,60.9,61.025,16180,61.025
129,60.88,60.95,60.82,60.92,24365,60.92
130,60.89,61.01,60.87,60.87,23764,60.87
131,61.085,61.11,60.88,60.89,16800,60.89
132,61.03,61.13,61.02,61.07,24844,61.07
133,61.11,61.13,61.03,61.03,18931,61.03
134,61.13,61.2,61.09,61.11,23495,61.11
135,61.02,61.155,61.02,61.13,17019,61.13
136,61.065,61.115,61.02,61.03,14865,61.03
137,61.175,61.175,61.03,61.06,17900,61.06
138,61.21,61.25,61.17,61.19,13204,61.19
139,61.33,61.33,61.2,61.22,13421,61.22
140,61.36,61.39,61.28,61.33,12870,61.33
141,61.33,61.415,61.27,61.37,19486,61.37
142,61.51,61.53,61.33,61.33,18811,61.33
143,61.395,61.515,61.35,61.51,22399,61.51
144,61.33,61.41,61.28,61.4,14900,61.4
145,61.46,61.51,61.29,61.33,22889,61.33
146,61.53,61.55,61.459,61.47,13441,61.47
147,61.4677,61.52,61.42,61.52,26294,61.52
148,61.48,61.525,61.43,61.47,31668,61.47
149,61.814,61.814,61.46,61.47,35962,61.47
150,61.83,61.8999,61.81,61.81,27023,61.81
151,61.77,61.83,61.74,61.83,19638,61.83
152,61.73,61.79,61.66,61.78,22659,61.78
153,61.57,61.7615,61.57,61.74,29769,61.74
154,61.77,61.79,61.58,61.58,25343,61.58
155,61.56,61.79,61.55,61.78,49737,61.78
156,61.45,61.58,61.445,61.57,60128,61.57
157,61.42,61.51,61.42,61.46,162533,61.46
158,60.4,60.4,60.4,60.4,14837,60.4
159,60.49,60.7,60.22,60.53,23521,60.53
160,60.33,60.76,60.33,60.47,32293,60.47
161,60.0,60.35,60.0,60.35,39766,60.35
162,59.67,60.02,59.67,60.02,45690,60.02
163,59.75,59.87,59.64,59.66,36197,59.66
164,59.74,59.91,59.68,59.735,26125,59.735
165,59.99,60.03,59.74,59.74,27933,59.74
166,59.96,60.13,59.93,59.95,31909,59.95
167,59.75,60.01,59.68,59.97,39647,59.97
168,59.47,59.8,59.47,59.74,48741,59.74
169,59.26,59.54,59.19,59.44,64132,59.44
170,59.39,59.49,59.16,59.24,44347,59.24
171,59.59,59.64,59.3,59.38,38691,59.38
172,59.8,59.82,59.48,59.58,29042,59.58
173,59.78,59.82,59.64,59.81,28391,59.81
174,59.68,59.78,59.62,59.77,29518,59.77
175,59.64,59.71,59.51,59.68,37497,59.68
176,59.51,59.66,59.465,59.66,25087,59.66
177,59.46,59.59,59.44,59.5,35920,59.5
178,59.61,59.64,59.43,59.43,22726,59.43
179,59.73,59.73,59.53,59.6,16454,59.6
180,59.75,59.83,59.69,59.73,15438,59.73
181,59.82,59.84,59.72,59.75,26596,59.75
182,59.84,59.91,59.77,59.84,28582,59.84
183,60.02,60.1,59.82,59.83,19823,59.83
184,60.09,60.11,60.01,60.02,12304,60.02
185,60.02,60.07,60.0,60.07,21314,60.07
186,59.99,60.07,59.99,60.01,21603,60.01
187,59.975,60.035,59.96,59.98,13043,59.98
188,59.86,60.0,59.8525,59.98,19372,59.98
189,59.8,59.94,59.77,59.855,38753,59.855
190,59.68,59.83,59.66,59.81,28629,59.81
191,59.49,59.67,59.45,59.67,32799,59.67
192,59.53,59.55,59.37,59.47,28412,59.47
193,59.54,59.588,59.52,59.53,12109,59.53
194,59.65,59.655,59.48,59.54,18342,59.54
195,59.52,59.645,59.47,59.64,23298,59.64
196,59.61,59.62,59.48,59.51,12357,59.51
197,59.54,59.6,59.54,59.6,27420,59.6
198,59.74,59.8,59.55,59.55,75033,59.55
199,59.6,59.74,59.58,59.74,10351,59.74
200,59.53,59.58,59.44,59.56,17779,59.56
201,59.39,59.55,59.38,59.54,25073,59.54
202,59.45,59.52,59.382,59.39,14527,59.39
203,59.51,59.545,59.42,59.47,14662,59.47
204,59.55,59.59,59.47,59.5101,25979,59.5101
205,59.5,59.59,59.5,59.54,20551,59.54
206,59.71,59.72,59.51,59.52,18668,59.52
207,59.74,59.75,59.63,59.73,12400,59.73
208,59.59,59.725,59.59,59.72,11777,59.72
209,59.6,59.63,59.55,59.6,34457,59.6
210,59.46,59.61,59.42,59.6,36465,59.6
211,59.46,59.53,59.38,59.47,15379,59.47
212,59.4,59.47,59.37,59.46,38601,59.46
213,59.42,59.46,59.37,59.41,18843,59.41
214,59.41,59.48,59.4,59.43,16725,59.43
215,59.45,59.49,59.37,59.4,32249,59.4
216,59.57,59.67,59.45,59.45,22398,59.45
217,59.45,59.56,59.38,59.5,45754,59.5
218,59.43,59.45,59.36,59.41,31706,59.41
219,59.46,59.47,59.4,59.43,25293,59.43
220,59.48,59.56,59.39,59.44,39102,59.44
221,59.52,59.5915,59.45,59.49,52977,59.49
222,59.41,59.53,59.4,59.52,40541,59.52
223,59.32,59.5,59.32,59.41,50550,59.41
224,59.18,59.38,59.18,59.31,47795,59.31
225,59.185,59.24,59.1701,59.1701,92007,59.1701
226,59.03,59.22,58.99,59.19,73691,59.19
227,59.13,59.16,59.0,59.02,113900,59.02
228,59.18,59.3,59.14,59.14,71977,59.14
229,59.09,59.175,59.0,59.17,45631,59.17
230,59.14,59.21,59.04,59.1,48012,59.1
231,59.19,59.25,59.145,59.15,65891,59.15
232,59.205,59.26,59.09,59.18,122184,59.18
233,59.18,59.3,59.17,59.205,174103,59.205
234,59.14,59.215,59.11,59.19,93875,59.19
235,59.1,59.16,59.04,59.15,110724,59.15
236,59.07,59.14,59.03,59.1,445345,59.1
237,59.16,59.16,59.16,59.16,27771,59.16
238,59.18,59.42,59.02,59.14,52208,59.14
239,58.92,59.25,58.85,59.15,40084,59.15
240,58.745,58.99,58.7,58.915,50092,58.915
241,58.83,58.86,58.602,58.71,52177,58.71
242,58.83,58.86,58.69,58.81,50508,58.81
243,58.54,58.8,58.45,58.8,124057,58.8
244,58.405,58.56,58.35,58.5,34111,58.5
245,58.04,58.47,58.04,58.38,58061,58.38
246,57.88,58.14,57.73,58.05,131767,58.05
247,58.13,58.14,57.846,57.88,18942,57.88
248,58.07,58.18,57.83,58.11,76430,58.11
249,57.79,58.09,57.77,58.03,22990,58.03
250,58.0,58.01,57.69,57.8,63762,57.8
251,58.16,58.18,57.8628,57.97,47211,57.97
252,58.21,58.23,58.04,58.19,26923,58.19
253,58.22,58.37,58.17,58.19,25931,58.19
254,58.52,58.53,58.21,58.21,17650,58.21
255,58.65,58.77,58.49,58.52,22725,58.52
256,58.32,58.67,58.3,58.62,31725,58.62
257,58.17,58.37,58.08,58.33,29918,58.33
258,58.37,58.37,58.04,58.14,24237,58.14
259,58.6,58.6,58.36,58.38,16502,58.38
260,58.57,58.77,58.53,58.57,28762,58.57
261,58.53,58.56,58.39,58.54,51091,58.54
262,58.21,58.55,58.19,58.52,78925,58.52
263,58.52,58.53,58.15,58.1999,47782,58.1999
264,58.63,58.75,58.54,58.54,32699,58.54
265,58.67,58.78,58.64,58.64,17797,58.64
266,58.43,58.76,58.35,58.69,21913,58.69
267,58.575,58.61,58.42,58.44,26070,58.44
268,58.86,58.87,58.62,58.62,25186,58.62
269,58.86,58.925,58.74,58.84,35945,58.84
270,58.845,58.89,58.62,58.86,42179,58.86
271,58.95,59.0,58.82,58.83,23458,58.83
272,59.04,59.15,58.93,58.93,19091,58.93
273,59.14,59.16,58.97,59.04,20742,59.04
274,58.895,59.14,58.8305,59.14,25423,59.14
275,59.0,59.01,58.88,58.88,41351,58.88
276,58.82,58.98,58.8,58.98,24637,58.98
277,58.94,58.94,58.78,58.82,14100,58.82
278,59.04,59.05,58.9,58.93,13439,58.93
279,59.18,59.19,59.03,59.06,21820,59.06
280,59.21,59.29,59.155,59.2,15928,59.2
281,58.97,59.26,58.96,59.21,16710,59.21
282,58.93,59.05,58.88,58.97,15636,58.97
283,58.89,59.0,58.86,58.93,14443,58.93
284,58.8501,58.92,58.79,58.9,25416,58.9
285,58.84,58.94,58.83,58.855,23207,58.855
286,58.73,58.87,58.72,58.85,16038,58.85
287,58.5604,58.72,58.5604,58.7,20469,58.7
288,58.7,58.74,58.53,58.56,19960,58.56
289,58.71,58.77,58.65,58.73,13606,58.73
290,58.62,58.73,58.6,58.71,15299,58.71
291,58.51,58.62,58.48,58.59,13803,58.59
292,58.74,58.745,58.5,58.51,12900,58.51
293,58.89,58.89,58.69,58.74,20373,58.74
294,58.96,59.01,58.88,58.9,15210,58.9
295,58.8,59.0,58.8,58.96,43356,58.96
296,59.3,59.3,58.76,58.78,25548,58.78
297,59.48,59.64,59.3,59.34,42896,59.34
298,59.34,59.55,59.32,59.53,28651,59.53
299,59.31,59.45,59.23,59.32,30319,59.32
300,59.48,59.5153,59.29,59.33,21716,59.33
301,59.63,59.73,59.52,59.52,24070,59.52
302,59.39,59.65,59.33,59.64,26171,59.64
303,59.5801,59.67,59.39,59.4,72022,59.4
