Date,Open,High,Low,Close,Volume,Adj Close
0,68.44,68.96,68.36,68.84,55590,68.84
1,68.49,68.52,68.28,68.43,113974,68.43
2,68.65,68.71,68.44,68.47,153803,68.47
3,68.1,68.65,68.05,68.65,164101,68.65
4,68.28,68.34,67.86,68.11,193453,68.11
5,68.38,68.52,68.269,68.28,200172,68.28
6,68.02,68.415,68.01,68.375,362378,68.375
7,67.54,67.99,67.44,67.99,80089,67.99
8,67.36,67.62,67.12,67.54,152110,67.54
9,67.76,67.76,67.29,67.38,253139,67.38
10,67.915,68.21,67.7,67.77,156356,67.77
11,67.8,67.95,67.5,67.91,126904,67.91
12,67.36,67.83,67.29,67.81,227403,67.81
13,67.04,67.48,67.04,67.35,592150,67.35
14,65.45,66.2,65.11,65.93,226636,65.93
15,65.5247,66.07,65.1501,65.435,399186,65.435
16,65.6,65.71,65.16,65.51,358207,65.51
17,65.565,65.7,65.375,65.58,277433,65.58
18,65.665,65.8503,65.485,65.565,260628,65.565
19,65.24,65.66,65.16,65.65,355644,65.65
20,65.38,65.39,64.975,65.24,1254957,65.24
21,65.34,65.7689,65.3,65.48,96176,65.48
22,65.65,65.87,65.23,65.36,245630,65.36
23,65.63,65.8225,65.4,65.67,238221,65.67
24,65.55,65.63,65.26,65.63,212565,65.63
25,65.66,65.73,65.345,65.55,345641,65.55
26,65.88,66.03,65.66,65.6698,290000,65.6698
27,65.59,65.87,65.39,65.87,702086,65.87
28,64.275,64.68,64.21,64.47,232582,64.47
29,63.99,64.41,63.89,64.24,285970,64.24
30,63.81,64.23,63.72,63.98,349776,63.98
31,63.405,63.85,63.405,63.791,443207,63.791
32,63.23,63.49,63.21,63.41,309025,63.41
33,62.6,63.38,62.53,63.22,534238,63.22
34,63.62,63.66,62.58,62.58,1282522,62.58
35,62.45,62.67,61.97,62.27,247909,62.27
36,63.0,63.09,62.4,62.45,976770,62.45
37,62.71,63.13,62.68,63.0,698339,63.0
38,62.78,63.09,62.68,62.72,458790,62.72
39,62.13,62.8,62.11,62.78,162641,62.78
40,62.07,62.37,61.97,62.1299,549622,62.1299
41,61.82,62.17,61.68,62.0425,2218794,62.0425
42,63.72,63.79,62.01,62.36,436853,62.36
43,63.09,63.81,62.92,63.73,532048,63.73
44,63.17,63.2,62.62,63.076,411973,63.076
45,63.09,63.46,63.06,63.19,275782,63.19
46,62.96,63.2,62.79,63.09,247708,63.09
47,63.02,63.27,62.88,62.96,455534,62.96
48,62.67,63.14,62.55,63.04,1187992,63.04
49,62.66,63.45,62.64,63.15,210594,63.15
