Date,Open,High,Low,Close,Volume,Adj Close
0,88.09,88.09,88.09,88.09,500,88.09
1,88.9,89.0,88.01,88.09,601015,88.09
2,88.685,89.16,88.56,88.86,176057,88.86
3,88.91,89.15,88.42,88.6799,208311,88.6799
4,89.05,89.27,88.66,88.9,181780,88.9
5,88.87,89.28,88.8,89.05,222224,89.05
6,88.64,88.96,88.61,88.84,170626,88.84
7,88.79,88.79,88.43,88.61,260588,88.61
8,89.1101,89.17,88.78,88.79,175211,88.79
9,88.73,89.23,88.72,89.14,156702,89.14
10,88.64,88.99,88.47,88.72,113758,88.72
11,88.77,88.86,88.54,88.64,113142,88.64
12,88.37,88.78,88.26,88.7543,133401,88.7543
13,88.23,88.34,88.045,88.33,180431,88.33
14,88.55,88.63,88.18,88.26,109717,88.26
15,88.63,88.7699,88.33,88.55,139357,88.55
16,88.5,88.81,88.49,88.64,119949,88.64
17,88.59,88.64,88.15,88.49,113535,88.49
18,88.35,88.82,88.23,88.58,170460,88.58
19,88.47,88.49,88.13,88.34,124069,88.34
20,87.91,88.44,87.83,88.44,153860,88.44
21,88.22,88.48,87.82,87.92,126812,87.92
22,88.6899,88.77,88.1601,88.23,153686,88.23
23,88.61,88.87,88.4,88.67,232861,88.67
24,88.79,88.79,88.16,88.6,216363,88.6
25,88.61,88.88,88.35,88.78,340261,88.78
26,88.7,88.76,88.515,88.62,528230,88.62
27,88.93,89.74,88.7484,89.56,414520,89.56
28,88.865,89.1699,88.6195,88.92,207506,88.92
29,88.8,89.01,88.54,88.87,267736,88.87
30,88.64,88.84,88.6,88.79,275736,88.79
31,88.03,88.68,88.02,88.66,285558,88.66
32,87.57,88.05,87.54,88.03,300674,88.03
33,87.33,87.65,87.31,87.56,314883,87.56
34,87.301,87.52,87.06,87.35,429176,87.35
35,87.55,87.71,87.32,87.32,349683,87.32
36,87.19,87.6,87.11,87.55,310230,87.55
37,87.03,87.25,86.87,87.17,268993,87.17
38,86.73,87.04,86.66,87.0399,231893,87.0399
39,86.6,86.92,86.57,86.74,254552,86.74
40,86.59,86.66,86.38,86.5701,357293,86.5701
41,86.4,86.62,86.32,86.6,371407,86.6
42,86.34,86.5199,86.24,86.41,297921,86.41
43,86.47,86.62,86.3,86.35,219550,86.35
44,86.35,86.58,86.35,86.474,310388,86.474
45,85.9499,86.42,85.81,86.35,356964,86.35
46,85.92,85.95,85.59,85.95,238511,85.95
47,85.57,85.98,85.55,85.92,222034,85.92
48,85.57,85.7,85.49,85.57,268400,85.57
49,85.91,86.05,85.5,85.56,401510,85.56
50,86.15,86.2,85.73,85.91,366068,85.91
51,86.6,86.64,86.1,86.16,478079,86.16
52,86.23,86.85,86.2,86.59,881891,86.59
53,85.0,85.1,84.12,84.71,470627,84.71
54,85.11,85.53,84.8045,85.01,389497,85.01
55,85.26,85.42,84.92,85.11,290115,85.11
56,84.7,85.29,84.62,85.255,373126,85.255
57,84.0127,84.72,83.78,84.68,707718,84.68
58,84.02,84.18,83.945,84.02,439490,84.02
59,84.26,84.44,84.02,84.03,255546,84.03
60,84.05,84.35,83.96,84.26,260977,84.26
61,83.93,84.33,83.93,84.02,212919,84.02
62,83.94,84.07,83.8601,83.92,277327,83.92
63,84.07,84.13,83.81,83.95,254292,83.95
64,83.68,84.09,83.52,84.06,419011,84.06
65,84.0,84.12,83.672,83.672,325916,83.672
66,84.6,84.63,83.95,84.0,342710,84.0
67,84.33,84.73,84.32,84.61,275992,84.61
68,84.33,84.46,84.01,84.35,257579,84.35
69,84.9,84.99,84.31,84.31,242075,84.31
70,85.06,85.11,84.73,84.9,498825,84.9
71,85.1,85.218,84.62,85.06,429819,85.06
72,84.98,85.46,84.915,85.12,413732,85.12
73,84.88,85.05,84.7,84.97,335552,84.97
74,85.07,85.34,84.79,84.87,271093,84.87
75,85.395,85.47,84.94,85.07,343820,85.07
76,85.89,85.96,85.4,85.41,652420,85.41
77,85.37,85.96,85.3,85.89,563955,85.89
78,85.13,85.45,84.89,85.37,1026034,85.37
79,85.14,85.23,85.14,85.23,72161,85.23
80,84.89,85.57,84.56,85.3,216946,85.3
81,84.77,84.96,84.58,84.88,201619,84.88
82,85.67,85.93,84.72,84.79,185898,84.79
83,85.84,85.98,85.65,85.66,228348,85.66
84,86.14,86.205,85.63,85.83,186328,85.83
85,86.14,86.47,86.09,86.13,170873,86.13
86,86.52,86.63,86.02,86.21,337488,86.21
87,86.23,86.58,86.11,86.54,160412,86.54
88,86.35,86.59,86.2,86.25,191178,86.25
89,86.665,86.73,86.34,86.35,193081,86.35
90,87.07,87.18,86.69,86.7,233757,86.7
91,87.3001,87.36,87.07,87.08,157310,87.08
92,87.36,87.44,87.2,87.31,157319,87.31
