Date,Open,High,Low,Close,Volume,Adj Close
0,19.94,20.3,19.89,20.3,379488,20.3
1,19.88,20.01,19.59,19.94,315346,19.94
2,19.94,20.05,19.85,19.8733,477038,19.8733
3,20.06,20.075,19.894,19.94,266648,19.94
4,19.94,20.085,19.83,20.0642,282614,20.0642
5,19.83,20.075,19.82,19.9301,323826,19.9301
6,19.75,19.92,19.75,19.84,235948,19.84
7,19.775,19.8,19.6,19.75,247582,19.75
8,19.75,19.825,19.69,19.78,212533,19.78
9,19.71,19.81,19.66,19.76,190967,19.76
10,19.65,19.76,19.6,19.7,295936,19.7
11,19.76,19.77,19.57,19.645,268517,19.645
12,19.67,19.82,19.67,19.75,170662,19.75
13,19.71,19.71,19.62,19.68,156116,19.68
14,19.67,19.75,19.655,19.71,129558,19.71
15,19.64,19.77,19.63,19.68,136809,19.68
16,19.585,19.715,19.585,19.63,135456,19.63
17,19.605,19.67,19.53,19.59,183603,19.59
18,19.5,19.625,19.4975,19.6,262957,19.6
19,19.51,19.55,19.46,19.5,227746,19.5
20,19.36,19.5323,19.36,19.52,204223,19.52
21,19.4,19.41,19.26,19.35,297676,19.35
22,19.39,19.49,19.38,19.39,210717,19.39
23,19.63,19.65,19.36,19.39,284318,19.39
24,19.72,19.75,19.58,19.64,619177,19.64
25,19.64,19.75,19.62,19.725,737318,19.725
26,19.11,19.14,19.04,19.14,45919,19.14
27,18.8,19.07,18.67,19.04,322392,19.04
28,18.415,18.83,18.37,18.8,475371,18.8
29,18.27,18.43,18.11,18.415,1188950,18.415
30,17.896,18.3,17.89,18.28,882650,18.28
31,17.82,17.905,17.7,17.89,1089934,17.89
32,17.56,17.82,17.55,17.82,623944,17.82
33,17.805,17.875,17.555,17.56,523163,17.56
34,17.7199,17.86,17.68,17.805,451848,17.805
35,17.85,17.98,17.715,17.72,358836,17.72
36,17.83,17.94,17.7625,17.85,388621,17.85
37,17.74,17.87,17.72,17.83,247691,17.83
38,17.59,17.76,17.56,17.74,284935,17.74
39,17.64,17.75,17.595,17.5978,208277,17.5978
40,17.8699,17.87,17.62,17.64,308494,17.64
41,17.93,17.97,17.87,17.87,272255,17.87
42,18.05,18.08,17.815,17.929,296269,17.929
43,18.44,18.45,18.05,18.055,422892,18.055
44,18.715,18.74,18.425,18.44,677714,18.44
45,18.66,18.73,18.43,18.715,611705,18.715
46,18.55,18.72,18.5,18.66,193673,18.66
47,18.54,18.61,18.45,18.56,164234,18.56
48,18.6501,18.76,18.39,18.55,404359,18.55
49,18.9363,19.02,18.65,18.65,361197,18.65
50,19.28,19.5,18.94,18.94,902767,18.94
51,19.0501,19.31,18.985,19.28,523138,19.28
52,19.12,19.12,18.95,19.05,1164615,19.05
53,19.16,19.16,19.16,19.16,100,19.16
54,18.71,19.17,18.67,19.17,394855,19.17
55,18.75,18.94,18.66,18.71,370808,18.71
56,19.16,19.26,18.74,18.74,422121,18.74
57,18.99,19.22,18.85,19.14,404584,19.14
58,19.09,19.15,18.915,18.98,192471,18.98
59,18.95,19.22,18.94,19.09,262269,19.09
60,19.13,19.19,18.86,18.95,264329,18.95
61,18.9442,19.15,18.9,19.13,138499,19.13
62,18.99,19.11,18.9,18.95,162000,18.95
63,19.18,19.245,18.9502,18.981,169990,18.981
64,19.28,19.37,19.19,19.19,194872,19.19
65,19.24,19.34,19.18,19.275,171392,19.275
66,19.23,19.27,19.195,19.24,110712,19.24
67,19.22,19.25,19.185,19.23,77848,19.23
68,19.3,19.35,19.22,19.23,136774,19.23
69,19.115,19.301,19.05,19.3,153682,19.3
70,19.12,19.17,19.035,19.12,77709,19.12
71,19.12,19.2,19.015,19.11,110813,19.11
72,18.91,19.14,18.88,19.13,161041,19.13
73,18.97,18.995,18.87,18.92,278684,18.92
74,19.015,19.1,18.965,18.97,149696,18.97
75,19.1701,19.22,18.97,19.03,208369,19.03
76,19.05,19.19,18.915,19.19,175919,19.19
77,18.985,19.055,18.96,19.05,171410,19.05
78,19.09,19.13,18.98,18.985,365525,18.985
79,19.02,19.09,19.01,19.08,422158,19.08
80,19.54,19.77,19.35,19.5,407118,19.5
81,19.55,19.64,19.4,19.5333,526569,19.5333
82,19.57,19.58,19.43,19.55,402352,19.55
83,19.46,19.64,19.37,19.58,288228,19.58
84,19.39,19.52,19.34,19.46,230028,19.46
85,19.23,19.42,19.23,19.39,132905,19.39
86,19.13,19.29,19.104,19.23,412295,19.23
87,19.22,19.31,19.11,19.13,161397,19.13
88,19.13,19.2401,19.06,19.22,177121,19.22
89,19.11,19.15,19.01,19.13,134880,19.13
90,19.3,19.3075,19.1,19.1,115374,19.1
91,19.27,19.3401,19.22,19.3,104538,19.3
92,19.31,19.395,19.24,19.265,74674,19.265
93,19.36,19.36,19.25,19.31,59663,19.31
94,19.25,19.355,19.205,19.355,87013,19.355
95,19.24,19.34,19.24,19.255,78932,19.255
96,19.26,19.28,19.2,19.25,74677,19.25
97,19.37,19.38,19.25,19.26,103032,19.26
98,19.365,19.375,19.23,19.36,101527,19.36
99,19.28,19.3741,19.26,19.36,109727,19.36
100,19.19,19.31,19.16,19.286,145902,19.286
101,19.28,19.315,19.18,19.1822,170017,19.1822
102,19.29,19.33,19.155,19.29,251774,19.29
103,19.3374,19.34,19.21,19.28,220203,19.28
104,19.42,19.43,19.27,19.335,188195,19.335
105,19.33,19.44,19.33,19.42,831921,19.42
