Date,Open,High,Low,Close,Volume,Adj Close
0,69.73,70.49,69.69,69.82,83137,69.82
1,69.52,69.83,69.34,69.76,49094,69.76
2,69.29,69.64,69.29,69.4892,38696,69.4892
3,69.32,69.42,69.22,69.34,35283,69.34
4,69.15,69.42,69.15,69.33,39157,69.33
5,69.05,69.33,69.03,69.13,22556,69.13
6,68.99,69.21,68.95,69.03,31707,69.03
7,69.18,69.2,68.9,68.99,39078,68.99
8,69.3,69.455,69.19,69.19,47434,69.19
9,69.26,69.4,69.2401,69.32,34777,69.32
10,69.19,69.29,69.12,69.25,32659,69.25
11,69.15,69.19,69.01,69.18,29841,69.18
12,69.13,69.31,69.13,69.14,32145,69.14
13,69.38,69.45,69.15,69.16,49588,69.16
14,69.39,69.43,69.32,69.38,37414,69.38
15,69.38,69.43,69.35,69.39,47169,69.39
16,69.37,69.44,69.35,69.4,51668,69.4
17,69.37,69.44,69.23,69.39,103240,69.39
18,69.1,69.415,69.1,69.35,46059,69.35
19,69.04,69.1,68.93,69.09,44792,69.09
20,68.955,69.12,68.95,69.02,43701,69.02
21,69.0,69.01,68.73,68.96,51551,68.96
22,69.07,69.14,68.97,68.99,63562,68.99
23,69.39,69.48,69.02,69.07,90641,69.07
24,69.5,69.5,69.21,69.39,163835,69.39
25,69.26,69.55,69.24,69.5,221464,69.5
26,68.15,68.83,68.108,68.61,151355,68.61
27,68.0,68.4,67.96,68.15,85042,68.15
28,68.03,68.22,67.95,68.055,42142,68.055
29,67.765,68.04,67.54,68.01,50248,68.01
30,67.43,67.76,67.31,67.75,80134,67.75
31,67.28,67.47,67.27,67.44,134041,67.44
32,67.48,67.54,67.29,67.31,45022,67.31
33,67.54,67.61,67.46,67.5,58148,67.5
34,67.81,67.9,67.54,67.5401,35336,67.5401
35,67.7,67.82,67.62,67.82,34306,67.82
36,67.62,67.79,67.45,67.7,166989,67.7
37,67.1053,67.63,67.06,67.61,58592,67.61
38,67.11,67.22,67.06,67.13,47871,67.13
39,67.16,67.17,66.95,67.1,68404,67.1
40,66.78,67.17,66.78,67.17,116240,67.17
41,66.96,67.0,66.65,66.78,83330,66.78
42,67.285,67.3,66.99,66.99,73553,66.99
43,67.21,67.44,67.2,67.3,67160,67.3
44,67.47,67.5399,67.03,67.21,42743,67.21
45,67.68,67.73,67.46,67.49,59017,67.49
46,67.72,67.78,67.53,67.7,47500,67.7
47,67.755,67.89,67.64,67.7,81637,67.7
48,67.95,67.97,67.58,67.78,62988,67.78
49,68.47,68.57,67.982,67.982,93406,67.982
50,68.4599,68.53,68.305,68.49,156137,68.49
51,68.0,68.45,67.93,68.45,354860,68.45
52,68.47,68.47,68.01,68.01,27343,68.01
53,67.72,68.225,67.61,68.18,28343,68.18
54,67.37,67.67,67.33,67.64,34362,67.64
55,67.85,68.01,67.31,67.36,55543,67.36
56,67.61,67.96,67.4,67.81,245437,67.81
57,68.01,68.04,67.53,67.605,97663,67.605
58,67.7,68.21,67.68,68.0,59951,68.0
59,67.87,68.08,67.59,67.71,75678,67.71
60,67.42,67.89,67.41,67.86,82987,67.86
61,67.38,67.63,67.38,67.43,31625,67.43
62,67.83,67.87,67.34,67.37,31518,67.37
63,67.66,67.99,67.63,67.84,72480,67.84
64,67.83,67.83,67.64,67.66,50369,67.66
65,67.44,67.86,67.44,67.84,66998,67.84
66,67.71,67.72,67.44,67.46,58500,67.46
67,67.82,67.97,67.684,67.72,36584,67.72
68,67.27,67.758,67.26,67.758,56464,67.758
69,67.45,67.56,67.0,67.27,96940,67.27
70,67.59,67.6,67.3,67.44,64472,67.44
71,67.25,67.63,67.22,67.6,104271,67.6
72,67.27,67.27,66.85,67.25,165910,67.25
73,67.44,67.44,67.19,67.27,106511,67.27
74,67.575,67.68,67.25,67.44,89434,67.44
75,67.6625,67.675,67.312,67.56,100218,67.56
76,67.7,67.71,67.44,67.66,119514,67.66
77,68.1,68.16,67.72,67.73,137860,67.73
78,67.65,68.09,67.64,68.075,347398,68.075
79,68.8,68.91,68.19,68.51,242045,68.51
80,69.12,69.12,68.69,68.83,158558,68.83
81,69.605,69.62,69.04,69.12,149856,69.12
82,69.58,69.83,69.41,69.61,74395,69.61
83,69.33,69.64,69.29,69.58,79707,69.58
84,69.25,69.36,69.08,69.35,105301,69.35
85,69.53,69.53,69.26,69.27,59280,69.27
86,69.79,69.79,69.5,69.51,91694,69.51
87,69.86,69.9,69.78,69.8,77353,69.8
88,69.96,70.06,69.84,69.87,116015,69.87
89,69.98,70.03,69.88,70.0,80623,70.0
90,69.805,69.98,69.79,69.97,60157,69.97
91,69.9,69.92,69.665,69.8,60382,69.8
92,69.73,69.91,69.65,69.91,42027,69.91
93,69.82,69.85,69.68,69.7438,82166,69.7438
94,69.88,69.96,69.8,69.83,41013,69.83
95,69.89,69.935,69.79,69.89,38407,69.89
96,70.02,70.07,69.81,69.88,63326,69.88
97,70.125,70.14,69.99,70.01,57012,70.01
98,70.02,70.19,70.0,70.12,94587,70.12
99,70.1,70.15,69.95,70.01,76940,70.01
100,70.22,70.26,70.1,70.1,41516,70.1
101,70.13,70.26,70.055,70.23,53471,70.23
102,70.445,70.47,70.12,70.1201,70489,70.1201
103,70.24,70.48,70.24,70.43,117801,70.43
104,70.17,70.32,70.12,70.25,276748,70.25
105,69.86,69.86,69.8,69.8,19036,69.8
106,69.9,69.91,69.32,69.8,88405,69.8
107,69.09,69.93,69.055,69.89,74997,69.89
108,69.32,69.57,68.93,69.06,80206,69.06
109,69.51,69.71,69.27,69.31,41041,69.31
110,69.4,69.55,69.34,69.48,32545,69.48
111,69.4475,69.5,69.35,69.4,31869,69.4
112,69.3,69.49,69.26,69.46,27803,69.46
113,69.59,69.61,69.32,69.32,32528,69.32
114,69.35,69.61,69.35,69.58,27341,69.58
115,69.47,69.57,69.31,69.36,35464,69.36
116,69.33,69.54,69.31,69.48,36046,69.48
117,69.315,69.35,69.29,69.3399,40810,69.3399
118,69.21,69.33,69.17,69.31,47127,69.31
119,69.13,69.24,69.11,69.22,30690,69.22
120,69.21,69.23,69.09,69.13,54182,69.13
121,69.31,69.33,69.18,69.21,21750,69.21
122,69.155,69.31,69.15,69.31,28551,69.31
123,69.12,69.19,69.078,69.15,43341,69.15
124,69.34,69.34,69.1,69.12,57167,69.12
125,69.31,69.38,69.175,69.36,48325,69.36
126,69.17,69.345,69.15,69.3,34706,69.3
127,69.28,69.28,69.18,69.18,43921,69.18
128,69.24,69.39,69.21,69.3,55307,69.3
129,69.1,69.29,69.03,69.25,86176,69.25
130,68.97,69.11,68.95,69.09,140577,69.09
131,68.92,69.08,68.885,68.98,276542,68.98
132,69.41,69.41,69.06,69.06,17335,69.06
133,70.34,70.37,69.02,69.05,82894,69.05
134,70.27,70.45,70.01,70.29,125923,70.29
135,70.37,70.56,70.0,70.3,115254,70.3
136,70.54,70.77,70.34,70.38,61168,70.38
137,70.47,70.67,70.43,70.53,49016,70.53
138,70.17,70.49,70.17,70.49,47256,70.49
139,70.19,70.36,70.11,70.17,37434,70.17
140,70.31,70.36,70.16,70.18,49511,70.18
141,70.29,70.33,70.21,70.3,50168,70.3
142,70.17,70.32,70.12,70.29,87796,70.29
143,70.3601,70.38,70.15,70.18,52891,70.18
144,70.46,70.49,70.26,70.36,45963,70.36
145,70.54,70.62,70.45,70.45,27912,70.45
146,70.51,70.55,70.48,70.54,35727,70.54
147,70.17,70.53,70.17,70.52,40193,70.52
148,70.47,70.47,70.14,70.15,54223,70.15
149,70.29,70.48,70.29,70.47,40684,70.47
150,70.31,70.45,70.28,70.285,37855,70.285
151,70.1,70.32,70.06,70.31,61975,70.31
152,70.0,70.14,69.92,70.09,105413,70.09
153,70.05,70.1,69.97,70.01,58220,70.01
154,70.05,70.05,69.965,70.05,76469,70.05
155,70.02,70.1,69.945,70.04,69302,70.04
156,69.99,70.18,69.95,70.03,82538,70.03
157,70.11,70.17,69.95,69.99,128193,69.99
158,70.13,70.15,70.0,70.12,152907,70.12
159,69.68,69.71,69.68,69.71,15365,69.71
160,70.14,70.17,69.6401,69.97,59581,69.97
161,69.98,70.19,69.9,70.14,68616,70.14
162,69.49,70.0399,69.42,70.0399,90886,70.0399
163,69.455,69.56,69.4,69.48,69895,69.48
164,69.45,69.5,69.41,69.45,128317,69.45
165,69.02,69.48,69.01,69.45,106250,69.45
166,68.98,69.02,68.77,69.0,151870,69.0
167,69.34,69.34,68.86,68.98,223434,68.98
168,69.46,69.5,69.29,69.34,144368,69.34
169,69.37,69.5,69.36,69.47,103875,69.47
170,69.29,69.44,69.22,69.37,151766,69.37
171,69.21,69.32,69.17,69.3,72429,69.3
172,68.821,69.22,68.82,69.21,141869,69.21
173,68.81,68.89,68.65,68.82,164506,68.82
174,69.16,69.25,68.78,68.81,152655,68.81
175,69.11,69.21,69.01,69.16,62734,69.16
176,69.16,69.46,69.09,69.11,73647,69.11
177,69.25,69.46,69.06,69.16,69772,69.16
178,68.98,69.455,68.86,69.25,107608,69.25
179,69.17,69.22,68.97,69.02,107312,69.02
180,69.11,69.29,68.91,69.15,97488,69.15
181,68.9275,69.12,68.88,69.1,61413,69.1
182,68.47,68.93,68.47,68.93,114166,68.93
183,68.28,68.53,68.18,68.485,249925,68.485
184,68.56,68.56,68.28,68.29,336592,68.29
185,68.1799,68.61,68.04,68.56,503378,68.56
186,72.48,73.08,72.48,73.08,700,73.08
187,71.705,73.21,70.28,72.57,747685,72.57
188,72.17,72.445,71.48,71.66,479578,71.66
189,70.86,72.18,70.86,72.17,551181,72.17
190,69.07,71.01,65.53,70.9,1185770,70.9
191,69.03,69.88,68.44,69.07,417203,69.07
192,68.84,69.4,68.31,69.035,467273,69.035
193,70.0,70.23,68.73,68.83,203565,68.83
194,69.86,70.29,69.36,70.03,153270,70.03
195,70.09,70.24,69.67,69.88,81104,69.88
196,70.4,70.6,70.12,70.13,105519,70.13
197,71.33,71.48,70.38,70.38,152885,70.38
198,71.56,71.68,71.24,71.32,107354,71.32
199,71.1095,71.77,71.02,71.54,105143,71.54
200,71.015,71.56,70.99,71.1,94267,71.1
201,70.49,71.04,70.29,70.95,77011,70.95
202,70.81,70.87,70.33,70.53,61910,70.53
203,70.45,70.91,70.41,70.86,51909,70.86
204,70.46,70.66,70.32,70.47,51660,70.47
205,70.49,70.7,70.37,70.48,79804,70.48
206,70.57,70.58,70.38,70.5,63943,70.5
207,70.146,70.863,70.115,70.58,76245,70.58
208,70.22,70.3,70.02,70.15,87721,70.15
209,70.21,70.41,70.1295,70.2,169250,70.2
210,70.31,70.495,70.16,70.21,140965,70.21
211,70.18,70.32,70.1,70.32,234294,70.32
212,70.22,70.41,70.12,70.15,307721,70.15
213,70.99,71.0,70.99,71.0,1100,71.0
214,70.93,71.44,70.87,71.01,87194,71.01
215,71.2,71.2,70.79,70.89,174051,70.89
216,71.33,71.56,71.13,71.2,57199,71.2
217,71.51,71.81,71.33,71.33,60399,71.33
218,71.83,71.87,71.47,71.52,67811,71.52
219,71.87,71.98,71.75,71.84,66085,71.84
220,72.04,72.1,71.87,71.89,74225,71.89
221,72.02,72.05,71.815,72.05,75038,72.05
222,71.71,72.03,71.64,72.03,48862,72.03
223,71.86,71.97,71.67,71.72,33714,71.72
224,72.21,72.32,71.825,71.84,96139,71.84
225,72.37,72.43,72.21,72.21,37791,72.21
226,72.095,72.39,72.08,72.38,37560,72.38
227,72.03,72.12,71.88,72.09,34303,72.09
228,71.93,72.09,71.85,72.01,29522,72.01
229,72.17,72.19,71.9,71.93,89301,71.93
230,72.17,72.23,72.04,72.2,54704,72.2
231,71.96,72.18,71.95,72.15,47726,72.15
232,71.79,71.98,71.74,71.96,33724,71.96
233,72.13,72.13,71.79,71.79,47524,71.79
234,72.12,72.25,72.06,72.14,44078,72.14
235,72.24,72.2425,72.04,72.13,68413,72.13
236,72.35,72.41,72.21,72.22,87286,72.22
237,72.47,72.5,72.18,72.35,65306,72.35
238,72.495,72.53,72.38,72.45,152334,72.45
239,72.5,72.64,72.3,72.495,364620,72.495
240,72.43,72.43,72.0,72.26,15108,72.26
241,71.02,72.4,71.02,72.05,117479,72.05
242,70.87,71.215,70.57,71.02,193977,71.02
243,70.92,71.23,70.62,70.895,211857,70.895
244,70.73,71.01,70.62,70.94,74564,70.94
245,70.98,70.98,70.71,70.725,100320,70.725
246,71.01,71.11,70.92,71.0,87577,71.0
247,71.06,71.21,70.98,71.03,72524,71.03
248,71.225,71.25,71.03,71.07,49376,71.07
249,71.11,71.28,71.06,71.225,41603,71.225
250,71.24,71.24,71.035,71.105,45340,71.105
251,71.05,71.3,71.01,71.23,57819,71.23
252,70.87,71.08,70.81,71.05,37883,71.05
253,71.16,71.17,70.86,70.86,62577,70.86
254,71.22,71.26,71.09,71.16,82791,71.16
255,71.24,71.47,71.16,71.22,98989,71.22
256,71.41,71.49,71.2,71.24,47525,71.24
