Date,Open,High,Low,Close,Volume,Adj Close
0,77.55,78.38,77.47,77.63,104611,77.63
1,77.4,77.62,77.2,77.52,177619,77.52
2,77.53,77.63,77.22,77.39,226259,77.39
3,77.8,77.87,77.39,77.48,174609,77.48
4,78.25,78.37,77.78,77.805,223454,77.805
5,77.925,78.46,77.75,78.24,186112,78.24
6,78.22,78.26,77.63,77.94,580227,77.94
7,77.84,78.53,77.84,78.3,63514,78.3
8,77.53,77.92,77.23,77.85,147348,77.85
9,77.27,77.62,77.21,77.54,145491,77.54
10,77.13,77.29,77.03,77.27,176937,77.27
11,77.18,77.2,76.9,77.13,211755,77.13
12,77.77,77.77,77.12,77.19,871069,77.19
13,77.59,77.77,77.37,77.77,604483,77.77
14,77.02,77.45,76.61,76.79,379311,76.79
15,77.72,77.85,76.86,77.03,283728,77.03
16,78.03,78.15,77.72,77.77,186543,77.77
17,77.5,78.03,77.45,78.02,211561,78.02
18,77.54,77.6,77.44,77.49,165195,77.49
19,77.43,78.13,77.38,77.54,350079,77.54
20,77.52,77.63,77.17,77.43,895847,77.43
21,76.96,77.12,76.01,76.4,329556,76.4
22,77.14,77.18,76.4,76.95,350230,76.95
23,76.92,77.39,76.89,77.16,238283,77.16
24,76.7201,77.21,76.63,76.9,246503,76.9
25,76.17,76.75,76.0701,76.72,367623,76.72
26,75.895,76.17,75.61,76.17,1716885,76.17
27,75.63,76.05,75.59,75.885,960569,75.885
28,74.31,75.65,74.26,75.49,306485,75.49
29,73.35,74.33,72.96,74.31,900555,74.31
30,72.78,73.54,72.58,73.35,538536,73.35
31,73.48,73.69,72.775,72.785,744207,72.785
32,73.6,73.65,73.27,73.45,407013,73.45
33,73.44,73.79,73.23,73.6008,599228,73.6008
34,73.11,73.88,73.05,73.44,864284,73.44
35,70.2,72.15,70.14,72.12,781195,72.12
36,70.56,71.24,70.11,70.2,1179998,70.2
37,70.725,71.12,70.375,70.56,620591,70.56
38,70.3,70.76,70.02,70.735,550404,70.735
39,70.35,70.54,70.2,70.29,531468,70.29
40,70.79,71.0,70.26,70.3599,541133,70.3599
41,70.54,71.06,70.48,70.8,1136470,70.8
42,71.51,71.89,70.66,70.88,310764,70.88
43,70.73,71.85,70.73,71.5,314468,71.5
44,70.575,71.1,70.33,70.76,231007,70.76
45,70.27,70.71,70.09,70.57,182580,70.57
46,70.37,70.59,70.27,70.29,110043,70.29
47,70.59,70.62,70.16,70.365,185233,70.365
48,70.67,70.95,70.29,70.5957,632435,70.5957
49,70.9,71.06,70.53,70.95,239653,70.95
50,70.85,71.02,70.34,70.9,192121,70.9
51,70.35,70.84,70.24,70.84,307727,70.84
52,70.12,70.48,70.09,70.35,115426,70.35
53,69.67,70.22,69.66,70.12,238136,70.12
54,69.235,69.79,68.85,69.67,300424,69.67
55,69.08,69.47,68.94,69.23,952989,69.23
56,69.16,69.48,69.01,69.45,272457,69.45
57,69.47,69.56,68.79,69.13,479609,69.13
58,69.34,69.57,69.011,69.475,288883,69.475
