Date,Open,High,Low,Close,Volume,Adj Close
0,148.21,148.24,148.21,148.24,221,148.24
1,148.51,148.7,148.0,148.34,75254,148.34
2,148.72,148.93,148.33,148.33,23023,148.33
3,149.08,149.2,148.77,148.77,32524,148.77
4,149.59,149.59,149.04,149.13,38801,149.13
5,149.91,149.98,149.54,149.59,65615,149.59
6,149.81,149.99,149.75,149.929,39676,149.929
7,149.74,149.91,149.71,149.8,35911,149.8
8,149.5,149.87,149.42,149.76,35681,149.76
9,149.69,149.85,149.53,149.53,37289,149.53
10,149.76,149.77,149.43,149.68,29514,149.68
11,149.78,149.93,149.74,149.78,34237,149.78
12,149.89,150.08,149.78,149.81,88601,149.81
13,149.92,149.98,149.65,149.91,24670,149.91
14,150.3,150.32,149.9,149.9,33694,149.9
15,150.4825,150.515,150.28,150.28,43402,150.28
16,150.23,150.545,150.21,150.5,48923,150.5
17,150.12,150.31,150.04,150.22,21164,150.22
18,150.21,150.325,150.1,150.1,18725,150.1
19,150.14,150.41,150.14,150.26,29977,150.26
20,150.24,150.4,150.14,150.14,27603,150.14
21,150.06,150.32,149.99,150.28,23827,150.28
22,149.91,150.015,149.74,150.01,26420,150.01
23,150.05,150.1,149.87,149.92,33672,149.92
24,149.92,150.06,149.77,150.04,29895,150.04
25,150.19,150.21,149.76,149.91,36435,149.91
26,150.05,150.27,150.0,150.17,29265,150.17
27,149.875,150.08,149.8,150.04,29129,150.04
28,149.87,149.96,149.81,149.91,26160,149.91
29,150.3,150.38,149.89,149.89,27261,149.89
30,150.53,150.53,150.27,150.27,23046,150.27
31,150.48,150.536,150.36,150.53,16395,150.53
32,150.4036,150.59,150.4036,150.52,22228,150.52
33,150.5201,150.56,150.4175,150.42,12951,150.42
34,150.64,150.68,150.54,150.55,18733,150.55
35,150.72,150.79,150.67,150.6704,30281,150.6704
36,150.77,150.85,150.71,150.71,16686,150.71
37,150.62,150.82,150.54,150.8,30954,150.8
38,150.73,150.73,150.63,150.65,15891,150.65
39,150.69,150.77,150.58,150.73,24963,150.73
40,150.6633,150.8089,150.64,150.724,19248,150.724
41,150.73,150.79,150.6101,150.68,32808,150.68
42,150.7,150.78,150.61,150.76,20332,150.76
43,150.66,150.76,150.6,150.6801,20330,150.6801
44,150.7,150.77,150.64,150.64,22067,150.64
45,150.76,150.81,150.715,150.75,15524,150.75
46,150.81,150.83,150.72,150.8,14327,150.8
47,150.82,150.86,150.784,150.81,14295,150.81
48,150.615,150.86,150.6,150.84,21175,150.84
49,150.48,150.68,150.4764,150.64,26700,150.64
