Date,Open,High,Low,Close,Volume,Adj Close
0,146.82,147.22,146.5,146.77,239590,146.77
1,146.75,146.85,146.1201,146.56,342983,146.56
2,146.56,146.56,145.79,146.03,272744,146.03
3,146.03,146.25,145.61,146.25,204433,146.25
4,146.24,146.81,146.1099,146.73,197434,146.73
5,146.7477,147.47,146.7,146.97,246877,146.97
6,146.96,147.5,146.8,147.45,648501,147.45
7,145.59,145.76,145.08,145.2,197025,145.2
8,145.12,145.34,144.3,144.54,487603,144.54
9,144.54,145.08,144.52,144.5487,300115,144.5487
10,144.59,144.93,144.37,144.7,180216,144.7
11,144.6666,144.695,144.07,144.08,243960,144.08
12,144.09,144.545,143.54,143.58,313782,143.58
13,143.56,144.5,143.4299,144.48,618969,144.48
14,142.52,142.85,140.96,142.53,381380,142.53
15,142.54,143.11,142.07,142.99,447381,142.99
16,142.99,143.13,142.4,142.5,227827,142.5
17,142.5,142.63,142.35,142.46,197910,142.46
18,142.4401,142.47,141.16,141.81,288280,141.81
19,141.81,141.93,141.26,141.4,342065,141.4
20,141.3952,141.61,140.63,140.98,744938,140.98
21,141.36,142.5,141.31,142.395,231822,142.395
22,142.34,142.365,141.45,141.91,263008,141.91
23,141.93,142.22,141.24,142.06,196169,142.06
24,142.11,142.39,141.98,141.98,180235,141.98
25,141.96,142.14,141.42,141.5,211220,141.5
26,141.5,141.86,141.04,141.37,288326,141.37
27,141.35,141.57,140.22,140.44,629346,140.44
28,140.97,141.43,139.84,140.22,236304,140.22
29,140.22,140.97,140.01,140.07,325622,140.07
30,140.08,140.48,139.65,140.28,256588,140.28
31,140.28,140.5,139.72,140.17,181446,140.17
32,140.19,140.25,139.46,139.53,177342,139.53
33,139.55,140.38,139.41,140.08,234515,140.08
34,140.08,141.05,139.73,140.47,658383,140.47
35,141.36,142.15,140.82,141.03,217364,141.03
36,141.05,141.2,140.13,140.4562,237064,140.4562
37,140.51,140.59,139.55,140.01,194722,140.01
38,140.03,140.38,139.13,139.49,182913,139.49
39,139.52,139.97,139.33,139.57,172066,139.57
40,139.57,140.36,139.18,140.2699,217822,140.2699
41,140.26,141.15,140.01,140.85,446059,140.85
42,140.89,142.09,140.71,142.07,233341,142.07
43,142.01,142.19,140.79,141.37,289859,141.37
44,141.385,141.385,140.3,140.34,195082,140.34
45,140.36,140.67,140.04,140.13,164661,140.13
46,140.12,140.41,139.56,139.56,173442,139.56
47,139.56,139.99,138.59,139.07,313718,139.07
48,139.05,139.63,138.54,138.66,601960,138.66
49,139.74,139.97,138.86,139.05,311286,139.05
50,139.07,142.44,138.98,142.08,655652,142.08
51,142.08,142.19,140.93,141.33,264388,141.33
52,141.38,141.62,140.97,140.97,243805,140.97
53,140.96,141.98,140.93,141.765,260666,141.765
54,141.79,141.84,141.33,141.76,366732,141.76
55,141.755,142.06,140.92,141.08,778082,141.08
56,138.3,139.59,137.21,139.24,589391,139.24
57,139.24,140.1,138.85,139.1,375990,139.1
58,139.1,139.54,138.8,139.115,414622,139.115
59,139.13,139.152,138.25,139.07,396640,139.07
60,139.07,139.13,138.4,138.8992,291584,138.8992
61,138.8901,139.26,138.15,139.22,444427,139.22
62,139.21,139.295,138.33,138.67,671210,138.67
63,140.1,140.8,139.2701,140.11,301788,140.11
64,140.1,140.39,139.24,139.33,326438,139.33
65,139.33,139.71,138.78,139.23,334212,139.23
66,139.22,139.26,138.36,138.67,287339,138.67
67,138.72,138.84,138.25,138.49,220433,138.49
68,138.47,138.63,137.41,137.7,412631,137.7
69,137.67,139.07,137.61,138.42,712445,138.42
70,136.95,137.69,136.54,137.47,333239,137.47
71,137.5,137.67,136.49,136.57,480231,136.57
72,136.5501,136.76,135.67,135.97,470138,135.97
73,135.96,136.14,134.6442,135.45,432293,135.45
74,135.51,136.19,134.786,135.92,373389,135.92
75,135.9,136.44,135.51,136.11,408969,136.11
76,136.12,137.75,135.98,136.98,811996,136.98
77,136.96,138.0,136.15,136.22,236642,136.22
78,136.23,137.86,136.19,137.35,520850,137.35
79,137.44,138.19,137.05,138.1,287388,138.1
80,138.14,138.52,137.79,137.98,227400,137.98
81,137.98,138.2628,137.07,137.57,304960,137.57
82,137.62,138.67,137.1,138.56,432664,138.56
83,138.59,138.59,137.71,137.72,565815,137.72
84,140.14,140.43,139.44,139.98,252494,139.98
85,140.0,140.09,138.5811,138.5811,392479,138.5811
86,138.57,138.88,138.0832,138.64,350203,138.64
87,138.64,139.16,138.52,139.11,267952,139.11
88,139.13,139.5,138.85,139.46,179704,139.46
89,139.44,139.85,139.37,139.58,287811,139.58
90,139.61,139.735,139.16,139.53,615026,139.53
91,138.96,139.17,138.32,138.72,166117,138.72
92,138.7201,139.37,138.18,138.46,279538,138.46
93,138.44,139.13,138.27,138.85,303374,138.85
94,138.83,139.06,138.56,138.8,222062,138.8
95,138.825,139.1,138.53,138.53,233756,138.53
96,138.53,138.85,138.48,138.695,275445,138.695
97,138.69,138.76,137.53,137.68,685495,137.68
98,141.79,144.39,140.33,143.51,901767,143.51
99,143.54,144.57,143.3,144.275,877866,144.275
100,144.31,144.72,143.46,143.71,547224,143.71
101,143.7,144.01,143.29,143.72,356423,143.72
102,143.73,144.3199,143.37,144.12,312460,144.12
103,144.12,145.02,143.83,144.8363,518065,144.8363
104,144.82,144.96,144.34,144.77,395355,144.77
105,144.95,145.13,144.05,144.71,320971,144.71
106,144.71,146.47,144.34,146.38,618888,146.38
107,146.39,147.5,146.07,147.32,396375,147.32
108,147.31,147.97,147.15,147.28,262599,147.28
109,147.28,147.35,146.65,147.31,207482,147.31
110,147.32,147.84,145.47,145.71,404534,145.71
111,145.72,145.75,144.77,145.5133,606389,145.5133
112,146.16,147.84,146.05,147.09,227588,147.09
113,147.08,147.09,145.75,146.31,390738,146.31
114,146.29,146.483,145.22,145.36,332265,145.36
115,145.37,146.72,145.35,146.5,322156,146.5
116,146.49,146.77,145.73,146.26,209792,146.26
117,146.25,147.37,146.25,147.28,355922,147.28
118,147.27,147.78,147.02,147.35,643019,147.35
