Date,Open,High,Low,Close,Volume,Adj Close
0,27.52,28.03,27.22,27.31,815810,27.31
1,27.5,27.86,27.43,27.5,959104,27.5
2,27.645,27.685,27.41,27.495,634222,27.495
3,27.59,27.69,27.5,27.64,749213,27.64
4,28.29,28.3,27.57,27.59,903392,27.59
5,28.25,28.319,28.12,28.29,776837,28.29
6,28.425,28.43,28.13,28.25,1380569,28.25
7,28.06,28.67,27.905,28.66,389925,28.66
8,28.15,28.3,27.87,28.06,840129,28.06
9,28.075,28.22,27.9439,28.15,440037,28.15
10,28.11,28.13,27.98,28.07,311631,28.07
11,28.06,28.2,28.05,28.12,383791,28.12
12,28.27,28.34,28.05,28.05,565711,28.05
13,28.31,28.35,28.24,28.27,1380216,28.27
14,27.62,27.85,27.2,27.83,447424,27.83
15,27.245,27.66,27.1601,27.63,534160,27.63
16,26.82,27.37,26.82,27.24,566384,27.24
17,26.445,26.83,26.44,26.8245,691865,26.8245
18,26.39,26.58,26.265,26.44,730057,26.44
19,26.305,26.535,26.27,26.39,867745,26.39
20,26.43,26.45,26.3,26.31,1411917,26.31
21,26.13,26.34,25.63,26.17,421111,26.17
22,26.216,26.32,25.8,26.12,907688,26.12
23,25.95,26.34,25.95,26.21,592578,26.21
24,26.03,26.1,25.91,25.95,306371,25.95
25,25.825,26.03,25.79,26.03,473783,26.03
26,25.58,25.86,25.56,25.82,676359,25.82
27,25.53,25.59,25.34,25.58,1585687,25.58
28,25.3,25.6,25.07,25.5,523878,25.5
29,25.1399,25.41,25.125,25.29,529777,25.29
30,24.92,25.19,24.77,25.14,889137,25.14
31,24.85,25.02,24.81,24.915,494131,24.915
32,24.85,24.93,24.77,24.85,434583,24.85
33,25.08,25.12,24.84,24.845,611226,24.845
34,24.913,25.15,24.85,25.08,1194616,25.08
35,24.28,25.07,24.26,25.0,450159,25.0
36,23.96,24.35,23.83,24.28,1052347,24.28
37,23.99,24.175,23.91,23.95,669373,23.95
38,23.85,23.995,23.68,23.995,1020263,23.995
39,23.58,23.865,23.57,23.85,976923,23.85
40,23.81,23.83,23.52,23.5799,981174,23.5799
41,23.79,23.925,23.62,23.82,2155677,23.82
42,24.56,24.63,24.03,24.3,566930,24.3
43,23.84,24.62,23.81,24.565,1024234,24.565
44,23.94,24.01,23.65,23.83,617141,23.83
45,23.78,24.165,23.74,23.945,856507,23.945
46,24.025,24.06,23.78,23.78,578288,23.78
47,24.5,24.52,23.94,24.03,1196791,24.03
