Date,Open,High,Low,Close,Volume,Adj Close
0,8.17,8.17,8.14,8.14,1800,8.14
1,8.16,8.37,8.1,8.14,2904292,8.14
2,8.165,8.345,8.16,8.16,1118160,8.16
3,8.02,8.17,8.02,8.165,1306088,8.165
4,7.98,8.09,7.925,8.0225,1704094,8.0225
5,7.7365,8.02,7.73,7.98,1514492,7.98
6,7.825,8.0,7.73,7.73,1721380,7.73
7,7.8201,7.87,7.71,7.827,1873409,7.827
8,7.79,7.92,7.75,7.83,1836320,7.83
9,7.83,7.83,7.7401,7.7885,1197433,7.7885
10,7.8001,7.84,7.77,7.8201,1481094,7.8201
11,7.95,7.96,7.8,7.802,1101870,7.802
12,7.93,7.99,7.91,7.945,1418408,7.945
13,7.91,7.93,7.88,7.925,1265175,7.925
14,7.9275,7.97,7.86,7.905,1261339,7.905
15,7.8572,7.93,7.815,7.93,1375295,7.93
16,7.98,7.99,7.85,7.86,1134387,7.86
17,8.0001,8.02,7.9443,7.98,1032969,7.98
18,8.01,8.1,7.99,8.003,961942,8.003
19,8.01,8.05,7.97,8.01,840928,8.01
20,7.97,8.04,7.96,8.01,984338,8.01
21,8.03,8.04,7.96,7.975,1229765,7.975
22,8.11,8.12,8.03,8.03,1112022,8.03
23,8.14,8.15,8.08,8.11,1878913,8.11
24,8.154,8.2,8.1,8.14,1596891,8.14
25,8.155,8.24,8.13,8.16,2020922,8.16
26,8.14,8.16,8.13,8.15,1967315,8.15
27,8.21,8.21,8.21,8.21,550,8.21
28,7.965,8.255,7.95,8.19,1742250,8.19
29,7.93,8.0,7.7325,7.9601,1061678,7.9601
30,7.905,8.0001,7.87,7.9201,1045181,7.9201
31,8.005,8.005,7.89,7.905,974737,7.905
32,7.98,8.015,7.88,8.005,1144913,8.005
33,7.955,8.1,7.93,7.97,960892,7.97
34,7.94,7.99,7.91,7.955,741964,7.955
35,8.0,8.0189,7.885,7.945,694461,7.945
36,8.1301,8.145,8.01,8.01,840848,8.01
37,8.13,8.17,8.09,8.135,724206,8.135
38,8.04,8.15,8.025,8.135,834506,8.135
39,7.9901,8.0495,7.97,8.0425,529108,8.0425
40,7.955,8.04,7.95,7.9958,344281,7.9958
41,7.9001,7.9699,7.9,7.955,392831,7.955
42,7.855,7.91,7.85,7.9,416823,7.9
43,7.9164,7.9299,7.84,7.855,665406,7.855
44,7.84,7.93,7.84,7.92,353466,7.92
45,7.76,7.85,7.76,7.845,630277,7.845
46,7.52,7.79,7.515,7.76,2748891,7.76
47,7.5667,7.57,7.49,7.53,1512520,7.53
48,7.585,7.63,7.5601,7.5658,1080900,7.5658
49,7.605,7.63,7.52,7.585,1507927,7.585
50,7.6025,7.64,7.59,7.6,877725,7.6
51,7.785,7.8,7.6,7.61,1471116,7.61
52,7.77,7.785,7.67,7.785,1536023,7.785
53,7.68,7.77,7.67,7.7625,2948544,7.7625
54,7.115,7.34,7.08,7.34,2159602,7.34
55,7.15,7.345,7.09,7.1125,2486218,7.1125
56,7.31,7.33,7.13,7.1565,1954144,7.1565
57,7.29,7.41,7.15,7.3115,1609130,7.3115
58,7.35,7.36,7.16,7.28,2175385,7.28
59,7.2,7.36,7.15,7.3501,1341977,7.3501
60,7.29,7.32,7.2,7.2,1382829,7.2
61,7.27,7.3,7.205,7.29,1196835,7.29
62,7.1884,7.28,7.16,7.26,1687756,7.26
63,7.115,7.23,7.09,7.185,1540423,7.185
64,7.15,7.19,7.08,7.11,1125233,7.11
65,7.16,7.18,7.1,7.15,724326,7.15
66,7.19,7.24,7.14,7.155,882907,7.155
67,7.31,7.36,7.15,7.19,1305368,7.19
68,7.17,7.33,7.13,7.315,1945887,7.315
69,7.22,7.2485,7.11,7.16,1569778,7.16
70,7.45,7.47,7.21,7.22,1724198,7.22
71,7.3,7.51,7.29,7.46,1678714,7.46
72,7.39,7.45,7.26,7.305,924100,7.305
73,7.57,7.64,7.38,7.3999,1160815,7.3999
74,7.515,7.61,7.455,7.58,962917,7.58
75,7.5701,7.575,7.44,7.515,853001,7.515
76,7.65,7.7,7.54,7.57,1821010,7.57
77,7.965,7.98,7.65,7.65,2325854,7.65
78,7.94,8.04,7.92,7.97,3386623,7.97
79,7.87,7.97,7.86,7.95,3154722,7.95
80,7.75,7.75,7.75,7.75,500,7.75
81,8.02,8.1,7.72,7.74,2064776,7.74
82,8.09,8.165,7.89,8.0,1994712,8.0
83,8.36,8.45,8.09,8.1,2102660,8.1
84,8.22,8.44,8.09,8.36,1838618,8.36
85,8.27,8.27,8.07,8.21,943404,8.21
86,8.2799,8.32,8.17,8.2685,1427729,8.2685
87,8.2951,8.43,8.12,8.275,2237408,8.275
88,8.295,8.46,8.21,8.295,1105978,8.295
89,8.435,8.5,8.27,8.29,1100992,8.29
90,8.63,8.69,8.435,8.44,1501795,8.44
91,8.68,8.75,8.62,8.64,1799013,8.64
