Date,Open,High,Low,Close,Volume,Adj Close
0,13.0275,13.0664,12.61,12.73,719961,12.73
1,12.675,13.04,12.61,13.03,1033334,13.03
2,12.66,12.8257,12.61,12.67,912725,12.67
3,12.51,12.67,12.45,12.655,1390699,12.655
4,12.47,12.58,12.46,12.51,1049373,12.51
5,12.43,12.47,12.41,12.465,967832,12.465
6,12.39,12.425,12.35,12.425,2946923,12.425
7,12.2501,12.6106,12.22,12.33,1082229,12.33
8,12.41,12.54,12.24,12.25,1108961,12.25
9,12.55,12.58,12.35,12.42,1533608,12.42
10,12.5569,12.63,12.52,12.55,985424,12.55
11,12.59,12.66,12.54,12.55,662614,12.55
12,12.5,12.646,12.48,12.595,967527,12.595
13,12.59,12.65,12.49,12.5,2966484,12.5
14,12.77,12.88,12.48,12.56,1571750,12.56
15,12.484,13.0,12.48,12.76,2357899,12.76
16,12.49,12.525,12.38,12.485,1579210,12.485
17,12.585,12.66,12.49,12.49,1038691,12.49
18,12.62,12.81,12.58,12.59,1192394,12.59
19,12.745,12.75,12.59,12.61,1153746,12.61
20,12.83,12.85,12.695,12.745,2659505,12.745
21,12.48,12.81,12.39,12.79,1041777,12.79
22,12.5699,12.62,12.33,12.47,1443203,12.47
23,12.6337,12.765,12.555,12.56,1214135,12.56
24,12.639,12.67,12.5,12.635,1426969,12.635
25,12.6811,12.705,12.6001,12.635,883067,12.635
26,12.725,12.86,12.68,12.6899,976094,12.6899
27,12.76,12.775,12.665,12.73,2103709,12.73
28,11.89,12.27,11.88,12.25,1947969,12.25
29,11.6363,11.91,11.5,11.895,2517792,11.895
30,11.53,11.79,11.5,11.6301,1692708,11.6301
31,11.47,11.56,11.465,11.5299,1080876,11.5299
32,11.25,11.4605,11.23,11.4601,2085675,11.4601
33,11.18,11.34,11.16,11.25,1930618,11.25
34,11.28,11.28,11.14,11.175,3585879,11.175
35,10.845,11.1,10.75,10.83,2310661,10.83
36,11.07,11.12,10.7,10.845,4108734,10.845
37,10.88,11.175,10.86,11.07,2680216,11.07
38,10.98,11.03,10.875,10.88,2082173,10.88
39,10.725,10.98,10.72,10.98,1539999,10.98
40,10.591,10.75,10.55,10.725,1842671,10.725
41,10.68,10.69,10.55,10.595,3839324,10.595
42,10.48,10.9091,10.48,10.78,1208710,10.78
43,10.035,10.49,10.03,10.48,4373689,10.48
44,10.055,10.11,9.86,10.036,5332035,10.036
45,10.18,10.295,10.02,10.055,3401080,10.055
46,10.26,10.27,10.04,10.175,3948104,10.175
47,10.445,10.48,10.255,10.26,5612950,10.26
48,10.34,10.51,10.325,10.445,8253020,10.445
49,10.055,10.41,9.93,10.4,1380009,10.4
50,9.45,10.055,9.37,10.05,4987318,10.05
51,9.66,9.85,9.445,9.45,3474716,9.45
52,9.6,9.67,9.5,9.66,1648375,9.66
53,9.545,9.61,9.44,9.61,1831229,9.61
54,9.6299,9.67,9.49,9.54,2315929,9.54
55,9.61,9.66,9.5,9.625,5205799,9.625
56,9.61,9.76,9.51,9.7,1663157,9.7
57,9.055,9.615,9.0,9.61,4049825,9.61
58,8.895,9.205,8.82,9.055,3217585,9.055
59,8.85,9.075,8.76,8.8967,2830965,8.8967
60,8.865,8.96,8.8,8.855,2633126,8.855
61,9.03,9.04,8.71,8.86,2683812,8.86
