Date,Open,High,Low,Close,Volume,Adj Close
0,52.7,52.96,52.07,52.71,7897020,52.71
1,52.71,53.485,52.54,53.31,8603787,53.31
2,53.31,53.33,52.79,52.85,4779889,52.85
3,52.8562,52.91,52.74,52.78,3047836,52.78
4,52.78,52.83,52.38,52.45,3105562,52.45
5,52.45,52.68,52.24,52.42,5755002,52.42
6,52.42,52.767,52.17,52.17,16402690,52.17
7,52.37,52.97,52.25,52.95,7635919,52.95
8,52.95,53.105,52.42,52.5,6698289,52.5
9,52.5,52.95,52.15,52.92,5167099,52.92
10,52.92,53.22,52.81,53.07,4370239,53.07
11,53.06,53.28,52.875,52.9799,5684819,52.9799
12,52.97,53.05,52.73,52.81,5208248,52.81
13,52.82,52.91,52.25,52.33,10330418,52.33
14,52.51,52.85,52.35,52.43,3347217,52.43
15,52.43,52.5406,52.025,52.08,4328623,52.08
16,52.08,52.58,52.01,52.4,3800313,52.4
17,52.41,52.42,51.8,51.93,4457902,51.93
18,51.93,52.02,51.48,51.57,3962635,51.57
19,51.58,52.08,51.46,51.92,4417182,51.92
20,51.92,52.59,51.68,52.3,9598208,52.3
21,52.76,53.1,52.61,52.82,4206638,52.82
22,52.82,52.9001,52.5,52.7,4699099,52.7
23,52.7,52.71,52.11,52.35,4138937,52.35
24,52.35,52.56,52.06,52.27,2961432,52.27
25,52.28,52.56,52.28,52.379,2726462,52.379
26,52.37,52.81,52.06,52.8,4205907,52.8
27,52.8,52.98,52.58,52.77,9974479,52.77
28,53.8,54.07,53.735,53.91,7061617,53.91
29,53.91,53.96,53.72,53.84,8259564,53.84
30,53.84,53.84,53.05,53.12,9193549,53.12
31,53.11,53.34,52.8,52.84,5701586,52.84
32,52.83,52.96,52.18,52.27,7608142,52.27
33,52.26,52.26,51.3038,51.81,9634105,51.81
34,51.81,52.25,51.565,51.64,14064363,51.64
35,52.0,52.09,51.64,51.77,5061602,51.77
36,51.76,52.77,51.57,52.5,10394347,52.5
37,52.495,52.93,52.29,52.93,4912999,52.93
38,52.93,53.01,52.56,52.56,4027154,52.56
39,52.56,53.1,52.45,53.04,4989783,53.04
40,53.05,53.36,52.85,53.3,4549771,53.3
41,53.3,53.4163,52.95,53.11,13373292,53.11
42,51.31,51.97,51.06,51.32,10787382,51.32
43,51.32,51.73,51.11,51.196,8538863,51.196
44,51.2,51.32,50.87,51.04,6645370,51.04
45,51.03,51.11,50.39,50.91,6647896,50.91
46,50.91,51.02,50.34,50.895,7151983,50.895
47,50.89,51.23,50.69,51.17,6732147,51.17
48,51.16,51.8,50.48,50.99,16820876,50.99
49,51.48,51.68,51.005,51.15,5418123,51.15
50,51.16,51.33,50.67,50.71,5831575,50.71
51,50.705,50.93,50.555,50.875,5378644,50.875
52,50.875,50.91,50.43,50.5339,4035661,50.5339
53,50.54,50.64,50.42,50.5,3442114,50.5
54,50.4946,50.55,50.06,50.2,4751841,50.2
55,50.2,50.9,50.13,50.56,11387668,50.56
56,49.98,50.199,49.58,49.715,5464853,49.715
57,49.71,50.0699,49.52,49.635,7276284,49.635
58,49.64,50.23,49.57,49.728,6432395,49.728
59,49.73,49.83,49.1,49.75,6448913,49.75
60,49.75,50.74,49.68,50.69,9153515,50.69
61,50.68,50.7,50.045,50.28,6417048,50.28
62,50.29,51.38,50.17,50.79,16869848,50.79
63,51.0,51.34,50.42,50.6,3772681,50.6
64,50.6,51.44,50.545,51.13,6595301,51.13
65,51.13,51.51,51.04,51.495,4871362,51.495
66,51.5099,51.58,51.0,51.01,3339870,51.01
67,51.02,51.28,50.7,50.8165,4147199,50.8165
68,50.825,51.3,50.3,50.765,5385141,50.765
69,50.76,51.09,50.39,50.48,8546675,50.48
70,51.41,51.9,51.26,51.68,4304430,51.68
71,51.69,52.33,51.68,51.93,6536832,51.93
72,51.93,52.16,51.7647,52.04,4336563,52.04
73,52.04,52.28,51.995,52.1176,2869534,52.1176
74,52.115,52.245,51.995,52.2,2350488,52.2
75,52.191,52.3,52.06,52.23,3559550,52.23
76,52.23,52.3,52.02,52.28,9634194,52.28
77,51.94,52.13,51.77,52.055,3771076,52.055
78,52.05,52.23,51.89,52.16,4229238,52.16
79,52.155,52.24,52.0,52.11,3015696,52.11
80,52.119,52.48,52.08,52.45,3028913,52.45
81,52.45,52.65,52.31,52.325,3083883,52.325
82,52.33,52.5,52.27,52.431,2873740,52.431
83,52.43,52.54,51.65,51.79,10787269,51.79
