Date,Open,High,Low,Close,Volume,Adj Close
0,25.34,25.39,25.34,25.35,76305,25.35
1,25.32,25.45,25.3,25.35,217433,25.35
2,25.4,25.44,25.325,25.33,254765,25.33
3,25.28,25.435,25.25,25.4001,242210,25.4001
4,25.33,25.36,25.25,25.28,221448,25.28
5,25.31,25.36,25.27,25.335,289780,25.335
6,25.45,25.46,25.29,25.31,190046,25.31
7,25.47,25.48,25.36,25.45,256352,25.45
8,25.465,25.51,25.43,25.475,348610,25.475
9,25.475,25.525,25.47,25.47,526257,25.47
10,25.51,25.535,25.45,25.47,146322,25.47
11,25.41,25.53,25.41,25.51,131804,25.51
12,25.295,25.43,25.29,25.42,82269,25.42
13,25.24,25.305,25.24,25.29,109000,25.29
14,25.25,25.28,25.225,25.23,98470,25.23
15,25.255,25.31,25.22,25.2585,217081,25.2585
16,25.22,25.28,25.2,25.26,227457,25.26
17,25.184,25.24,25.17,25.23,128316,25.23
18,25.205,25.215,25.16,25.18,98130,25.18
19,25.31,25.315,25.2032,25.2032,103569,25.2032
20,25.295,25.355,25.29,25.315,254224,25.315
21,25.26,25.31,25.25,25.295,107635,25.295
22,25.185,25.26,25.16,25.25,95299,25.25
23,25.23,25.25,25.18,25.19,134323,25.19
24,25.25,25.2699,25.19,25.24,116194,25.24
25,25.255,25.3,25.205,25.25,136640,25.25
26,25.15,25.26,25.15,25.25,99974,25.25
27,25.185,25.185,25.1199,25.15,113174,25.15
28,25.225,25.255,25.18,25.18,118535,25.18
29,25.25,25.28,25.215,25.22,318242,25.22
30,25.2199,25.259,25.19,25.255,166565,25.255
31,25.225,25.245,25.2,25.22,86709,25.22
32,25.255,25.27,25.19,25.23,170354,25.23
33,25.305,25.31,25.25,25.255,176666,25.255
34,25.365,25.37,25.305,25.305,180211,25.305
35,25.35,25.38,25.325,25.36,180709,25.36
36,25.35,25.36,25.34,25.35,74543,25.35
37,25.3,25.36,25.29,25.3502,192330,25.3502
38,25.345,25.35,25.29,25.3,85634,25.3
39,25.36,25.415,25.345,25.345,100695,25.345
40,25.355,25.4,25.35,25.365,77937,25.365
41,25.375,25.38,25.34,25.35,70155,25.35
42,25.4,25.405,25.36,25.37,109692,25.37
43,25.41,25.42,25.38,25.39,241101,25.39
44,25.45,25.46,25.395,25.41,384683,25.41
45,25.51,25.51,25.4501,25.455,80490,25.455
46,25.505,25.54,25.48,25.52,130537,25.52
47,25.5,25.525,25.48,25.5,90929,25.5
48,25.47,25.52,25.47,25.5,56557,25.5
49,25.53,25.53,25.47,25.48,92635,25.48
50,25.55,25.565,25.525,25.53,108303,25.53
51,25.595,25.61,25.54,25.55,131900,25.55
52,25.64,25.66,25.595,25.6,152227,25.6
53,25.62,25.645,25.58,25.645,139544,25.645
54,25.6,25.63,25.59,25.615,87063,25.615
55,25.57,25.61,25.54,25.595,114059,25.595
56,25.59,25.62,25.57,25.57,108105,25.57
57,25.59,25.61,25.555,25.58,85743,25.58
58,25.655,25.69,25.58,25.595,82669,25.595
59,25.695,25.705,25.65,25.655,107211,25.655
60,25.72,25.72,25.68,25.695,186420,25.695
61,25.715,25.72,25.68,25.71,119132,25.71
62,25.78,25.78,25.71,25.715,283677,25.715
63,25.8,25.82,25.77,25.775,199807,25.775
64,25.785,25.84,25.78,25.8,139429,25.8
65,25.78,25.82,25.75,25.79,247539,25.79
66,25.69,25.775,25.62,25.775,241592,25.775
67,25.675,25.6942,25.63,25.69,321804,25.69
68,25.69,25.69,25.66,25.675,213614,25.675
69,25.675,25.7,25.64,25.685,335317,25.685
70,25.67,25.685,25.63,25.67,437979,25.67
71,25.68,25.7,25.655,25.67,315716,25.67
72,25.795,25.8,25.67,25.6799,313548,25.6799
73,25.74,25.8,25.74,25.795,271176,25.795
74,25.755,25.815,25.735,25.745,286745,25.745
75,25.795,25.81,25.745,25.76,288213,25.76
76,25.831,25.85,25.79,25.795,396744,25.795
77,25.84,25.86,25.82,25.83,631538,25.83
78,25.88,25.89,25.79,25.84,1415888,25.84
79,25.78,25.78,25.78,25.78,100,25.78
80,25.85,25.93,25.72,25.75,437776,25.75
81,25.76,25.84,25.69,25.84,288662,25.84
82,25.745,25.8301,25.68,25.75,175839,25.75
83,25.705,25.79,25.68,25.74,191978,25.74
84,25.73,25.75,25.69,25.7,112332,25.7
85,25.69,25.78,25.66,25.735,171394,25.735
86,25.53,25.7,25.52,25.69,148949,25.69
87,25.65,25.65,25.52,25.53,186966,25.53
88,25.735,25.74,25.63,25.66,147157,25.66
89,25.6829,25.8,25.68,25.74,109351,25.74
90,25.705,25.79,25.66,25.69,79708,25.69
91,25.69,25.75,25.63,25.705,166715,25.705
92,25.66,25.71,25.655,25.6801,95897,25.6801
93,25.69,25.72,25.66,25.66,92817,25.66
94,25.76,25.76,25.65,25.6855,111366,25.6855
95,25.745,25.79,25.73,25.77,68389,25.77
96,25.69,25.74,25.65,25.74,125043,25.74
97,25.755,25.7658,25.645,25.68,85569,25.68
98,25.735,25.76,25.715,25.76,100949,25.76
99,25.722,25.78,25.72,25.745,64863,25.745
100,25.8,25.82,25.7,25.72,127427,25.72
101,25.78,25.83,25.76,25.8,109428,25.8
102,25.705,25.775,25.68,25.77,102763,25.77
103,25.78,25.78,25.68,25.7,101775,25.7
104,25.78,25.805,25.73,25.79,67506,25.79
105,25.85,25.87,25.79,25.79,103036,25.79
106,25.795,25.85,25.77,25.84,70159,25.84
107,25.77,25.83,25.77,25.795,79805,25.795
108,25.77,25.79,25.745,25.78,117216,25.78
109,25.765,25.7899,25.74,25.77,83508,25.77
110,25.72,25.78,25.72,25.76,72441,25.76
111,25.6899,25.725,25.65,25.72,98377,25.72
112,25.7,25.73,25.68,25.69,66235,25.69
113,25.67,25.705,25.63,25.7,60928,25.7
114,25.6,25.67,25.59,25.67,98118,25.67
115,25.62,25.62,25.6,25.6,8084,25.6
116,25.605,25.64,25.6,25.61,53255,25.61
117,25.6,25.608,25.57,25.6,60506,25.6
118,25.59,25.62,25.57,25.6,55691,25.6
119,25.59,25.598,25.54,25.58,48081,25.58
120,25.46,25.59,25.46,25.58,131005,25.58
121,25.435,25.48,25.42,25.46,154652,25.46
122,25.51,25.525,25.435,25.44,133151,25.44
