Date,Open,High,Low,Close,Volume,Adj Close
0,29.88,30.07,29.65,29.87,1510061,29.87
1,29.87,30.0326,29.63,29.92,1786451,29.92
2,29.9299,29.97,29.63,29.63,1402179,29.63
3,29.62,29.635,29.39,29.4,2016208,29.4
4,29.405,29.41,28.91,29.06,2388484,29.06
5,29.05,29.28,28.96,29.05,1998588,29.05
6,29.05,29.18,28.78,28.97,4744260,28.97
7,29.41,29.49,29.11,29.3,1559619,29.3
8,29.3,29.33,28.78,28.78,2778917,28.78
9,28.78,28.9,28.49,28.8,2068293,28.8
10,28.8,28.93,28.71,28.83,1158047,28.83
11,28.83,28.86,28.5802,28.715,941277,28.715
12,28.71,28.83,28.6,28.74,1302112,28.74
13,28.74,28.77,28.3,28.37,3447800,28.37
14,28.45,28.6,28.02,28.16,1806035,28.16
15,28.16,28.37,28.05,28.09,2052865,28.09
16,28.09,28.28,28.025,28.28,1671255,28.28
17,28.29,28.3,28.08,28.15,1857946,28.15
18,28.1499,28.23,27.865,27.88,1916245,27.88
19,27.88,28.29,27.81,28.26,2596317,28.26
20,28.259,28.57,28.02,28.45,5628375,28.45
21,28.74,28.88,28.6,28.74,1312776,28.74
22,28.75,28.77,28.23,28.4,2287457,28.4
23,28.4,28.44,28.02,28.24,1646962,28.24
24,28.25,28.39,28.06,28.16,1875262,28.16
25,28.17,28.34,28.11,28.13,1380781,28.13
26,28.12,28.32,28.0,28.3,1143030,28.3
27,28.29,28.565,28.2,28.47,3919264,28.47
28,28.73,28.8,28.29,28.345,888819,28.345
29,28.34,28.48,27.84,27.885,2973182,27.885
30,27.88,28.01,27.44,27.47,4370367,27.47
31,27.47,27.575,27.1831,27.21,4335200,27.21
32,27.21,27.35,26.9899,26.99,3212744,26.99
33,26.995,27.1599,26.5,26.85,4047170,26.85
34,26.85,27.095,26.78,26.9,7585239,26.9
35,26.99,27.095,26.35,26.4,2110176,26.4
36,26.41,27.32,26.23,26.93,4409638,26.93
37,26.93,27.135,26.835,27.0,2055104,27.0
38,27.0,27.3,26.89,27.08,2528349,27.08
39,27.08,27.305,27.065,27.17,2308844,27.17
40,27.17,27.26,27.08,27.19,3127890,27.19
41,27.192,27.25,27.08,27.14,5264647,27.14
42,26.03,26.41,25.94,26.16,2783596,26.16
43,26.15,26.29,25.98,26.005,2820452,26.005
44,26.0,26.1,25.89,25.93,2136429,25.93
45,25.93,25.99,25.515,25.82,2316947,25.82
46,25.82,25.85,25.65,25.684,3094450,25.684
47,25.68,25.87,25.51,25.86,4544267,25.86
48,25.865,26.13,25.75,25.94,6117913,25.94
49,26.83,27.13,26.13,26.45,3993980,26.45
50,26.455,26.97,26.44,26.56,4404190,26.56
51,26.56,26.7,26.44,26.48,2959852,26.48
52,26.47,26.5,26.02,26.13,2429364,26.13
53,26.14,26.31,25.95,26.02,2207679,26.02
54,26.02,26.14,25.76,26.12,2520883,26.12
55,26.12,26.41,26.1,26.26,6058905,26.26
56,25.7,25.77,25.23,25.34,3065377,25.34
57,25.35,25.52,25.09,25.105,3387321,25.105
58,25.105,25.35,25.0,25.06,2551060,25.06
59,25.05,25.115,24.67,25.01,2704033,25.01
60,25.01,25.17,24.77,25.035,2843332,25.035
