Date,Open,High,Low,Close,Volume,Adj Close
0,106.69,106.74,106.42,106.57,174769,106.57
1,107.06,108.4,105.91,106.49,2311900,106.49
2,107.17,107.65,106.62,107.03,1318361,107.03
3,106.32,107.2,106.11,107.18,937638,107.18
4,107.138,107.18,105.75,106.37,1087436,106.37
5,107.36,107.93,106.79,107.049,903113,107.049
6,107.8066,108.12,107.09,107.3601,778446,107.3601
7,107.37,108.3,107.2,107.79,875794,107.79
8,106.43,107.63,106.38,107.37,926519,107.37
9,106.3227,106.6299,105.55,106.4,962030,106.4
10,106.12,106.7,105.83,106.32,469233,106.32
11,106.5,106.69,106.0,106.1677,370846,106.1677
12,105.81,106.526,105.6,106.49,526866,106.49
13,106.56,106.9,105.82,105.8757,509926,105.8757
14,107.1802,107.4,106.18,106.59,787378,106.59
15,107.85,108.2,107.1142,107.19,785429,107.19
16,108.528,109.5,107.81,107.86,1314061,107.86
17,109.15,109.8,108.51,108.51,984299,108.51
18,109.24,110.14,108.9,109.1625,1155611,109.1625
19,107.7,109.27,107.64,109.23,966366,109.23
20,107.6,107.99,107.32,107.66,946247,107.66
21,106.15,107.8,106.0,107.6,943975,107.6
22,106.95,107.3,105.85,106.18,956046,106.18
23,106.89,108.06,106.44,106.9589,1071441,106.9589
24,108.39,108.49,106.7,106.8999,1117946,106.8999
25,107.8899,108.99,107.7,108.43,1369235,108.43
26,107.89,108.89,107.57,107.865,2625574,107.865
27,108.57,109.0,108.38,108.91,254867,108.91
28,106.74,109.49,105.8,108.58,4442526,108.58
29,102.96,107.34,101.27,106.74,4197555,106.74
30,102.36,103.19,101.01,102.96,2599300,102.96
31,101.56,102.7,99.6,102.32,3014933,102.32
32,100.6224,101.6054,99.29,101.6054,1769848,101.6054
33,98.01,100.83,97.0501,100.66,2312869,100.66
34,100.45,100.82,97.6801,98.0,1950449,98.0
35,100.855,101.95,100.22,100.39,1961794,100.39
36,102.0501,103.85,100.8001,100.83,2425856,100.83
37,101.8,102.27,101.025,102.05,1160981,102.05
38,100.81,102.3,100.1,101.8428,1131696,101.8428
39,100.27,101.5,99.5,100.8255,939170,100.8255
40,100.0,101.5,99.75,100.265,1023214,100.265
41,101.4199,101.51,99.79,100.11,1080939,100.11
42,101.35,102.4,100.62,101.42,963558,101.42
43,101.475,101.913,100.71,101.3999,625292,101.3999
44,104.115,104.28,101.45,101.45,1332193,101.45
45,108.19,108.98,104.2,104.21,3346377,104.21
46,108.91,109.99,106.55,108.2386,2207333,108.2386
47,107.97,109.28,107.2001,108.9101,1403191,108.9101
48,106.9,108.4,106.63,107.93,1050941,107.93
49,106.57,107.406,106.01,106.88,1093434,106.88
50,107.12,108.19,106.42,106.58,1132782,106.58
51,109.17,109.95,107.0,107.12,1798751,107.12
52,108.0101,109.4,107.62,109.19,1362200,109.19
53,107.74,108.385,107.25,108.02,1525756,108.02
54,108.44,108.51,108.04,108.32,88379,108.32
55,103.274,108.4494,103.14,108.27,1795002,108.27
56,102.5436,103.73,102.1,103.34,2126951,103.34
57,105.065,105.81,102.5201,102.5201,2100229,102.5201
58,105.5999,105.7,104.31,105.024,1246018,105.024
59,106.0,106.66,104.74,105.59,1290624,105.59
60,107.195,108.3,105.8,106.01,1572478,106.01
61,107.71,108.37,107.05,107.17,1398844,107.17
62,105.87,108.0,105.65,107.6735,1266314,107.6735
63,106.0001,106.75,105.7,105.8465,778450,105.8465
64,106.14,106.89,105.9,106.01,847011,106.01
65,106.96,107.71,106.11,106.12,892860,106.12
66,106.68,107.64,106.05,106.98,945616,106.98
67,106.41,106.79,106.21,106.6866,522828,106.6866
68,105.81,106.439,105.81,106.38,509529,106.38
69,104.605,106.25,104.605,105.81,603803,105.81
70,103.665,105.0,103.65,104.605,1272464,104.605
71,104.77,105.15,103.654,103.72,829407,103.72
72,104.056,105.08,103.65,104.83,734409,104.83
73,102.8,104.1638,102.5701,104.12,1029197,104.12
74,103.313,103.5,102.3,102.83,1020559,102.83
75,103.95,104.45,103.11,103.3195,883140,103.3195
76,103.48,103.99,102.81,103.93,805751,103.93
77,103.44,103.58,102.71,103.4708,719746,103.4708
78,102.8766,103.3901,102.75,103.3901,667383,103.3901
79,102.5951,103.43,102.3,102.89,1227202,102.89
80,102.35,103.0499,102.34,102.6,1383870,102.6
81,104.775,104.84,104.7225,104.7225,111808,104.7225
82,102.9,104.99,102.4,104.83,1854099,104.83
83,101.4424,102.9499,100.25,102.85,2417072,102.85
84,102.25,103.49,101.44,101.47,2107165,101.47
85,101.435,102.28,101.05,102.214,1005863,102.214
86,101.72,102.45,101.305,101.4266,909302,101.4266
87,101.8193,103.06,101.33,101.67,914978,101.67
88,100.625,102.21,100.56,101.86,962504,101.86
89,101.51,101.65,100.35,100.64,915498,100.64
90,100.15,102.0,99.57,101.51,1470803,101.51
91,99.57,100.25,99.22,100.12,1226288,100.12
92,100.31,100.53,99.46,99.55,773599,99.55
93,100.16,100.44,99.8,100.37,550206,100.37
94,100.6385,100.77,99.9502,100.16,709486,100.16
95,100.19,100.67,99.8,100.62,483620,100.62
96,100.13,100.345,99.87,100.21,541077,100.21
97,100.22,100.63,99.98,100.12,531664,100.12
98,99.955,100.33,99.88,100.23,338618,100.23
99,101.19,101.27,99.99,100.03,777112,100.03
100,101.2175,101.3,100.54,101.1301,607721,101.1301
101,101.38,101.75,101.0,101.22,712193,101.22
102,100.84,101.42,100.68,101.38,455974,101.38
103,100.37,101.09,100.0,100.88,613781,100.88
104,100.255,100.54,99.99,100.3559,614670,100.3559
105,100.4,100.48,99.8,100.2635,797727,100.2635
106,100.47,100.62,100.16,100.39,678011,100.39
107,100.6806,100.85,100.32,100.49,1492467,100.49
108,99.55,99.78,99.53,99.78,96087,99.78
109,102.31,102.68,99.13,99.65,1741525,99.65
110,101.59,102.5,100.89,102.332,1189256,102.332
111,101.63,102.2392,101.24,101.58,703754,101.58
112,100.8112,102.15,100.25,101.55,768373,101.55
113,100.2719,101.03,100.0,100.8,677410,100.8
114,99.9,100.569,99.9,100.328,674860,100.328
115,99.33,100.25,99.05,99.9,699543,99.9
116,99.7569,99.835,99.15,99.31,591067,99.31
117,100.12,100.36,99.58,99.77,646822,99.77
118,101.0,101.4,100.11,100.11,782089,100.11
119,100.9999,101.17,100.51,101.03,513201,101.03
120,101.4,101.6,100.8,100.97,528471,100.97
121,101.695,102.09,101.26,101.3781,877694,101.3781
122,101.724,101.94,101.36,101.73,454634,101.73
123,101.41,101.99,101.12,101.6901,509511,101.6901
124,101.1,101.61,100.9,101.3901,418276,101.3901
125,100.91,101.37,100.75,101.1,455267,101.1
126,100.64,101.1,100.56,100.8783,354036,100.8783
127,100.82,101.06,100.2201,100.61,398821,100.61
128,100.48,101.06,100.2,100.85,423969,100.85
129,100.51,100.939,100.36,100.48,338152,100.48
130,100.59,100.6888,100.22,100.54,375966,100.54
131,100.05,100.869,99.98,100.57,619457,100.57
132,99.66,100.16,99.4501,100.054,766357,100.054
133,99.18,99.71,99.05,99.65,937638,99.65
134,99.12,99.55,99.0,99.16,1897456,99.16
135,99.59,99.74,99.34,99.74,91560,99.74
136,98.335,100.55,97.9,99.6,1481141,99.6
137,96.1046,98.51,95.8,98.335,1890970,98.335
138,96.48,97.47,95.84,96.13,1249425,96.13
139,95.275,96.52,94.85,96.5,2089118,96.5
140,95.89,96.49,95.26,95.27,1212470,95.27
141,95.91,96.35,95.71,95.902,612946,95.902
142,96.45,96.79,95.75,95.865,625684,95.865
143,95.99,96.5,95.35,96.4,731770,96.4
144,96.05,96.37,95.74,95.97,478611,95.97
145,96.71,97.348,96.01,96.07,868587,96.07
146,97.16,97.25,96.71,96.7382,494917,96.7382
147,96.9,97.23,96.64,97.13,461322,97.13
148,98.18,98.2,96.825,96.87,682218,96.87
149,97.682,98.23,97.21,98.121,551315,98.121
150,97.77,98.18,97.5426,97.69,463534,97.69
151,97.926,98.6,97.71,97.77,613224,97.77
152,97.735,98.279,97.45,97.9,489452,97.9
153,97.358,97.907,97.31,97.725,391283,97.725
154,96.34,97.35,96.3,97.35,714440,97.35
155,96.21,96.8,96.1201,96.34,498665,96.34
156,97.02,97.17,96.16,96.22,654774,96.22
157,97.03,97.47,96.86,97.11,443977,97.11
158,97.075,97.1,96.65,97.02,383635,97.02
159,96.86,97.15,96.73,97.08,354027,97.08
160,97.9,98.0499,96.8801,96.9,730634,96.9
161,97.83,97.95,97.62,97.9,952740,97.9
162,96.72,96.72,96.5,96.61,87596,96.61
163,96.82,97.8495,96.51,96.6,877259,96.6
164,95.61,97.0,95.3901,96.82,879690,96.82
165,95.035,95.7896,94.63,95.616,1169861,95.616
166,94.56,95.55,94.1,95.045,1053530,95.045
167,94.87,95.1,94.37,94.6,1048503,94.6
168,94.175,95.08,94.15,94.84,728226,94.84
169,94.32,94.45,93.77,94.225,1028200,94.225
170,95.27,95.48,94.2,94.308,995705,94.308
171,95.078,95.55,94.95,95.23,613522,95.23
172,95.03,95.24,94.54,95.08,546711,95.08
173,95.22,95.646,94.6601,95.0799,614735,95.0799
