Date,Open,High,Low,Close,Volume,Adj Close
0,61.53,61.68,61.2,61.2,249322,61.2
1,61.71,61.88,61.52,61.53,62216,61.53
2,61.51,61.75,61.43,61.718,98630,61.718
3,61.73,61.78,61.51,61.51,77042,61.51
4,61.68,61.88,61.67,61.76,117529,61.76
5,61.79,61.88,61.67,61.675,65552,61.675
6,61.7,61.81,61.68,61.8,84825,61.8
7,61.7375,61.8,61.64,61.7,136413,61.7
8,61.503,61.8,61.5,61.75,88522,61.75
9,61.66,61.6985,61.47,61.5,76769,61.5
10,61.6602,61.7643,61.63,61.6517,57752,61.6517
11,61.56,61.69,61.52,61.67,105986,61.67
12,61.56,61.64,61.522,61.555,69494,61.555
13,61.7044,61.73,61.56,61.56,68113,61.56
14,61.89,61.89,61.7,61.7,93411,61.7
15,61.84,61.92,61.81,61.89,116096,61.89
16,61.87,61.95,61.83,61.84,79019,61.84
17,61.81,61.91,61.8,61.87,96156,61.87
18,61.83,61.85,61.71,61.815,80355,61.815
19,61.89,62.0,61.8365,61.8365,168600,61.8365
20,61.8,61.898,61.77,61.88,73023,61.88
21,61.89,61.94,61.8,61.8,84411,61.8
22,61.942,62.05,61.88,61.88,152857,61.88
23,61.92,61.97,61.86,61.95,51186,61.95
24,62.075,62.0768,61.93,61.93,109420,61.93
25,61.9599,62.11,61.94,62.07,103380,62.07
26,61.885,62.02,61.87,61.95,72661,61.95
27,61.86,61.9,61.8,61.9,52889,61.9
28,62.095,62.11,61.85,61.86,89703,61.86
29,62.12,62.16,62.1,62.11,62008,62.11
30,62.0961,62.14,62.06,62.125,58789,62.125
31,62.07,62.14,62.06,62.0999,56903,62.0999
32,62.095,62.1385,62.07,62.07,71807,62.07
33,62.1169,62.15,62.08,62.09,59863,62.09
34,62.1,62.16,62.0899,62.12,64490,62.12
35,62.1,62.13,62.06,62.1025,78785,62.1025
36,62.09,62.15,62.07,62.1,117793,62.1
37,62.09,62.1,61.97,62.09,127709,62.09
38,62.01,62.11,62.0,62.1,143667,62.1
39,61.99,62.05,61.99,62.015,104065,62.015
40,61.965,62.0,61.94,61.99,119393,61.99
41,61.97,61.9968,61.96,61.96,77595,61.96
42,61.909,61.98,61.895,61.97,86525,61.97
43,61.88,61.9399,61.85,61.902,66174,61.902
44,61.82,61.905,61.8098,61.88,52761,61.88
45,61.69,61.83,61.68,61.815,105962,61.815
46,61.705,61.786,61.6899,61.695,70665,61.695
47,61.58,61.72,61.57,61.71,80869,61.71
48,61.5,61.62,61.49,61.59,95286,61.59
49,61.5,61.51,61.48,61.5,81736,61.5
50,61.7,61.71,61.48,61.5,133653,61.5
51,61.695,61.74,61.64,61.7,48441,61.7
52,61.56,61.707,61.48,61.707,89272,61.707
53,61.55,61.61,61.55,61.58,54070,61.58
54,61.6,61.6,61.45,61.55,90996,61.55
55,61.643,61.68,61.59,61.6,79686,61.6
56,61.8,61.808,61.63,61.64,105025,61.64
57,61.855,61.86,61.74,61.81,61575,61.81
58,61.849,61.86,61.78,61.86,87394,61.86
59,61.98,61.98,61.86,61.86,75986,61.86
60,62.01,62.0285,61.96,61.97,76539,61.97
