Date,Open,High,Low,Close,Volume,Adj Close
0,187.85,190.0,187.85,189.4274,112747,189.4274
1,189.26,191.06,189.06,190.84,170181,190.84
2,190.87,190.99,189.95,190.82,121453,190.82
3,190.7603,190.98,190.23,190.76,175319,190.76
4,190.76,191.925,190.65,191.515,180850,191.515
5,191.54,192.86,191.19,192.32,295724,192.32
6,192.31,192.56,191.815,192.45,922171,192.45
7,190.16,193.2,190.0,193.08,175328,193.08
8,193.07,193.11,191.82,192.0967,197049,192.0967
9,192.13,192.33,190.81,190.92,99784,190.92
10,190.91,191.7,190.69,191.15,75544,191.15
11,191.1475,191.44,190.8,191.115,142020,191.115
12,191.1,191.57,190.24,190.35,182267,190.35
13,190.35,190.97,190.14,190.5,441538,190.5
14,187.9,189.295,186.01,189.08,87591,189.08
15,189.01,189.68,188.17,189.3,191918,189.3
16,189.265,189.525,188.365,188.595,137757,188.595
17,188.585,188.95,187.61,187.62,150754,187.62
18,187.72,187.72,186.25,187.27,194602,187.27
19,187.33,188.195,186.89,187.382,214469,187.382
20,187.38,188.77,186.89,188.13,592863,188.13
21,188.79,189.74,188.16,189.22,73645,189.22
22,189.24,189.31,187.65,187.83,127560,187.83
23,187.93,188.9095,187.2635,188.7,156681,188.7
24,188.5725,189.115,188.42,188.65,74362,188.65
25,188.55,188.9,187.86,188.53,176207,188.53
26,188.4525,188.95,188.01,188.38,168092,188.38
27,188.34,188.48,185.9,186.07,259792,186.07
28,187.48,188.04,185.71,185.87,82812,185.87
29,185.92,187.02,185.9,186.23,215031,186.23
30,186.07,186.65,185.51,186.315,130337,186.315
31,186.32,186.99,186.09,186.99,85277,186.99
32,187.06,187.06,186.06,186.41,148453,186.41
33,186.49,187.65,186.33,186.8,148378,186.8
34,186.88,188.71,186.44,188.14,522235,188.14
35,189.06,189.195,188.32,188.78,74924,188.78
36,188.76,189.0525,188.364,188.48,67274,188.48
37,188.39,188.64,187.55,188.04,70388,188.04
38,188.05,188.08,187.53,187.77,58263,187.77
39,187.73,188.48,187.72,188.22,56940,188.22
40,188.26,189.1,187.82,188.83,133285,188.83
41,188.89,189.47,188.66,188.93,305951,188.93
