Date,Close,High,Low,Open,Volume,Adj Close
2015-11-18 10:30:00,186.29,187.725,186.29,186.45,117611,186.29
2015-11-18 11:30:00,187.42,187.42,186.56,186.56,57782,187.42
2015-11-18 12:30:00,187.37,187.69,187.13,187.43,50369,187.37
2015-11-18 13:30:00,187.001,187.33,186.98,187.33,54299,187.001
2015-11-18 14:30:00,187.417,187.88,186.712,187.12,71515,187.417
2015-11-18 15:30:00,187.73,188.11,187.268,187.535,76162,187.73
2015-11-18 16:00:00,188.14,188.48,187.77,187.79,111261,188.14
2015-11-19 10:30:00,188.33,189.43,188.19,189.42,144997,188.33
2015-11-19 11:30:00,188.065,188.5,187.66,188.38,64190,188.065
2015-11-19 12:30:00,187.55,188.08,187.2,188.03,69812,187.55
2015-11-19 13:30:00,188.0,188.24,187.49,187.564,85485,188.0
2015-11-19 14:30:00,187.47,188.035,187.2,187.95,72434,187.47
2015-11-19 15:30:00,188.18,188.23,187.59,187.59,117927,188.18
2015-11-19 16:00:00,188.23,188.265,188.0,188.24,155197,188.23
2015-11-20 10:30:00,189.801,189.99,188.86,189.27,158280,189.801
2015-11-20 11:30:00,189.7,190.08,189.61,189.88,145727,189.7
2015-11-20 12:30:00,189.47,189.86,189.27,189.74,113221,189.47
2015-11-20 13:30:00,189.77,189.86,189.54,189.54,52466,189.77
2015-11-20 14:30:00,189.14,189.59,189.14,189.59,84466,189.14
2015-11-20 15:30:00,189.23,189.33,188.955,189.16,105487,189.23
2015-11-20 16:00:00,189.48,189.48,189.19,189.19,211100,189.48
2015-11-23 10:30:00,188.9,189.89,188.87,189.43,108854,188.9
2015-11-23 11:30:00,188.89,189.26,188.37,188.889,65129,188.89
2015-11-23 12:30:00,188.57,189.12,188.52,188.99,47348,188.57
2015-11-23 13:30:00,188.2,188.64,188.17,188.516,59536,188.2
2015-11-23 14:30:00,188.08,188.64,187.95,188.16,50651,188.08
2015-11-23 15:30:00,188.015,188.325,187.86,188.06,179629,188.015
2015-11-23 16:00:00,187.85,188.19,187.795,188.04,156513,187.85
2015-11-24 10:30:00,187.24,187.44,186.34,186.76,148113,187.24
2015-11-24 11:30:00,187.17,187.2,186.8,187.17,102166,187.17
2015-11-24 12:30:00,187.585,187.78,187.06,187.5,75061,187.585
2015-11-24 13:30:00,188.11,188.11,187.36,187.56,53362,188.11
2015-11-24 14:30:00,188.42,188.52,187.814,188.07,81902,188.42
2015-11-24 15:30:00,188.4,188.61,188.337,188.39,82951,188.4
2015-11-24 16:00:00,188.0,188.39,187.77,188.39,129236,188.0
2015-11-25 10:30:00,187.97,188.67,187.48,187.83,141863,187.97
2015-11-25 11:30:00,186.97,188.34,186.97,187.96,82149,186.97
2015-11-25 12:30:00,187.5,187.5,186.96,186.96,56717,187.5
2015-11-25 13:30:00,187.43,187.6,187.415,187.47,41174,187.43
2015-11-25 14:30:00,187.985,188.11,187.32,187.45,67689,187.985
