Date,Close,High,Low,Open,Volume,Adj Close
2015-12-17 10:30:00,7.04,7.05,7.025,7.04,3173131,7.04
2015-12-17 11:30:00,7.02,7.05,6.99,7.045,2084647,7.02
2015-12-17 12:30:00,6.995,7.01,6.99,7.01,813258,6.995
2015-12-17 13:30:00,6.995,6.9999,6.97,6.99,747667,6.995
2015-12-17 14:30:00,6.98,7.0,6.98,6.99,247332,6.98
2015-12-17 15:30:00,6.97,6.99,6.97,6.98,439387,6.97
2015-12-17 16:00:00,6.96,6.99,6.9501,6.975,990185,6.96
2015-12-18 10:30:00,6.855,6.8799,6.835,6.86,2186423,6.855
2015-12-18 11:30:00,6.875,6.885,6.82,6.855,2057906,6.875
2015-12-18 12:30:00,6.83,6.88,6.815,6.87,2421652,6.83
2015-12-18 13:30:00,6.825,6.85,6.82,6.82,704536,6.825
2015-12-18 14:30:00,6.84,6.84,6.82,6.8285,674142,6.84
2015-12-18 15:30:00,6.815,6.84,6.795,6.84,1694688,6.815
2015-12-18 16:00:00,6.845,6.85,6.815,6.815,1100600,6.845
2015-12-21 10:30:00,7.095,7.115,7.07,7.1,5052598,7.095
2015-12-21 11:30:00,7.11,7.14,7.09,7.1,3667299,7.11
2015-12-21 12:30:00,7.08,7.1,7.08,7.1,639553,7.08
2015-12-21 13:30:00,7.095,7.1,7.08,7.085,530289,7.095
2015-12-21 14:30:00,7.085,7.1,7.08,7.09,252275,7.085
2015-12-21 15:30:00,7.065,7.07,7.055,7.07,1261121,7.065
2015-12-21 16:00:00,7.08,7.08,7.06,7.06,1410587,7.08
2015-12-22 10:30:00,7.175,7.18,7.13,7.17,2533443,7.175
2015-12-22 11:30:00,7.18,7.19,7.16,7.175,3355349,7.18
2015-12-22 12:30:00,7.21,7.22,7.18,7.185,641281,7.21
2015-12-22 13:30:00,7.24,7.24,7.21,7.22,465378,7.24
2015-12-22 14:30:00,7.22,7.23,7.22,7.23,843972,7.22
2015-12-22 15:30:00,7.225,7.23,7.22,7.22,537977,7.225
2015-12-22 16:00:00,7.22,7.23,7.22,7.2275,1184367,7.22
2015-12-23 10:30:00,7.16,7.18,7.13,7.13,961879,7.16
2015-12-23 11:30:00,7.145,7.17,7.13,7.17,2297493,7.145
2015-12-23 12:30:00,7.14,7.15,7.14,7.15,210993,7.14
2015-12-23 13:30:00,7.145,7.15,7.14,7.14,283695,7.145
2015-12-23 14:30:00,7.131,7.14,7.12,7.14,556540,7.131
2015-12-23 15:30:00,7.135,7.15,7.13,7.14,425284,7.135
2015-12-23 16:00:00,7.14,7.14,7.1329,7.135,726346,7.14
2015-12-24 10:30:00,7.115,7.15,7.1,7.15,999540,7.115
2015-12-24 11:30:00,7.12,7.12,7.11,7.111,123177,7.12
2015-12-24 12:30:00,7.15,7.15,7.11,7.11,659248,7.15
2015-12-24 13:30:00,7.13,7.16,7.125,7.15,646071,7.13
2015-12-28 10:30:00,7.095,7.1478,7.09,7.1478,927776,7.095
2015-12-28 11:30:00,7.085,7.1,7.06,7.09,979426,7.085
2015-12-28 12:30:00,7.075,7.08,7.07,7.075,288309,7.075
2015-12-28 13:30:00,7.1,7.125,7.07,7.0701,979390,7.1
2015-12-28 14:30:00,7.08,7.1078,7.08,7.102,340465,7.08
2015-12-28 15:30:00,7.085,7.09,7.08,7.08,197060,7.085
2015-12-28 16:00:00,7.08,7.09,7.07,7.07,793762,7.08
2015-12-29 10:30:00,7.18,7.195,7.164,7.185,1951613,7.18
2015-12-29 11:30:00,7.2,7.2,7.16,7.1846,1175627,7.2
2015-12-29 12:30:00,7.1937,7.2,7.19,7.2,279922,7.1937
2015-12-29 13:30:00,7.216,7.22,7.19,7.2,889811,7.216
2015-12-29 14:30:00,7.205,7.23,7.2,7.215,1030096,7.205
2015-12-29 15:30:00,7.21,7.21,7.2,7.21,504923,7.21
2015-12-29 16:00:00,7.21,7.21,7.2,7.21,915380,7.21
2015-12-30 10:30:00,7.195,7.23,7.18,7.23,2437589,7.195
2015-12-30 11:30:00,7.1731,7.2,7.165,7.19,1982485,7.1731
2015-12-30 12:30:00,7.13,7.1643,7.13,7.16,548036,7.13
2015-12-30 13:30:00,7.15,7.16,7.13,7.13,355935,7.15
2015-12-30 14:30:00,7.15,7.16,7.14,7.14,360432,7.15
2015-12-30 15:30:00,7.15,7.16,7.14,7.1538,311659,7.15
2015-12-30 16:00:00,7.12,7.135,7.12,7.13,444290,7.12
2015-12-31 10:30:00,7.0,7.1,7.0,7.1,1996500,7.0
2015-12-31 11:30:00,7.0143,7.0143,6.99,7.0,720915,7.0143
2015-12-31 12:30:00,7.07,7.08,7.01,7.01,1627660,7.07
2015-12-31 13:30:00,7.04,7.07,7.02,7.07,1241682,7.04
2015-12-31 14:30:00,7.02,7.06,7.02,7.035,668490,7.02
2015-12-31 15:30:00,7.015,7.03,7.0,7.02,735634,7.015
2015-12-31 16:00:00,7.025,7.04,7.015,7.02,1197043,7.025
2016-01-04 10:30:00,7.075,7.13,7.03,7.13,3178289,7.075
2016-01-04 11:30:00,7.06,7.08,7.025,7.075,2431748,7.06
2016-01-04 12:30:00,7.115,7.115,7.055,7.055,1348954,7.115
2016-01-04 13:30:00,7.1442,7.18,7.11,7.115,1938057,7.1442
2016-01-04 14:30:00,7.125,7.15,7.12,7.14,294320,7.125
2016-01-04 15:30:00,7.125,7.13,7.105,7.12,922720,7.125
2016-01-04 16:00:00,7.17,7.18,7.13,7.13,1086929,7.17
2016-01-05 10:30:00,7.08,7.14,7.08,7.13,3228928,7.08
2016-01-05 11:30:00,7.12,7.13,7.08,7.085,2822801,7.12
2016-01-05 12:30:00,7.115,7.13,7.11,7.12,595483,7.115
2016-01-05 13:30:00,7.135,7.14,7.11,7.115,348416,7.135
2016-01-05 14:30:00,7.19,7.205,7.13,7.13,2724344,7.19
2016-01-05 15:30:00,7.17,7.2,7.16,7.19,1055260,7.17
2016-01-05 16:00:00,7.15,7.17,7.15,7.16,754906,7.15
2016-01-06 10:30:00,7.05,7.06,7.0,7.0,2745501,7.05
2016-01-06 11:30:00,7.085,7.09,7.04,7.045,831388,7.085
2016-01-06 12:30:00,7.1,7.13,7.085,7.085,1871206,7.1
2016-01-06 13:30:00,7.08,7.12,7.08,7.093,787153,7.08
2016-01-06 14:30:00,7.1,7.1,7.05,7.07,1476503,7.1
2016-01-06 15:30:00,7.08,7.11,7.06,7.095,2510399,7.08
2016-01-06 16:00:00,7.09,7.1,7.07,7.08,1927755,7.09
2016-01-07 10:30:00,7.13,7.13,7.0325,7.04,3814943,7.13
2016-01-07 11:30:00,7.17,7.19,7.1416,7.145,4134280,7.17
2016-01-07 12:30:00,7.16,7.19,7.15,7.16,1672444,7.16
2016-01-07 13:30:00,7.085,7.17,7.075,7.165,1821258,7.085
2016-01-07 14:30:00,7.1,7.115,7.05,7.08,2577383,7.1
2016-01-07 15:30:00,7.125,7.165,7.1,7.105,2947393,7.125
2016-01-07 16:00:00,7.14,7.17,7.13,7.135,1060234,7.14
2016-01-08 10:30:00,7.41,7.4285,7.365,7.37,7431505,7.41
2016-01-08 11:30:00,7.34,7.41,7.32,7.41,7897823,7.34
2016-01-08 12:30:00,7.4,7.4,7.31,7.34,2656008,7.4
2016-01-08 13:30:00,7.3381,7.4,7.33,7.395,3651535,7.3381
2016-01-08 14:30:00,7.355,7.3878,7.33,7.34,3394303,7.355
2016-01-08 15:30:00,7.36,7.39,7.35,7.355,3289385,7.36
