Date,Open,High,Low,Close,Volume,Adj Close
0,27.505,27.59,27.39,27.51,418690,27.51
1,27.73,27.85,27.09,27.5175,1065634,27.5175
2,27.31,27.84,27.31,27.72,749996,27.72
3,27.07,27.34,26.94,27.31,1543113,27.31
4,27.1,27.295,26.99,27.06,766609,27.06
5,27.405,27.51,27.08,27.09,882926,27.09
6,27.01,27.42,26.965,27.4,750669,27.4
7,27.01,27.03,26.9,27.01,532411,27.01
8,27.12,27.14,26.91,27.0,541613,27.0
9,27.005,27.175,26.95,27.12,378708,27.12
10,26.94,27.09,26.89,27.0,345350,27.0
11,26.97,27.04,26.86,26.935,327934,26.935
12,26.8,26.975,26.69,26.97,448722,26.97
13,26.745,26.8,26.64,26.8,684848,26.8
14,26.93,26.96,26.68,26.745,583235,26.745
15,26.94,27.015,26.71,26.94,417794,26.94
16,26.96,27.05,26.89,26.94,503951,26.94
17,27.015,27.06,26.86,26.95,344088,26.95
18,26.975,27.06,26.9,27.015,454036,27.015
19,27.31,27.32,26.97,26.98,528884,26.98
20,27.0,27.34,26.99,27.32,466996,27.32
21,27.1425,27.16,26.92,27.0,433261,27.0
22,27.38,27.39,27.08,27.14,530966,27.14
23,27.23,27.39,27.13,27.37,550478,27.37
24,27.204,27.235,27.02,27.23,655886,27.23
25,27.21,27.3,27.15,27.2042,871764,27.2042
26,27.1,27.23,27.08,27.215,2823492,27.215
27,27.71,27.89,27.67,27.67,180026,27.67
28,28.235,28.45,27.68,27.75,1398768,27.75
29,27.78,28.38,27.76,28.25,600341,28.25
30,27.93,27.96,27.76,27.79,362312,27.79
31,28.22,28.22,27.925,27.93,500058,27.93
32,28.1,28.23,28.05,28.22,259117,28.22
33,27.865,28.11,27.85,28.0901,239528,28.0901
34,27.751,27.91,27.75,27.86,258051,27.86
35,27.83,27.83,27.6,27.75,267460,27.75
36,27.84,27.875,27.735,27.83,248579,27.83
37,27.57,27.87,27.56,27.85,264145,27.85
38,27.59,27.6,27.47,27.57,205168,27.57
39,27.64,27.66,27.45,27.59,239610,27.59
40,27.61,27.745,27.61,27.635,276917,27.635
41,27.595,27.63,27.55,27.62,140251,27.62
42,27.58,27.67,27.55,27.6,148288,27.6
43,27.55,27.706,27.54,27.575,167488,27.575
44,27.5,27.59,27.48,27.5489,176990,27.5489
45,27.52,27.62,27.485,27.5,199481,27.5
46,27.26,27.52,27.25,27.515,286496,27.515
47,27.38,27.38,27.23,27.26,246039,27.26
48,27.25,27.42,27.24,27.37,595972,27.37
49,27.355,27.41,27.23,27.24,286561,27.24
50,27.35,27.48,27.295,27.35,266444,27.35
51,27.496,27.5,27.215,27.35,376665,27.35
52,27.435,27.525,27.315,27.495,548688,27.495
53,27.33,27.526,27.31,27.44,1477419,27.44
54,26.76,26.92,26.75,26.81,111455,26.81
55,26.91,27.06,26.72,26.755,452370,26.755
56,26.97,27.15,26.85,26.91,647047,26.91
57,26.96,27.0,26.85,26.97,305500,26.97
58,26.97,27.03,26.88,26.96,308370,26.96
59,26.8,26.96,26.675,26.96,434690,26.96
60,26.68,26.805,26.6,26.8,313283,26.8
61,26.9,26.93,26.67,26.67,409811,26.67
62,26.88,27.02,26.81,26.9,333646,26.9
63,26.83,27.13,26.83,26.875,365007,26.875
64,26.69,26.885,26.61,26.835,339655,26.835
65,26.68,26.79,26.55,26.69,236524,26.69
66,26.5,26.725,26.45,26.675,307858,26.675
67,26.535,26.61,26.505,26.51,232348,26.51
68,26.86,26.8699,26.505,26.53,313106,26.53
69,26.76,26.9885,26.76,26.8699,236397,26.8699
70,26.785,26.88,26.695,26.7689,200946,26.7689
71,27.04,27.04,26.785,26.785,238179,26.785
72,27.095,27.14,26.97,27.04,268528,27.04
73,27.29,27.34,27.0,27.0801,363987,27.0801
74,27.17,27.38,27.17,27.29,334798,27.29
75,27.305,27.38,27.14,27.17,206725,27.17
76,27.36,27.485,27.22,27.3,265285,27.3
77,27.455,27.49,27.2999,27.36,263357,27.36
78,27.8,27.805,27.455,27.455,733889,27.455
79,27.53,27.83,27.5,27.8,640591,27.8
80,27.48,27.58,27.43,27.52,1296706,27.52
81,27.62,27.78,27.62,27.78,63846,27.78
82,27.36,27.73,27.32,27.63,363878,27.63
83,27.34,27.42,27.21,27.36,241776,27.36
84,27.6925,27.74,27.3401,27.3401,274020,27.3401
85,27.83,27.875,27.69,27.69,419443,27.69
86,27.93,27.95,27.73,27.84,404173,27.84
87,27.97,28.06,27.89,27.9225,505864,27.9225
88,28.09,28.23,27.88,27.98,739455,27.98
89,28.025,28.11,27.98,28.09,415049,28.09
90,27.965,28.06,27.95,28.03,323147,28.03
91,28.08,28.14,27.96,27.97,445583,27.97
92,28.17,28.195,28.08,28.085,312507,28.085
93,28.13,28.18,28.06,28.18,199019,28.18
94,28.03,28.15,28.02,28.14,219987,28.14
95,28.0601,28.12,27.98,28.04,211585,28.04
96,28.11,28.185,28.065,28.07,260706,28.07
97,28.01,28.165,27.98,28.115,317474,28.115
98,28.005,28.055,27.87,28.0,531366,28.0
99,27.99,28.08,27.875,28.0,324994,28.0
100,27.81,28.025,27.76,28.0,259382,28.0
101,27.8,27.86,27.74,27.815,262689,27.815
102,27.93,27.99,27.8,27.805,239626,27.805
103,27.96,28.035,27.83,27.93,240827,27.93
104,27.895,27.965,27.7401,27.96,322545,27.96
105,27.86,27.92,27.79,27.89,219936,27.89
106,27.98,28.02,27.8699,27.87,319807,27.87
107,27.8,27.97,27.79,27.97,822572,27.97
108,28.31,28.37,28.31,28.33,91521,28.33
109,28.53,28.64,28.29,28.33,410625,28.33
110,28.49,28.59,28.39,28.53,317571,28.53
111,28.46,28.515,28.295,28.48,460395,28.48
112,28.45,28.555,28.37,28.46,346602,28.46
113,28.44,28.51,28.39,28.45,131064,28.45
114,28.425,28.45,28.35,28.44,179448,28.44
115,28.46,28.48,28.37,28.425,168385,28.425
116,28.46,28.5501,28.405,28.46,209657,28.46
117,28.445,28.49,28.34,28.45,120662,28.45
118,28.28,28.47,28.275,28.446,143094,28.446
119,28.35,28.405,28.275,28.28,129580,28.28
120,28.34,28.39,28.29,28.36,95978,28.36
121,28.295,28.345,28.27,28.34,99002,28.34
122,28.39,28.41,28.285,28.2928,127624,28.2928
123,28.38,28.39,28.29,28.39,150831,28.39
124,28.37,28.44,28.35,28.39,98671,28.39
125,28.385,28.45,28.36,28.38,98275,28.38
126,28.45,28.455,28.37,28.38,90794,28.38
127,28.52,28.53,28.42,28.45,105345,28.45
128,28.44,28.53,28.42,28.53,98913,28.53
129,28.4,28.475,28.38,28.44,117400,28.44
130,28.46,28.4865,28.385,28.395,155960,28.395
131,28.435,28.48,28.36,28.46,186840,28.46
132,28.405,28.441,28.34,28.43,187489,28.43
133,28.45,28.45,28.32,28.41,286859,28.41
134,28.45,28.495,28.4,28.4401,937782,28.4401
135,28.45,28.45,28.43,28.44,68456,28.44
136,28.71,28.765,28.42,28.48,297606,28.48
137,28.59,28.74,28.53,28.71,309582,28.71
138,28.53,28.665,28.53,28.59,274973,28.59
139,28.68,28.75,28.525,28.525,170454,28.525
140,28.606,28.72,28.555,28.68,156780,28.68
141,28.63,28.66,28.54,28.6,396769,28.6
142,28.47,28.645,28.44,28.62,277454,28.62
143,28.48,28.49,28.43,28.4622,250921,28.4622
144,28.38,28.475,28.37,28.475,165075,28.475
145,28.43,28.485,28.36,28.38,136696,28.38
146,28.41,28.48,28.36,28.421,168408,28.421
147,28.435,28.485,28.4,28.4,113632,28.4
148,28.61,28.67,28.41,28.43,236579,28.43
149,28.67,28.69,28.6,28.62,134476,28.62
150,28.66,28.72,28.63,28.66,100444,28.66
151,28.67,28.705,28.63,28.655,133134,28.655
152,28.605,28.67,28.5698,28.67,112948,28.67
153,28.54,28.63,28.5375,28.605,133972,28.605
154,28.54,28.555,28.504,28.53,114155,28.53
155,28.59,28.59,28.49,28.54,120750,28.54
156,28.64,28.66,28.57,28.59,262975,28.59
157,28.665,28.68,28.62,28.6375,127078,28.6375
158,28.54,28.7,28.54,28.66,145460,28.66
159,28.49,28.555,28.46,28.55,232618,28.55
160,28.37,28.5,28.365,28.48,315197,28.48
161,28.41,28.435,28.355,28.365,1148352,28.365
162,28.515,28.55,28.48,28.48,50048,28.48
163,28.45,28.55,28.37,28.55,154833,28.55
164,28.23,28.4452,28.185,28.4452,362869,28.4452
165,28.41,28.455,28.24,28.24,181335,28.24
166,28.38,28.43,28.33,28.43,273256,28.43
167,28.49,28.515,28.4,28.4,103577,28.4
168,28.46,28.515,28.41,28.5,81776,28.5
169,28.57,28.61,28.469,28.469,91759,28.469
170,28.63,28.655,28.53,28.56,121754,28.56
171,28.62,28.64,28.57,28.63,89765,28.63
172,28.6799,28.71,28.59,28.62,163566,28.62
173,28.735,28.76,28.66,28.67,150924,28.67
174,28.78,28.82,28.7,28.735,146119,28.735
175,28.77,28.82,28.75,28.785,88328,28.785
176,28.77,28.8,28.715,28.76,105483,28.76
177,28.72,28.8,28.7,28.77,73697,28.77
178,28.76,28.81,28.69,28.71,135069,28.71
179,28.74,28.8,28.74,28.77,78035,28.77
180,28.72,28.765,28.7,28.75,62568,28.75
181,28.69,28.72,28.67,28.7184,89919,28.7184
182,28.663,28.745,28.65,28.69,87941,28.69
183,28.67,28.68,28.62,28.65,97971,28.65
184,28.62,28.68,28.6,28.67,98446,28.67
185,28.65,28.65,28.57,28.62,135977,28.62
186,28.59,28.68,28.56,28.66,133375,28.66
187,28.65,28.66,28.51,28.59,207782,28.59
188,28.7,28.71,28.58,28.6498,1417174,28.6498
189,28.5784,28.66,28.5784,28.66,33401,28.66
190,28.53,28.7,28.51,28.51,86241,28.51
191,28.34,28.6,28.31,28.52,171964,28.52
192,28.025,28.34,28.02,28.34,397159,28.34
193,27.89,28.03,27.815,28.02,358342,28.02
194,28.15,28.155,27.85,27.9,248740,27.9
195,28.26,28.27,28.09,28.14,152573,28.14
196,28.28,28.33,28.24,28.27,110213,28.27
197,28.37,28.47,28.26,28.28,168819,28.28
198,28.54,28.55,28.36,28.37,166463,28.37
199,28.555,28.595,28.4601,28.55,88411,28.55
200,28.705,28.745,28.54,28.56,158701,28.56
201,28.58,28.72,28.55,28.705,102647,28.705
202,28.6,28.67,28.57,28.58,94381,28.58
203,28.59,28.66,28.58,28.59,52509,28.59
204,28.605,28.66,28.56,28.59,60321,28.59
205,28.42,28.61,28.42,28.61,84603,28.61
206,28.44,28.53,28.41,28.42,107012,28.42
207,28.525,28.53,28.4,28.45,79835,28.45
208,28.33,28.63,28.28,28.51,150994,28.51
209,28.48,28.51,28.33,28.33,174044,28.33
210,28.4,28.56,28.35,28.48,169385,28.48
211,28.39,28.49,28.345,28.39,182471,28.39
212,28.17,28.38,28.15,28.38,197659,28.38
213,28.19,28.285,28.13,28.17,204658,28.17
214,28.27,28.31,28.19,28.19,248932,28.19
215,28.36,28.37,28.21,28.27,1007603,28.27
216,28.6,28.68,28.56,28.59,65645,28.59
217,28.23,28.69,28.19,28.545,333949,28.545
218,28.1,28.27,28.08,28.24,297513,28.24
219,27.84,28.12,27.83,28.1,425467,28.1
220,27.69,27.85,27.6565,27.84,422256,27.84
221,27.61,27.73,27.5,27.69,595990,27.69
222,27.6,27.7,27.51,27.6139,461766,27.6139
223,27.78,27.84,27.55,27.6,405726,27.6
224,27.6,27.83,27.6,27.79,269250,27.79
225,27.59,27.64,27.51,27.6,177119,27.6
226,27.61,27.675,27.515,27.58,113636,27.58
227,27.71,27.76,27.6,27.6,98756,27.6
228,27.81,27.816,27.68,27.71,107738,27.71
229,27.91,27.93,27.79,27.8,129847,27.8
230,27.85,27.96,27.81,27.91,116800,27.91
231,27.94,27.94,27.83,27.85,111306,27.85
232,27.9,27.95,27.78,27.94,169725,27.94
233,27.95,27.98,27.89,27.9,142975,27.9
234,27.94,28.03,27.905,27.95,196415,27.95
235,27.97,28.08,27.94,27.94,149175,27.94
236,28.12,28.12,27.975,27.98,113481,27.98
237,28.005,28.17,28.0038,28.13,111133,28.13
238,27.91,28.03,27.885,28.01,190970,28.01
239,27.9699,27.9954,27.875,27.91,123769,27.91
240,28.0201,28.03,27.95,27.97,213976,27.97
241,28.025,28.105,28.0,28.02,208435,28.02
242,28.05,28.09,28.01,28.03,616332,28.03
243,28.22,28.29,28.22,28.29,51923,28.29
244,28.34,28.44,28.18,28.28,146343,28.28
245,28.46,28.59,28.3,28.34,222149,28.34
246,28.54,28.59,28.455,28.46,205147,28.46
247,28.69,28.755,28.535,28.54,357348,28.54
248,28.82,28.83,28.68,28.68,282563,28.68
249,28.78,28.885,28.745,28.8199,153127,28.8199
250,28.775,28.87,28.775,28.78,122828,28.78
251,28.775,28.7801,28.71,28.77,149201,28.77
252,28.72,28.83,28.69,28.775,242665,28.775
253,28.7925,28.8299,28.7,28.73,100078,28.73
254,28.975,29.04,28.78,28.8,264966,28.8
255,29.01,29.045,28.98,28.98,101839,28.98
256,29.06,29.08,28.975,29.01,172059,29.01
257,29.07,29.12,29.03,29.05,155728,29.05
258,29.0301,29.07,29.02,29.07,164306,29.07
259,29.025,29.05,28.94,29.04,194205,29.04
260,29.075,29.08,28.99,29.03,116548,29.03
261,29.05,29.0999,28.99,29.07,140071,29.07
262,28.97,29.04,28.95,29.04,91300,29.04
263,29.1,29.1,28.98,28.98,110406,28.98
264,29.04,29.1,29.02,29.09,120740,29.09
265,29.04,29.06,29.0,29.03,100024,29.03
266,29.105,29.12,29.015,29.04,159288,29.04
267,29.16,29.2,29.07,29.105,273163,29.105
268,29.15,29.235,29.1301,29.165,418221,29.165
269,29.29,29.345,29.145,29.15,2474954,29.15
270,29.26,29.26,29.25,29.26,75894,29.26
271,29.27,29.45,29.14,29.25,341921,29.25
272,29.07,29.275,29.01,29.27,371554,29.27
273,29.22,29.235,29.02,29.088,169049,29.088
274,29.32,29.345,29.17,29.21,155478,29.21
275,29.415,29.42,29.28,29.32,212340,29.32
276,29.38,29.45,29.355,29.415,327513,29.415
277,29.39,29.45,29.35,29.38,177863,29.38
278,29.36,29.4,29.25,29.3999,214048,29.3999
279,29.42,29.44,29.33,29.37,185638,29.37
280,29.27,29.43,29.26,29.425,183255,29.425
281,29.305,29.32,29.23,29.27,204247,29.27
282,29.155,29.33,29.14,29.3099,163740,29.3099
283,29.155,29.18,29.12,29.16,133044,29.16
284,29.14,29.155,29.09,29.155,119329,29.155
285,29.12,29.25,29.12,29.15,201467,29.15
286,29.16,29.17,29.07,29.1272,189933,29.1272
287,29.05,29.17,29.04,29.16,151623,29.16
288,29.09,29.135,29.03,29.04,134016,29.04
289,29.03,29.12,29.02,29.09,379085,29.09
290,29.115,29.12,29.01,29.03,220154,29.03
291,29.2705,29.295,29.11,29.12,175324,29.12
292,29.29,29.31,29.2,29.27,196215,29.27
293,29.29,29.32,29.23,29.3,179299,29.3
294,29.395,29.4,29.275,29.29,230364,29.29
295,29.405,29.42,29.34,29.4,322164,29.4
296,29.3,29.4099,29.29,29.405,806416,29.405
297,29.0,29.0,29.0,29.0,52764,29.0
298,28.74,29.15,28.68,29.03,248839,29.03
299,28.645,28.79,28.5701,28.74,315196,28.74
300,28.77,28.82,28.64,28.64,170543,28.64
301,28.77,28.81,28.71,28.76,130290,28.76
302,28.7325,28.792,28.6599,28.76,152938,28.76
303,28.65,28.75,28.635,28.73,136734,28.73
304,28.6,28.66,28.52,28.64,291472,28.64
305,28.68,28.6899,28.58,28.6,149972,28.6
306,28.655,28.73,28.655,28.68,137279,28.68
307,28.58,28.6546,28.57,28.65,125155,28.65
308,28.47,28.585,28.47,28.58,156997,28.58
309,28.5,28.51,28.42,28.46,556699,28.46
310,28.6085,28.6199,28.46,28.49,134849,28.49
311,28.55,28.63,28.53,28.601,68570,28.601
312,28.42,28.54,28.42,28.54,116451,28.54
313,28.43,28.43,28.32,28.42,193262,28.42
314,28.35,28.43,28.34,28.42,168673,28.42
315,28.125,28.37,28.12,28.36,407380,28.36
316,28.1,28.14,28.09,28.12,362163,28.12
317,28.005,28.15,28.0,28.09,342699,28.09
318,28.04,28.09,27.99,28.0,253786,28.0
319,27.95,28.07,27.95,28.0499,208958,28.0499
320,27.87,27.959,27.86,27.95,260474,27.95
321,27.9899,28.0,27.86,27.86,335214,27.86
322,28.01,28.075,27.98,27.985,398130,27.985
323,28.06,28.08,27.95,28.01,1852701,28.01
324,28.28,28.28,28.28,28.28,65253,28.28
325,28.21,28.45,28.21,28.24,234089,28.24
326,28.3,28.38,28.2,28.23,175989,28.23
327,27.8901,28.29,27.87,28.29,372292,28.29
328,27.693,27.945,27.69,27.89,203580,27.89
329,27.69,27.78,27.605,27.69,251966,27.69
330,27.8,27.83,27.61,27.69,290771,27.69
331,27.7,27.79,27.55,27.79,175552,27.79
332,27.79,27.87,27.66,27.7,165710,27.7
333,27.89,27.91,27.69,27.8,172834,27.8
334,27.805,27.92,27.72,27.9,155676,27.9
335,27.855,27.915,27.785,27.81,158550,27.81
336,27.99,28.0,27.845,27.85,197513,27.85
337,27.82,27.99,27.82,27.99,170906,27.99
338,27.9332,27.9338,27.815,27.82,106059,27.82
339,27.9,28.0,27.88,27.93,126222,27.93
340,27.945,28.0,27.89,27.91,356538,27.91
341,27.775,27.95,27.75,27.95,237994,27.95
342,27.72,27.82,27.72,27.78,194229,27.78
343,27.87,27.91,27.73,27.73,155950,27.73
344,28.08,28.14,27.8,27.8716,254717,27.8716
345,28.17,28.195,28.06,28.07,245757,28.07
346,28.265,28.31,28.075,28.17,230530,28.17
347,28.28,28.34,28.2049,28.27,330505,28.27
348,28.12,28.28,28.12,28.28,242794,28.28
349,28.17,28.18,28.055,28.13,335611,28.13
350,28.2,28.22,28.09,28.16,1055701,28.16
351,28.24,28.24,28.24,28.24,44465,28.24
352,28.0,28.46,27.93,28.34,393475,28.34
353,28.14,28.23,27.97,28.0,236902,28.0
