Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13 23:00:00,30.41,30.61,30.2601,30.44,1189221,30.44
2016-01-14 00:00:00,30.43,30.46,30.1,30.16,1156475,30.16
2016-01-14 01:00:00,30.15,30.38,30.01,30.13,1425843,30.13
2016-01-14 02:00:00,30.13,30.205,30.0,30.02,761114,30.02
2016-01-14 03:00:00,30.02,30.095,29.68,29.68,1465439,29.68
2016-01-14 04:00:00,29.69,29.75,29.33,29.47,1276030,29.47
2016-01-14 05:00:00,29.48,29.69,29.23,29.26,4037726,29.26
2016-01-14 23:00:00,28.66,28.852,27.84,27.88,2423043,27.88
2016-01-15 00:00:00,27.88,28.43,27.82,28.095,2636845,28.095
2016-01-15 01:00:00,28.095,28.38,27.88,28.305,1461114,28.305
2016-01-15 02:00:00,28.31,28.64,28.305,28.56,1265027,28.56
2016-01-15 03:00:00,28.55,28.83,28.53,28.8,1171528,28.8
2016-01-15 04:00:00,28.805,29.0,28.78,28.92,1123313,28.92
2016-01-15 05:00:00,28.91,28.955,28.64,28.67,2897300,28.67
2016-01-15 23:00:00,27.51,27.85,27.09,27.31,2234320,27.31
2016-01-16 00:00:00,27.31,27.51,26.94,27.01,3943317,27.01
2016-01-16 01:00:00,27.01,27.175,26.89,26.94,1798082,26.94
2016-01-16 02:00:00,26.935,27.04,26.64,26.93,2044739,26.93
2016-01-16 03:00:00,26.94,27.06,26.71,26.975,1719869,26.975
2016-01-16 04:00:00,26.98,27.39,26.92,27.38,1960107,27.38
2016-01-16 05:00:00,27.37,27.39,27.02,27.1,4901620,27.1
2016-01-19 23:00:00,27.67,28.45,27.67,27.78,2179135,27.78
2016-01-20 00:00:00,27.79,28.23,27.76,27.865,1361015,27.865
2016-01-20 01:00:00,27.86,27.91,27.56,27.57,1038235,27.57
2016-01-20 02:00:00,27.57,27.745,27.45,27.595,861946,27.595
2016-01-20 03:00:00,27.6,27.706,27.48,27.52,692247,27.52
2016-01-20 04:00:00,27.515,27.52,27.23,27.355,1415068,27.355
2016-01-20 05:00:00,27.35,27.526,27.215,27.33,2669216,27.33
2016-01-20 23:00:00,26.81,27.15,26.72,26.97,1210872,26.97
2016-01-21 00:00:00,26.97,27.03,26.6,26.68,1361843,26.68
2016-01-21 01:00:00,26.67,27.13,26.61,26.69,1448119,26.69
2016-01-21 02:00:00,26.69,26.8699,26.45,26.86,1089836,26.86
2016-01-21 03:00:00,26.8699,27.14,26.695,27.095,944050,27.095
2016-01-21 04:00:00,27.0801,27.485,27.0,27.36,1170795,27.36
2016-01-21 05:00:00,27.36,27.83,27.2999,27.48,2934543,27.48
2016-01-21 23:00:00,27.78,27.78,27.21,27.34,669500,27.34
2016-01-22 00:00:00,27.3401,28.06,27.3401,27.97,1603500,27.97
2016-01-22 01:00:00,27.98,28.23,27.88,28.08,1923234,28.08
2016-01-22 02:00:00,28.085,28.195,27.98,28.0601,943098,28.0601
2016-01-22 03:00:00,28.07,28.185,27.87,27.99,1434540,27.99
2016-01-22 04:00:00,28.0,28.035,27.74,27.96,1002524,27.96
2016-01-22 05:00:00,27.96,28.02,27.7401,27.8,1684860,27.8
2016-01-22 23:00:00,28.33,28.64,28.29,28.49,819717,28.49
2016-01-23 00:00:00,28.48,28.555,28.295,28.425,1117509,28.425
2016-01-23 01:00:00,28.425,28.5501,28.275,28.28,641798,28.28
2016-01-23 02:00:00,28.28,28.41,28.27,28.39,452184,28.39
2016-01-23 03:00:00,28.39,28.455,28.29,28.45,438571,28.45
2016-01-23 04:00:00,28.45,28.53,28.38,28.46,477618,28.46
2016-01-23 05:00:00,28.46,28.495,28.32,28.45,1598970,28.45
