Date,Open,High,Low,Close,Volume,Adj Close
0,81.62,81.63,81.62,81.63,2145,81.63
1,81.46,81.69,81.41,81.63,212811,81.63
2,81.37,81.51,81.25,81.46,133338,81.46
3,81.44,81.49,81.17,81.39,170447,81.39
4,81.52,81.55,81.38,81.43,64992,81.43
5,81.54,81.702,81.38,81.52,106870,81.52
6,81.36,81.73,81.35,81.51,186659,81.51
7,81.23,81.5,81.22,81.34,70406,81.34
8,81.43,81.43,81.12,81.23,119915,81.23
9,81.31,81.52,81.2985,81.43,73644,81.43
10,81.12,81.32,81.1,81.31,108794,81.31
11,81.0,81.14,80.978,81.12,80375,81.12
12,80.89,80.99,80.805,80.99,67883,80.99
13,80.8,81.08,80.77,80.8801,67451,80.8801
14,80.9,80.92,80.79,80.8,53291,80.8
15,80.81,80.98,80.78,80.9,44242,80.9
16,80.81,81.0,80.76,80.8,45524,80.8
17,80.8,80.99,80.74,80.8,21432,80.8
18,80.855,80.9601,80.7765,80.7765,23822,80.7765
19,80.51,80.92,80.5,80.85,51168,80.85
20,80.54,80.55,80.36,80.49,31926,80.49
21,80.37,80.6299,80.37,80.52,61233,80.52
22,80.42,80.51,80.3,80.31,50152,80.31
23,80.52,80.61,80.35,80.41,58449,80.41
24,80.89,80.9,80.44,80.51,80854,80.51
25,81.06,81.09,80.8753,80.8753,119426,80.8753
26,81.0,81.2,80.99,81.07,136068,81.07
27,80.02,80.18,79.77,80.07,110486,80.07
28,79.92,80.15,79.78,80.0,90958,80.0
29,80.07,80.08,79.86,79.92,80483,79.92
30,80.03,80.14,79.86,80.07,89083,80.07
31,79.8218,80.065,79.68,80.03,148913,80.03
32,79.46,79.88,79.43,79.85,209597,79.85
33,79.51,79.76,79.46,79.46,183352,79.46
34,79.37,79.61,79.354,79.54,67867,79.54
35,79.51,79.74,79.38,79.38,29279,79.38
36,79.37,79.6,79.2668,79.5,20061,79.5
37,79.2,79.4,79.07,79.38,27055,79.38
38,78.83,79.2,78.73,79.2,41140,79.2
39,78.7754,78.96,78.73,78.819,29664,78.819
40,79.27,79.27,78.711,78.76,34595,78.76
41,79.23,79.45,79.22,79.26,34362,79.26
42,79.29,79.36,79.0,79.24,23254,79.24
43,79.86,79.87,79.28,79.28,45376,79.28
44,79.97,80.1,79.85,79.92,66484,79.92
45,79.86,80.02,79.73,79.96,42077,79.96
46,79.81,80.05,79.74,79.8579,55000,79.8579
47,79.9299,79.99,79.63,79.83,50826,79.83
48,80.11,80.26,79.82,79.9204,40653,79.9204
49,80.37,80.41,80.01,80.14,36363,80.14
50,81.01,81.07,80.36,80.36,85199,80.36
51,80.7,81.0379,80.66,81.03,103312,81.03
52,80.48,80.7,80.29,80.7,92840,80.7
53,79.62,80.2,79.62,80.0,176467,80.0
54,79.32,79.71,79.3,79.59,156146,79.59
55,79.797,79.97,79.3,79.33,181297,79.33
56,79.71,79.91,79.61,79.77,133646,79.77
57,79.48,79.79,79.38,79.74,138098,79.74
58,79.36,79.65,79.33,79.48,118832,79.48
59,79.3,79.63,79.27,79.4306,190131,79.4306
60,79.3,79.5,79.27,79.33,133384,79.33
61,79.51,79.6699,79.3,79.3,51098,79.3
62,79.8,79.85,79.5184,79.5184,43007,79.5184
63,79.99,80.05,79.81,79.82,44900,79.82
64,79.93,80.03,79.863,80.0,54602,80.0
65,79.7901,79.96,79.7901,79.9275,51513,79.9275
66,79.92,79.92,79.72,79.81,70700,79.81
67,80.04,80.16,79.91,79.91,98410,79.91
68,79.95,80.12,79.838,80.03,113415,80.03
69,79.99,80.087,79.78,79.95,81962,79.95
70,80.04,80.16,79.93,79.975,54334,79.975
71,79.81,80.09,79.78,80.065,54838,80.065
72,79.76,79.88,79.58,79.82,84990,79.82
73,79.907,80.03,79.768,79.768,36954,79.768
74,79.91,80.03,79.73,79.89,44235,79.89
75,79.836,79.92,79.64,79.92,50062,79.92
76,79.84,79.89,79.67,79.83,53118,79.83
77,80.05,80.1,79.83,79.84,60938,79.84
78,79.84,80.04,79.83,80.04,89115,80.04
79,81.67,81.675,81.41,81.54,231561,81.54
80,81.94,81.95,81.58,81.67,73890,81.67
81,81.94,82.0,81.85,81.94,155774,81.94
82,82.0557,82.14,81.92,81.94,110556,81.94
83,82.03,82.15,81.92,82.08,63560,82.08
84,81.69,82.065,81.69,82.04,73544,82.04
85,81.68,81.75,81.53,81.71,54823,81.71
86,81.68,81.86,81.58,81.68,117327,81.68
87,81.59,81.73,81.48,81.69,59239,81.69
88,81.57,81.69,81.5,81.59,40056,81.59
89,81.712,81.75,81.56,81.56,41070,81.56
90,81.73,81.8,81.69,81.73,31386,81.73
91,81.84,81.86,81.64,81.72,43650,81.72
92,81.94,81.95,81.79,81.84,48660,81.84
93,81.91,81.95,81.85,81.95,35736,81.95
94,81.99,82.0441,81.92,81.9361,48596,81.9361
95,82.11,82.13,82.01,82.02,38883,82.02
96,82.275,82.29,82.0776,82.1,42581,82.1
97,82.42,82.42,82.22,82.27,39534,82.27
98,82.2524,82.425,82.25,82.41,47677,82.41
99,82.12,82.3,82.11,82.245,59656,82.245
100,82.26,82.3,82.12,82.12,54816,82.12
101,82.09,82.3,82.04,82.26,48811,82.26
102,82.26,82.2626,82.0799,82.095,74885,82.095
103,82.29,82.31,82.13,82.25,52504,82.25
104,82.25,82.32,82.22,82.3,103058,82.3
105,81.36,81.8,81.36,81.56,118627,81.56
106,81.52,81.53,81.265,81.34,97047,81.34
107,81.41,81.66,81.3875,81.5101,103294,81.5101
108,81.63,81.7222,81.39,81.41,106207,81.41
109,81.51,81.69,81.47,81.64,71240,81.64
110,81.53,81.59,81.47,81.51,51200,81.51
111,81.28,81.54,81.23,81.51,64414,81.51
112,81.65,81.65,81.25,81.28,86406,81.28
113,81.759,81.87,81.6,81.64,55710,81.64
114,81.89,81.9812,81.75,81.76,38929,81.76
115,81.81,82.01,81.7918,81.86,27794,81.86
116,81.892,81.96,81.807,81.8178,49095,81.8178
117,82.02,82.06,81.87,81.9,41907,81.9
118,82.08,82.0998,81.98,82.02,38768,82.02
119,82.24,82.25,82.09,82.09,47268,82.09
120,82.28,82.34,82.22,82.24,76156,82.24
121,82.26,82.32,82.23,82.28,28041,82.28
122,82.08,82.275,82.08,82.27,46478,82.27
123,82.03,82.16,82.02,82.06,55067,82.06
124,82.05,82.07,81.89,82.06,19678,82.06
125,81.94,82.06,81.88,82.04,45107,82.04
126,82.08,82.09,81.9043,81.95,53403,81.95
127,81.88,82.1536,81.81,82.08,65073,82.08
128,81.775,81.89,81.6,81.88,63688,81.88
129,81.58,81.81,81.55,81.77,104850,81.77
130,81.6,81.74,81.56,81.575,192720,81.575
131,82.22,82.47,82.0,82.17,167204,82.17
132,81.67,82.26,81.62,82.26,122911,82.26
133,82.13,82.16,81.69,81.7,147559,81.7
134,82.37,82.39,82.1,82.1101,115295,82.1101
135,82.35,82.51,82.3,82.33,115200,82.33
136,82.16,82.35,82.05,82.35,126318,82.35
137,82.33,82.33,82.13,82.16,135541,82.16
138,82.33,82.37,82.21,82.3,107854,82.3
139,82.06,82.315,82.06,82.315,87631,82.315
140,81.92,82.0737,81.67,82.0737,107704,82.0737
141,82.25,82.27,81.94,81.95,33198,81.95
142,82.33,82.34,82.2001,82.24,24580,82.24
143,82.51,82.52,82.34,82.34,21389,82.34
144,82.55,82.59,82.483,82.508,30611,82.508
