Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13 23:00:00,43.34,43.73,43.195,43.55,95339,43.55
2016-01-14 00:00:00,43.54,44.02,43.5,44.01,116665,44.01
2016-01-14 01:00:00,44.0102,44.15,43.66,43.69,63174,43.69
2016-01-14 02:00:00,43.71,43.95,43.67,43.7599,130458,43.7599
2016-01-14 03:00:00,43.75,43.96,43.6,43.63,307591,43.63
2016-01-14 04:00:00,43.65,43.74,42.95,43.14,251140,43.14
2016-01-14 05:00:00,43.15,43.21,42.85,42.88,316917,42.88
2016-01-14 23:00:00,42.9,43.0,42.46,42.52,65272,42.52
2016-01-15 00:00:00,42.54,42.72,42.27,42.46,158272,42.46
2016-01-15 01:00:00,42.46,42.76,42.36,42.72,103420,42.72
2016-01-15 02:00:00,42.74,42.84,42.51,42.57,64161,42.57
2016-01-15 03:00:00,42.56,42.81,42.52,42.6099,57519,42.6099
2016-01-15 04:00:00,42.61,42.72,42.53,42.69,142851,42.69
2016-01-15 05:00:00,42.68,42.69,42.26,42.33,272307,42.33
2016-01-15 23:00:00,41.66,41.91,41.55,41.64,129926,41.64
2016-01-16 00:00:00,41.63,41.63,41.27,41.3,112871,41.3
2016-01-16 01:00:00,41.29,41.5,41.25,41.41,103771,41.41
2016-01-16 02:00:00,41.42,41.43,40.9,41.06,128029,41.06
2016-01-16 03:00:00,41.06,41.31,40.93,41.22,109143,41.22
2016-01-16 04:00:00,41.22,41.31,40.99,41.3,131168,41.3
2016-01-16 05:00:00,41.29,41.39,41.03,41.29,177656,41.29
2016-01-19 23:00:00,41.68,41.88,41.3506,41.51,67511,41.51
2016-01-20 00:00:00,41.51,41.51,41.08,41.0999,76796,41.0999
2016-01-20 01:00:00,41.08,41.18,40.89,40.89,126025,40.89
2016-01-20 02:00:00,40.89,40.93,40.72,40.89,101104,40.89
2016-01-20 03:00:00,40.89,41.06,40.84,40.97,133657,40.97
2016-01-20 04:00:00,40.9699,41.0,40.57,40.6,142970,40.6
2016-01-20 05:00:00,40.59,40.99,40.58,40.85,291609,40.85
2016-01-20 23:00:00,40.62,40.62,39.6045,39.6045,140493,39.6045
2016-01-21 00:00:00,39.59,39.63,38.711,38.79,162842,38.79
2016-01-21 01:00:00,38.81,39.0637,38.47,38.48,189601,38.48
2016-01-21 02:00:00,38.47,38.7,38.18,38.7,146945,38.7
2016-01-21 03:00:00,38.73,38.97,38.42,38.87,101080,38.87
2016-01-21 04:00:00,38.88,39.1999,38.72,39.06,166854,39.06
2016-01-21 05:00:00,39.06,39.88,39.02,39.43,275406,39.43
2016-01-21 23:00:00,39.55,39.845,39.25,39.35,58178,39.35
2016-01-22 00:00:00,39.36,40.25,39.36,39.99,93634,39.99
2016-01-22 01:00:00,40.0,40.34,39.79,40.29,84826,40.29
2016-01-22 02:00:00,40.32,40.67,40.32,40.56,86513,40.56
2016-01-22 03:00:00,40.56,40.64,40.1,40.19,97964,40.19
2016-01-22 04:00:00,40.19,40.24,39.69,40.11,100293,40.11
2016-01-22 05:00:00,40.1,40.2,39.87,39.88,206150,39.88
2016-01-22 23:00:00,40.25,40.84,40.25,40.81,105829,40.81
2016-01-23 00:00:00,40.84,40.93,40.22,40.23,86124,40.23
2016-01-23 01:00:00,40.1945,40.26,39.94,40.02,62171,40.02
2016-01-23 02:00:00,40.02,40.19,39.9,40.19,58040,40.19
2016-01-23 03:00:00,40.2,40.61,40.11,40.61,58973,40.61
2016-01-23 04:00:00,40.62,40.67,40.28,40.47,103346,40.47
2016-01-23 05:00:00,40.48,40.55,40.27,40.5,186079,40.5
2016-01-25 23:00:00,40.43,40.48,39.92,40.43,77757,40.43
2016-01-26 00:00:00,40.4,40.4125,39.83,39.84,77592,39.84
2016-01-26 01:00:00,39.83,39.86,39.53,39.53,105153,39.53
2016-01-26 02:00:00,39.52,39.61,39.33,39.53,97058,39.53
2016-01-26 03:00:00,39.53,39.65,39.25,39.25,81076,39.25
2016-01-26 04:00:00,39.25,39.47,39.2199,39.24,94994,39.24
2016-01-26 05:00:00,39.24,39.31,39.02,39.13,237549,39.13
2016-01-26 23:00:00,39.22,39.81,39.1,39.24,40467,39.24
2016-01-27 00:00:00,39.27,39.66,39.27,39.44,96750,39.44
2016-01-27 01:00:00,39.43,39.51,39.16,39.21,147238,39.21
2016-01-27 02:00:00,39.21,39.38,39.13,39.37,68833,39.37
2016-01-27 03:00:00,39.38,39.43,39.29,39.31,75369,39.31
2016-01-27 04:00:00,39.29,39.3,39.085,39.16,108886,39.16
2016-01-27 05:00:00,39.15,39.42,39.005,39.42,167434,39.42
2016-01-27 23:00:00,39.44,39.44,39.06,39.29,50789,39.29
2016-01-28 00:00:00,39.32,39.33,39.01,39.1,88692,39.1
2016-01-28 01:00:00,39.08,39.61,39.04,39.52,91348,39.52
2016-01-28 02:00:00,39.5199,39.73,39.32,39.48,81641,39.48
2016-01-28 03:00:00,39.47,39.61,39.41,39.6,69008,39.6
2016-01-28 04:00:00,39.59,39.66,39.12,39.15,102683,39.15
2016-01-28 05:00:00,39.14,39.23,38.82,39.155,157454,39.155
2016-01-28 23:00:00,39.42,39.59,38.96,39.1,82122,39.1
2016-01-29 00:00:00,39.1,39.2,38.74,38.94,99733,38.94
2016-01-29 01:00:00,38.94,39.13,38.69,38.69,76549,38.69
2016-01-29 02:00:00,38.7,39.11,38.7,39.04,62837,39.04
2016-01-29 03:00:00,39.05,39.19,38.9,38.97,83884,38.97
2016-01-29 04:00:00,38.97,39.12,38.91,38.95,102671,38.95
2016-01-29 05:00:00,38.95,39.04,38.76,38.95,307149,38.95
2016-01-29 23:00:00,39.26,39.87,39.02,39.85,55661,39.85
2016-01-30 00:00:00,39.83,40.05,39.72,39.76,119619,39.76
2016-01-30 01:00:00,39.76,40.03,39.48,40.03,115438,40.03
2016-01-30 02:00:00,40.02,40.44,40.0,40.34,105741,40.34
2016-01-30 03:00:00,40.35,40.53,40.3,40.3941,101097,40.3941
2016-01-30 04:00:00,40.39,40.58,40.36,40.5,217152,40.5
2016-01-30 05:00:00,40.5,40.69,40.45,40.56,585039,40.56
