Date,Close,High,Low,Open,Volume,Adj Close
2015-12-10 10:30:00,99.15,99.36,98.8,99.07,509881,99.15
2015-12-10 11:30:00,99.06,99.53,99.06,99.1435,313420,99.06
2015-12-10 12:30:00,98.63,99.09,98.45,99.05,486298,98.63
2015-12-10 13:30:00,99.01,99.13,98.53,98.65,487417,99.01
2015-12-10 14:30:00,99.54,99.54,99.0,99.0,343324,99.54
2015-12-10 15:30:00,99.06,99.58,98.89,99.57,541253,99.06
2015-12-10 16:00:00,98.955,99.2,98.8,99.08,476751,98.955
2015-12-11 10:30:00,98.61,98.61,97.59,97.96,872851,98.61
2015-12-11 11:30:00,98.09,98.72,97.95,98.65,479105,98.09
2015-12-11 12:30:00,97.85,98.08,97.7,97.99,613214,97.85
2015-12-11 13:30:00,97.8,98.1,97.76,97.76,596591,97.8
2015-12-11 14:30:00,98.01,98.1675,97.735,97.8401,596821,98.01
2015-12-11 15:30:00,97.82,98.1,97.56,97.96,668605,97.82
2015-12-11 16:00:00,97.77,97.88,97.61,97.79,457231,97.77
2015-12-14 10:30:00,97.53,98.5,97.52,98.07,1083327,97.53
2015-12-14 11:30:00,97.19,97.68,97.04,97.4,711141,97.19
2015-12-14 12:30:00,97.49,97.49,96.88,97.05,831681,97.49
2015-12-14 13:30:00,97.31,97.6,97.1,97.525,455889,97.31
2015-12-14 14:30:00,97.27,97.38,97.12,97.28,417904,97.27
2015-12-14 15:30:00,97.46,97.505,97.13,97.24,797831,97.46
2015-12-14 16:00:00,97.945,98.215,97.54,97.565,573265,97.945
2015-12-15 10:30:00,98.35,98.72,98.35,98.66,1025363,98.35
2015-12-15 11:30:00,98.55,98.72,98.21,98.335,599576,98.55
2015-12-15 12:30:00,98.92,98.935,98.39,98.595,474371,98.92
2015-12-15 13:30:00,99.2401,99.45,98.99,98.99,500849,99.2401
2015-12-15 14:30:00,99.53,99.58,99.2,99.25,482370,99.53
2015-12-15 15:30:00,99.42,99.66,99.395,99.54,553875,99.42
2015-12-15 16:00:00,99.38,99.58,99.3,99.37,573758,99.38
2015-12-16 10:30:00,100.195,100.35,99.9025,100.0,619455,100.195
2015-12-16 11:30:00,99.98,100.5,99.98,100.23,545379,99.98
2015-12-16 12:30:00,100.375,100.43,99.94,100.003,428719,100.375
2015-12-16 13:30:00,100.46,100.549,100.3,100.385,603221,100.46
2015-12-16 14:30:00,100.67,100.93,99.81,100.459,721908,100.67
2015-12-16 15:30:00,101.0,101.0,100.56,100.56,532237,101.0
2015-12-16 16:00:00,101.07,101.305,100.99,101.017,547910,101.07
2015-12-17 10:30:00,100.85,101.08,100.34,100.69,799824,100.85
2015-12-17 11:30:00,100.56,100.98,100.42,100.91,367383,100.56
2015-12-17 12:30:00,100.6,100.75,100.48,100.48,281407,100.6
2015-12-17 13:30:00,100.57,100.69,100.36,100.64,266596,100.57
2015-12-17 14:30:00,100.781,101.03,100.54,100.55,432158,100.781
2015-12-17 15:30:00,100.71,100.78,100.51,100.76,579764,100.71
2015-12-17 16:00:00,100.31,100.89,100.29,100.71,474166,100.31
2015-12-18 10:30:00,98.945,99.59,98.76,99.33,1435353,98.945
2015-12-18 11:30:00,98.9,99.17,98.75,99.02,349635,98.9
2015-12-18 12:30:00,98.87,99.0321,98.83,98.91,400902,98.87
2015-12-18 13:30:00,98.59,98.94,98.58,98.85,437767,98.59
2015-12-18 14:30:00,98.96,99.0236,98.55,98.62,347883,98.96
2015-12-18 15:30:00,98.33,98.93,98.24,98.895,527592,98.33
2015-12-18 16:00:00,98.15,98.39,98.15,98.35,355411,98.15
2015-12-21 10:30:00,98.47,98.57,97.78,98.32,464207,98.47
2015-12-21 11:30:00,98.115,98.51,98.065,98.48,332963,98.115
2015-12-21 12:30:00,97.99,98.2,97.98,98.11,273574,97.99
2015-12-21 13:30:00,98.27,98.31,98.02,98.05,213028,98.27
2015-12-21 14:30:00,98.195,98.4,98.195,98.2797,300581,98.195
2015-12-21 15:30:00,98.1,98.2591,98.035,98.14,293173,98.1
2015-12-21 16:00:00,98.62,98.62,98.12,98.13,603375,98.62
2015-12-22 10:30:00,99.0174,99.45,98.67,98.99,607739,99.0174
