Date,Open,High,Low,Close,Volume,Adj Close
0,76.85,77.47,76.07,77.45,1170568,77.45
1,77.45,77.6,77.25,77.255,1134106,77.255
2,77.2543,77.3683,77.05,77.2,818310,77.2
3,77.2,77.33,77.08,77.095,597417,77.095
4,77.1,77.13,76.645,76.91,1113709,76.91
5,76.9,77.16,76.69,76.89,1196865,76.89
6,76.89,77.26,76.76,77.13,2944175,77.13
7,77.36,77.48,76.41,76.7,1093509,76.7
8,76.7,76.84,76.4,76.72,1234666,76.72
9,76.715,76.91,76.47,76.7401,883542,76.7401
10,76.74,76.79,76.595,76.66,537818,76.66
11,76.65,76.72,76.47,76.61,627323,76.61
12,76.62,76.8,76.32,76.34,746517,76.34
13,76.345,76.42,75.671,75.95,2405325,75.95
14,76.17,76.55,76.1,76.19,809384,76.19
15,76.19,76.35,75.87,75.9,1163085,75.9
16,75.89,76.36,75.84,76.3,955253,76.3
17,76.31,76.335,75.82,76.0,1025531,76.0
18,76.0,76.1,75.6,75.75,899793,75.75
19,75.76,76.39,75.72,76.3599,1242539,76.3599
20,76.36,77.04,76.3,76.67,2594239,76.67
21,77.0,77.02,76.41,76.5,1019727,76.5
22,76.51,76.53,75.76,76.0188,1394300,76.0188
23,76.02,76.135,75.8062,76.1135,760887,76.1135
24,76.1152,76.23,75.75,75.88,747589,75.88
25,75.88,76.25,75.88,76.07,609936,76.07
26,76.06,76.365,75.97,76.28,998652,76.28
27,76.28,76.65,76.08,76.5,1808427,76.5
28,76.97,76.99,76.44,76.57,797283,76.57
29,76.57,76.77,76.28,76.51,1086247,76.51
30,76.51,76.66,76.43,76.5,652833,76.5
31,76.5,76.67,76.4038,76.44,669492,76.44
32,76.43,76.555,76.34,76.45,643446,76.45
33,76.4697,76.62,76.03,76.09,1406401,76.09
34,76.09,76.25,75.79,75.86,2302055,75.86
35,76.1,76.9495,75.96,76.2225,1376256,76.2225
36,76.22,76.54,75.88,76.225,2482353,76.225
37,76.22,76.4661,76.13,76.44,1223881,76.44
38,76.45,76.485,76.05,76.06,965310,76.06
39,76.06,76.3614,76.04,76.3,778693,76.3
40,76.31,76.54,76.19,76.4901,1124753,76.4901
41,76.49,76.5462,75.93,76.13,2318117,76.13
42,74.5,75.2,74.47,74.87,2209497,74.87
43,74.85,75.41,74.61,75.31,1537012,75.31
44,75.3,75.68,75.25,75.57,1418749,75.57
45,75.57,75.62,75.02,75.1801,1031574,75.1801
46,75.19,75.23,74.74,74.8753,1169946,74.8753
47,74.87,75.23,74.72,75.15,1308792,75.15
48,75.15,75.25,74.78,74.95,2437369,74.95
49,75.8,76.55,75.72,76.42,1331813,76.42
50,76.43,76.43,75.96,76.08,1444787,76.08
51,76.08,76.44,76.0301,76.34,1210177,76.34
52,76.3335,76.385,75.92,76.23,1378521,76.23
53,76.2353,76.49,76.2,76.48,870627,76.48
54,76.47,76.57,76.2,76.28,1366024,76.28
55,76.28,76.91,76.21,76.71,2742135,76.71
56,75.29,75.66,75.21,75.54,2142609,75.54
57,75.54,75.87,75.2901,75.33,2071568,75.33
58,75.33,75.56,75.11,75.11,1590065,75.11
59,75.11,75.195,74.46,74.78,1506667,74.78
60,74.78,75.21,74.68,75.03,1677027,75.03
61,75.02,75.45,75.01,75.27,2254651,75.27
62,75.27,76.09,75.25,75.83,4119182,75.83
63,76.02,76.15,75.41,75.51,1018659,75.51
64,75.51,76.5,75.42,76.38,1758807,76.38
65,76.39,76.57,76.265,76.47,2288107,76.47
66,76.48,76.9781,76.48,76.73,1368939,76.73
67,76.73,76.99,76.45,76.6,1017138,76.6
68,76.6099,76.94,76.27,76.82,1324555,76.82
69,76.83,77.18,76.64,76.73,2153738,76.73
70,77.4,77.56,76.55,77.557,1063846,77.557
71,77.55,77.97,77.505,77.75,2018160,77.75
72,77.75,77.87,77.48,77.55,1009214,77.55
73,77.545,77.66,77.35,77.436,831536,77.436
74,77.435,77.56,77.39,77.51,598395,77.51
75,77.51,77.7665,77.43,77.4561,823743,77.4561
76,77.45,77.48,77.22,77.37,1545144,77.37
77,77.2,77.24,76.73,77.04,978133,77.04
78,77.02,77.04,76.5571,76.7,1571333,76.7
79,76.7,77.36,76.63,77.16,919164,77.16
80,77.15,77.28,76.93,77.06,767354,77.06
81,77.05,77.24,76.94,76.96,613291,76.96
82,76.96,77.29,76.895,77.29,765389,77.29
83,77.28,77.335,76.86,76.92,2173660,76.92
84,78.0,79.24,77.54,79.19,3078374,79.19
85,79.1975,79.58,79.005,79.18,2993363,79.18
86,79.18,79.26,78.97,79.04,2227092,79.04
87,79.0472,79.08,78.4425,78.88,1888210,78.88
88,78.89,78.91,78.64,78.645,846703,78.645
89,78.645,79.005,78.53,78.98,1133651,78.98
90,78.98,79.0,78.54,78.81,1176784,78.81
91,78.53,79.39,78.26,79.3,1350648,79.3
92,79.3,79.33,78.695,78.77,1448893,78.77
93,78.765,79.85,78.73,79.715,1086660,79.715
94,79.715,79.82,79.31,79.57,1085849,79.57
95,79.565,79.8,79.53,79.65,721749,79.65
96,79.65,79.84,78.71,78.78,1064261,78.78
97,78.77,78.85,78.15,78.79,2524913,78.79
98,79.4,79.4,78.61,79.2425,720645,79.2425
99,79.24,79.44,78.905,79.0,1214011,79.0
