Date,Open,High,Low,Close,Volume,Adj Close
0,39.36,39.52,39.15,39.29,122949,39.29
1,39.37,39.45,39.27,39.36,64339,39.36
2,39.04,39.35,39.01,39.32,81366,39.32
3,39.16,39.21,39.005,39.04,127763,39.04
4,39.03,39.18,38.96,39.16,76562,39.16
5,38.94,39.12,38.89,39.02,121074,39.02
6,39.08,39.12,38.94,38.94,128412,38.94
7,39.24,39.24,39.07,39.07,65343,39.07
8,39.22,39.29,39.2,39.25,72770,39.25
9,39.185,39.24,39.11,39.22,82052,39.22
10,39.2,39.21,39.07,39.19,161960,39.19
11,39.17,39.19,39.06,39.19,112943,39.19
12,39.18,39.27,39.13,39.17,110541,39.17
13,39.16,39.21,39.15,39.19,63944,39.19
14,39.14,39.2,39.1,39.16,108431,39.16
15,39.11,39.23,39.07,39.14,78773,39.14
16,39.07,39.195,39.07,39.11,75274,39.11
17,39.11,39.17,39.06,39.07,90704,39.07
18,38.96,39.14,38.96,39.12,68485,39.12
19,39.02,39.04,38.93,38.95,98291,38.95
20,38.96,39.05,38.95,39.02,75623,39.02
21,38.97,39.05,38.94,38.95,105589,38.95
22,39.08,39.125,38.95,38.95,105488,38.95
23,39.14,39.1569,39.03,39.08,105397,39.08
24,39.3,39.31,39.135,39.14,263319,39.14
25,39.04,39.35,39.04,39.32,695361,39.32
26,38.61,38.61,38.61,38.61,200,38.61
27,38.48,38.73,38.41,38.55,80244,38.55
28,38.15,38.56,38.15,38.52,55120,38.52
29,37.94,38.2,37.89,38.15,104698,38.15
30,37.76,37.95,37.72,37.93,68426,37.93
31,37.51,37.81,37.47,37.76,107662,37.76
32,37.27,37.56,37.27,37.51,90347,37.51
33,37.145,37.32,37.14,37.28,142087,37.28
34,37.24,37.37,37.13,37.145,121100,37.145
35,37.26,37.335,37.18,37.25,80755,37.25
36,37.18,37.271,37.12,37.27,74127,37.27
37,37.04,37.23,37.03,37.18,67514,37.18
38,36.86,37.05,36.83,37.04,51903,37.04
39,36.7268,36.9,36.72,36.85,55875,36.85
40,36.91,36.92,36.68,36.72,37518,36.72
41,36.85,36.949,36.84,36.92,39224,36.92
42,36.8,36.8547,36.7375,36.8547,63343,36.8547
43,37.09,37.09,36.78,36.8,74281,36.8
44,37.16,37.18,37.04,37.08,69426,37.08
45,37.075,37.18,37.03,37.16,94593,37.16
46,37.08,37.16,37.05,37.076,86038,37.076
47,37.135,37.15,37.02,37.0899,111885,37.0899
48,37.24,37.325,37.115,37.13,100427,37.13
49,37.5,37.5,37.23,37.24,116575,37.24
50,37.94,37.96,37.5,37.5,148473,37.5
51,37.775,38.03,37.77,37.95,293528,37.95
52,37.41,37.77,37.4,37.77,664463,37.77
53,37.59,37.59,37.59,37.59,200,37.59
54,37.33,37.71,37.28,37.62,88529,37.62
55,37.35,37.44,37.3,37.33,121921,37.33
56,37.5334,37.59,37.35,37.35,94511,37.35
57,37.59,37.7,37.53,37.53,100415,37.53
58,37.61,37.7,37.5275,37.58,146310,37.58
59,37.65,37.7,37.57,37.6,110770,37.6
60,37.58,37.71,37.56,37.66,151816,37.66
61,37.55,37.61,37.49,37.59,78634,37.59
62,37.47,37.64,37.44,37.56,87633,37.56
63,37.65,37.7,37.465,37.47,137533,37.47
64,37.77,37.82,37.66,37.66,95473,37.66
65,37.8,37.87,37.73,37.78,96950,37.78
66,37.98,38.03,37.79,37.8,64323,37.8
67,37.9,38.0,37.89,37.98,135392,37.98
68,37.88,37.965,37.87,37.91,75380,37.91
69,37.66,37.935,37.66,37.87,82330,37.87
70,37.75,37.825,37.56,37.66,83501,37.66
71,37.73,37.8,37.65,37.74,93153,37.74
72,37.57,37.76,37.53,37.73,138363,37.73
73,37.52,37.585,37.4,37.58,89439,37.58
74,37.77,37.81,37.52,37.52,101364,37.52
75,37.8,37.88,37.65,37.78,92454,37.78
76,37.7128,37.8,37.65,37.8,120800,37.8
77,37.79,37.79,37.65,37.71,134508,37.71
78,37.91,37.95,37.79,37.79,176577,37.79
79,37.72,37.914,37.72,37.91,309151,37.91
80,38.39,38.465,38.09,38.14,176569,38.14
81,38.72,38.74,38.38,38.42,76787,38.42
82,38.64,38.83,38.64,38.71,107796,38.71
83,38.55,38.645,38.5,38.64,94821,38.64
84,38.33,38.57,38.33,38.56,69217,38.56
85,38.3066,38.43,38.3066,38.33,128023,38.33
86,38.41,38.46,38.305,38.31,74003,38.31
87,38.475,38.5,38.3528,38.4,53201,38.4
88,38.405,38.485,38.3499,38.48,45313,38.48
89,38.29,38.46,38.29,38.4099,59055,38.4099
90,38.48,38.51,38.29,38.29,57636,38.29
91,38.305,38.49,38.3,38.48,60477,38.48
92,38.35,38.43,38.28,38.31,41935,38.31
93,38.51,38.51,38.29,38.34,40364,38.34
94,38.48,38.51,38.41,38.51,49823,38.51
95,38.59,38.61,38.46,38.48,38059,38.48
96,38.68,38.69,38.59,38.605,25917,38.605
97,38.69,38.715,38.65,38.68,52432,38.68
98,38.78,38.795,38.67,38.7,76315,38.7
99,38.61,38.7935,38.61,38.79,54983,38.79
100,38.51,38.61,38.47,38.6,67748,38.6
101,38.65,38.665,38.49,38.5,40975,38.5
102,38.54,38.67,38.51,38.66,93834,38.66
103,38.55,38.58,38.5,38.54,62651,38.54
104,38.61,38.61,38.45,38.54,113789,38.54
105,38.61,38.68,38.575,38.62,387542,38.62
106,38.29,38.64,38.22,38.64,101773,38.64
107,38.85,39.01,38.14,38.29,209424,38.29
108,38.3,38.865,38.27,38.865,120631,38.865
109,38.23,38.36,38.2,38.3,75282,38.3
110,38.17,38.33,38.15,38.22,99568,38.22
111,38.2,38.26,38.11,38.17,75134,38.17
112,38.2,38.27,38.08,38.2,98910,38.2
113,38.31,38.34,38.16,38.19,184968,38.19
114,38.32,38.44,38.22,38.31,121435,38.31
115,38.31,38.45,38.31,38.33,103969,38.33
116,38.29,38.39,38.29,38.31,80965,38.31
117,38.315,38.37,38.27,38.29,76491,38.29
118,38.34,38.42,38.3,38.31,72400,38.31
119,38.35,38.4,38.33,38.35,192149,38.35
120,38.395,38.46,38.35,38.35,180437,38.35
121,38.41,38.54,38.39,38.4,217351,38.4
122,38.5,38.56,38.4,38.42,150873,38.42
123,38.4,38.52,38.39,38.5,47411,38.5
124,38.415,38.48,38.36,38.39,293670,38.39
125,38.35,38.415,38.23,38.41,79170,38.41
126,38.3,38.415,38.3,38.34,136532,38.34
127,38.25,38.39,38.24,38.3,81794,38.3
128,38.25,38.31,38.24,38.25,135410,38.25
129,38.24,38.32,38.22,38.25,158278,38.25
130,38.21,38.295,38.195,38.24,169528,38.24
131,38.23,38.29,38.17,38.21,515507,38.21
132,38.9,39.24,38.47,38.5,158365,38.5
133,38.5801,39.03,38.42,38.85,172938,38.85
134,39.0,39.07,38.61,38.61,65738,38.61
135,38.86,39.06,38.74,39.01,153047,39.01
136,38.81,38.93,38.58,38.86,255964,38.86
137,38.775,38.84,38.66,38.81,85290,38.81
138,39.0,39.03,38.77,38.77,661411,38.77
139,38.97,39.05,38.96,39.0,312801,39.0
140,38.93,38.975,38.9,38.97,104206,38.97
141,38.95,39.035,38.93,38.93,104407,38.93
142,39.125,39.13,38.94,38.95,73068,38.95
143,39.09,39.17,39.07,39.13,105707,39.13
144,39.18,39.2,39.08,39.09,110473,39.09
145,39.175,39.2,39.09,39.17,100177,39.17
146,39.29,39.3,39.17,39.18,88947,39.18
147,39.3,39.44,39.27,39.29,464216,39.29
148,39.225,39.31,39.22,39.31,72299,39.31
149,39.36,39.42,39.225,39.23,132192,39.23
150,39.51,39.53,39.31,39.365,143783,39.365
151,39.385,39.56,39.37,39.51,95770,39.51
152,39.51,39.52,39.32,39.39,203112,39.39
153,39.73,39.73,39.46,39.51,111439,39.51
154,39.68,39.79,39.59,39.72,185501,39.72
155,39.7,39.72,39.55,39.69,205468,39.69
156,39.74,39.75,39.65,39.7,386044,39.7
157,39.85,39.86,39.72,39.74,430756,39.74
158,39.325,39.57,39.28,39.57,107679,39.57
159,39.37,39.41,39.21,39.34,97405,39.34
160,39.43,39.61,39.36,39.36,149796,39.36
161,39.63,39.69,39.38,39.41,202092,39.41
162,39.63,39.68,39.57,39.63,177647,39.63
163,39.53,39.64,39.47,39.635,404888,39.635
164,39.51,39.62,39.45,39.535,114256,39.535
165,39.59,39.6,39.47,39.5,106134,39.5
166,39.68,39.7,39.58,39.6,177585,39.6
167,39.7,39.765,39.68,39.68,86314,39.68
168,39.75,39.795,39.68,39.7,227082,39.7
169,39.655,39.77,39.65,39.76,82819,39.76
170,39.6263,39.7,39.57,39.655,53616,39.655
171,39.675,39.715,39.62,39.62,49723,39.62
172,39.65,39.73,39.62,39.66,57677,39.66
173,39.65,39.68,39.61,39.65,107684,39.65
174,39.705,39.78,39.655,39.66,76759,39.66
175,39.7,39.88,39.69,39.705,106615,39.705
176,39.8,39.97,39.71,39.715,123445,39.715
177,39.79,39.9,39.72,39.8,137487,39.8
178,39.62,39.795,39.57,39.79,63308,39.79
179,39.47,39.66,39.42,39.62,81521,39.62
180,39.265,39.48,39.24,39.47,122362,39.47
181,39.33,39.38,39.22,39.26,135511,39.26
182,39.43,39.46,39.31,39.33,132835,39.33
183,39.47,39.5,39.4,39.43,285613,39.43
184,39.44,39.84,39.33,39.82,117776,39.82
185,39.62,39.76,39.44,39.44,56945,39.44
186,39.82,39.83,39.59,39.65,79623,39.65
187,39.7,39.88,39.7,39.82,78165,39.82
188,39.57,39.75,39.48,39.72,47631,39.72
189,39.57,39.62,39.49,39.56,45507,39.56
190,39.44,39.5701,39.43,39.57,53902,39.57
