Date,Open,High,Low,Close,Volume,Adj Close
0,69.89,69.89,69.05,69.05,37355,69.05
1,68.96,69.57,68.8,69.205,28059,69.205
2,68.89,69.25,68.85,69.1,58941,69.1
3,68.67,69.12,68.59,68.93,26996,68.93
4,68.56,68.73,68.36,68.67,68556,68.67
5,68.67,68.74,68.52,68.55,51938,68.55
6,68.91,68.94,68.63,68.66,33655,68.66
7,69.0,69.06,68.89,68.94,39473,68.94
8,69.0999,69.0999,68.9508,69.0,15587,69.0
9,69.1275,69.21,69.09,69.09,31312,69.09
10,68.9155,69.101,68.9155,69.101,20975,69.101
11,68.7907,68.99,68.77,68.89,38779,68.89
12,68.515,68.85,68.51,68.8,39118,68.8
13,68.47,68.55,68.44,68.53,38305,68.53
14,68.6084,68.66,68.46,68.487,37062,68.487
15,68.93,68.93,68.64,68.64,29193,68.64
16,68.96,69.0,68.9,68.94,30780,68.94
17,68.9286,69.01,68.92,69.0,31537,69.0
18,68.97,69.02,68.903,68.95,46409,68.95
19,69.22,69.2514,68.99,69.0,48319,69.0
20,69.28,69.33,69.23,69.23,25158,69.23
21,69.23,69.32,69.2053,69.3,14969,69.3
22,69.07,69.26,69.07,69.25,34379,69.25
23,69.16,69.16,69.01,69.08,11679,69.08
24,69.2,69.24,69.04,69.14,35697,69.14
25,69.145,69.28,69.11,69.22,23683,69.22
26,69.06,69.18,69.02,69.16,12498,69.16
27,68.97,69.09,68.93,69.05,27937,69.05
28,68.97,69.07,68.92,69.0,44779,69.0
29,69.03,69.12,68.96,68.976,79383,68.976
30,69.0,69.05,68.96,69.025,45022,69.025
31,68.99,69.025,68.94,69.01,32656,69.01
32,68.98,69.03,68.93,69.01,22250,69.01
33,69.27,69.3,69.0,69.0,21315,69.0
34,69.41,69.4106,69.29,69.3,8655,69.3
35,69.42,69.43,69.33,69.419,7881,69.419
36,69.45,69.484,69.42,69.45,20156,69.45
37,69.45,69.53,69.4353,69.47,29625,69.47
38,69.51,69.51,69.44,69.486,22359,69.486
39,69.53,69.55,69.495,69.508,18632,69.508
40,69.57,69.59,69.52,69.53,27942,69.53
41,69.5715,69.619,69.55,69.56,41140,69.56
42,69.54,69.6,69.49,69.59,10967,69.59
43,69.45,69.54,69.42,69.53,10883,69.53
44,69.4,69.52,69.36,69.46,11769,69.46
45,69.46,69.5,69.39,69.41,12912,69.41
46,69.49,69.51,69.37,69.47,30163,69.47
47,69.445,69.51,69.42,69.49,25411,69.49
48,69.37,69.47,69.35,69.45,16848,69.45
49,69.39,69.41,69.35,69.38,14356,69.38
50,69.5,69.52,69.39,69.41,35104,69.41
51,69.58,69.62,69.4914,69.5,31907,69.5
52,69.57,69.6,69.55,69.59,13167,69.59
53,69.48,69.59,69.45,69.58,35116,69.58
54,69.4663,69.53,69.4663,69.49,14270,69.49
55,69.41,69.46,69.39,69.46,24669,69.46
56,69.37,69.42,69.37,69.41,26590,69.41
57,69.43,69.4301,69.35,69.36,38251,69.36
58,69.57,69.62,69.39,69.4301,31149,69.4301
59,69.638,69.66,69.56,69.56,21075,69.56
60,69.8138,69.84,69.64,69.64,55637,69.64
61,69.8199,69.8207,69.756,69.8,13698,69.8
62,69.92,69.94,69.82,69.82,43162,69.82
63,69.95,70.06,69.95,69.95,58374,69.95
64,69.87,69.97,69.84,69.94,23116,69.94
65,69.81,69.931,69.81,69.88,17193,69.88
66,69.84,69.85,69.76,69.81,23505,69.81
67,69.9,69.9,69.79,69.84,21433,69.84
68,69.93,69.93,69.85,69.89,21636,69.89
69,69.9,69.93,69.88,69.93,21452,69.93
70,69.88,69.9,69.82,69.9,36896,69.9
71,69.83,69.9,69.815,69.89,41095,69.89
72,69.825,69.86,69.805,69.83,85232,69.83
73,69.75,69.85,69.75,69.83,79662,69.83
74,69.81,69.93,69.76,69.76,96481,69.76
75,69.92,69.95,69.81,69.81,74363,69.81
76,69.99,70.055,69.88,69.92,80185,69.92
77,70.0,70.01,69.96,70.0,137883,70.0
78,70.01,70.05,69.79,70.0,427973,70.0
79,69.37,69.52,69.24,69.34,55236,69.34
80,69.25,69.39,69.21,69.365,53656,69.365
81,69.36,69.425,69.22,69.28,45543,69.28
82,69.16,69.36,69.16,69.32,28974,69.32
83,69.37,69.43,69.16,69.16,39105,69.16
84,69.37,69.462,69.25,69.4,12641,69.4
85,69.25,69.33,69.17,69.33,45465,69.33
86,69.28,69.35,69.14,69.23,57232,69.23
87,69.34,69.4,69.15,69.29,44021,69.29
88,69.22,69.46,69.22,69.32,25924,69.32
89,69.32,69.46,69.18,69.23,11017,69.23
90,69.17,69.46,69.11,69.34,20578,69.34
91,69.35,69.42,69.1894,69.2,21255,69.2
92,69.47,69.57,69.35,69.37,34994,69.37
93,69.71,69.73,69.48,69.49,17295,69.49
94,69.72,69.7709,69.67,69.73,48601,69.73
95,69.6499,69.73,69.6,69.71,11166,69.71
96,69.64,69.73,69.54,69.62,17040,69.62
97,69.67,69.7,69.54,69.66,5908,69.66
98,69.59,69.76,69.59,69.6701,26952,69.6701
99,69.68,69.6995,69.5236,69.57,18417,69.57
100,69.67,69.72,69.59,69.68,22787,69.68
101,69.55,69.67,69.5,69.67,14081,69.67
102,69.67,69.67,69.52,69.55,11943,69.55
103,69.68,69.68,69.56,69.67,18395,69.67
104,69.68,69.84,69.64,69.69,43213,69.69
105,69.58,69.69,69.56,69.68,30721,69.68
106,69.53,69.61,69.52,69.5701,15332,69.5701
