Date,Close,High,Low,Open,Volume,Adj Close
2015-09-14 10:30:00,78.39,78.86,78.1296,78.7,57758,78.39
2015-09-14 11:30:00,78.56,78.78,78.43,78.43,64086,78.56
2015-09-14 12:30:00,78.3925,78.56,78.212,78.52,67521,78.3925
2015-09-14 13:30:00,78.34,78.5,78.3,78.38,61607,78.34
2015-09-14 14:30:00,78.35,78.59,78.29,78.32,75961,78.35
2015-09-14 15:30:00,78.44,78.505,78.28,78.33,78640,78.44
2015-09-14 16:00:00,78.51,78.52,78.3,78.45,83769,78.51
2015-09-15 10:30:00,79.24,79.51,78.66,78.66,87078,79.24
2015-09-15 11:30:00,79.73,79.94,79.34,79.34,113244,79.73
2015-09-15 12:30:00,79.87,79.95,79.61,79.8168,49070,79.87
2015-09-15 13:30:00,80.0,80.02,79.65,79.8,91887,80.0
2015-09-15 14:30:00,80.27,80.28,79.93,80.03,115479,80.27
2015-09-15 15:30:00,80.55,80.71,80.3,80.3,172153,80.55
2015-09-15 16:00:00,80.43,80.63,80.39,80.55,196533,80.43
2015-09-16 10:30:00,80.2457,80.79,80.15,80.19,67364,80.2457
2015-09-16 11:30:00,80.65,80.72,80.08,80.2624,80142,80.65
2015-09-16 12:30:00,80.71,80.75,80.54,80.66,62230,80.71
2015-09-16 13:30:00,80.51,80.86,80.51,80.73,62060,80.51
2015-09-16 14:30:00,80.47,80.73,80.44,80.48,58964,80.47
2015-09-16 15:30:00,81.005,81.04,80.37,80.4335,106104,81.005
2015-09-16 16:00:00,80.86,81.06,80.86,81.028,116526,80.86
2015-09-17 10:30:00,80.73,80.95,80.45,80.83,82621,80.73
2015-09-17 11:30:00,81.145,81.2,80.66,80.735,83909,81.145
2015-09-17 12:30:00,80.67,81.15,80.565,81.09,112021,80.67
2015-09-17 13:30:00,80.84,80.94,80.495,80.66,79884,80.84
2015-09-17 14:30:00,79.3436,80.87,79.25,80.87,287558,79.3436
2015-09-17 15:30:00,78.35,79.87,78.09,79.4,420669,78.35
2015-09-17 16:00:00,78.16,78.64,78.0,78.29,317192,78.16
2015-09-18 10:30:00,76.83,77.02,75.83,76.96,287023,76.83
2015-09-18 11:30:00,76.61,76.885,76.31,76.885,213740,76.61
2015-09-18 12:30:00,76.2617,77.01,76.1,76.515,190950,76.2617
2015-09-18 13:30:00,75.91,76.21,75.74,76.21,220062,75.91
2015-09-18 14:30:00,76.16,76.2,75.77,75.8999,148507,76.16
2015-09-18 15:30:00,75.85,76.18,75.76,76.137,165603,75.85
2015-09-18 16:00:00,75.84,75.9,75.59,75.87,279477,75.84
2015-09-21 10:30:00,77.16,77.52,76.71,76.8,173768,77.16
2015-09-21 11:30:00,77.45,77.6396,77.27,77.28,134025,77.45
2015-09-21 12:30:00,76.87,77.455,76.65,77.444,141374,76.87
2015-09-21 13:30:00,77.04,77.16,76.46,76.8,184430,77.04
2015-09-21 14:30:00,76.61,77.11,76.61,77.0338,102650,76.61
2015-09-21 15:30:00,77.09,77.1571,76.58,76.59,159431,77.09
2015-09-21 16:00:00,77.16,77.16,76.813,77.09,165948,77.16
2015-09-22 10:30:00,75.58,76.17,75.465,75.81,174499,75.58
2015-09-22 11:30:00,75.38,75.61,75.162,75.51,78935,75.38
