Date,Close,High,Low,Open,Volume,Adj Close
2015-12-18 10:30:00,80.82,81.53,80.61,81.36,734059,80.82
2015-12-18 11:30:00,80.75,81.14,80.54,80.93,369319,80.75
2015-12-18 12:30:00,79.86,80.745,79.82,80.745,399015,79.86
2015-12-18 13:30:00,80.25,80.37,79.71,79.89,334730,80.25
2015-12-18 14:30:00,80.75,80.76,80.16,80.24,413342,80.75
2015-12-18 15:30:00,80.65,80.92,80.51,80.73,462510,80.65
2015-12-18 16:00:00,80.6299,80.96,80.6099,80.69,263790,80.6299
2015-12-21 10:30:00,80.62,81.15,80.03,81.15,438915,80.62
2015-12-21 11:30:00,80.02,80.78,79.83,80.59,330631,80.02
2015-12-21 12:30:00,79.589,79.9599,79.49,79.9599,306925,79.589
2015-12-21 13:30:00,79.83,80.195,79.67,79.6815,279176,79.83
2015-12-21 14:30:00,80.25,80.34,79.91,79.91,203252,80.25
2015-12-21 15:30:00,79.96,80.503,79.94,80.1949,326244,79.96
2015-12-21 16:00:00,80.65,80.65,80.02,80.15,350106,80.65
2015-12-22 10:30:00,80.92,81.21,80.68,81.1,267517,80.92
2015-12-22 11:30:00,81.57,81.58,80.78,80.93,216558,81.57
2015-12-22 12:30:00,81.911,81.924,81.56,81.65,180714,81.911
2015-12-22 13:30:00,81.84,82.055,81.7193,81.94,231800,81.84
2015-12-22 14:30:00,82.13,82.28,81.78,81.84,243649,82.13
2015-12-22 15:30:00,81.98,82.105,81.81,82.07,301007,81.98
2015-12-22 16:00:00,81.74,81.955,81.49,81.955,396555,81.74
2015-12-23 10:30:00,82.34,82.77,82.16,82.72,281179,82.34
2015-12-23 11:30:00,82.93,82.95,82.24,82.62,242752,82.93
2015-12-23 12:30:00,83.45,83.51,82.82,82.99,287997,83.45
2015-12-23 13:30:00,84.15,84.16,83.4,83.42,276777,84.15
2015-12-23 14:30:00,84.47,84.59,84.15,84.25,462358,84.47
2015-12-23 15:30:00,84.5,84.56,84.41,84.48,291585,84.5
2015-12-23 16:00:00,84.82,84.82,84.5,84.51,500350,84.82
2015-12-24 10:30:00,84.28,84.84,83.87,84.215,214185,84.28
2015-12-24 11:30:00,84.77,84.77,83.96,84.29,178952,84.77
2015-12-24 12:30:00,84.91,84.92,84.41,84.69,182348,84.91
2015-12-24 13:30:00,84.33,84.9,84.33,84.9,171947,84.33
2015-12-28 10:30:00,83.38,83.43,82.69,82.89,211506,83.38
2015-12-28 11:30:00,82.69,83.53,82.53,83.39,164437,82.69
2015-12-28 12:30:00,82.5,82.93,82.46,82.6895,139886,82.5
2015-12-28 13:30:00,82.342,82.5399,82.19,82.45,173595,82.342
2015-12-28 14:30:00,81.965,82.6,81.965,82.4,154046,81.965
2015-12-28 15:30:00,82.2,82.325,81.92,81.98,168353,82.2
2015-12-28 16:00:00,82.4,82.55,82.208,82.208,203026,82.4
2015-12-29 10:30:00,83.3201,83.84,83.04,83.5,285177,83.3201
2015-12-29 11:30:00,83.23,83.43,83.07,83.34,148519,83.23
2015-12-29 12:30:00,82.73,83.42,82.73,83.34,112271,82.73
2015-12-29 13:30:00,82.94,82.9999,82.6557,82.8,115042,82.94
2015-12-29 14:30:00,82.78,82.985,82.78,82.93,229063,82.78
2015-12-29 15:30:00,82.6253,82.81,82.61,82.75,322394,82.6253
2015-12-29 16:00:00,82.78,82.8,82.59,82.7,267122,82.78
2015-12-30 10:30:00,83.085,83.382,82.32,82.32,139576,83.085
2015-12-30 11:30:00,82.86,83.0381,82.67,83.0381,135505,82.86
2015-12-30 12:30:00,82.8,82.93,82.64,82.7,95803,82.8
2015-12-30 13:30:00,82.5,82.8702,82.39,82.8,118504,82.5
2015-12-30 14:30:00,82.25,82.65,82.15,82.51,173618,82.25
2015-12-30 15:30:00,82.2,82.28,81.89,82.28,212173,82.2
2015-12-30 16:00:00,82.0,82.17,81.99,82.16,211557,82.0
2015-12-31 10:30:00,82.16,82.39,81.44,81.44,240471,82.16
2015-12-31 11:30:00,81.34,82.11,81.23,82.02,168370,81.34
2015-12-31 12:30:00,82.135,82.1799,81.29,81.31,154481,82.135
2015-12-31 13:30:00,81.53,82.14,81.34,82.12,174580,81.53
2015-12-31 14:30:00,81.6,82.03,81.57,81.59,220805,81.6
2015-12-31 15:30:00,81.88,81.97,81.39,81.53,237401,81.88
2015-12-31 16:00:00,81.79,82.13,81.7,81.94,249840,81.79
2016-01-04 10:30:00,80.44,81.69,80.44,81.27,428601,80.44
2016-01-04 11:30:00,79.54,80.6,79.46,80.36,328789,79.54
2016-01-04 12:30:00,79.49,79.75,79.4421,79.47,244919,79.49
2016-01-04 13:30:00,79.6857,79.892,79.41,79.5101,259066,79.6857
2016-01-04 14:30:00,79.77,79.87,79.54,79.8,239147,79.77
2016-01-04 15:30:00,79.675,79.81,79.5,79.71,283647,79.675
2016-01-04 16:00:00,80.03,80.03,79.63,79.8,376851,80.03
2016-01-05 10:30:00,80.14,81.07,80.14,80.5067,397293,80.14
2016-01-05 11:30:00,80.5,80.75,80.11,80.11,319005,80.5
2016-01-05 12:30:00,80.18,80.72,80.18,80.51,254369,80.18
2016-01-05 13:30:00,80.5399,80.75,80.27,80.27,287930,80.5399
2016-01-05 14:30:00,80.97,81.11,80.34,80.5,209662,80.97
2016-01-05 15:30:00,80.8,81.04,80.67,80.96,295270,80.8
2016-01-05 16:00:00,81.0,81.1,80.75,80.77,351525,81.0
2016-01-06 10:30:00,79.455,79.91,79.16,79.77,450782,79.455
2016-01-06 11:30:00,78.29,79.08,77.83,79.08,651494,78.29
2016-01-06 12:30:00,77.98,78.78,77.93,78.24,310892,77.98
2016-01-06 13:30:00,77.91,78.36,77.83,78.031,242354,77.91
2016-01-06 14:30:00,78.2647,78.52,77.9395,77.97,235983,78.2647
2016-01-06 15:30:00,78.13,78.31,77.634,78.3,569731,78.13
2016-01-06 16:00:00,77.99,78.44,77.99,78.26,597408,77.99
2016-01-07 10:30:00,76.89,77.08,76.0,76.615,1199492,76.89
2016-01-07 11:30:00,77.67,78.05,77.1127,77.21,648104,77.67
2016-01-07 12:30:00,77.2,77.95,77.0,77.61,397615,77.2
2016-01-07 13:30:00,76.45,77.2,76.33,77.18,500560,76.45
2016-01-07 14:30:00,76.49,76.74,76.1,76.395,466105,76.49
2016-01-07 15:30:00,76.21,76.88,76.11,76.535,950031,76.21
2016-01-07 16:00:00,76.42,76.58,76.21,76.245,435327,76.42
2016-01-08 10:30:00,76.64,77.0988,76.02,76.96,993730,76.64
2016-01-08 11:30:00,76.0,76.805,75.9,76.75,639610,76.0
2016-01-08 12:30:00,76.32,76.435,75.58,75.94,718446,76.32
2016-01-08 13:30:00,75.83,76.27,75.8,76.23,554846,75.83
2016-01-08 14:30:00,76.07,76.24,75.7,75.82,482983,76.07
2016-01-08 15:30:00,75.87,76.27,75.84,76.06,594109,75.87
2016-01-08 16:00:00,75.28,75.79,75.28,75.79,278517,75.28
2016-01-11 10:30:00,76.27,77.3,75.72,76.33,1059236,76.27
2016-01-11 11:30:00,75.82,76.78,75.45,76.41,454816,75.82
2016-01-11 12:30:00,74.93,76.11,74.91,75.7294,296116,74.93
2016-01-11 13:30:00,74.65,75.12,74.56,74.98,253686,74.65
2016-01-11 14:30:00,75.22,75.22,74.4099,74.67,320584,75.22
2016-01-11 15:30:00,75.63,75.645,74.93,75.2,387016,75.63
2016-01-11 16:00:00,76.21,76.37,75.65,75.65,315961,76.21
2016-01-12 10:30:00,76.8064,77.97,76.59,77.03,694098,76.8064
2016-01-12 11:30:00,76.28,77.01,76.16,77.01,471372,76.28
2016-01-12 12:30:00,76.15,76.6518,76.02,76.18,412310,76.15
2016-01-12 13:30:00,76.19,76.55,76.02,76.155,404582,76.19
2016-01-12 14:30:00,76.89,76.955,76.21,76.21,551184,76.89
2016-01-12 15:30:00,77.94,78.38,76.88,76.92,745908,77.94
2016-01-12 16:00:00,77.76,77.98,77.47,77.81,470754,77.76
2016-01-13 10:30:00,77.42,78.3,77.05,78.27,1165586,77.42
2016-01-13 11:30:00,77.11,77.84,76.5309,77.1,867683,77.11
2016-01-13 12:30:00,76.43,77.3716,76.29,77.3716,798742,76.43
2016-01-13 13:30:00,75.897,76.46,75.84,76.33,493837,75.897
2016-01-13 14:30:00,75.24,76.0,75.06,76.0,525227,75.24
2016-01-13 15:30:00,75.75,75.87,74.6,75.19,773492,75.75
2016-01-13 16:00:00,75.22,75.825,75.1,75.825,212191,75.22
2016-01-14 10:30:00,76.61,76.61,74.45,76.34,1000922,76.61
2016-01-14 11:30:00,77.29,78.0,76.41,76.41,654195,77.29
2016-01-14 12:30:00,78.2,78.28,77.085,77.33,464026,78.2
2016-01-14 13:30:00,78.76,78.93,78.0,78.17,401432,78.76
2016-01-14 14:30:00,79.27,79.46,78.5188,78.77,601325,79.27
2016-01-14 15:30:00,79.86,80.0637,79.0738,79.43,480312,79.86
2016-01-14 16:00:00,79.26,79.689,79.03,79.689,389917,79.26
2016-01-15 10:30:00,77.75,78.51,76.7495,77.28,939547,77.75
2016-01-15 11:30:00,77.8,78.41,77.42,78.03,458183,77.8
2016-01-15 12:30:00,77.29,78.02,77.11,77.7882,352026,77.29
2016-01-15 13:30:00,77.6,77.78,76.76,77.12,427129,77.6
2016-01-15 14:30:00,77.6399,77.92,77.52,77.64,384024,77.6399
2016-01-15 15:30:00,78.43,78.55,77.5,77.62,542884,78.43
2016-01-15 16:00:00,78.41,78.48,78.16,78.44,337084,78.41
2016-01-19 10:30:00,80.205,80.53,79.17,80.406,738876,80.205
2016-01-19 11:30:00,79.68,80.276,79.23,80.24,428613,79.68
2016-01-19 12:30:00,79.26,79.87,79.0,79.77,452240,79.26
2016-01-19 13:30:00,78.67,79.38,78.61,79.26,270385,78.67
2016-01-19 14:30:00,78.14,79.05,77.85,78.77,363075,78.14
2016-01-19 15:30:00,78.95,78.95,77.52,78.15,630902,78.95
2016-01-19 16:00:00,78.69,79.0877,78.43,78.98,347614,78.69
2016-01-20 10:30:00,77.09,77.44,76.1201,76.96,706572,77.09
2016-01-20 11:30:00,76.59,77.12,76.31,76.93,664264,76.59
2016-01-20 12:30:00,75.602,76.84,75.47,76.61,493320,75.602
2016-01-20 13:30:00,75.76,76.63,75.445,75.7699,511559,75.76
2016-01-20 14:30:00,76.51,76.86,75.91,75.94,469509,76.51
2016-01-20 15:30:00,77.9,78.21,76.25,76.3917,488784,77.9
2016-01-20 16:00:00,77.26,77.87,77.26,77.7701,34248,77.26
2016-01-21 10:30:00,76.14,76.8,75.31,76.715,733841,76.14
2016-01-21 11:30:00,76.51,77.1596,75.84,75.88,463242,76.51
2016-01-21 12:30:00,76.48,77.17,76.39,76.62,544577,76.48
2016-01-21 13:30:00,76.255,77.1,76.255,76.45,284286,76.255
2016-01-21 14:30:00,76.0718,76.624,75.78,76.46,346774,76.0718
2016-01-21 15:30:00,75.99,76.6149,75.99,76.21,404955,75.99
2016-01-21 16:00:00,76.19,76.33,76.03,76.24,254379,76.19
2016-01-22 10:30:00,79.13,79.22,77.723,78.45,638890,79.13
2016-01-22 11:30:00,79.16,79.5601,78.72,79.15,424977,79.16
2016-01-22 12:30:00,79.42,79.53,78.795,79.185,276267,79.42
2016-01-22 13:30:00,80.29,80.29,79.35,79.35,359832,80.29
2016-01-22 14:30:00,79.94,80.879,79.87,80.33,564595,79.94
2016-01-22 15:30:00,79.77,80.1,79.6999,79.86,343991,79.77
2016-01-22 16:00:00,80.01,80.08,79.61,79.63,300268,80.01
2016-01-25 10:30:00,79.2,79.64,78.73,79.17,534213,79.2
2016-01-25 11:30:00,78.36,79.53,77.99,79.0,389947,78.36
2016-01-25 12:30:00,77.91,78.35,77.72,78.29,332540,77.91
2016-01-25 13:30:00,77.69,77.94,77.55,77.899,407243,77.69
2016-01-25 14:30:00,77.22,77.85,77.04,77.8,324928,77.22
2016-01-25 15:30:00,76.65,77.186,76.65,77.18,385176,76.65
2016-01-25 16:00:00,76.23,76.78,76.2203,76.75,374668,76.23
2016-01-26 10:30:00,76.9,77.3,76.24,77.19,479832,76.9
2016-01-26 11:30:00,76.93,77.26,76.71,77.06,269446,76.93
2016-01-26 12:30:00,77.29,77.29,76.42,76.84,234457,77.29
2016-01-26 13:30:00,77.34,77.56,77.12,77.315,251705,77.34
2016-01-26 14:30:00,77.1,77.47,76.8495,77.3575,260679,77.1
2016-01-26 15:30:00,77.11,77.44,76.89,77.1,373193,77.11
2016-01-26 16:00:00,77.79,77.8,77.07,77.12,354952,77.79
2016-01-27 10:30:00,76.88,77.41,76.49,76.97,529601,76.88
2016-01-27 11:30:00,78.6,78.75,77.16,77.21,808047,78.6
2016-01-27 12:30:00,79.45,79.7,78.6,78.63,413354,79.45
2016-01-27 13:30:00,79.01,79.58,78.9225,79.515,316096,79.01
2016-01-27 14:30:00,78.79,79.4,78.31,79.06,464998,78.79
2016-01-27 15:30:00,77.16,78.6,76.93,78.51,708686,77.16
2016-01-27 16:00:00,77.81,77.81,77.19,77.3,438584,77.81
2016-01-28 10:30:00,78.61,79.9,78.54,79.9,837013,78.61
2016-01-28 11:30:00,78.01,78.63,78.01,78.5,689699,78.01
2016-01-28 12:30:00,78.3601,78.37,77.055,77.98,493401,78.3601
2016-01-28 13:30:00,78.255,78.7875,78.06,78.26,447391,78.255
2016-01-28 14:30:00,78.43,78.79,78.15,78.24,280459,78.43
2016-01-28 15:30:00,78.04,78.6575,78.04,78.4892,522751,78.04
2016-01-28 16:00:00,78.61,78.68,78.13,78.13,555940,78.61
2016-01-29 10:30:00,76.48,78.97,75.96,78.67,1276124,76.48
2016-01-29 11:30:00,76.98,77.6333,76.07,76.45,770546,76.98
2016-01-29 12:30:00,77.345,77.425,76.49,77.06,474303,77.345
