Date,Open,High,Low,Close,Volume,Adj Close
0,121.21,121.63,121.0,121.0,44023,121.0
1,121.1699,122.12,120.9,121.36,44642,121.36
2,120.54,120.955,119.835,120.955,22889,120.955
3,121.04,121.59,120.62,120.9,23666,120.9
4,121.78,121.968,120.94,120.94,18784,120.94
5,121.68,122.0,121.53,121.82,33285,121.82
6,122.36,122.58,121.2,121.67,63265,121.67
7,122.776,123.0,121.95,122.31,51230,122.31
8,122.805,123.32,122.67,122.86,23571,122.86
9,122.52,123.41,122.45,123.02,39900,123.02
10,121.79,122.69,121.7,122.5,52444,122.5
11,121.465,121.7,121.1001,121.7,78930,121.7
12,121.04,121.54,120.69,121.43,87322,121.43
13,121.55,121.58,121.0,121.05,30213,121.05
14,121.45,121.81,121.3,121.56,67090,121.56
15,122.2675,122.42,121.53,121.66,24103,121.66
16,121.65,122.42,121.58,122.25,15002,122.25
17,122.19,122.26,121.52,121.62,15354,121.62
18,122.82,122.82,122.04,122.14,25454,122.14
19,122.25,122.71,122.14,122.65,22612,122.65
20,122.04,122.4099,121.87,122.365,19300,122.365
21,121.48,122.0,121.3,122.0,16404,122.0
22,122.174,122.37,121.43,121.45,24376,121.45
23,121.85,122.34,121.6108,122.15,17205,122.15
24,121.44,122.05,121.23,121.94,45623,121.94
25,121.09,121.59,120.95,121.45,33938,121.45
26,121.21,121.5,121.08,121.08,31630,121.08
27,121.82,121.82,121.26,121.26,22587,121.26
28,122.19,122.55,121.758,121.765,31474,121.765
29,122.35,122.42,121.78,122.19,16359,122.19
30,121.97,122.27,121.69,122.27,15226,122.27
31,122.115,122.61,121.93,121.95,13133,121.95
32,122.2401,122.39,121.86,122.055,8146,122.055
33,122.75,122.92,122.2801,122.325,15863,122.325
34,123.2,123.3,122.83,122.97,20148,122.97
35,123.49,123.61,123.14,123.15,28773,123.15
36,122.97,123.48,122.56,123.43,21496,123.43
37,123.3,123.44,122.88,123.03,11024,123.03
38,123.518,123.74,123.26,123.33,23506,123.33
39,123.3,123.94,123.27,123.63,23903,123.63
40,122.71,123.34,122.7,123.24,16855,123.24
41,122.95,123.09,122.74,122.89,6221,122.89
42,123.01,123.35,122.71,122.96,11100,122.96
43,123.12,123.2,122.9301,122.99,11867,122.99
44,123.16,123.53,123.11,123.17,10416,123.17
45,123.4999,123.4999,122.855,123.18,7416,123.18
46,123.755,123.755,123.24,123.43,7257,123.43
47,123.42,123.79,123.4,123.73,16701,123.73
48,123.25,123.57,123.07,123.46,5979,123.46
49,123.25,123.42,123.08,123.29,7913,123.29
50,123.3,123.68,123.19,123.22,10466,123.22
51,123.165,123.56,122.99,123.3,12348,123.3
52,123.21,123.37,122.92,123.25,13319,123.25
53,123.58,123.6,123.16,123.21,10436,123.21
54,123.16,123.61,122.96,123.58,12582,123.58
55,122.28,123.19,122.22,123.13,17094,123.13
56,122.18,122.32,121.92,122.27,15690,122.27
57,122.83,122.86,122.19,122.3,15800,122.3
58,123.06,123.15,122.77,122.77,12877,122.77
59,123.12,123.34,122.99,123.09,11574,123.09
60,123.18,123.37,122.99,123.06,10797,123.06
61,123.355,123.39,123.05,123.17,11377,123.17
62,123.3,123.52,123.27,123.39,13942,123.39
63,123.36,123.73,123.2801,123.2801,47248,123.2801
64,123.3,123.485,123.15,123.375,12122,123.375
65,123.14,123.25,122.92,123.25,40275,123.25
66,123.35,123.41,122.8,123.14,63171,123.14
67,123.54,123.61,123.34,123.41,34595,123.41
68,123.715,123.815,123.43,123.54,31044,123.54
69,123.64,123.745,123.45,123.676,24080,123.676
70,123.71,123.71,123.49,123.6791,18804,123.6791
71,124.0,124.1,123.76,123.76,33918,123.76
72,123.85,124.09,123.71,124.0,29741,124.0
73,123.59,124.03,123.59,123.83,32404,123.83
74,123.035,123.75,123.0,123.64,58893,123.64
75,123.64,123.83,123.02,123.02,50841,123.02
76,123.5875,123.695,123.5,123.69,92069,123.69
77,123.97,124.07,123.55,123.58,224994,123.58
78,121.01,121.87,121.01,121.79,7651,121.79
79,120.1939,121.035,120.0001,121.01,40427,121.01
80,120.4,121.26,120.13,120.13,29723,120.13
81,120.91,121.0,120.5,120.505,20771,120.505
82,121.3662,121.44,120.6,120.83,38168,120.83
83,121.51,121.85,121.02,121.27,15157,121.27
84,121.05,122.04,120.91,121.685,26252,121.685
85,121.4,121.5638,120.87,121.1,40646,121.1
86,121.43,121.84,121.18,121.37,20865,121.37
87,121.24,121.82,121.2,121.32,25791,121.32
88,121.14,121.55,121.04,121.295,17260,121.295
89,120.99,121.35,120.72,121.19,21184,121.19
90,120.87,121.55,120.76,120.9,14312,120.9
91,120.89,121.2,120.71,120.85,9282,120.85
92,121.11,121.2,120.785,120.795,18643,120.795
93,121.1,121.37,120.94,121.19,17590,121.19
94,121.03,121.39,120.9,121.04,21267,121.04
95,121.4,121.79,120.93,120.93,20875,120.93
96,121.42,121.42,121.01,121.2901,20230,121.2901
97,121.36,121.725,121.33,121.33,23210,121.33
98,121.89,121.99,121.28,121.39,52674,121.39
99,121.75,122.12,121.49,121.89,73344,121.89
100,121.65,121.9,121.44,121.7,22887,121.7
101,121.55,121.84,121.46,121.65,21366,121.65
102,121.17,121.6,121.11,121.6,7674,121.6
103,121.47,121.685,121.26,121.28,15750,121.28
104,121.45,121.49,121.2,121.49,19415,121.49
105,121.35,121.6,121.32,121.405,20828,121.405
106,121.555,121.725,121.15,121.29,18427,121.29
107,121.5,121.71,121.415,121.63,8778,121.63
108,121.52,121.92,121.5,121.5,10570,121.5
109,121.431,121.67,121.41,121.575,20403,121.575
110,121.52,121.71,121.44,121.51,17155,121.51
111,121.49,121.65,121.41,121.5,10950,121.5
112,121.35,121.6,121.35,121.5,16290,121.5
113,121.81,121.88,121.671,121.7,2403,121.7
114,121.64,121.93,121.63,121.85,42596,121.85
115,121.755,121.8,121.44,121.61,27895,121.61
116,121.68,121.85,121.54,121.8,29132,121.8
117,121.55,121.75,121.47,121.59,9816,121.59
118,121.195,121.63,121.19,121.53,19454,121.53
119,121.5,121.6,121.195,121.195,13302,121.195
120,121.7,121.84,121.46,121.5475,18302,121.5475
121,121.435,121.68,121.38,121.68,17600,121.68
122,121.41,121.56,121.2,121.435,14873,121.435
123,121.48,121.55,121.33,121.45,5744,121.45
124,121.4815,121.79,121.46,121.53,16459,121.53
125,121.75,121.84,121.56,121.56,15701,121.56
126,121.62,121.81,121.61,121.8,8496,121.8
127,121.52,121.75,121.465,121.67,16396,121.67
128,121.52,121.79,121.43,121.54,7200,121.54
129,121.98,122.05,121.48,121.585,23473,121.585
130,121.91,122.22,121.85,121.98,19311,121.98
131,122.165,122.37,121.9601,122.02,23542,122.02
132,122.25,122.4425,122.12,122.16,13785,122.16
133,121.91,122.27,121.91,122.27,23140,122.27
134,121.8,122.08,121.77,122.0,22001,122.0
135,122.08,122.34,121.77,121.8,9667,121.8
136,122.39,122.43,122.07,122.22,13801,122.22
137,122.47,122.53,122.095,122.36,32004,122.36
138,122.47,122.57,122.35,122.4734,15410,122.4734
139,122.49,122.6,122.42,122.46,20883,122.46
140,122.48,122.65,122.43,122.49,25932,122.49
141,122.18,122.475,122.14,122.475,17690,122.475
142,122.41,122.42,122.05,122.14,24887,122.14
143,122.45,122.73,122.33,122.45,12507,122.45
144,122.18,122.55,122.18,122.51,15462,122.51
145,122.22,122.29,122.08,122.19,17595,122.19
146,122.395,122.395,122.15,122.19,24612,122.19
147,122.77,122.77,122.32,122.4,20886,122.4
148,122.84,122.93,122.71,122.8,12932,122.8
149,122.6701,122.89,122.67,122.82,19133,122.82
150,122.77,122.79,122.42,122.69,28329,122.69
151,122.75,122.93,122.52,122.76,44694,122.76
152,123.3,123.49,122.8,122.8,54823,122.8
153,122.99,123.29,122.96,123.29,39905,123.29
154,122.64,123.0,122.6,122.93,26681,122.93
155,122.26,122.68,122.22,122.62,92292,122.62
156,118.09,118.26,118.09,118.26,400,118.26
157,119.25,119.25,117.84,117.99,40119,117.99
158,118.74,119.82,118.54,119.24,41633,119.24
159,119.13,119.39,118.55,118.8,28880,118.8
160,119.16,119.99,119.16,119.24,32994,119.24
161,119.18,119.43,118.87,119.14,78661,119.14
162,119.95,120.33,119.11,119.11,13285,119.11
163,120.36,120.57,119.72,120.06,21963,120.06
164,121.2,121.2,120.08,120.29,20439,120.29
165,121.32,121.34,120.76,121.3,43492,121.3
166,120.98,121.63,120.98,121.39,14796,121.39
167,121.15,121.18,120.77,120.98,19207,120.98
168,121.36,121.42,121.02,121.15,31282,121.15
169,121.58,121.69,121.35,121.36,33553,121.36
170,122.57,122.66,121.1801,121.48,22408,121.48
171,123.4,123.63,122.51,122.51,43125,122.51
172,122.555,123.67,122.43,123.39,38452,123.39
173,122.41,122.55,121.74,122.52,32872,122.52
174,122.24,122.61,122.13,122.44,19996,122.44
175,121.92,122.39,121.71,122.17,23777,122.17
176,122.721,122.7999,121.83,121.95,10028,121.95
177,123.97,123.97,122.57,122.8,16591,122.8
178,123.25,123.75,123.15,123.75,11722,123.75
179,123.765,123.78,123.23,123.31,15789,123.31
180,123.515,123.87,123.41,123.87,11308,123.87
181,123.42,123.78,123.2601,123.46,11586,123.46
182,123.41,123.425,123.09,123.425,26043,123.425
183,123.31,123.54,123.18,123.32,12106,123.32
184,122.76,123.41,122.76,123.41,18593,123.41
185,122.71,123.05,122.66,122.66,3700,122.66
186,122.21,122.755,122.09,122.755,12400,122.755
187,122.0,122.25,122.0,122.24,52579,122.24
188,122.17,122.17,121.97,122.0,74923,122.0
189,121.93,122.19,121.75,122.11,53545,122.11
190,122.32,122.32,121.67,121.91,12735,121.91
191,122.9,122.9,122.28,122.37,4800,122.37
192,122.58,122.89,122.475,122.89,3303,122.89
193,122.22,122.63,122.1,122.63,8596,122.63
194,122.315,122.47,121.94,122.07,12227,122.07
195,122.37,122.56,122.2,122.25,6970,122.25
196,122.25,122.445,122.21,122.445,6248,122.445
197,122.14,122.28,122.0,122.21,3828,122.21
198,122.09,122.25,121.84,122.08,11622,122.08
199,121.83,122.03,121.64,122.03,18508,122.03
200,121.55,121.74,121.37,121.74,2703,121.74
201,121.33,121.69,121.3,121.56,18687,121.56
202,121.45,121.45,121.18,121.18,3942,121.18
203,121.41,121.41,121.1,121.34,3835,121.34
204,121.88,121.9,121.43,121.49,6400,121.49
205,121.41,121.82,121.4,121.81,7346,121.81
206,120.77,121.29,120.77,121.29,9606,121.29
207,120.5,121.06,120.5,120.79,32657,120.79
208,120.75,120.8,120.405,120.52,12626,120.52
209,120.73,120.84,120.5001,120.7001,9293,120.7001
210,120.77,120.89,120.54,120.77,10719,120.77
211,121.05,121.12,120.685,120.74,16549,120.74
212,121.39,121.52,121.0801,121.11,24334,121.11
213,121.35,121.38,120.954,121.34,5218,121.34
214,121.39,121.605,121.32,121.32,8401,121.32
215,121.36,121.47,121.145,121.2988,24329,121.2988
216,121.35,121.52,121.22,121.3,10259,121.3
217,121.58,121.58,121.23,121.35,14954,121.35
218,121.57,121.67,121.37,121.56,14216,121.56
219,121.69,121.77,121.49,121.53,5998,121.53
220,121.68,121.72,121.49,121.69,9175,121.69
221,121.39,121.75,121.37,121.61,12595,121.61
222,121.35,121.46,121.23,121.38,26086,121.38
223,121.44,121.49,121.31,121.37,16764,121.37
224,121.19,121.36,121.09,121.36,12536,121.36
225,121.08,121.17,120.92,121.1,33600,121.1
226,121.24,121.39,121.07,121.15,15922,121.15
227,121.28,121.39,121.07,121.16,33167,121.16
228,121.57,121.57,121.14,121.34,18175,121.34
229,121.65,121.88,121.56,121.57,12466,121.57
230,121.65,121.68,121.39,121.57,25422,121.57
231,121.57,121.89,121.48,121.66,27525,121.66
232,121.67,121.67,121.45,121.6,25490,121.6
233,121.78,121.83,121.5,121.57,35913,121.57
234,121.47,121.84,121.43,121.76,121868,121.76
235,123.89,123.89,123.17,123.66,12987,123.66
236,123.17,123.88,122.92,123.7,7879,123.7
237,122.935,123.37,122.59,123.215,4508,123.215
238,122.9,123.26,122.46,123.11,8758,123.11
239,122.53,123.29,122.38,123.2,6648,123.2
240,122.59,122.82,122.21,122.41,4835,122.41
241,121.7,122.69,121.4,122.63,8323,122.63
242,121.21,122.2,121.18,121.65,18212,121.65
243,120.46,121.24,120.37,121.21,15255,121.21
244,120.39,120.6699,120.09,120.43,17039,120.43
245,120.37,120.495,120.06,120.2,14863,120.2
246,119.86,120.608,119.72,120.51,10120,120.51
247,119.67,120.08,119.445,119.8,43710,119.8
248,120.22,120.4395,119.57,119.57,25562,119.57
249,121.05,121.1,120.13,120.22,27224,120.22
250,121.42,121.84,120.82,121.03,17201,121.03
251,121.655,121.9,121.31,121.44,21426,121.44
252,123.04,123.31,121.61,121.61,38620,121.61
253,122.35,123.25,122.27,123.03,12541,123.03
254,121.65,122.27,121.65,122.27,16912,122.27
255,123.01,123.02,121.57,121.64,17075,121.64
256,123.305,123.35,122.57,123.07,19564,123.07
257,123.6,123.6,123.11,123.22,50443,123.22
258,123.16,123.68,123.08,123.67,17813,123.67
259,122.96,123.5,122.69,123.25,13024,123.25
260,123.1,123.24,122.7,122.96,11558,122.96
261,123.38,123.71,123.18,123.21,35574,123.21
262,123.025,123.58,122.77,123.46,25570,123.46
263,122.65,123.575,122.35,123.19,15047,123.19
264,123.07,123.19,122.6301,122.64,3227,122.64
265,123.2,123.5,123.0,123.09,6417,123.09
266,123.27,123.51,122.94,123.12,10779,123.12
267,123.0,123.468,122.81,123.468,13213,123.468
268,123.48,123.48,122.98,123.02,12690,123.02
269,123.69,123.92,123.24,123.25,20547,123.25
270,123.58,123.79,123.16,123.73,30032,123.73
271,122.74,123.65,122.69,123.47,9191,123.47
272,122.96,123.0436,122.77,122.85,13398,122.85
273,123.04,123.2,122.71,122.96,12066,122.96
274,123.36,123.39,122.89,123.03,7371,123.03
275,123.91,123.91,123.25,123.46,6283,123.46
276,123.78,124.0899,123.78,123.9,8242,123.9
277,124.15,124.16,123.77,123.77,17531,123.77
278,123.78,124.39,123.73,124.19,8204,124.19
279,123.7,123.84,123.48,123.73,25027,123.73
280,123.23,123.665,123.19,123.66,40361,123.66
281,122.82,123.27,122.5902,123.27,32429,123.27
282,123.0,123.28,122.76,122.78,29211,122.78
283,123.06,123.19,122.71,123.13,32655,123.13
284,122.92,123.27,122.8,122.9,18301,122.9
285,123.25,123.42,122.76,122.82,5750,122.82
286,123.56,123.56,123.11,123.11,13905,123.11
287,123.37,123.69,123.29,123.54,5829,123.54
288,123.21,123.48,123.12,123.26,7109,123.26
289,123.76,123.92,123.3,123.3,8601,123.3
290,123.97,124.121,123.53,123.75,16274,123.75
291,124.09,124.34,123.89,124.0,14010,124.0
292,123.81,124.335,123.74,124.09,13913,124.09
293,124.09,124.1625,123.61,123.84,35176,123.84
294,124.16,124.35,123.93,124.09,22071,124.09
295,124.2,124.4,124.07,124.07,31861,124.07
296,123.98,124.42,123.695,124.35,6227,124.35
297,124.1,124.1,123.585,123.85,10211,123.85
298,124.595,124.595,124.035,124.035,17933,124.035
299,124.45,124.59,124.22,124.545,18394,124.545
300,125.14,125.14,124.41,124.445,39972,124.445
301,125.21,125.32,124.925,125.13,49698,125.13
302,126.08,126.08,125.12,125.17,39805,125.17
303,126.34,126.5,125.96,126.08,85146,126.08
304,126.38,126.46,126.23,126.33,42920,126.33
305,125.74,126.42,125.74,126.34,35456,126.34
306,125.5,125.9,125.35,125.85,29734,125.85
307,125.82,125.95,125.44,125.55,57813,125.55
308,125.88,125.88,125.59,125.87,46589,125.87
309,126.65,126.68,125.73,125.83,45084,125.83
310,126.82,126.9,126.49,126.66,66617,126.66
311,127.13,127.23,126.74,126.82,85310,126.82
312,127.33,127.39,127.01,127.15,157404,127.15
313,129.33,129.33,129.33,129.33,407,129.33
314,132.0,133.79,128.2382,129.22,258380,129.22
315,131.28,131.99,130.94,131.88,104048,131.88
316,129.9533,131.33,129.545,131.27,97816,131.27
317,129.7,130.34,128.91,129.9,78549,129.9
318,128.9,130.1,128.32,129.85,136599,129.85
319,128.755,128.99,128.36,128.9,34393,128.9
320,127.71,128.83,127.35,128.755,54534,128.755
321,128.4,128.6,127.7,127.7,22239,127.7
322,128.28,128.61,128.04,128.36,32759,128.36
323,128.97,128.97,128.1,128.28,46772,128.28
324,128.4,129.18,128.4,128.99,24413,128.99
325,129.07,129.29,128.47,128.47,87240,128.47
326,129.13,129.225,128.68,129.15,87701,129.15
327,129.3,129.61,128.94,129.14,42888,129.14
328,129.21,129.7,129.21,129.31,32676,129.31
329,128.75,129.21,128.49,129.21,65955,129.21
330,128.554,129.13,128.01,128.94,12372,128.94
331,128.151,128.59,127.575,128.55,15278,128.55
332,126.82,128.27,126.82,128.11,17753,128.11
333,126.59,126.87,126.23,126.87,38207,126.87
334,125.86,126.91,125.86,126.59,21141,126.59
335,125.15,125.95,124.99,125.8706,23312,125.8706
336,125.71,125.7881,125.03,125.04,36842,125.04
337,125.77,126.19,125.59,125.61,39181,125.61
338,126.21,126.25,125.575,125.66,98217,125.66
339,126.32,126.5699,125.9,126.2599,28956,126.2599
340,125.75,126.5,125.494,126.225,13385,126.225
341,126.14,126.14,125.04,125.74,20274,125.74
342,126.4041,126.785,126.01,126.01,16268,126.01
343,126.52,127.269,126.07,126.27,18450,126.27
344,126.97,127.24,126.4,126.69,13008,126.69
345,127.26,127.388,126.64,126.99,25669,126.99
346,126.68,127.52,126.67,127.21,8553,127.21
347,126.64,126.77,126.3,126.53,11142,126.53
348,125.81,126.76,125.78,126.72,8874,126.72
349,126.47,126.48,125.71,125.74,9895,125.74
350,126.24,126.395,125.86,126.395,11829,126.395
351,127.0,127.375,126.17,126.19,12368,126.19
352,126.81,127.3339,126.53,127.06,13844,127.06
353,126.905,126.97,126.62,126.8,7239,126.8
354,126.52,127.32,126.52,126.96,6502,126.96
355,126.325,126.74,126.325,126.61,9414,126.61
356,126.45,126.75,126.24,126.41,7165,126.41
357,126.615,126.84,126.45,126.51,7917,126.51
358,125.9529,126.93,125.9529,126.579,7141,126.579
359,125.66,126.37,125.65,126.12,18543,126.12
360,125.4,125.89,125.28,125.56,11477,125.56
361,125.68,125.92,125.46,125.57,8051,125.57
362,126.06,126.065,125.67,125.67,32914,125.67
363,125.67,126.31,125.55,126.08,25311,126.08
364,125.79,125.89,125.33,125.78,36620,125.78
365,124.87,125.76,124.84,125.76,17165,125.76
366,125.38,125.38,124.8273,124.99,32542,124.99
367,125.42,125.48,125.08,125.265,21339,125.265
368,125.24,125.435,125.035,125.405,23397,125.405
369,124.94,125.32,124.84,125.175,29486,125.175
370,124.62,124.91,124.4,124.84,94705,124.84
371,124.49,124.74,124.44,124.6,38561,124.6
372,124.26,124.5665,124.08,124.49,55343,124.49
373,123.84,124.43,123.84,124.32,49908,124.32
374,124.14,124.305,123.82,123.86,30150,123.86
375,124.05,124.397,123.89,124.22,13267,124.22
376,124.0299,124.2099,123.85,124.05,7232,124.05
377,124.47,124.47,123.97,124.0,15925,124.0
378,124.59,124.77,124.44,124.4499,13640,124.4499
379,124.83,125.01,124.56,124.6,34237,124.6
380,124.45,124.875,124.45,124.78,26287,124.78
381,124.67,124.8,124.25,124.4,23496,124.4
382,125.21,125.21,124.57,124.68,25608,124.68
383,124.9675,125.377,124.87,125.18,29616,125.18
384,124.82,125.335,124.82,124.97,22858,124.97
385,124.7,124.865,124.51,124.78,17792,124.78
386,124.7625,124.925,124.56,124.76,29102,124.76
387,125.01,125.13,124.67,124.71,27658,124.71
388,124.64,125.11,124.48,125.01,59444,125.01
389,124.45,124.74,124.4,124.66,83843,124.66
390,124.56,124.56,124.19,124.45,93324,124.45
391,124.47,124.61,124.31,124.55,219620,124.55
392,121.53,123.27,121.5,123.21,44504,123.21
393,121.065,121.655,120.38,121.655,78183,121.655
394,120.115,121.48,120.01,121.1838,75463,121.1838
395,119.85,120.53,119.52,120.26,66343,120.26
396,121.27,121.42,119.89,119.915,38683,119.915
397,122.43,122.5,121.11,121.315,24057,121.315
398,123.2,123.225,121.95,122.26,27844,122.26
399,121.86,123.02,121.86,122.92,23935,122.92
400,122.18,122.8,121.75,121.84,16981,121.84
401,122.0,122.47,121.68,122.195,85212,122.195
402,121.78,122.44,121.5,121.89,11495,121.89
403,121.26,121.83,120.97,121.76,28308,121.76
404,121.365,121.46,120.84,121.175,40025,121.175
405,121.38,121.84,120.79,121.46,56628,121.46
406,122.25,122.51,121.32,121.51,19525,121.51
407,121.66,122.39,121.37,122.285,39931,122.285
408,121.8,122.228,121.3,121.51,17112,121.51
409,121.4925,122.16,121.3544,121.9,16555,121.9
410,120.89,121.71,120.74,121.5,59366,121.5
411,120.8601,121.18,120.7011,120.81,21358,120.81
412,121.18,121.5,120.7,120.86,16541,120.86
413,121.11,121.37,120.85,121.16,22676,121.16
414,120.7,121.29,120.5,121.12,23284,121.12
415,120.89,120.89,120.42,120.63,17822,120.63
416,120.89,121.3484,120.52,120.99,43264,120.99
417,120.22,120.895,120.09,120.86,68727,120.86
418,119.84,120.33,119.71,120.23,107974,120.23
419,119.9798,120.19,119.7,119.81,44978,119.81
420,119.625,120.1588,119.58,120.03,69196,120.03
421,120.14,120.22,119.6,119.71,22988,119.71
422,120.04,120.33,120.0,120.17,38488,120.17
423,119.75,120.28,119.73,120.03,25090,120.03
424,119.73,119.88,119.58,119.71,9453,119.71
425,119.92,120.24,119.6825,119.84,15956,119.84
426,120.07,120.12,119.76,120.01,30480,120.01
427,119.66,120.06,119.55,119.95,14815,119.95
428,119.34,119.64,119.305,119.61,24564,119.61
429,119.22,119.44,119.18,119.355,18283,119.355
430,119.23,119.29,119.12,119.17,12767,119.17
431,119.45,119.54,119.21,119.21,23201,119.21
432,119.28,119.68,119.25,119.47,17427,119.47
433,119.35,119.46,119.08,119.27,29977,119.27
434,119.66,120.09,119.355,119.39,31846,119.39
435,119.87,120.09,119.6,119.61,67207,119.61
436,119.75,120.18,119.62,119.89,26251,119.89
437,120.3,120.33,119.6325,119.67,27555,119.67
438,120.35,120.56,119.95,120.26,34758,120.26
439,120.48,120.51,120.07,120.24,17212,120.24
440,120.465,120.7,120.3,120.56,19903,120.56
441,120.2,120.55,119.91,120.33,18735,120.33
442,120.3,120.35,120.02,120.16,18500,120.16
443,120.08,120.53,120.0015,120.26,34945,120.26
444,119.8,120.22,119.76,120.15,33478,120.15
445,120.02,120.2,119.78,119.9,34816,119.9
446,119.575,120.055,119.5,119.955,21788,119.955
447,119.72,119.84,119.4,119.63,31772,119.63
448,119.37,119.73,119.27,119.72,21562,119.72
449,119.42,119.51,119.24,119.41,56726,119.41
450,119.23,119.38,118.91,119.35,45520,119.35
451,118.87,119.315,118.83,119.24,30443,119.24
452,119.19,119.27,118.83,118.85,26312,118.85
453,119.28,119.34,119.08,119.26,10590,119.26
454,119.04,119.43,118.97,119.25,27539,119.25
455,119.42,119.42,119.01,119.025,23544,119.025
456,118.9,119.41,118.9,119.36,16278,119.36
457,118.63,118.93,118.52,118.83,15719,118.83
458,118.34,118.63,118.28,118.57,39345,118.57
459,118.47,118.67,118.32,118.33,44705,118.33
460,118.2,118.49,118.17,118.48,36764,118.48
461,118.48,118.55,118.0,118.205,71184,118.205
462,118.715,118.77,118.43,118.46,31462,118.46
463,119.085,119.19,118.66,118.69,41157,118.69
464,119.15,119.27,119.07,119.11,35009,119.11
465,118.585,119.26,118.55,119.18,43868,119.18
466,118.615,118.65,118.35,118.51,58838,118.51
467,118.56,118.87,118.545,118.61,70423,118.61
468,118.575,118.76,118.56,118.61,60963,118.61
469,118.79,118.84,118.55,118.61,147865,118.61
470,117.19,117.19,117.19,117.19,200,117.19
471,116.21,117.44,116.14,117.04,10500,117.04
472,113.6,116.49,113.36,116.45,109009,116.45
473,114.64,114.98,112.86,113.6,87050,113.6
474,113.135,114.64,112.95,114.59,41593,114.59
475,112.4125,113.28,112.12,113.0,58637,113.0
476,112.39,112.71,112.12,112.43,125922,112.43
477,112.88,112.88,112.04,112.37,64575,112.37
478,113.0999,113.49,112.68,112.88,116437,112.88
479,113.26,113.41,112.85,113.1,76169,113.1
480,113.49,113.69,113.25,113.27,80844,113.27
481,113.98,114.03,113.2575,113.48,51852,113.48
482,113.905,114.4,113.68,113.99,59306,113.99
483,114.67,114.73,113.925,114.0,49089,114.0
484,115.36,115.57,114.34,114.65,56359,114.65
485,114.67,115.4275,114.461,115.42,47801,115.42
486,114.96,115.33,114.51,114.795,60646,114.795
487,114.39,114.92,114.31,114.92,47978,114.92
488,114.39,114.47,113.98,114.41,25841,114.41
489,114.35,114.55,113.91,114.42,44660,114.42
490,114.21,114.44,113.9,114.38,48698,114.38
491,114.33,114.33,113.92,114.2,24803,114.2
492,114.83,114.975,114.07,114.23,25873,114.23
493,115.06,115.3,114.84,114.86,25425,114.86
494,114.51,115.13,114.35,115.08,29461,115.08
495,114.32,114.65,114.24,114.51,62082,114.51
496,114.47,114.69,114.29,114.37,21512,114.37
497,114.12,114.615,114.12,114.42,43007,114.42
498,114.01,114.18,113.83,114.06,36234,114.06
499,113.895,114.11,113.795,114.0,60748,114.0
500,113.98,114.085,113.74,113.86,23757,113.86
501,113.98,114.26,113.85,114.02,60785,114.02
502,114.13,114.19,113.86,113.98,26036,113.98
503,114.01,114.17,113.82,114.17,20900,114.17
504,113.51,114.03,113.4,114.0,79298,114.0
505,113.84,113.85,113.38,113.51,39761,113.51
506,113.9525,113.97,113.63,113.86,67149,113.86
507,113.64,114.208,113.64,113.94,37114,113.94
508,113.6,113.91,113.6,113.66,8450,113.66
509,113.59,113.82,113.51,113.55,9360,113.55
510,113.21,113.72,113.09,113.6075,15328,113.6075
511,113.11,113.43,113.1,113.21,21851,113.21
512,112.95,113.09,112.77,113.05,8712,113.05
513,113.15,113.21,112.81,112.93,15186,112.93
514,113.09,113.46,113.05,113.19,26500,113.19
515,112.925,113.16,112.8,113.15,44296,113.15
516,113.0011,113.26,112.85,112.98,23430,112.98
517,112.95,113.14,112.87,113.01,31405,113.01
518,113.495,113.5,112.9,112.96,36203,112.96
519,113.9,113.9,113.4,113.45,22950,113.45
520,113.37,113.94,113.31,113.86,20342,113.86
521,112.99,113.44,112.87,113.43,45650,113.43
522,112.96,113.01,112.755,113.0,25810,113.0
523,112.97,112.98,112.66,112.96,24009,112.96
524,112.83,113.05,112.83,113.02,17422,113.02
525,113.27,113.27,112.93,112.93,85279,112.93
526,113.53,113.6,113.05,113.23,28880,113.23
527,113.52,113.73,113.52,113.6,19464,113.6
528,113.2,113.6,113.19,113.52,16255,113.52
529,113.45,113.49,113.23,113.23,17165,113.23
530,113.52,113.97,113.39,113.48,18137,113.48
531,113.0799,113.5,113.0,113.5,28180,113.5
532,113.18,113.29,113.05,113.08,15509,113.08
533,113.52,113.63,113.08,113.24,53385,113.24
