Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13 23:00:00,47.22,47.97,47.22,47.6,1890347,47.6
2016-01-14 00:00:00,47.59,47.62,47.08,47.225,1605634,47.225
2016-01-14 01:00:00,47.22,47.31,46.88,46.97,1910683,46.97
2016-01-14 02:00:00,46.96,47.12,46.9161,47.04,1217761,47.04
2016-01-14 03:00:00,47.035,47.16,46.64,46.6603,1097341,46.6603
2016-01-14 04:00:00,46.6625,46.73,46.07,46.34,2018832,46.34
2016-01-14 05:00:00,46.36,46.455,46.07,46.1,6282187,46.1
2016-01-14 23:00:00,46.21,46.29,45.86,45.89,968948,45.89
2016-01-15 00:00:00,45.89,47.03,45.84,46.8128,2059352,46.8128
2016-01-15 01:00:00,46.82,46.94,46.46,46.9,1689600,46.9
2016-01-15 02:00:00,46.9,47.48,46.68,47.2,2705027,47.2
2016-01-15 03:00:00,47.2,47.81,47.16,47.76,2562295,47.76
2016-01-15 04:00:00,47.76,47.85,47.44,47.59,3612104,47.59
2016-01-15 05:00:00,47.59,48.005,47.5501,47.73,5407712,47.73
2016-01-15 23:00:00,46.04,46.51,45.94,46.12,1989541,46.12
2016-01-16 00:00:00,46.1,46.34,45.97,46.02,2171378,46.02
2016-01-16 01:00:00,46.01,46.04,45.505,45.59,1894003,45.59
2016-01-16 02:00:00,45.59,45.65,45.13,45.535,1385016,45.535
2016-01-16 03:00:00,45.5399,46.02,45.3877,45.965,1275931,45.965
2016-01-16 04:00:00,45.96,46.215,45.642,46.185,1515259,46.185
2016-01-16 05:00:00,46.18,46.225,45.77,45.82,4344226,45.82
2016-01-19 23:00:00,46.5,46.58,45.84,46.09,937431,46.09
2016-01-20 00:00:00,46.09,46.17,45.68,45.68,1428748,45.68
2016-01-20 01:00:00,45.68,46.13,45.535,46.0,1256617,46.0
2016-01-20 02:00:00,46.0,46.035,45.65,45.98,1038394,45.98
2016-01-20 03:00:00,45.98,46.227,45.9,45.925,1135242,45.925
2016-01-20 04:00:00,45.92,45.97,45.47,45.6,1209821,45.6
2016-01-20 05:00:00,45.6,46.29,45.57,46.09,3330016,46.09
2016-01-20 23:00:00,45.5,45.915,45.07,45.28,815097,45.28
2016-01-21 00:00:00,45.2804,45.415,44.885,44.94,2163027,44.94
2016-01-21 01:00:00,44.93,45.28,44.82,44.89,1452385,44.89
2016-01-21 02:00:00,44.89,45.0,44.39,44.95,1604863,44.95
2016-01-21 03:00:00,44.96,45.386,44.64,45.2,1368393,45.2
2016-01-21 04:00:00,45.2046,45.54,45.07,45.425,1190772,45.425
2016-01-21 05:00:00,45.43,46.18,45.34,45.93,4537765,45.93
2016-01-21 23:00:00,46.36,46.49,45.71,45.935,1013721,45.935
2016-01-22 00:00:00,45.94,47.39,45.935,46.95,2084726,46.95
2016-01-22 01:00:00,46.96,47.33,46.78,47.21,1064418,47.21
2016-01-22 02:00:00,47.22,47.4401,47.14,47.2451,1079941,47.2451
2016-01-22 03:00:00,47.24,47.4,46.91,47.2,1005754,47.2
2016-01-22 04:00:00,47.2,47.22,46.67,46.97,1120009,46.97
2016-01-22 05:00:00,46.97,47.4,46.69,47.05,3808250,47.05
2016-01-22 23:00:00,47.81,48.28,47.49,47.835,1522322,47.835
2016-01-23 00:00:00,47.83,48.05,47.63,47.75,2111536,47.75
2016-01-23 01:00:00,47.75,47.8,47.44,47.48,1363581,47.48
2016-01-23 02:00:00,47.47,47.87,47.45,47.85,803337,47.85
2016-01-23 03:00:00,47.84,47.92,47.7,47.82,617194,47.82
2016-01-23 04:00:00,47.82,47.93,47.67,47.79,878820,47.79
2016-01-23 05:00:00,47.7856,48.1,47.66,48.063,3172657,48.063
2016-01-25 23:00:00,47.97,48.23,47.64,48.025,834229,48.025
2016-01-26 00:00:00,48.02,48.39,47.5974,47.6161,1025647,47.6161
2016-01-26 01:00:00,47.61,47.9,47.52,47.835,734097,47.835
2016-01-26 02:00:00,47.84,48.076,47.77,48.03,871999,48.03
2016-01-26 03:00:00,48.03,48.38,48.03,48.15,1291187,48.15
2016-01-26 04:00:00,48.14,48.24,48.01,48.11,839642,48.11
2016-01-26 05:00:00,48.11,48.23,47.54,47.58,2776472,47.58
2016-01-26 23:00:00,47.6,47.9699,47.52,47.66,863914,47.66
2016-01-27 00:00:00,47.66,48.2,47.65,48.16,1210444,48.16
2016-01-27 01:00:00,48.16,48.565,48.16,48.4799,1201813,48.4799
2016-01-27 02:00:00,48.48,48.85,48.46,48.69,984669,48.69
2016-01-27 03:00:00,48.7,48.77,48.56,48.68,766858,48.68
2016-01-27 04:00:00,48.68,48.68,48.33,48.335,1050258,48.335
2016-01-27 05:00:00,48.3363,48.54,48.26,48.52,2361934,48.52
2016-01-27 23:00:00,48.0,48.2,47.5,47.61,1070296,47.61
2016-01-28 00:00:00,47.622,48.08,47.4272,47.92,1391919,47.92
2016-01-28 01:00:00,47.915,48.45,47.86,48.335,953605,48.335
