Date,Open,High,Low,Close,Volume,Adj Close
0,42.1,43.05,42.03,42.63,1185119,42.63
1,42.63,43.221,42.41,43.1,1621804,43.1
2,43.1,43.23,42.7,42.83,1230519,42.83
3,42.82,42.93,42.56,42.75,737027,42.75
4,42.7526,42.7526,42.39,42.3945,853652,42.3945
5,42.4,42.49,42.11,42.11,944205,42.11
6,42.1055,42.25,42.04,42.175,1441408,42.175
7,41.45,41.54,41.0531,41.06,1476033,41.06
8,41.06,41.06,40.59,40.6,1736302,40.6
9,40.6,40.75,40.32,40.62,1486972,40.62
10,40.63,40.92,40.5,40.81,1196075,40.81
11,40.8,40.88,40.47,40.5171,1058169,40.5171
12,40.52,40.63,40.38,40.58,1463993,40.58
13,40.59,40.779,40.27,40.37,2483408,40.37
14,40.48,40.52,40.13,40.25,874306,40.25
15,40.24,40.44,39.81,39.84,1567466,39.84
16,39.83,40.11,39.72,40.05,1122029,40.05
17,40.0566,40.07,39.73,39.869,552762,39.869
18,39.8699,39.93,39.72,39.806,776032,39.806
19,39.8,39.97,39.78,39.91,741747,39.91
20,39.92,40.146,39.721,40.04,1060302,40.04
21,40.39,40.485,40.23,40.24,608178,40.24
22,40.25,40.3,39.3,39.49,830662,39.49
23,39.48,39.65,39.23,39.4699,709081,39.4699
24,39.48,39.72,39.205,39.315,435636,39.315
25,39.32,39.51,39.21,39.36,361736,39.36
26,39.36,39.72,39.144,39.69,555820,39.69
27,39.69,39.98,39.53,39.94,1074471,39.94
28,40.43,40.61,40.3,40.48,993228,40.48
29,40.47,40.64,39.2,39.42,1782614,39.42
30,39.42,39.6,39.19,39.28,970113,39.28
31,39.27,39.49,39.2,39.26,729589,39.26
32,39.2555,39.31,39.09,39.1,686371,39.1
33,39.09,39.2,38.795,39.02,619826,39.02
34,39.02,39.16,38.83,38.94,854741,38.94
35,39.94,39.97,39.54,39.61,1008312,39.61
36,39.61,40.98,39.55,40.63,1969161,40.63
37,40.635,40.9,40.41,40.9,1345395,40.9
38,40.9,41.19,40.79,40.97,582296,40.97
39,40.96,41.38,40.95,41.341,538764,41.341
40,41.35,41.575,41.19,41.535,936548,41.535
41,41.525,41.63,41.19,41.35,1015032,41.35
42,39.23,39.76,39.15,39.35,1239294,39.35
43,39.345,39.545,39.08,39.0955,2062980,39.0955
44,39.1,39.14,38.89,38.95,1463316,38.95
45,38.94,39.07,38.79,39.0155,978406,39.0155
46,39.02,39.28,38.93,39.25,1321480,39.25
47,39.25,39.33,39.1438,39.32,1055275,39.32
48,39.32,39.34,39.095,39.15,741014,39.15
49,39.57,39.68,38.84,39.07,1520553,39.07
50,39.08,39.29,38.84,38.91,1351797,38.91
51,38.9,39.13,38.83,38.99,1268399,38.99
52,38.99,39.01,38.76,38.851,488259,38.851
53,38.855,38.9,38.58,38.58,701479,38.58
54,38.58,38.6,38.13,38.265,1001228,38.265
55,38.26,38.65,38.25,38.48,1925490,38.48
56,36.95,37.04,36.62,36.66,1657006,36.66
57,36.68,36.8,36.19,36.21,1920438,36.21
58,36.215,36.46,36.07,36.1584,1574267,36.1584
59,36.1564,36.19,35.8,36.1445,920733,36.1445
60,36.15,36.48,35.91,36.26,1369564,36.26
61,36.26,36.57,36.16,36.48,780495,36.48
62,36.48,37.19,36.38,36.87,1476829,36.87
